cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,3.0131950019328397e-06,1.285301979710254,4.200017,4.193203,4.195217525773195,1.3485756345547713,943.668399999995,97,4.199985,4.193203,-0.0067820000000002,943.668399999995,97,1.0046385110554976,769.0,2.411132426533194
2,3.0131950019328397e-06,1.285301979710254,4.200017,4.193203,4.195217525773195,1.3485756345547713,943.668399999995,97,4.199985,4.193203,-0.0067820000000002,943.668399999995,97,1.0046385110554976,768.0,2.411132426533194
3,2.981972691118532e-06,1.2912188829683855,4.200027,4.193264,4.19525665625,1.349197959224631,948.7669999999998,96,4.2,4.193264,-0.006736,948.7669999999998,96,1.004083265704134,767.0,2.4097998376899215
4,2.9666480904209024e-06,1.2906485838421338,4.200017,4.193296,4.195251154639175,1.356275482464262,945.8316999999952,97,4.200002,4.193296,-0.0067059999999994,945.8316999999952,97,1.0038154320746329,766.0,2.409157036979119
5,2.9463815607817452e-06,1.2918381915848347,4.200015,4.193297,4.195260958762886,1.3693845447515502,945.1287000000012,97,4.199997,4.193309,-0.0066879999999995,945.1287000000012,97,1.0034362632784022,765.0,2.4082470318681652
6,2.9463815607817452e-06,1.2918381915848347,4.200015,4.193297,4.195260958762886,1.3693845447515502,945.1287000000012,97,4.199997,4.193309,-0.0066879999999995,945.1287000000012,97,1.0034362632784022,764.0,2.4082470318681652
7,2.906435508772194e-06,1.285663117177028,4.200027,4.193349,4.195311916666667,1.340049186920663,946.9183000000194,96,4.199989,4.193349,-0.0066399999999999,946.9183000000194,96,1.003493574358853,763.0,2.4083845784612463
8,2.8491813762062787e-06,1.295971131688181,4.200022,4.19343,4.195358052083333,1.3717734639160173,944.9126000000106,96,4.200017,4.19343,-0.0065869999999996,944.9126000000106,96,1.002816804724186,762.0,2.4067603313380466
9,2.6985020210526267e-06,1.2970664531858818,4.200006,4.193365,4.195256499999999,1.5130344800153872,933.1576999999816,96,4.199995,4.193365,-0.0066300000000003,933.1576999999816,96,1.002248555387981,761.0,2.4053965329311544
10,2.852329344931245e-06,1.29923407889817,4.200006,4.193405,4.195329608247422,1.3751631234965995,949.876099999994,97,4.200006,4.193405,-0.0066009999999998,949.876099999994,97,1.0015216501964606,760.0,2.4036519604715054
11,2.852329344931245e-06,1.29923407889817,4.200006,4.193405,4.195329608247422,1.3751631234965995,949.876099999994,97,4.200006,4.193405,-0.0066009999999998,949.876099999994,97,1.0015216501964606,759.0,2.4036519604715054
12,2.8615799753005825e-06,1.3016567509403127,4.200023,4.193398,4.195333061855671,1.3906213030750272,942.5638999999792,97,4.200023,4.193398,-0.0066249999999996,942.5638999999792,97,1.0018935281704786,758.0,2.4045444676091483
13,2.8456162384022773e-06,1.2889807543555498,4.200016,4.193442,4.195353381443299,1.344511768581309,943.5973999999989,97,4.199967,4.193442,-0.0065249999999998,943.5973999999989,97,1.0012900376458191,757.0,2.403096090349966
14,2.6063196614035117e-06,1.3075684619333274,4.200019,4.193472,4.195323541666666,1.555798109021541,938.7714000000268,96,4.200002,4.193472,-0.0065299999999997,938.7714000000268,96,1.0005869411633936,756.0,2.4014086587921444
15,2.5984313263158805e-06,1.3044512588250226,4.200017,4.19349,4.195333000000001,1.5426982144334669,937.5732999999892,96,4.199988,4.193492,-0.0064960000000002,937.5732999999892,96,1.0001854977163864,755.0,2.4004451945193273
16,2.5984313263158805e-06,1.3044512588250226,4.200017,4.19349,4.195333000000001,1.5426982144334669,937.5732999999892,96,4.199988,4.193492,-0.0064960000000002,937.5732999999892,96,1.0001854977163864,754.0,2.4004451945193273
17,2.819065228737254e-06,1.2991197517996933,4.200014,4.193452,4.195365020618556,1.3799203774705655,941.0847000000068,97,4.200004,4.193452,-0.0065520000000001,941.0847000000068,97,1.0001976693252044,753.0,2.4004744063804906
18,2.569818194736728e-06,1.307090827500377,4.200007,4.193503,4.195356375,1.551571841154057,939.250699999975,96,4.199983,4.193503,-0.0064799999999998,939.250699999975,96,0.9995571412529138,752.0,2.398937139006993
19,2.7778858743556415e-06,1.3095488410026732,4.200021,4.193523,4.195394443298969,1.401309873378722,944.6592999999992,97,4.199993,4.193529,-0.0064640000000002,944.6592999999992,97,0.9989177503350638,751.0,2.397402600804153
20,2.747330210051445e-06,1.3041735465156212,4.200022,4.193538,4.195411907216495,1.392879645243767,941.6147999999812,97,4.200022,4.193538,-0.0064839999999994,941.6147999999812,97,0.9986862509843684,750.0,2.3968470023624837
21,2.747330210051445e-06,1.3041735465156212,4.200022,4.193538,4.195411907216495,1.392879645243767,941.6147999999812,97,4.200022,4.193538,-0.0064839999999994,941.6147999999812,97,0.9986862509843684,749.0,2.3968470023624837
22,2.7682885227663098e-06,1.3031197689928211,4.200024,4.193543,4.195406525773196,1.3925039200075076,943.0332000000052,97,4.200024,4.193543,-0.0064809999999999,943.0332000000052,97,0.9986133288550696,748.0,2.396671989252167
23,2.735036329896873e-06,1.3126357876109085,4.200006,4.193586,4.1954225773195875,1.4043175031525077,941.5987000000314,97,4.200006,4.193593,-0.0064130000000002,941.5987000000314,97,0.9982741693798872,747.0,2.3958580065117294
24,2.7209543956185036e-06,1.31169260705709,4.200012,4.193562,4.195432855670103,1.4103996300802932,945.2196999999578,97,4.200005,4.193571,-0.0064339999999996,945.2196999999578,97,0.99782008723258,746.0,2.3947682093581917
25,2.5337678592105772e-06,1.323884575201452,4.200027,4.193588,4.195379312500001,1.5870718970486402,934.8919999999924,96,4.199986,4.193588,-0.0063979999999999,934.8919999999924,96,0.9973238203237624,745.0,2.3935771687770298
26,2.5337678592105772e-06,1.323884575201452,4.200027,4.193588,4.195379312500001,1.5870718970486402,934.8919999999924,96,4.199986,4.193588,-0.0063979999999999,934.8919999999924,96,0.9973238203237624,744.0,2.3935771687770298
27,2.5410579788376397e-06,1.3198581986226807,4.200017,4.19355,4.195375822916667,1.5838105355988925,937.9115999999922,96,4.199981,4.193557,-0.0064239999999999,937.9115999999922,96,0.9973553757368564,743.0,2.393652901768455
28,2.33519460582322e-06,1.31792916491541,4.200014,4.193588,4.195329894736842,1.7325569565533798,926.89029999997,95,4.200006,4.193588,-0.006418,926.89029999997,95,0.997237764751688,742.0,2.393370635404051
29,2.679503634235522e-06,1.3273240173767908,4.200025,4.193645,4.195460618556701,1.4571528301641536,945.6592999999413,97,4.199982,4.193645,-0.0063370000000002,945.6592999999413,97,0.9965758422036451,741.0,2.3917820212887486
30,2.691352778508829e-06,1.3242104307600435,4.200027,4.193586,4.195466520833333,1.444713628230439,942.4053999999304,96,4.200006,4.193586,-0.0064200000000003,942.4053999999304,96,0.9961495930382596,740.0,2.390759023291823
31,2.691352778508829e-06,1.3242104307600435,4.200027,4.193586,4.195466520833333,1.444713628230439,942.4053999999304,96,4.200006,4.193586,-0.0064200000000003,942.4053999999304,96,0.9961495930382596,739.0,2.390759023291823
32,2.5148361148025794e-06,1.3189478009393791,4.200006,4.193595,4.195399031249999,1.5760734344405258,939.6785999999848,96,4.199995,4.193597,-0.0063980000000007,939.6785999999848,96,0.9960137782975296,738.0,2.3904330679140706
33,2.503471720492761e-06,1.3215864191401216,4.200014,4.193561,4.195416484210526,1.579935394532304,931.3549999999814,95,4.200005,4.193561,-0.0064440000000001,931.3549999999814,95,0.99582261805633,737.0,2.389974283335192
34,2.4943948403506273e-06,1.3262565875126135,4.200017,4.193632,4.195415708333334,1.6142842418323071,934.546500000055,96,4.200003,4.193632,-0.0063709999999996,934.546500000055,96,0.9953408885149806,736.0,2.3888181324359534
35,2.4511334441209045e-06,1.3387341467308722,4.200012,4.193672,4.195451705263158,1.6355155527445686,937.4257000000216,95,4.199996,4.193672,-0.0063239999999993,937.4257000000216,95,0.9949988263776726,735.0,2.387997183306414
36,2.4511334441209045e-06,1.3387341467308722,4.200012,4.193672,4.195451705263158,1.6355155527445686,937.4257000000216,95,4.199996,4.193672,-0.0063239999999993,937.4257000000216,95,0.9949988263776726,734.0,2.387997183306414
37,2.479108651644847e-06,1.3232401415681785,4.200012,4.193626,4.19542653125,1.5953337438640909,937.5929999999936,96,4.199994,4.193626,-0.0063680000000001,937.5929999999936,96,0.994955690835168,733.0,2.387893658004403
38,2.476642588353844e-06,1.328953675997712,4.200016,4.193606,4.195428568421053,1.619005629504119,934.8049999999348,95,4.199999,4.193606,-0.006393,934.8049999999348,95,0.9944862214031024,732.0,2.3867669313674456
39,2.6239043818729552e-06,1.333158131588167,4.200031,4.193676,4.19550381443299,1.481677216644004,944.3839000000152,97,4.200007,4.193676,-0.0063310000000003,944.3839000000152,97,0.994160431850136,731.0,2.385985036440326
40,2.657293013960663e-06,1.327533018673116,4.200013,4.193669,4.195479082474226,1.4409106598945347,949.6504999999888,97,4.199974,4.193669,-0.0063050000000002,949.6504999999888,97,0.9937084327436232,730.0,2.3849002385846956
41,2.657293013960663e-06,1.327533018673116,4.200013,4.193669,4.195479082474226,1.4409106598945347,949.6504999999888,97,4.199974,4.193669,-0.0063050000000002,949.6504999999888,97,0.9937084327436232,729.0,2.3849002385846956
42,2.626166965850532e-06,1.3268860627915529,4.200013,4.193696,4.195497690721649,1.451395049146726,946.8999999999068,97,4.20001,4.193707,-0.0063029999999999,946.8999999999068,97,0.993707024275298,728.0,2.384896858260715
43,2.642069313788556e-06,1.334664160411937,4.200014,4.193666,4.195477463917526,1.4742994467672923,940.856400000048,97,4.199981,4.193666,-0.0063149999999998,940.856400000048,97,0.9933041213977278,727.0,2.383929891354547
44,2.4421883472587354e-06,1.346795452330256,4.200014,4.193682,4.195435677083332,1.6708889140504044,932.7439000000012,96,4.200004,4.193691,-0.0063129999999995,932.7439000000012,96,0.9930781782325616,726.0,2.383387627758148
45,2.4273119200656354e-06,1.3368564120436568,4.200004,4.193703,4.19546121875,1.617987030074126,936.5498000000372,96,4.199993,4.193708,-0.006285,936.5498000000372,96,0.9925293702046448,725.0,2.382070488491147
46,2.4273119200656354e-06,1.3368564120436568,4.200004,4.193703,4.19546121875,1.617987030074126,936.5498000000372,96,4.199993,4.193708,-0.006285,936.5498000000372,96,0.9925293702046448,724.0,2.382070488491147
