cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0008561636363636,0.8019317946720499,3.6,3.507,3.5411818181818187,-0.0541885435719882,600.031,11,3.6,3.507,-0.0929999999999999,600.031,11,0.97,3049.0,1.067
2,0.0008561636363636,0.8019317946720499,3.6,3.507,3.5411818181818187,-0.0541885435719882,600.030999999999,11,3.6,3.507,-0.0929999999999999,600.030999999999,11,0.97,3048.0,1.067
3,0.0007788727272727,0.8404973581661457,3.6,3.511,3.5434545454545456,0.029659112519476,600.0360000000001,11,3.6,3.511,-0.0889999999999999,600.0360000000001,11,0.9727272727272728,3047.0,1.07
4,0.0007788727272727,0.8404973581661457,3.6,3.511,3.5434545454545456,0.029659112519476,600.0360000000001,11,3.6,3.511,-0.0889999999999999,600.0360000000001,11,0.9727272727272728,3046.0,1.07
204,0.0006694545454545,0.927238448753533,3.6,3.517,3.5463636363636364,0.2369674103937145,599.9990000003017,11,3.6,3.517,-0.0830000000000001,599.9990000003017,11,0.9545454545454544,2846.0,1.05
205,0.0006848909090909,0.8925683587430608,3.6,3.516,3.5460909090909087,0.1803721303510457,599.9870000001974,11,3.6,3.516,-0.084,599.9870000001974,11,0.9554545454545452,2845.0,1.051
206,0.0006848909090909,0.8925683587430608,3.6,3.516,3.5460909090909087,0.1803721303510457,600.0669999998063,11,3.6,3.516,-0.084,600.0669999998063,11,0.9554545454545452,2844.0,1.051
207,0.0006848909090909,0.8925683587430608,3.6,3.516,3.5460909090909087,0.1803721303510457,600.0669999998063,11,3.6,3.516,-0.084,600.0669999998063,11,0.9554545454545452,2843.0,1.051
208,0.0006848909090909,0.8925683587430608,3.6,3.516,3.5460909090909087,0.1803721303510457,600.0669999998063,11,3.6,3.516,-0.084,600.0669999998063,11,0.9554545454545452,2842.0,1.051
209,0.0007926777777777,0.7822473028961715,3.6,3.512,3.5452999999999997,-0.0805756778907573,540.25,10,3.6,3.512,-0.088,540.25,10,0.9563636363636364,2841.0,1.052
210,0.0008398909090909,0.8017484817705098,3.6,3.508,3.541909090909091,-0.0652775962544529,600.027999999933,11,3.6,3.508,-0.092,600.027999999933,11,0.9563636363636364,2840.0,1.052
211,0.0007239636363636,0.8834096749136898,3.6,3.514,3.544818181818182,0.1380924070460087,600.027999999933,11,3.6,3.514,-0.0860000000000003,600.027999999933,11,0.958181818181818,2839.0,1.054
212,0.0007239636363636,0.8834096749136898,3.6,3.514,3.544818181818182,0.1380924070460087,600.027999999933,11,3.6,3.514,-0.0860000000000003,600.027999999933,11,0.958181818181818,2838.0,1.054
412,0.0006418181818181,0.9104365271594276,3.6,3.519,3.5477272727272724,0.205700591450153,600.0029999995604,11,3.6,3.519,-0.0809999999999999,600.0029999995604,11,0.9445454545454544,2638.0,1.039
413,0.0006467636363636,0.915289220167116,3.6,3.518,3.547181818181819,0.2656439655751743,600.0760000003502,11,3.6,3.518,-0.0820000000000003,600.0760000003502,11,0.9445454545454544,2637.0,1.039
414,0.0008212954545454,0.6913627883822362,3.6,3.518,3.55175,-0.7332183362318583,602.8969999998808,12,3.6,3.518,-0.0820000000000003,602.8969999998808,12,0.9445454545454544,2636.0,1.039
415,0.0008212954545454,0.6913627883822362,3.6,3.518,3.55175,-0.7332183362318583,602.8969999998808,12,3.6,3.518,-0.0820000000000003,602.8969999998808,12,0.9445454545454544,2635.0,1.039
416,0.0008414727272727,0.8023481152877945,3.6,3.507,3.541545454545454,-0.0163917094617254,600.0109999999404,11,3.6,3.507,-0.0929999999999999,600.0109999999404,11,0.9490909090909092,2634.0,1.044
417,0.0008414727272727,0.8023481152877945,3.6,3.507,3.541545454545454,-0.0163917094617254,600.0109999999404,11,3.6,3.507,-0.0929999999999999,600.0109999999404,11,0.9490909090909092,2633.0,1.044
418,0.0007408545454545,0.8527746607842024,3.6,3.513,3.544636363636364,0.0565601988038304,600.0129999993369,11,3.6,3.513,-0.0870000000000001,600.0129999993369,11,0.9509090909090908,2632.0,1.046
419,0.0007408545454545,0.8527746607842024,3.6,3.513,3.544636363636364,0.0565601988038304,600.0129999993369,11,3.6,3.513,-0.0870000000000001,600.0129999993369,11,0.9509090909090908,2631.0,1.046
619,0.0006310545454545,0.9610972458220642,3.6,3.519,3.5473636363636363,0.3659648901145029,599.945000000298,11,3.6,3.519,-0.0809999999999999,599.945000000298,11,0.939090909090909,2431.0,1.033
620,0.0006472909090909,0.948891187211092,3.6,3.518,3.546909090909091,0.3199764292373697,600.0219999998808,11,3.6,3.518,-0.0820000000000003,600.0219999998808,11,0.94,2430.0,1.034
621,0.0008280227272727,0.7166649594774419,3.6,3.518,3.5512499999999996,-0.7040856458773592,600.5779999997467,12,3.6,3.518,-0.0820000000000003,600.5779999997467,12,0.94,2429.0,1.034
622,0.0008280227272727,0.7166649594774419,3.6,3.518,3.5512499999999996,-0.7040856458773592,600.5779999997467,12,3.6,3.518,-0.0820000000000003,600.5779999997467,12,0.94,2428.0,1.034
623,0.0008333636363636,0.8059164416462711,3.6,3.508,3.5421818181818185,-0.0790379811332808,600.0109999999404,11,3.6,3.508,-0.092,600.0109999999404,11,0.94,2427.0,1.034
624,0.0008333636363636,0.8059164416462711,3.6,3.508,3.5421818181818185,-0.0790379811332808,600.0109999999404,11,3.6,3.508,-0.092,600.0109999999404,11,0.94,2426.0,1.034
625,0.0007078727272727,0.8727517846114798,3.6,3.515,3.5455454545454548,0.1030574494450204,600.0140000004321,11,3.6,3.515,-0.0849999999999999,600.0140000004321,11,0.9427272727272724,2425.0,1.037
626,0.0007078727272727,0.8727517846114798,3.6,3.515,3.5455454545454548,0.1030574494450204,600.0140000004321,11,3.6,3.515,-0.0849999999999999,600.0140000004321,11,0.9427272727272724,2424.0,1.037
826,0.0006275636363636,0.9543868219412172,3.6,3.52,3.547818181818182,0.3034001094520784,599.9209999982268,11,3.6,3.52,-0.08,599.9209999982268,11,0.9327272727272726,2224.0,1.026
827,0.0006424727272727,0.918086165325735,3.6,3.519,3.547545454545454,0.2427645555160209,599.9979999996722,11,3.6,3.519,-0.0809999999999999,599.9979999996722,11,0.9327272727272726,2223.0,1.026
828,0.0006436727272727,0.9278360809521068,3.6,3.519,3.547454545454545,0.2465392799418175,599.9869999997318,11,3.6,3.519,-0.0809999999999999,599.9869999997318,11,0.9336363636363636,2222.0,1.027
829,0.0006436727272727,0.9278360809521068,3.6,3.519,3.547454545454545,0.2465392799418175,599.9869999997318,11,3.6,3.519,-0.0809999999999999,599.9869999997318,11,0.9336363636363636,2221.0,1.027
830,0.0007073636363636,0.9009846849179226,3.6,3.515,3.545181818181818,0.1990196291694079,600.0280000008643,11,3.6,3.515,-0.0849999999999999,600.0280000008643,11,0.9336363636363636,2220.0,1.027
831,0.0007073636363636,0.9009846849179226,3.6,3.515,3.545181818181818,0.1990196291694079,600.0280000008643,11,3.6,3.515,-0.0849999999999999,600.0280000008643,11,0.9336363636363636,2219.0,1.027
832,0.0006474,0.9355602857168556,3.6,3.518,3.547,0.2982687146961886,600.0269999988377,11,3.6,3.518,-0.0820000000000003,600.0269999988377,11,0.9345454545454543,2218.0,1.028
833,0.0006474,0.9355602857168556,3.6,3.518,3.547,0.2982687146961886,600.0269999988377,11,3.6,3.518,-0.0820000000000003,600.0269999988377,11,0.9345454545454543,2217.0,1.028
1033,0.0007928106060606,0.7315058155098851,3.6,3.52,3.552083333333334,-0.6732885398885986,602.6809999998659,12,3.6,3.52,-0.08,602.6809999998659,12,0.9263636363636362,2017.0,1.019
1034,0.0006359636363636,0.9622889788534849,3.6,3.519,3.547181818181818,0.3651952372061426,600.1469999998808,11,3.6,3.519,-0.0809999999999999,600.1469999998808,11,0.9263636363636362,2016.0,1.019
1035,0.0006360181818181,0.948952010212237,3.6,3.519,3.5472727272727274,0.3437509398551528,600.0540000014007,11,3.6,3.519,-0.0809999999999999,600.0540000014007,11,0.9263636363636362,2015.0,1.019
1036,0.0006360181818181,0.948952010212237,3.6,3.519,3.5472727272727274,0.3437509398551528,600.0540000014007,11,3.6,3.519,-0.0809999999999999,600.0540000014007,11,0.9263636363636362,2014.0,1.019
1037,0.0008346545454545,0.8182879585111185,3.6,3.508,3.5416363636363637,-0.0054158285591521,600.0170000009239,11,3.6,3.508,-0.092,600.0170000009239,11,0.9290909090909092,2013.0,1.022
1038,0.0008346545454545,0.8182879585111185,3.6,3.508,3.5416363636363637,-0.0054158285591521,600.0170000009239,11,3.6,3.508,-0.092,600.0170000009239,11,0.9290909090909092,2012.0,1.022
1039,0.0007048727272727,0.8774744948285265,3.6,3.515,3.5455454545454543,0.1380880166335965,600.0270000007004,11,3.6,3.515,-0.0849999999999999,600.0270000007004,11,0.9318181818181815,2011.0,1.025
