cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0008088909090909,0.7978775297382474,3.6,3.509,3.5429090909090912,-0.051539472747204,600.027,11,3.6,3.509,-0.0910000000000001,600.027,11,0.9409090909090908,3635.0,1.035
2,0.0008088909090909,0.7978775297382474,3.6,3.509,3.5429090909090912,-0.051539472747204,600.0270000000019,11,3.6,3.509,-0.0910000000000001,600.0270000000019,11,0.9409090909090908,3634.0,1.035
3,0.0007436909090909,0.8341042343696328,3.6,3.513,3.544909090909091,0.0176470405629292,600.025999999998,11,3.6,3.513,-0.0870000000000001,600.025999999998,11,0.9445454545454544,3633.0,1.039
4,0.0007436909090909,0.8341042343696328,3.6,3.513,3.544909090909091,0.0176470405629292,600.025999999998,11,3.6,3.513,-0.0870000000000001,600.025999999998,11,0.9445454545454544,3632.0,1.039
503,0.0005754909090909,0.945474046750363,3.6,3.523,3.549909090909091,0.3146832878736587,600.0069999992847,11,3.6,3.523,-0.0769999999999999,600.0069999992847,11,0.9299999999999998,3133.0,1.023
504,0.0006222545454545,0.9189111653735048,3.6,3.52,3.5483636363636366,0.2276697028811991,600.0660000005737,11,3.6,3.52,-0.08,600.0660000005737,11,0.9299999999999998,3132.0,1.023
505,0.0008022424242424,0.6871592923672181,3.6,3.519,3.552333333333334,-0.7390988847738038,602.7089999997988,12,3.6,3.519,-0.0809999999999999,602.7089999997988,12,0.9299999999999998,3131.0,1.023
506,0.0008022424242424,0.6871592923672181,3.6,3.519,3.552333333333334,-0.7390988847738038,602.7089999997988,12,3.6,3.519,-0.0809999999999999,602.7089999997988,12,0.9299999999999998,3130.0,1.023
507,0.0008022424242424,0.6871592923672181,3.6,3.519,3.552333333333334,-0.7390988847738038,602.7089999997988,12,3.6,3.519,-0.0809999999999999,602.7089999997988,12,0.9299999999999998,3129.0,1.023
508,0.0008286181818181,0.7537813881440774,3.6,3.508,3.5427272727272725,-0.1295137223570917,600.0120000001043,11,3.6,3.508,-0.092,600.0120000001043,11,0.9336363636363636,3128.0,1.027
509,0.0008286181818181,0.7537813881440774,3.6,3.508,3.5427272727272725,-0.1295137223570917,600.0120000001043,11,3.6,3.508,-0.092,600.0120000001043,11,0.9336363636363636,3127.0,1.027
510,0.0007105636363636,0.8535706240540121,3.6,3.515,3.5458181818181815,0.0617663150380733,600.0120000001043,11,3.6,3.515,-0.0849999999999999,600.0120000001043,11,0.9363636363636364,3126.0,1.03
511,0.0007105636363636,0.8535706240540121,3.6,3.515,3.5458181818181815,0.0617663150380733,600.0120000001043,11,3.6,3.515,-0.0849999999999999,600.0120000001043,11,0.9363636363636364,3125.0,1.03
1010,0.0005354545454545,0.958512540230958,3.599,3.525,3.550636363636363,0.32419435548743,600.0120000001043,11,3.599,3.525,-0.0740000000000002,600.0120000001043,11,0.92,2626.0,1.012
1011,0.0006057636363636,0.928710110555612,3.6,3.521,3.5488181818181816,0.2911556776576809,600.0120000001043,11,3.6,3.521,-0.0790000000000001,600.0120000001043,11,0.919090909090909,2625.0,1.011
1012,0.0006096727272727,0.949244416666513,3.6,3.521,3.5485454545454544,0.3062890214878013,600.0140000004321,11,3.6,3.521,-0.0790000000000001,600.0140000004321,11,0.919090909090909,2624.0,1.011
1013,0.0006096727272727,0.949244416666513,3.6,3.521,3.5485454545454544,0.3062890214878013,600.0140000004321,11,3.6,3.521,-0.0790000000000001,600.0140000004321,11,0.919090909090909,2623.0,1.011
1014,0.0007964,0.8599062206092688,3.599,3.508,3.541,0.176196891536815,600.0270000007004,11,3.599,3.508,-0.0910000000000001,600.0270000007004,11,0.92,2622.0,1.012
1015,0.0007964,0.8599062206092688,3.599,3.508,3.541,0.176196891536815,600.0270000007004,11,3.599,3.508,-0.0910000000000001,600.0270000007004,11,0.92,2621.0,1.012
1016,0.0006732181818181,0.939254730823991,3.599,3.515,3.5447272727272723,0.3526646461733049,600.0279999990016,11,3.599,3.515,-0.084,600.0279999990016,11,0.9227272727272726,2620.0,1.015
1017,0.0006732181818181,0.939254730823991,3.599,3.515,3.5447272727272723,0.3526646461733049,600.0279999990016,11,3.599,3.515,-0.084,600.0279999990016,11,0.9227272727272726,2619.0,1.015
1516,0.0005286909090909,1.0282941285323193,3.599,3.525,3.5500909090909087,0.5220291310180336,600.0049999989569,11,3.599,3.525,-0.0740000000000002,600.0049999989569,11,0.908181818181818,2120.0,0.999
1517,0.0005856,0.973549144597624,3.599,3.521,3.548,0.416121361678468,599.9749999996275,11,3.599,3.521,-0.0780000000000002,599.9749999996275,11,0.9072727272727272,2119.0,0.998
1518,0.0005856909090909,0.9595575320462209,3.599,3.521,3.5480909090909094,0.3929171842620578,599.9940000008792,11,3.599,3.521,-0.0780000000000002,599.9940000008792,11,0.908181818181818,2118.0,0.999
1519,0.0005856909090909,0.9595575320462209,3.599,3.521,3.5480909090909094,0.3929171842620578,599.9940000008792,11,3.599,3.521,-0.0780000000000002,599.9940000008792,11,0.908181818181818,2117.0,0.999
1520,0.0007954909090909,0.8179234149996,3.599,3.509,3.541909090909091,0.0011094887627907,600.0279999990016,11,3.599,3.509,-0.0900000000000003,600.0279999990016,11,0.908181818181818,2116.0,0.999
1521,0.0007954909090909,0.8179234149996,3.599,3.509,3.541909090909091,0.0011094887627907,600.0279999990016,11,3.599,3.509,-0.0900000000000003,600.0279999990016,11,0.908181818181818,2115.0,0.999
1522,0.0008288106060606,0.6921997629621955,3.599,3.517,3.550416666666667,-0.7253973903379958,600.3870000001043,12,3.599,3.517,-0.0820000000000003,600.3870000001043,12,0.9109090909090908,2114.0,1.002
1523,0.0008288106060606,0.6921997629621955,3.599,3.517,3.550416666666667,-0.7253973903379958,600.3870000001043,12,3.599,3.517,-0.0820000000000003,600.3870000001043,12,0.9109090909090908,2113.0,1.002
2022,0.0005150181818181,1.0094043679738556,3.6,3.527,3.551727272727273,0.5256515013424821,599.9060000032187,11,3.6,3.527,-0.0729999999999999,599.9060000032187,11,0.8963636363636363,1614.0,0.986
