cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0008268545454545,0.8097914537768763,3.6,3.509,3.5423636363636364,-0.0865814366116461,600.031,11,3.6,3.509,-0.0910000000000001,600.031,11,0.9445454545454544,2324.0,1.039
2,0.0008268545454545,0.8097914537768763,3.6,3.509,3.5423636363636364,-0.0865814366116461,600.030999999999,11,3.6,3.509,-0.0910000000000001,600.030999999999,11,0.9445454545454544,2323.0,1.039
3,0.0009092954545454,0.6480479238901089,3.6,3.513,3.5492499999999993,-0.7978588143085394,604.4519999999902,12,3.599,3.513,-0.0860000000000003,604.4519999999902,12,0.9463636363636362,2322.0,1.041
4,0.0009092954545454,0.6480479238901089,3.6,3.513,3.5492499999999993,-0.7978588143085394,604.4519999999975,12,3.599,3.513,-0.0860000000000003,604.4519999999975,12,0.9463636363636362,2321.0,1.041
210,0.0007513777777777,0.7795896570504568,3.6,3.514,3.5466,-0.0577487803192262,540.2490000000689,10,3.6,3.514,-0.0860000000000003,540.2490000000689,10,0.9336363636363636,2115.0,1.027
211,0.0007980181818181,0.7950382085121004,3.6,3.51,3.5432727272727274,-0.0528411196008393,600.0280000001658,11,3.6,3.51,-0.0900000000000003,600.0280000001658,11,0.9336363636363636,2114.0,1.027
212,0.0008648106060606,0.6788955259108885,3.6,3.516,3.5505833333333334,-0.7534152225020141,602.8669999998529,12,3.6,3.516,-0.084,602.8669999998529,12,0.9354545454545452,2113.0,1.029
213,0.0008648106060606,0.6788955259108885,3.6,3.516,3.5505833333333334,-0.7534152225020141,602.8669999998529,12,3.6,3.516,-0.084,602.8669999998529,12,0.9354545454545452,2112.0,1.029
412,0.0004831636363636,1.0311898146269736,3.599,3.528,3.552181818181818,0.5488577704226572,600.0019999998622,11,3.599,3.528,-0.0710000000000001,600.0019999998622,11,0.9163636363636364,1913.0,1.008
413,0.0004831636363636,1.0311898146269736,3.599,3.528,3.552181818181818,0.5488577704226572,600.0019999998622,11,3.599,3.528,-0.0710000000000001,600.0019999998622,11,0.9163636363636364,1912.0,1.008
414,0.0007238409090909,0.7354253051316064,3.6,3.523,3.5537500000000004,-0.6755635812408465,607.5809999997728,12,3.6,3.523,-0.0769999999999999,607.5809999997728,12,0.918181818181818,1911.0,1.01
415,0.0007238409090909,0.7354253051316064,3.6,3.523,3.5537500000000004,-0.6755635812408465,607.5809999997728,12,3.6,3.523,-0.0769999999999999,607.5809999997728,12,0.918181818181818,1910.0,1.01
416,0.0008088909090909,0.7978775297382474,3.6,3.509,3.5429090909090912,-0.051539472747204,600.026999999769,11,3.6,3.509,-0.0910000000000001,600.026999999769,11,0.9236363636363636,1909.0,1.016
417,0.0008088909090909,0.7978775297382474,3.6,3.509,3.5429090909090912,-0.051539472747204,600.026999999769,11,3.6,3.509,-0.0910000000000001,600.026999999769,11,0.9236363636363636,1908.0,1.016
418,0.0006911636363636,0.8876748346178144,3.6,3.516,3.5461818181818185,0.1308565683033249,600.0280000003986,11,3.6,3.516,-0.084,600.0280000003986,11,0.9254545454545454,1907.0,1.018
419,0.0006911636363636,0.8876748346178144,3.6,3.516,3.5461818181818185,0.1308565683033249,600.0280000003986,11,3.6,3.516,-0.084,600.0280000003986,11,0.9254545454545454,1906.0,1.018
618,0.0004844181818181,1.0463094727074025,3.6,3.529,3.5527272727272727,0.6350913854129132,600.0139999995008,11,3.6,3.529,-0.0710000000000001,600.0139999995008,11,0.9109090909090908,1707.0,1.002
619,0.0004844181818181,1.0463094727074025,3.6,3.529,3.5527272727272727,0.6350913854129132,600.0139999995008,11,3.6,3.529,-0.0710000000000001,600.0139999995008,11,0.9109090909090908,1706.0,1.002
620,0.0007243636363636,0.7526985646510577,3.6,3.523,3.5540000000000003,-0.6352389225577322,601.2559999991208,12,3.6,3.523,-0.0769999999999999,601.2559999991208,12,0.9118181818181816,1705.0,1.003
621,0.0007243636363636,0.7526985646510577,3.6,3.523,3.5540000000000003,-0.6352389225577322,601.2559999991208,12,3.6,3.523,-0.0769999999999999,601.2559999991208,12,0.9118181818181816,1704.0,1.003
622,0.0008022,0.8141255739849798,3.6,3.51,3.5429999999999997,-0.0409028499971704,600.0069999992847,11,3.6,3.51,-0.0900000000000003,600.0069999992847,11,0.9172727272727272,1703.0,1.009
623,0.0008022,0.8141255739849798,3.6,3.51,3.5429999999999997,-0.0409028499971704,600.0069999992847,11,3.6,3.51,-0.0900000000000003,600.0069999992847,11,0.9172727272727272,1702.0,1.009
624,0.0006848909090909,0.8925683587430608,3.6,3.516,3.5460909090909087,0.1803721303510457,600.0109999999404,11,3.6,3.516,-0.084,600.0109999999404,11,0.92,1701.0,1.012
625,0.0006848909090909,0.8925683587430608,3.6,3.516,3.5460909090909087,0.1803721303510457,600.0109999999404,11,3.6,3.516,-0.084,600.0109999999404,11,0.92,1700.0,1.012
824,0.0004767636363636,1.0742847450095463,3.6,3.529,3.5528181818181808,0.7281454409904091,600.061999999918,11,3.6,3.529,-0.0710000000000001,600.061999999918,11,0.9027272727272726,1501.0,0.993
825,0.0004767636363636,1.0742847450095463,3.6,3.529,3.5528181818181808,0.7281454409904091,600.061999999918,11,3.6,3.529,-0.0710000000000001,600.061999999918,11,0.9027272727272726,1500.0,0.993
826,0.0005728545454545,0.9814014487642472,3.6,3.523,3.5496363636363637,0.413823668582963,600.0760000003502,11,3.6,3.523,-0.0769999999999999,600.0760000003502,11,0.9036363636363636,1499.0,0.994
827,0.0005728545454545,0.9814014487642472,3.6,3.523,3.5496363636363637,0.413823668582963,600.0760000003502,11,3.6,3.523,-0.0769999999999999,600.0760000003502,11,0.9036363636363636,1498.0,0.994
828,0.0007892909090909,0.8120024798041209,3.6,3.51,3.5430909090909086,0.0252504961019681,600.0120000001043,11,3.6,3.51,-0.0900000000000003,600.0120000001043,11,0.9109090909090908,1497.0,1.002
829,0.0007892909090909,0.8120024798041209,3.6,3.51,3.5430909090909086,0.0252504961019681,600.0120000001043,11,3.6,3.51,-0.0900000000000003,600.0120000001043,11,0.9109090909090908,1496.0,1.002
830,0.00087675,0.6755832879862437,3.6,3.516,3.55025,-0.7519645935078629,602.9920000005513,12,3.6,3.516,-0.084,602.9920000005513,12,0.9136363636363636,1495.0,1.005
