cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0007346909090909,0.7962989520899547,3.599,3.513,3.544909090909091,-0.0990565795147047,600.0089999999991,11,3.599,3.513,-0.0860000000000003,600.0089999999991,11,0.9654545454545456,3138.0,1.062
2,0.0006918777777777,0.7807185161348481,3.599,3.517,3.5481000000000003,-0.1209662205505877,540.1100000000006,10,3.599,3.517,-0.0820000000000003,540.1100000000006,10,0.9654545454545456,3137.0,1.062
3,0.0006934545454545,0.8326504376776281,3.6,3.516,3.546636363636364,0.0225219540479351,600.0240000000049,11,3.6,3.516,-0.084,600.0240000000049,11,0.9663636363636362,3136.0,1.063
4,0.0006934545454545,0.8326504376776281,3.6,3.516,3.546636363636364,0.0225219540479351,600.0240000000049,11,3.6,3.516,-0.084,600.0240000000049,11,0.9663636363636362,3135.0,1.063
207,0.0007056909090909,0.8029260957729859,3.599,3.515,3.5459090909090913,-0.1114990905477286,600.0270000000019,11,3.599,3.515,-0.084,600.0270000000019,11,0.9572727272727272,2932.0,1.053
208,0.0007056909090909,0.8029260957729859,3.599,3.515,3.5459090909090913,-0.1114990905477286,600.0270000000019,11,3.599,3.515,-0.084,600.0270000000019,11,0.9572727272727272,2931.0,1.053
209,0.0005978545454545,0.9068193540557226,3.6,3.522,3.5496363636363637,0.1855911984218723,600.027999999933,11,3.6,3.522,-0.0780000000000002,600.027999999933,11,0.959090909090909,2930.0,1.055
210,0.0005978545454545,0.9068193540557226,3.6,3.522,3.5496363636363637,0.1855911984218723,600.027999999933,11,3.6,3.522,-0.0780000000000002,600.027999999933,11,0.959090909090909,2929.0,1.055
409,0.0003778727272727,1.1333416814239832,3.6,3.537,3.557545454545455,0.862162032693834,600.00400000019,11,3.6,3.537,-0.0630000000000001,600.00400000019,11,0.94,2730.0,1.034
410,0.0003778727272727,1.1333416814239832,3.6,3.537,3.557545454545455,0.862162032693834,600.00400000019,11,3.6,3.537,-0.0630000000000001,600.00400000019,11,0.94,2729.0,1.034
411,0.0005010181818181,0.9935414611859849,3.6,3.528,3.5527272727272727,0.4409002265201485,600.00400000019,11,3.6,3.528,-0.072,600.00400000019,11,0.9409090909090908,2728.0,1.035
412,0.0005010181818181,0.9935414611859849,3.6,3.528,3.5527272727272727,0.4409002265201485,600.00400000019,11,3.6,3.528,-0.072,600.00400000019,11,0.9409090909090908,2727.0,1.035
413,0.0007229999999999,0.7974794604736111,3.6,3.514,3.546,-0.0602159053734832,600.027999999933,11,3.6,3.514,-0.0860000000000003,600.027999999933,11,0.9463636363636362,2726.0,1.041
414,0.0007229999999999,0.7974794604736111,3.6,3.514,3.546,-0.0602159053734832,600.027999999933,11,3.6,3.514,-0.0860000000000003,600.027999999933,11,0.9463636363636362,2725.0,1.041
415,0.0005878727272727,0.8797981855711307,3.599,3.522,3.549545454545455,0.0911768921485087,600.0249999999069,11,3.599,3.522,-0.0770000000000004,600.0249999999069,11,0.9490909090909092,2724.0,1.044
416,0.0005878727272727,0.8797981855711307,3.599,3.522,3.549545454545455,0.0911768921485087,600.0249999999069,11,3.599,3.522,-0.0770000000000004,600.0249999999069,11,0.9490909090909092,2723.0,1.044
615,0.0003666545454545,1.0820228219677477,3.599,3.537,3.5576363636363637,0.7358772923601435,599.9560000002384,11,3.599,3.537,-0.0620000000000002,599.9560000002384,11,0.9354545454545452,2524.0,1.029
616,0.0003666545454545,1.0820228219677477,3.599,3.537,3.5576363636363637,0.7358772923601435,599.9560000002384,11,3.599,3.537,-0.0620000000000002,599.9560000002384,11,0.9354545454545452,2523.0,1.029
617,0.0004820181818181,1.0208064330142113,3.6,3.529,3.553272727272727,0.5451628253587053,600.0559999998659,11,3.6,3.529,-0.0710000000000001,600.0559999998659,11,0.9363636363636364,2522.0,1.03
618,0.0004820181818181,1.0208064330142113,3.6,3.529,3.553272727272727,0.5451628253587053,600.0559999998659,11,3.6,3.529,-0.0710000000000001,600.0559999998659,11,0.9363636363636364,2521.0,1.03
619,0.0007221999999999,0.803263497539549,3.6,3.515,3.546,-0.0658200172641425,600.0070000002161,11,3.6,3.515,-0.0849999999999999,600.0070000002161,11,0.9418181818181818,2520.0,1.036
620,0.0007221999999999,0.803263497539549,3.6,3.515,3.546,-0.0658200172641425,600.0070000002161,11,3.6,3.515,-0.0849999999999999,600.0070000002161,11,0.9418181818181818,2519.0,1.036
621,0.0006066727272727,0.8883680036292587,3.6,3.521,3.549454545454546,0.1515093395792686,600.0120000001043,11,3.6,3.521,-0.0790000000000001,600.0120000001043,11,0.9436363636363636,2518.0,1.038
622,0.0006066727272727,0.8883680036292587,3.6,3.521,3.549454545454546,0.1515093395792686,600.0120000001043,11,3.6,3.521,-0.0790000000000001,600.0120000001043,11,0.9436363636363636,2517.0,1.038
821,0.0003658727272727,1.1143932270456702,3.6,3.538,3.558545454545454,0.7606159306571287,599.9740000003949,11,3.6,3.538,-0.0620000000000002,599.9740000003949,11,0.9290909090909092,2318.0,1.022
822,0.0003658727272727,1.1143932270456702,3.6,3.538,3.558545454545454,0.7606159306571287,599.9740000003949,11,3.6,3.538,-0.0620000000000002,599.9740000003949,11,0.9290909090909092,2317.0,1.022
823,0.0004866545454545,0.9880208452180514,3.6,3.529,3.553636363636364,0.4045349072350603,600.0429999995977,11,3.6,3.529,-0.0710000000000001,600.0429999995977,11,0.9299999999999998,2316.0,1.023
824,0.0004866545454545,0.9880208452180514,3.6,3.529,3.553636363636364,0.4045349072350603,600.0429999995977,11,3.6,3.529,-0.0710000000000001,600.0429999995977,11,0.9299999999999998,2315.0,1.023
825,0.0007284909090909,0.7867259623831275,3.6,3.514,3.5459090909090913,-0.077364963440468,600.0120000001043,11,3.6,3.514,-0.0860000000000003,600.0120000001043,11,0.9363636363636364,2314.0,1.03
