cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0006724469696969,0.864690249519989,3.6,3.518,3.545916666666667,0.0391986817113503,600.058,12,3.6,3.518,-0.0820000000000003,600.058,12,0.9781818181818182,3155.0,1.076
2,0.0006724469696969,0.864690249519989,3.6,3.518,3.545916666666667,0.0391986817113503,600.0579999999973,12,3.6,3.518,-0.0820000000000003,600.0579999999973,12,0.9781818181818182,3154.0,1.076
3,0.0005909696969696,0.9326832861386976,3.6,3.523,3.5483333333333342,0.2056600502126659,600.060000000005,12,3.6,3.523,-0.0769999999999999,600.060000000005,12,0.979090909090909,3153.0,1.077
4,0.0005909696969696,0.9326832861386976,3.6,3.523,3.5483333333333342,0.2056600502126659,600.0600000000122,12,3.6,3.523,-0.0769999999999999,600.0600000000122,12,0.979090909090909,3152.0,1.077
254,0.0004079015151515,1.0904769158529892,3.6,3.535,3.555416666666666,0.6493102363236325,600.3600000003353,12,3.6,3.535,-0.0649999999999999,600.3600000003353,12,0.9536363636363636,2902.0,1.049
255,0.0004391555555555,0.9494299567470208,3.6,3.534,3.5574,0.3593629140434293,540.1280000000261,10,3.6,3.534,-0.0660000000000002,540.1280000000261,10,0.9536363636363636,2901.0,1.049
256,0.0004677878787878,1.042710014714214,3.6,3.531,3.5528333333333326,0.4760013090842756,600.0359999998473,12,3.6,3.531,-0.0689999999999999,600.0359999998473,12,0.9536363636363636,2900.0,1.049
257,0.0004677878787878,1.042710014714214,3.6,3.531,3.5528333333333326,0.4760013090842756,600.0359999998473,12,3.6,3.531,-0.0689999999999999,600.0359999998473,12,0.9536363636363636,2899.0,1.049
258,0.0004677878787878,1.042710014714214,3.6,3.531,3.5528333333333326,0.4760013090842756,600.0359999998473,12,3.6,3.531,-0.0689999999999999,600.0359999998473,12,0.9536363636363636,2898.0,1.049
259,0.0006484469696969,0.8733357952890093,3.6,3.52,3.5470833333333336,0.0010703659989621,600.0629999996163,12,3.6,3.52,-0.08,600.0629999996163,12,0.9627272727272724,2897.0,1.059
260,0.0006484469696969,0.8733357952890093,3.6,3.52,3.5470833333333336,0.0010703659989621,600.0629999996163,12,3.6,3.52,-0.08,600.0629999996163,12,0.9627272727272724,2896.0,1.059
261,0.0005429696969697,0.9566218599981264,3.6,3.526,3.550333333333333,0.2388012817403968,600.0600000000559,12,3.6,3.526,-0.0740000000000002,600.0600000000559,12,0.9636363636363636,2895.0,1.06
262,0.0005429696969697,0.9566218599981264,3.6,3.526,3.550333333333333,0.2388012817403968,600.0600000000559,12,3.6,3.526,-0.0740000000000002,600.0600000000559,12,0.9636363636363636,2894.0,1.06
512,0.0003777196969696,1.1301355965475195,3.6,3.537,3.5565833333333328,0.798400035322965,599.8890000004321,12,3.6,3.537,-0.0630000000000001,599.8890000004321,12,0.9299999999999998,2644.0,1.023
513,0.0004330909090909,1.083672981304107,3.6,3.533,3.5540000000000003,0.6490141214439227,600.4110000003129,12,3.6,3.533,-0.0670000000000001,600.4110000003129,12,0.9299999999999998,2643.0,1.023
514,0.0004398409090909,1.080629152360034,3.6,3.533,3.5537499999999995,0.6122825857989236,600.1199999991804,12,3.6,3.533,-0.0670000000000001,600.1199999991804,12,0.9299999999999998,2642.0,1.023
515,0.0004398409090909,1.080629152360034,3.6,3.533,3.5537499999999995,0.6122825857989236,600.1199999991804,12,3.6,3.533,-0.0670000000000001,600.1199999991804,12,0.9299999999999998,2641.0,1.023
516,0.0006332727272727,0.8061935366780222,3.6,3.52,3.549545454545455,-0.0698627985864188,600.0580000001937,11,3.6,3.52,-0.08,600.0580000001937,11,0.9372727272727271,2640.0,1.031
517,0.0006332727272727,0.8061935366780222,3.6,3.52,3.549545454545455,-0.0698627985864188,600.0580000001937,11,3.6,3.52,-0.08,600.0580000001937,11,0.9372727272727271,2639.0,1.031
518,0.0005287878787878,0.9858191966551586,3.6,3.527,3.550666666666667,0.3096826791240978,600.0690000001341,12,3.6,3.527,-0.0729999999999999,600.0690000001341,12,0.938181818181818,2638.0,1.032
519,0.0005287878787878,0.9858191966551586,3.6,3.527,3.550666666666667,0.3096826791240978,600.0690000001341,12,3.6,3.527,-0.0729999999999999,600.0690000001341,12,0.938181818181818,2637.0,1.032
769,0.0003526666666666,1.0441083404708928,3.6,3.541,3.561,0.6107576649393343,540.1469999998808,10,3.6,3.541,-0.0590000000000001,540.1469999998808,10,0.918181818181818,2387.0,1.01
770,0.0004222424242424,1.0963968525466026,3.6,3.534,3.5546666666666664,0.646642105293818,600.0959999989718,12,3.6,3.534,-0.0660000000000002,600.0959999989718,12,0.918181818181818,2386.0,1.01
771,0.0004251136363636,1.080121341022147,3.6,3.534,3.55475,0.5721031816822295,600.0349999982864,12,3.6,3.534,-0.0660000000000002,600.0349999982864,12,0.918181818181818,2385.0,1.01
772,0.0004251136363636,1.080121341022147,3.6,3.534,3.55475,0.5721031816822295,600.0349999982864,12,3.6,3.534,-0.0660000000000002,600.0349999982864,12,0.918181818181818,2384.0,1.01
773,0.0006264242424242,0.8887696512442644,3.6,3.521,3.5476666666666663,0.0701184811091018,600.0639999993145,12,3.6,3.521,-0.0790000000000001,600.0639999993145,12,0.9227272727272726,2383.0,1.015
774,0.0006264242424242,0.8887696512442644,3.6,3.521,3.5476666666666663,0.0701184811091018,600.0639999993145,12,3.6,3.521,-0.0790000000000001,600.0639999993145,12,0.9227272727272726,2382.0,1.015
775,0.0004960606060606,1.023237872803468,3.6,3.529,3.551666666666666,0.4387835085787754,600.0590000003576,12,3.6,3.529,-0.0710000000000001,600.0590000003576,12,0.9245454545454544,2381.0,1.017
776,0.0004960606060606,1.023237872803468,3.6,3.529,3.551666666666666,0.4387835085787754,600.0590000003576,12,3.6,3.529,-0.0710000000000001,600.0590000003576,12,0.9245454545454544,2380.0,1.017
1026,0.0003544469696969,1.1709258940337677,3.6,3.539,3.5575833333333335,0.8960900236053506,599.8890000004321,12,3.6,3.539,-0.0609999999999999,599.8890000004321,12,0.9036363636363636,2130.0,0.994
1027,0.0004252545454545,1.012461354407399,3.6,3.534,3.556363636363636,0.4805223014908391,600.0070000011474,11,3.6,3.534,-0.0660000000000002,600.0070000011474,11,0.9036363636363636,2129.0,0.994
1028,0.0004394242424242,1.059229374809316,3.6,3.533,3.554166666666667,0.5284788983754574,600.0610000006855,12,3.6,3.533,-0.0670000000000001,600.0610000006855,12,0.9036363636363636,2128.0,0.994
1029,0.0004394242424242,1.059229374809316,3.6,3.533,3.554166666666667,0.5284788983754574,600.0610000006855,12,3.6,3.533,-0.0670000000000001,600.0610000006855,12,0.9036363636363636,2127.0,0.994
