cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,3.5999999999992862e-06,0.4977659279911436,4.196,4.19,4.192399999999999,-0.104350382126805,540.0010000000002,10,4.196,4.19,-0.0059999999999993,540.0010000000002,10,0.9966666666666668,505.0,2.99
2,3.5999999999992862e-06,0.4977659279911436,4.196,4.19,4.192399999999999,-0.104350382126805,540.0010000000002,10,4.196,4.19,-0.0059999999999993,540.0010000000002,10,0.9966666666666668,504.0,2.99
3,7.07272727272754e-06,1.5755948302670644,4.2,4.191,4.193545454545455,2.7150891151911,600.0240000000049,11,4.2,4.191,-0.0090000000000003,600.0240000000049,11,0.9913333333333334,503.0,2.974
4,7.07272727272754e-06,1.5755948302670644,4.2,4.191,4.193545454545455,2.7150891151911,600.0240000000049,11,4.2,4.191,-0.0090000000000003,600.0240000000049,11,0.9913333333333334,502.0,2.974
5,7.07272727272754e-06,1.5755948302670644,4.2,4.191,4.193545454545455,2.7150891151911,600.0240000000049,11,4.2,4.191,-0.0090000000000003,600.0240000000049,11,0.9913333333333334,501.0,2.974
204,5.155555555555487e-06,0.6919453771969248,4.191,4.184,4.1866,-0.0980576906754082,540.0,10,4.191,4.184,-0.0069999999999996,540.0,10,0.8603333333333333,302.0,2.581
205,4.6777777777779605e-06,0.812150076024251,4.191,4.184,4.1867,0.1608947300961425,539.9989999998361,10,4.191,4.184,-0.0069999999999996,539.9989999998361,10,0.8603333333333333,301.0,2.581
206,5.166666666666566e-06,0.8514993775438024,4.191,4.184,4.1865,0.0972201575743483,539.9989999998361,10,4.191,4.184,-0.0069999999999996,539.9989999998361,10,0.8603333333333333,300.0,2.581
207,5.166666666666566e-06,0.8514993775438024,4.191,4.184,4.1865,0.0972201575743483,539.9989999998361,10,4.191,4.184,-0.0069999999999996,539.9989999998361,10,0.8603333333333333,299.0,2.581
208,5.166666666666566e-06,0.8514993775438024,4.191,4.184,4.1865,0.0972201575743483,539.9989999998361,10,4.191,4.184,-0.0069999999999996,539.9989999998361,10,0.8603333333333333,298.0,2.581
209,5.111111111110972e-06,0.5769467849552516,4.193,4.186,4.188999999999999,-0.5462462867936702,539.9950000001118,10,4.193,4.186,-0.0069999999999996,539.9950000001118,10,0.8656666666666667,297.0,2.597
210,5.111111111110972e-06,0.5769467849552516,4.193,4.186,4.188999999999999,-0.5462462867936702,539.9950000001118,10,4.193,4.186,-0.0069999999999996,539.9950000001118,10,0.8656666666666667,296.0,2.597
211,4.2666666666663195e-06,0.5559849139590736,4.193,4.187,4.189399999999999,-0.8093261718739839,539.9989999998361,10,4.193,4.187,-0.0059999999999993,539.9989999998361,10,0.864,295.0,2.592
212,4.2666666666663195e-06,0.5559849139590736,4.193,4.187,4.189399999999999,-0.8093261718739839,539.9989999998361,10,4.193,4.187,-0.0059999999999993,539.9989999998361,10,0.864,294.0,2.592
412,1.066666666666708e-05,0.6458615532741339,4.184,4.174,4.177999999999999,-0.4951171874987898,539.9989999998361,10,4.184,4.174,-0.0099999999999997,539.9989999998361,10,0.8256666666666667,94.0,2.477
413,1.0899999999999562e-05,0.6544118645785963,4.184,4.174,4.1777,-0.3540667171668037,540.0,10,4.184,4.174,-0.0099999999999997,540.0,10,0.8253333333333334,93.0,2.476
414,1.1788888888888986e-05,0.6888669974672843,4.184,4.174,4.1777,-0.5285983700346155,539.9989999998361,10,4.184,4.174,-0.0099999999999997,539.9989999998361,10,0.8253333333333334,92.0,2.476
415,1.1788888888888986e-05,0.6888669974672843,4.184,4.174,4.1777,-0.5285983700346155,539.9989999998361,10,4.184,4.174,-0.0099999999999997,539.9989999998361,10,0.8253333333333334,91.0,2.476
416,9.333333333333056e-06,0.7014146471863082,4.189,4.179,4.183000000000001,0.0803571428563421,540.0,10,4.189,4.179,-0.0099999999999997,540.0,10,0.835,90.0,2.505
417,9.333333333333056e-06,0.7014146471863082,4.189,4.179,4.183000000000001,0.0803571428563421,540.0,10,4.189,4.179,-0.0099999999999997,540.0,10,0.835,89.0,2.505
418,8.899999999999549e-06,0.5197494954781489,4.188,4.179,4.1827000000000005,-0.8980948773912099,540.0,10,4.188,4.179,-0.0089999999999994,540.0,10,0.8326666666666668,88.0,2.498
419,8.899999999999549e-06,0.5197494954781489,4.188,4.179,4.1827000000000005,-0.8980948773912099,540.0,10,4.188,4.179,-0.0089999999999994,540.0,10,0.8326666666666668,87.0,2.498
544,1.4711111111111977e-05,0.7963434714257841,4.182,4.17,4.1746,-0.1800024643801698,540.0,10,4.182,4.17,-0.0120000000000004,540.0,10,0.7946666666666666,-38.0,2.384
545,1.626666666666798e-05,0.7021646111538994,4.179,4.167,4.1714,-0.4159668099976175,540.0,10,4.179,4.167,-0.0120000000000004,540.0,10,0.7926666666666667,-39.0,2.378
546,1.9155555555555243e-05,0.8341460566766549,4.18,4.167,4.171600000000001,-0.1864521385785353,539.9989999998361,10,4.18,4.167,-0.0129999999999999,539.9989999998361,10,0.7926666666666667,-40.0,2.378
547,1.9155555555555243e-05,0.8341460566766549,4.18,4.167,4.171600000000001,-0.1864521385785353,539.9989999998361,10,4.18,4.167,-0.0129999999999999,539.9989999998361,10,0.7926666666666667,-41.0,2.378
