cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
253,7.3333333333332976e-06,0.6294451243257433,4.187,4.179,4.182,-0.6136363636366431,539.9989999998361,10,4.187,4.179,-0.008,539.9989999998361,10,0.8456666666666667,153.0,2.537
254,7.3333333333332976e-06,0.6294451243257433,4.187,4.179,4.182,-0.6136363636366431,539.9989999998361,10,4.187,4.179,-0.008,539.9989999998361,10,0.8456666666666667,152.0,2.537
255,7.3333333333332976e-06,0.6294451243257433,4.187,4.179,4.182,-0.6136363636366431,540.0,10,4.187,4.179,-0.008,540.0,10,0.846,151.0,2.538
256,7.3333333333332976e-06,0.6294451243257433,4.187,4.179,4.182,-0.6136363636366431,540.0,10,4.187,4.179,-0.008,540.0,10,0.846,150.0,2.538
257,7.3333333333332976e-06,0.6294451243257433,4.187,4.179,4.182,-0.6136363636366431,540.0,10,4.187,4.179,-0.008,540.0,10,0.846,149.0,2.538
258,1.1599999999999814e-05,0.7314941527571777,4.184,4.173,4.1774,-0.0238519902613134,539.9989999998361,10,4.184,4.173,-0.0110000000000001,539.9989999998361,10,0.847,148.0,2.541
259,1.1599999999999814e-05,0.7314941527571777,4.184,4.173,4.1774,-0.0238519902613134,539.9989999998361,10,4.184,4.173,-0.0110000000000001,539.9989999998361,10,0.847,147.0,2.541
260,8.622222222222652e-06,0.4423736037954354,4.186,4.177,4.1808,-0.8049806036771026,540.0,10,4.186,4.177,-0.0090000000000003,540.0,10,0.8473333333333333,146.0,2.542
261,8.622222222222652e-06,0.4423736037954354,4.186,4.177,4.1808,-0.8049806036771026,540.0,10,4.186,4.177,-0.0090000000000003,540.0,10,0.8473333333333333,145.0,2.542
386,1.2622222222223074e-05,0.7425753021290804,4.182,4.171,4.175199999999999,-0.2913364872322335,540.0,10,4.182,4.171,-0.0110000000000001,540.0,10,0.8143333333333334,20.0,2.443
387,1.0844444444444662e-05,0.8269923740845546,4.181,4.171,4.174799999999999,-0.3219360674924019,539.9990000007674,10,4.181,4.171,-0.0099999999999997,539.9990000007674,10,0.8143333333333334,19.0,2.443
388,1.210000000000074e-05,0.8458082997901573,4.182,4.171,4.1751,0.1327322814935136,540.0,10,4.182,4.171,-0.0110000000000001,540.0,10,0.8146666666666667,18.0,2.444
389,1.210000000000074e-05,0.8458082997901573,4.182,4.171,4.1751,0.1327322814935136,540.0,10,4.182,4.171,-0.0110000000000001,540.0,10,0.8146666666666667,17.0,2.444
390,1.210000000000074e-05,0.8458082997901573,4.182,4.171,4.1751,0.1327322814935136,540.0,10,4.182,4.171,-0.0110000000000001,540.0,10,0.8146666666666667,16.0,2.444
391,1.210000000000074e-05,0.8458082997901573,4.182,4.171,4.1751,0.1327322814935136,540.0,10,4.182,4.171,-0.0110000000000001,540.0,10,0.8146666666666667,15.0,2.444
518,1.978888888888827e-05,0.750309952014453,4.175,4.162,4.1667000000000005,-0.504004575448691,540.0,10,4.175,4.162,-0.0129999999999999,540.0,10,0.7883333333333334,-112.0,2.365
519,2.0044444444443975e-05,0.8216234618697347,4.175,4.161,4.1664,-0.0504975393438682,539.9989999998361,10,4.175,4.161,-0.0140000000000002,539.9989999998361,10,0.7883333333333334,-113.0,2.365
520,2.2322222222222463e-05,0.7673991021111263,4.175,4.161,4.1661,-0.2956095989440577,539.9989999998361,10,4.175,4.161,-0.0140000000000002,539.9989999998361,10,0.7883333333333334,-114.0,2.365
521,2.2322222222222463e-05,0.7673991021111263,4.175,4.161,4.1661,-0.2956095989440577,539.9989999998361,10,4.175,4.161,-0.0140000000000002,539.9989999998361,10,0.7883333333333334,-115.0,2.365
