cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
253,5.166666666667453e-06,0.851499377541716,4.192,4.185,4.187500000000001,0.0972201575716384,540.0,10,4.192,4.185,-0.0070000000000005,540.0,10,0.8346666666666667,215.0,2.504
254,5.166666666667453e-06,0.851499377541716,4.192,4.185,4.187500000000001,0.0972201575716384,540.0,10,4.192,4.185,-0.0070000000000005,540.0,10,0.8346666666666667,214.0,2.504
255,5.166666666667453e-06,0.851499377541716,4.192,4.185,4.187500000000001,0.0972201575716384,539.9990000003017,10,4.192,4.185,-0.0070000000000005,539.9990000003017,10,0.8353333333333333,213.0,2.506
256,5.166666666667453e-06,0.851499377541716,4.192,4.185,4.187500000000001,0.0972201575716384,539.9990000003017,10,4.192,4.185,-0.0070000000000005,539.9990000003017,10,0.8353333333333333,212.0,2.506
257,5.166666666667453e-06,0.851499377541716,4.192,4.185,4.187500000000001,0.0972201575716384,539.9990000003017,10,4.192,4.185,-0.0070000000000005,539.9990000003017,10,0.8353333333333333,211.0,2.506
258,5.499999999999825e-06,0.2325825996597519,4.193,4.186,4.189333333333334,-1.0413223140502508,480.22099999990314,9,4.193,4.186,-0.0069999999999996,480.22099999990314,9,0.8383333333333334,210.0,2.515
259,5.999999999999863e-06,0.3402069087196592,4.193,4.186,4.189,-1.1018518518522256,540.0,10,4.193,4.186,-0.0069999999999996,540.0,10,0.8383333333333334,209.0,2.515
260,5.9555555555554275e-06,0.5183269187581286,4.193,4.186,4.1888,-0.8655980491995385,539.9990000003017,10,4.193,4.186,-0.0069999999999996,539.9990000003017,10,0.8373333333333334,208.0,2.512
261,5.9555555555554275e-06,0.5183269187581286,4.193,4.186,4.1888,-0.8655980491995385,539.9990000003017,10,4.193,4.186,-0.0069999999999996,539.9990000003017,10,0.8373333333333334,207.0,2.512
343,2.700000000000205e-05,-1.7320508075688772,4.2,4.191,4.197,0.0,46.25400000018999,3,4.2,4.191,-0.0090000000000003,46.25400000018999,3,0.8193333333333334,125.0,2.458
386,8.900000000000003e-06,0.798455746679751,4.19,4.181,4.184299999999999,-0.1442218094126479,539.9989999998361,10,4.19,4.181,-0.0090000000000003,539.9989999998361,10,0.8119999999999999,82.0,2.436
387,8.900000000000003e-06,0.798455746679751,4.19,4.181,4.184299999999999,-0.1442218094126479,539.9989999998361,10,4.19,4.181,-0.0090000000000003,539.9989999998361,10,0.8119999999999999,81.0,2.436
388,8.044444444444173e-06,0.6910282479390311,4.19,4.181,4.1846000000000005,-0.1104263780541128,539.9989999998361,10,4.19,4.181,-0.0090000000000003,539.9989999998361,10,0.8130000000000001,80.0,2.439
389,8.044444444444173e-06,0.6910282479390311,4.19,4.181,4.1846000000000005,-0.1104263780541128,539.9989999998361,10,4.19,4.181,-0.0090000000000003,539.9989999998361,10,0.8130000000000001,79.0,2.439
390,7.694444444444353e-06,0.42818110118481,4.189,4.181,4.184222222222222,-0.8018350297798054,480.22200000006706,9,4.189,4.181,-0.008,480.22200000006706,9,0.8186666666666667,78.0,2.456
391,8.622222222222414e-06,0.442373603795433,4.189,4.18,4.1838,-0.8049806036769245,540.0,10,4.189,4.18,-0.0090000000000003,540.0,10,0.8186666666666667,77.0,2.456
392,9.333333333333844e-06,0.7014146471881663,4.19,4.18,4.183999999999999,0.0803571428587304,540.0,10,4.19,4.18,-0.0100000000000006,540.0,10,0.8173333333333334,76.0,2.452
393,9.333333333333844e-06,0.7014146471881663,4.19,4.18,4.183999999999999,0.0803571428587304,540.0,10,4.19,4.18,-0.0100000000000006,540.0,10,0.8173333333333334,75.0,2.452
518,1.440000000000018e-05,0.6459976933090895,4.184,4.173,4.177200000000001,-0.6727200911236406,539.9990000007674,10,4.184,4.173,-0.0110000000000001,539.9990000007674,10,0.7946666666666666,-50.0,2.384
519,1.4400000000000262e-05,0.6459976933100484,4.183,4.172,4.1762,-0.672720091122688,540.0,10,4.183,4.172,-0.0110000000000001,540.0,10,0.7946666666666666,-51.0,2.384
520,1.4400000000000262e-05,0.6459976933100484,4.183,4.172,4.1762,-0.672720091122688,540.0,10,4.183,4.172,-0.0110000000000001,540.0,10,0.7949999999999999,-52.0,2.385
521,1.4400000000000262e-05,0.6459976933100484,4.183,4.172,4.1762,-0.672720091122688,540.0,10,4.183,4.172,-0.0110000000000001,540.0,10,0.7949999999999999,-53.0,2.385
522,1.293333333333238e-05,0.7395929049824022,4.185,4.174,4.1784,-0.4644299530845384,539.9989999998361,10,4.185,4.174,-0.0109999999999992,539.9989999998361,10,0.8036666666666666,-54.0,2.411
523,1.293333333333238e-05,0.7395929049824022,4.185,4.174,4.1784,-0.4644299530845384,539.9989999998361,10,4.185,4.174,-0.0109999999999992,539.9989999998361,10,0.8036666666666666,-55.0,2.411
524,1.1749999999999928e-05,0.7235612952112161,4.186,4.176,4.179666666666667,-0.3380973937791047,480.22099999990314,9,4.186,4.176,-0.0099999999999997,480.22099999990314,9,0.8026666666666666,-56.0,2.408
525,1.2622222222222324e-05,0.7425753021284435,4.186,4.175,4.1792,-0.2913364872331305,539.9989999998361,10,4.186,4.175,-0.0110000000000001,539.9989999998361,10,0.8026666666666666,-57.0,2.408
650,1.9733333333333645e-05,0.6696338871764975,4.179,4.166,4.1708,-0.583234960346168,539.9989999998361,10,4.179,4.166,-0.0129999999999999,539.9989999998361,10,0.7826666666666666,-182.0,2.348
651,1.9166666666666345e-05,0.6703515869323498,4.18,4.166,4.1715,-0.0654604374834351,539.9989999998361,10,4.18,4.166,-0.0139999999999993,539.9989999998361,10,0.7836666666666666,-183.0,2.351
652,1.978888888888827e-05,0.7503099520152016,4.18,4.167,4.1716999999999995,-0.5040045754477496,540.0,10,4.18,4.167,-0.0129999999999999,540.0,10,0.7839999999999999,-184.0,2.352
653,1.978888888888827e-05,0.7503099520152016,4.18,4.167,4.1716999999999995,-0.5040045754477496,540.0,10,4.18,4.167,-0.0129999999999999,540.0,10,0.7839999999999999,-185.0,2.352
654,2.173333333333384e-05,0.8902603389748046,4.175,4.161,4.1658,-0.0214132474475272,539.9990000007674,10,4.175,4.161,-0.0140000000000002,539.9990000007674,10,0.7856666666666667,-186.0,2.357
655,2.173333333333384e-05,0.8902603389748046,4.175,4.161,4.1658,-0.0214132474475272,539.9990000007674,10,4.175,4.161,-0.0140000000000002,539.9990000007674,10,0.7856666666666667,-187.0,2.357
