cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,2.1333333333333372e-05,-1.7320508075677228,4.199,4.191,4.196333333333333,0.0,48.39400000000023,3,4.199,4.191,-0.008,48.39400000000023,3,0.9303333333333332,601.0,2.791
2,2.1333333333333372e-05,-1.7320508075677228,4.199,4.191,4.196333333333333,0.0,48.39400000000023,3,4.199,4.191,-0.008,48.39400000000023,3,0.9303333333333332,600.0,2.791
3,2.1333333333333372e-05,-1.7320508075677228,4.199,4.191,4.196333333333333,0.0,48.39400000000023,3,4.199,4.191,-0.008,48.39400000000023,3,0.9303333333333332,599.0,2.791
4,2.1333333333333372e-05,-1.7320508075677228,4.199,4.191,4.196333333333333,0.0,48.39400000000023,3,4.199,4.191,-0.008,48.39400000000023,3,0.9303333333333332,598.0,2.791
5,2.1333333333333372e-05,-1.7320508075677228,4.199,4.191,4.196333333333333,0.0,48.39400000000023,3,4.199,4.191,-0.008,48.39400000000023,3,0.9303333333333332,597.0,2.791
6,2.1333333333333372e-05,-1.7320508075677228,4.199,4.191,4.196333333333333,0.0,48.39400000000023,3,4.199,4.191,-0.008,48.39400000000023,3,0.9303333333333332,596.0,2.791
7,2.1333333333333372e-05,-1.7320508075677228,4.199,4.191,4.196333333333333,0.0,48.39400000000023,3,4.199,4.191,-0.008,48.39400000000023,3,0.9303333333333332,595.0,2.791
8,2.1333333333333372e-05,-1.7320508075677228,4.199,4.191,4.196333333333333,0.0,48.39400000000023,3,4.199,4.191,-0.008,48.39400000000023,3,0.9303333333333332,594.0,2.791
9,2.1333333333333372e-05,-1.7320508075677228,4.199,4.191,4.196333333333333,0.0,48.39400000000023,3,4.199,4.191,-0.008,48.39400000000023,3,0.9303333333333332,593.0,2.791
10,2.1333333333333372e-05,-1.7320508075677228,4.199,4.191,4.196333333333333,0.0,48.39400000000023,3,4.199,4.191,-0.008,48.39400000000023,3,0.9303333333333332,592.0,2.791
11,2.1333333333333372e-05,-1.7320508075677228,4.199,4.191,4.196333333333333,0.0,48.39400000000023,3,4.199,4.191,-0.008,48.39400000000023,3,0.9303333333333332,591.0,2.791
12,2.1333333333333372e-05,-1.7320508075677228,4.199,4.191,4.196333333333333,0.0,48.39400000000023,3,4.199,4.191,-0.008,48.39400000000023,3,0.9303333333333332,590.0,2.791
