cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,3.530572937053419e-09,0.5430507035659055,4.400161266326904,4.3998637199401855,4.399993847156393,0.556204553970904,535.7043043043232,116,4.3998637199401855,4.400015354156494,0.0001516342163085,535.7043043043232,116,1.0143318523963294,646.0,0.243439644575119
2,4.811007507352928e-09,-0.2595441366165854,4.4001617431640625,4.399797439575195,4.399979392341946,0.0814799837353015,530.2415015014703,115,4.400009632110596,4.400091648101807,8.20159912109375e-05,530.2415015014703,115,1.0139735415577888,645.0,0.2433536499738693
3,2.8086574507624526e-09,-0.1508754861669889,4.400086879730225,4.3997907638549805,4.399951802129331,0.8512783603719383,529.6937537537306,115,4.399997234344482,4.400015354156494,1.811981201171875e-05,529.6937537537306,115,1.0136133059859276,644.0,0.2432671934366226
4,1.775627908187039e-09,0.5834926103412793,4.400091648101807,4.399939060211182,4.3999990048615825,-0.2115050416242261,529.3662462462671,115,4.400010108947754,4.400015354156494,5.245208740234375e-06,529.3662462462671,115,1.013277533153693,643.0,0.2431866079568863
5,2.304913911411036e-09,0.8669833279699959,4.400150299072266,4.399939060211182,4.399995926323287,0.7653848971920185,529.2735135135008,109,4.400076389312744,4.400015354156494,-6.103515625e-05,529.2735135135008,109,1.0151352112491927,642.0,0.2436324506998062
6,5.451328495506371e-09,-0.7030852523931064,4.400084972381592,4.399786472320557,4.3999483353268785,-0.1750520858210316,520.0880880880868,113,4.400081634521484,4.400015354156494,-6.628036499023438e-05,520.0880880880868,113,1.0145153850317,641.0,0.243483692407608
7,3.049401591283305e-09,0.2093396364920829,4.400091648101807,4.399868488311768,4.399973233540853,-0.692135130985652,524.6220120120561,114,4.400002956390381,4.400091648101807,8.869171142578125e-05,524.6220120120561,114,1.0141360263029735,640.0,0.2433926463127136
8,3.638994981384728e-09,1.1633826497419777,4.400223255157471,4.399868488311768,4.39999837206121,3.1075804177573434,524.3403603603365,114,4.400029182434082,4.400015354156494,-1.3828277587890623e-05,524.3403603603365,114,1.0136174658934276,639.0,0.2432681918144226
9,3.778863168868192e-09,-0.2208996316282818,4.400156497955322,4.399795055389404,4.399978524760196,1.4039058510502105,524.343753753812,114,4.400015354156494,4.399862766265869,-0.000152587890625,524.343753753812,114,1.0132446885108948,638.0,0.2431787252426147
10,2.827008320688114e-09,-1.427201475488764,4.40001916885376,4.399721622467041,4.3999257924263935,3.8407654575667833,524.1390190189704,114,4.40001916885376,4.400015354156494,-3.814697265625e-06,524.1390190189704,114,1.0128467033306758,637.0,0.2430832087993621
11,5.561488175574694e-09,-0.7277912270966223,4.400091648101807,4.399790287017822,4.399988479781569,0.1246589628863503,523.7272872872418,114,4.400088787078857,4.400015354156494,-7.343292236328125e-05,523.7272872872418,114,1.0123694315552711,636.0,0.242968663573265
12,4.202326623719982e-09,0.4428188051693373,4.400148868560791,4.399862766265869,4.399966164639122,-0.0210001130507122,523.5055855856044,114,4.400015354156494,4.399939060211182,-7.62939453125e-05,523.5055855856044,114,1.0120653236905734,635.0,0.2428956776857376
13,3.6744208661086762e-09,-1.0833912991311525,4.400015354156494,4.399794578552246,4.399958986985056,0.452530278388715,523.5327327327104,114,4.4000043869018555,4.400015354156494,1.0967254638671877e-05,523.5327327327104,114,1.0117881000041962,634.0,0.242829144001007
14,1.844734927287363e-09,0.5283315140600118,4.400089740753174,4.399930477142334,4.399984840761151,-0.6886050593233222,523.200180180138,114,4.399930477142334,4.400015354156494,8.487701416015625e-05,523.200180180138,114,1.011452761789163,633.0,0.2427486628293991
15,2.017584458901089e-09,0.6234085552686174,4.400091648101807,4.3998799324035645,4.399980666344626,-0.1469575928329813,523.4139639639761,114,4.399946212768555,4.400015354156494,6.914138793945312e-05,523.4139639639761,114,1.011331876118978,632.0,0.2427196502685547
16,4.280678812125845e-09,-0.7771630521218819,4.400091171264648,4.399788856506348,4.399981051160578,0.7367617063811855,523.3755055054789,114,4.399939060211182,4.399939060211182,0.0,523.3755055054789,114,1.0109984626372657,631.0,0.2426396310329437
17,3.670585961190311e-09,0.4124962311936725,4.400161266326904,4.399864196777344,4.399998117529828,0.0309348256880346,528.2445045044878,115,4.400007724761963,4.400015354156494,7.62939453125e-06,528.2445045044878,115,1.0114175577958426,630.0,0.2427402138710022
18,2.6898431652963067e-09,0.4397419621074424,4.400091648101807,4.399868965148926,4.399982147049486,-0.4810352869190439,523.2816216215724,114,4.400077819824219,4.400091648101807,1.3828277587890623e-05,523.2816216215724,114,1.010607493420442,629.0,0.242545798420906
19,2.3029881089533806e-09,-0.3187020464113321,4.400091648101807,4.399863243103027,4.399987689308499,0.039637811441521,528.0870270270389,115,4.400015354156494,4.400091648101807,7.62939453125e-05,528.0870270270389,115,1.010351193447908,628.0,0.2424842864274978
20,4.288059623714995e-09,0.4540309559376921,4.400167465209961,4.399867057800293,4.399981941188778,-0.4357831047806515,530.2968968969071,111,4.40009069442749,4.400091648101807,9.5367431640625e-07,530.2968968969071,111,1.013792554537455,627.0,0.2433102130889892
21,1.375235361465157e-09,-0.4882161429044397,4.400091171264648,4.399939060211182,4.400028140144011,0.1074831382185621,519.4725925925886,113,4.400015354156494,4.399939060211182,-7.62939453125e-05,519.4725925925886,113,1.0132172455390296,626.0,0.243172138929367
22,3.427676196112522e-09,0.5967225682740188,4.400167942047119,4.399868965148926,4.399987705966883,-0.1833350865608207,524.0055455456022,114,4.400016784667969,4.400167942047119,0.0001511573791503,524.0055455456022,114,1.0129570960998535,625.0,0.2431097030639648
23,4.3314760524215535e-09,0.2170159209192692,4.400163650512695,4.3997931480407715,4.399983976568494,1.23868405747276,513.8922222221736,112,4.400015354156494,4.399862766265869,-0.000152587890625,513.8922222221736,112,1.012667641043663,624.0,0.2430402338504791
24,5.094449234990037e-09,-0.4948417498933085,4.40009069442749,4.399787902832031,4.399986258650248,-0.6785843484029308,518.8952152151614,113,4.40009069442749,4.399939060211182,-0.0001516342163085,518.8952152151614,113,1.0119570419192314,623.0,0.2428696900606155
25,4.7163957650166876e-09,-0.6474024574222629,4.400084495544434,4.399790287017822,4.3999591337896025,-0.0594750725928023,518.6485685685184,113,4.399925231933594,4.400015354156494,9.012222290039062e-05,518.6485685685184,113,1.0116133218010268,622.0,0.2427871972322464
26,6.2091669263103445e-09,-0.5761501416922521,4.400088787078857,4.39971923828125,4.399967118313438,0.2742869585313721,523.2341141140787,114,4.400003433227539,4.399939060211182,-6.437301635742188e-05,523.2341141140787,114,1.0112926363945007,621.0,0.2427102327346801
27,4.383546390680889e-09,-0.2679744619871841,4.400091648101807,4.399796485900879,4.399987818901999,0.0382801082374841,523.2409009009134,114,4.400005340576172,4.400015354156494,1.0013580322265623e-05,523.2409009009134,114,1.0108884423971176,620.0,0.2426132261753082
28,2.920602823430786e-09,-0.6146307532117481,4.400015354156494,4.399786949157715,4.399954503042656,-0.2774170269060918,523.3178178177914,114,4.399786949157715,4.399939060211182,0.0001521110534667,523.3178178177914,114,1.0106926783919334,619.0,0.242566242814064
29,2.95461398568663e-09,0.0314541468369833,4.400162696838379,4.399862766265869,4.400017880556876,-0.0161395302075759,523.2940640640445,114,4.399939060211182,4.399862766265869,-7.62939453125e-05,523.2940640640445,114,1.0103490203619003,618.0,0.242483764886856
30,3.436626214916538e-09,0.4189773876889947,4.400152683258057,4.399862766265869,4.399971915964494,1.0604989927951034,523.032772772829,114,4.400008201599121,4.400015354156494,7.152557373046875e-06,523.032772772829,114,1.0101886466145515,617.0,0.2424452751874923
31,4.483285860275333e-09,0.2934629919453644,4.400158405303955,4.399789333343506,4.399945945070501,0.9399654494173482,522.8472672672942,114,4.400002956390381,4.400015354156494,1.239776611328125e-05,522.8472672672942,114,1.010565459728241,616.0,0.2425357103347778
32,3.160551911682254e-09,-0.2621868395484682,4.400091648101807,4.399862766265869,4.399985363608913,-0.2836549021317553,523.0961161160376,114,4.39995002746582,4.399862766265869,-8.726119995117188e-05,523.0961161160376,114,1.0099492967128754,615.0,0.2423878312110901
