cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,1.218501966867327e-09,-0.570476595998587,4.400015354156494,4.399865627288818,4.399977414838729,-0.3254516953099351,580.1820120120246,124,4.399939060211182,4.400015354156494,7.62939453125e-05,580.1820120120246,124,1.015570697685083,743.0,0.2437369674444198
2,1.8571007617157831e-09,0.5055064603359047,4.400089263916016,4.399871349334717,4.399974561506702,-0.0251451230470074,579.2179579579679,124,4.400015354156494,4.400015354156494,0.0,579.2179579579679,124,1.0147878900170326,742.0,0.2435490936040878
3,3.937200476883834e-09,-0.8070865948501471,4.400091648101807,4.399792194366455,4.3999922429361655,1.1110299878611851,578.9236936937086,124,4.399939060211182,4.400015354156494,7.62939453125e-05,578.9236936937086,124,1.0145814468463263,741.0,0.2434995472431183
4,2.163195328315255e-09,0.5283828857825917,4.4001545906066895,4.399939060211182,4.40001390038467,0.4137605344635675,573.5111311311193,123,4.400021076202393,4.400091648101807,7.05718994140625e-05,573.5111311311193,123,1.0140734414259591,740.0,0.2433776259422302
5,1.8395857101527374e-09,0.2181135494989824,4.400091648101807,4.399939060211182,4.400008573370465,-0.5982440152600383,568.7371171170962,118,4.399965763092041,4.400015354156494,4.9591064453125e-05,568.7371171170962,118,1.0188812389969826,739.0,0.2445314973592758
6,3.924954030048065e-09,0.6941778808949497,4.400222301483154,4.399871349334717,4.400013519545733,1.1233015533739912,548.7077477477724,118,4.400041580200195,4.399939060211182,-0.0001025199890136,548.7077477477724,118,1.016666740179062,738.0,0.2440000176429748
7,2.784101759528469e-09,-0.2342374237377392,4.400091648101807,4.399864196777344,4.4000128177033755,-0.4327311488203427,553.0632832832634,119,4.400069713592529,4.400091648101807,2.193450927734375e-05,553.0632832832634,119,1.0148896525303523,737.0,0.2435735166072845
8,2.2055552071273055e-09,-1.1999741701311937,4.400086402893066,4.399862766265869,4.399986819426219,1.1293271037398798,557.4465065065306,120,4.40001106262207,4.400015354156494,4.291534423828125e-06,557.4465065065306,120,1.013891833523909,736.0,0.2433340400457382
9,3.196689876018016e-09,-0.5437614283254913,4.400091171264648,4.399868488311768,4.400003170967102,-0.4844789123391426,557.0403103103163,120,4.400022029876709,4.400015354156494,-6.67572021484375e-06,557.0403103103163,120,1.0131272797783215,735.0,0.2431505471467971
10,3.335348704418348e-09,0.1576012517403985,4.400090217590332,4.399862766265869,4.399953124936947,-0.9255292779853744,561.7705705705448,121,4.400007247924805,4.399939060211182,-6.818771362304688e-05,561.7705705705448,121,1.012563022474448,734.0,0.2430151253938675
