cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
2,0.0004843177217978,-3.5858033263139206,4.1864986,4.0923872,4.1702542933333335,13.506142622427245,1680.1260798017065,15,4.1864986,4.0923872,-0.0941114,1680.1260798017065,15,0.9514780716551182,431.0,3.330173250792914
3,0.00048383534573,-3.5936639342241654,4.18642,4.0924659,4.1703409,13.54597148269986,1680.1280844961077,15,4.18642,4.0924659,-0.0939541000000003,1680.1280844961077,15,0.9504088206986294,430.0,3.326430872445203
4,0.0004813890520702,-3.5965578160425395,4.186656,4.092899299999999,4.17059552,13.56209169165868,1680.1220844956115,15,4.186656,4.092899299999999,-0.093756700000001,1680.1220844956115,15,0.9496765315930366,429.0,3.323867860575628
5,0.0004767323736098,-3.59685725842542,4.1865773,4.0932927,4.1706138866666675,13.563518210529915,1680.1260844958017,15,4.1865773,4.0932927,-0.0932845999999996,1680.1260844958017,15,0.9488291073304198,428.0,3.320901875656469
6,0.0004801926284349,-3.6015836146986873,4.1863804,4.092899299999999,4.170527326666666,13.586053184479557,1680.1300844961952,15,4.1863804,4.092899299999999,-0.0934811000000008,1680.1300844961952,15,0.9476008996487474,427.0,3.316603148770616
7,0.0004802851197683,-3.602965835016396,4.1864986,4.0929384,4.170582446666667,13.593617538160595,1680.1241752504866,15,4.1864986,4.0929384,-0.0935601999999997,1680.1241752504866,15,0.9466727912518994,426.0,3.313354769381648
8,0.0004766527401326,-3.600702019262724,4.1865382,4.0932927,4.170629713333333,13.58268259292892,1680.1061752487294,15,4.1865382,4.0932927,-0.0932455,1680.1061752487294,15,0.9457520692287092,425.0,3.310132242300482
9,0.0004806381097566,-3.600292257933228,4.1864986,4.0928597,4.1705168666666665,13.580468698295029,1680.1061752489911,15,4.1864986,4.0928597,-0.0936389000000001,1680.1061752489911,15,0.9450331393417504,424.0,3.307615987696126
10,0.0004772468713906,-3.6014470756249377,4.1862626,4.0930171,4.1704065733333335,13.586266003958611,1680.1121752492036,15,4.1862626,4.0930171,-0.0932455,1680.1121752492036,15,0.944105883672264,423.0,3.304370592852925
11,0.0004806271300074,-3.603379551749228,4.1866169,4.0929384,4.17061398,13.597464482977248,1680.1041752482124,15,4.1866169,4.0929384,-0.0936784999999993,1680.1041752482124,15,0.9430694759292068,422.0,3.300743165752224
12,0.0004796375736711,-3.6033623867825337,4.1863804,4.092978,4.170571939999999,13.59542527387945,1680.1101752491086,15,4.1863804,4.092978,-0.0934024000000004,1680.1101752491086,15,0.9421256756531344,421.0,3.297439864785971
13,0.0004805872332541,-3.605859796418291,4.1864595,4.092899299999999,4.170585113333334,13.608586818840324,1680.102175248292,15,4.1864595,4.092899299999999,-0.0935602000000006,1680.102175248292,15,0.9412390100769236,420.0,3.2943365352692324
14,0.0004850519987763,-3.6022182264799416,4.1863413000000005,4.0922689,4.1702937066666665,13.590778226292043,1680.1121752494655,15,4.1863413000000005,4.0922689,-0.0940724000000008,1680.1121752494655,15,0.9402379619583952,419.0,3.2908328668543834
15,0.0004820102167809,-3.6016885925392574,4.1861048,4.0922689,4.170046833333334,13.589628981663015,1680.108175249101,15,4.1861048,4.0922689,-0.0938359000000002,1680.108175249101,15,0.9395052810586404,418.0,3.288268483705241
16,0.0004834505891226,-3.6018518131600943,4.186026099999999,4.0921903,4.170083686666667,13.58843233550423,1680.1061752485402,15,4.186026099999999,4.0921903,-0.093835799999999,1680.1061752485402,15,0.9387406278228084,417.0,3.285592197379829
17,0.0004850025782192,-3.599327723982924,4.1862626,4.0921512,4.170154506666666,13.575752296153922,1680.1061752484238,15,4.1862626,4.0921512,-0.0941114,1680.1061752484238,15,0.9376720421452592,416.0,3.281852147508407
18,0.0004841347591297,-3.5997217341256373,4.1861048,4.0921903,4.17012564,13.57706627004016,1680.108175248868,15,4.1861048,4.0921903,-0.0939144999999994,1680.108175248868,15,0.9368012167041018,415.0,3.278804258464356
19,0.0004857041282963,-3.6026078604563465,4.1862626,4.0921512,4.170230693333334,13.592683544930708,1680.1061752494425,15,4.1862626,4.0921512,-0.0941114,1680.1061752494425,15,0.9360103383794868,414.0,3.2760361843282033
20,0.0004889424210766,-3.60613430784936,4.1861444,4.091757299999999,4.1701177666666664,13.610717680088616,1680.114175249124,15,4.1861444,4.091757299999999,-0.0943871000000005,1680.114175249124,15,0.9353489961834622,413.0,3.273721486642118
21,0.0004900094580978,-3.601855308238534,4.1861048,4.0915208,4.169941873333333,13.589817584576473,1680.1101752496909,15,4.1861048,4.0915208,-0.0945840000000002,1680.1101752496909,15,0.9342527235675924,412.0,3.269884532486573
22,0.0004900340389063,-3.6021111388696423,4.186026099999999,4.0915604,4.169983926666666,13.58978279230904,1680.1041752491728,15,4.186026099999999,4.0915604,-0.0944656999999997,1680.1041752491728,15,0.9336326772329951,411.0,3.267714370315483
23,0.0004942973765112,-3.5936075766882265,4.1860657,4.0909305,4.169645346666666,13.548935873529189,1680.1101752493996,15,4.1860657,4.0909305,-0.0951352000000005,1680.1101752493996,15,0.9323763350080994,410.0,3.263317172528348
24,0.0004970160659574,-3.5944203351936688,4.1861444,4.0908122,4.16974768,13.552548479137762,1680.1161752497428,15,4.1861444,4.0908122,-0.0953321999999996,1680.1161752497428,15,0.931526241397956,409.0,3.260341844892846
25,0.000495967161096,-3.5945307163699693,4.1858292,4.0907335,4.16958492,13.55135588009034,1680.1081752488972,15,4.1858292,4.0907335,-0.0950956999999999,1680.1081752488972,15,0.9305709796697508,408.0,3.256998428844128
27,0.0005027034379835,-3.582605183656626,4.1861835,4.0902214,4.169534973333333,13.491750430967876,1680.112175249611,15,4.1861835,4.0902214,-0.0959621000000003,1680.112175249611,15,0.929238283724423,406.0,3.25233399303548
28,0.0004997226949811,-3.58686826392328,4.1859078,4.0903001,4.16940374,13.5130984846908,1680.120175250806,15,4.1859078,4.0903001,-0.0956076999999995,1680.120175250806,15,0.9282683714739114,405.0,3.24893930015869
