cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,1.8500000000001175e-05,-0.8994604943734786,4.201,4.191,4.197333333333334,-1.4377543566726652,786.9809999999707,9,4.2,4.191,-0.0090000000000003,786.9809999999707,9,0.9702941176470588,193.0,3.299
2,2.098214285714349e-05,-0.6779709367821927,4.201,4.191,4.197125,-1.971581276595943,677.1509999999544,8,4.2,4.191,-0.0090000000000003,677.1509999999544,8,0.9702941176470588,192.0,3.299
3,2.0982142857143487e-05,-0.6779709367821932,4.201,4.191,4.197125,-1.9715812765959413,736.5530000000144,8,4.2,4.191,-0.0090000000000003,736.5530000000144,8,0.9697058823529412,191.0,3.297
4,2.0785714285715036e-05,-0.7612826079615415,4.2,4.19,4.19675,-1.7855244978218732,700.4089999999851,8,4.2,4.19,-0.0099999999999997,700.4089999999851,8,0.9688235294117648,190.0,3.294
5,2.0785714285715036e-05,-0.7612826079615415,4.2,4.19,4.19675,-1.7855244978218732,750.1419999999925,8,4.2,4.19,-0.0099999999999997,750.1419999999925,8,0.9691176470588236,189.0,3.295
6,1.936111111111183e-05,-0.9671041121606196,4.2,4.19,4.197111111111111,-1.2448596053186725,810.3949999999604,9,4.2,4.19,-0.0099999999999997,810.3949999999604,9,0.9688235294117648,188.0,3.294
7,2.0194444444444657e-05,-0.9417962713587144,4.201,4.19,4.197222222222222,-1.261881832136894,793.1349999999511,9,4.201,4.19,-0.0109999999999992,793.1349999999511,9,0.9694117647058824,187.0,3.296
8,2.000000000000118e-05,-0.689986690200043,4.201,4.191,4.197,-1.9617142857142535,744.6499999999651,8,4.2,4.191,-0.0090000000000003,744.6499999999651,8,0.9694117647058824,186.0,3.296
9,2.183928571428583e-05,-0.7346833584086009,4.201,4.19,4.196875,-1.793260677569117,757.2210000000196,8,4.2,4.19,-0.0099999999999997,757.2210000000196,8,0.9691176470588236,185.0,3.295
10,2.2527777777776666e-05,-0.9242533571470888,4.201,4.19,4.197555555555556,-1.3144635578218469,785.765999999945,9,4.201,4.19,-0.0109999999999992,785.765999999945,9,0.9688235294117648,184.0,3.294
11,2.177777777777707e-05,-0.9220767388591272,4.201,4.19,4.197444444444445,-1.29925217171383,788.387999999919,9,4.2,4.19,-0.0099999999999997,788.387999999919,9,0.9688235294117648,183.0,3.294
12,2.2527777777776666e-05,-0.9242533571463668,4.201,4.19,4.197555555555555,-1.3144635578230006,786.7820000000065,9,4.201,4.19,-0.0109999999999992,786.7820000000065,9,0.968529411764706,182.0,3.293
