cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,2.3944444444444328e-05,-0.946718221664939,4.2,4.189,4.196777777777779,-1.3301977118049115,835.3650000000198,9,4.2,4.189,-0.0110000000000001,835.3650000000198,9,0.8858823529411765,163.0,3.012
2,2.3944444444444328e-05,-0.946718221664939,4.2,4.189,4.196777777777779,-1.3301977118049115,808.55799999999,9,4.2,4.189,-0.0110000000000001,808.55799999999,9,0.8805882352941178,162.0,2.994
3,2.3944444444444328e-05,-0.946718221664939,4.2,4.189,4.196777777777779,-1.3301977118049115,808.55799999999,9,4.2,4.189,-0.0110000000000001,808.55799999999,9,0.8805882352941178,161.0,2.994
4,2.3944444444444328e-05,-0.946718221664939,4.2,4.189,4.196777777777779,-1.3301977118049115,808.55799999999,9,4.2,4.189,-0.0110000000000001,808.55799999999,9,0.8805882352941178,160.0,2.994
5,2.3555555555555895e-05,-1.0715095878779637,4.2,4.189,4.197,-1.05090779636897,937.7220000000088,10,4.2,4.189,-0.0110000000000001,937.7220000000088,10,0.8805882352941178,159.0,2.994
6,2.3555555555555895e-05,-1.0715095878779637,4.2,4.189,4.197,-1.05090779636897,937.7220000000088,10,4.2,4.189,-0.0110000000000001,937.7220000000088,10,0.8805882352941178,158.0,2.994
7,2.3555555555555895e-05,-1.0715095878779637,4.2,4.189,4.197,-1.05090779636897,937.7220000000088,10,4.2,4.189,-0.0110000000000001,937.7220000000088,10,0.8805882352941178,157.0,2.994
8,2.3555555555555895e-05,-1.0715095878779637,4.2,4.189,4.197,-1.05090779636897,937.7220000000088,10,4.2,4.189,-0.0110000000000001,937.7220000000088,10,0.8805882352941178,156.0,2.994
9,2.3944444444444328e-05,-0.946718221664939,4.2,4.189,4.196777777777779,-1.3301977118049115,881.5569999999716,9,4.2,4.189,-0.0110000000000001,881.5569999999716,9,0.8770588235294119,155.0,2.982
10,2.3944444444444328e-05,-0.946718221664939,4.2,4.189,4.196777777777779,-1.3301977118049115,881.5569999999716,9,4.2,4.189,-0.0110000000000001,881.5569999999716,9,0.8770588235294119,154.0,2.982
11,2.3944444444444328e-05,-0.946718221664939,4.2,4.189,4.196777777777779,-1.3301977118049115,881.5569999999716,9,4.2,4.189,-0.0110000000000001,881.5569999999716,9,0.8770588235294119,153.0,2.982
12,2.3944444444444328e-05,-0.946718221664939,4.2,4.189,4.196777777777779,-1.3301977118049115,881.5569999999716,9,4.2,4.189,-0.0110000000000001,881.5569999999716,9,0.8770588235294119,152.0,2.982
13,2.3944444444444328e-05,-0.946718221664939,4.2,4.189,4.196777777777779,-1.3301977118049115,881.5569999999716,9,4.2,4.189,-0.0110000000000001,881.5569999999716,9,0.8770588235294119,151.0,2.982
14,2.3944444444444328e-05,-0.946718221664939,4.2,4.189,4.196777777777779,-1.3301977118049115,881.5569999999716,9,4.2,4.189,-0.0110000000000001,881.5569999999716,9,0.8770588235294119,150.0,2.982
15,2.521111111111198e-05,-1.0784442416671909,4.2,4.189,4.1969,-1.0262567057747138,932.9479999999749,10,4.2,4.189,-0.0110000000000001,932.9479999999749,10,0.8711764705882353,149.0,2.962
16,2.3944444444444328e-05,-0.946718221664939,4.2,4.189,4.196777777777779,-1.3301977118049115,823.9770000000135,9,4.2,4.189,-0.0110000000000001,823.9770000000135,9,0.8708823529411764,148.0,2.961
17,2.7066666666668204e-05,-1.1064079598234415,4.2,4.188,4.1968000000000005,-0.8941614695812912,969.5069999999832,10,4.2,4.188,-0.0120000000000004,969.5069999999832,10,0.8720588235294118,147.0,2.965
18,2.9027777777779426e-05,-0.9314577471921056,4.2,4.188,4.196444444444444,-1.3944971170859963,896.2970000000205,9,4.2,4.188,-0.0120000000000004,896.2970000000205,9,0.873235294117647,146.0,2.969
19,2.9027777777779426e-05,-0.9314577471921056,4.2,4.188,4.196444444444444,-1.3944971170859963,896.2970000000205,9,4.2,4.188,-0.0120000000000004,896.2970000000205,9,0.873235294117647,145.0,2.969
20,2.9027777777779426e-05,-0.9314577471921056,4.2,4.188,4.196444444444444,-1.3944971170859963,896.2970000000205,9,4.2,4.188,-0.0120000000000004,896.2970000000205,9,0.873235294117647,144.0,2.969
21,2.7066666666668204e-05,-1.1064079598234415,4.2,4.188,4.1968000000000005,-0.8941614695812912,954.1000000000932,10,4.2,4.188,-0.0120000000000004,954.1000000000932,10,0.866764705882353,143.0,2.947
22,2.7066666666668204e-05,-1.1064079598234415,4.2,4.188,4.1968000000000005,-0.8941614695812912,954.1000000000932,10,4.2,4.188,-0.0120000000000004,954.1000000000932,10,0.866764705882353,142.0,2.947
