cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,2.0785714285715036e-05,-0.7612826079615415,4.2,4.19,4.19675,-1.7855244978218732,730.3030000000144,8,4.2,4.19,-0.0099999999999997,730.3030000000144,8,0.9691176470588236,190.0,3.295
2,1.8982142857144624e-05,-0.7166405346839921,4.2,4.191,4.196875,-1.9645636296213844,718.7170000000042,8,4.2,4.191,-0.0090000000000003,718.7170000000042,8,0.9697058823529412,189.0,3.297
3,2.198214285714301e-05,-0.6939200794457118,4.2,4.19,4.196625,-2.0378774430649003,686.8230000000331,8,4.2,4.19,-0.0099999999999997,686.8230000000331,8,0.9688235294117648,188.0,3.294
4,2.198214285714301e-05,-0.6939200794457118,4.2,4.19,4.196625,-2.0378774430649003,757.8090000000084,8,4.2,4.19,-0.0099999999999997,757.8090000000084,8,0.968529411764706,187.0,3.293
5,2.371428571428493e-05,-0.7026438083805194,4.2,4.19,4.1965,-2.015967484395338,705.8499999999767,8,4.2,4.19,-0.0099999999999997,705.8499999999767,8,0.9676470588235294,186.0,3.29
6,2.2111111111110383e-05,-0.9120293579439528,4.2,4.19,4.196888888888889,-1.4826898310649117,790.4170000000158,9,4.2,4.19,-0.0099999999999997,790.4170000000158,9,0.9676470588235294,185.0,3.29
7,2.2111111111110383e-05,-0.9120293579439528,4.2,4.19,4.196888888888889,-1.4826898310649117,787.369000000006,9,4.2,4.19,-0.0099999999999997,787.369000000006,9,0.9676470588235294,184.0,3.29
8,2.198214285714301e-05,-0.6939200794457118,4.2,4.19,4.196625,-2.0378774430649003,750.7320000000182,8,4.2,4.19,-0.0099999999999997,750.7320000000182,8,0.968529411764706,183.0,3.293
9,2.198214285714301e-05,-0.6939200794457118,4.2,4.19,4.196625,-2.0378774430649003,758.2929999999469,8,4.2,4.19,-0.0099999999999997,758.2929999999469,8,0.9682352941176472,182.0,3.292
10,2.198214285714301e-05,-0.6939200794457118,4.2,4.19,4.196625,-2.0378774430649003,777.3859999999986,8,4.2,4.19,-0.0099999999999997,777.3859999999986,8,0.9679411764705882,181.0,3.291
11,2.198214285714301e-05,-0.6939200794457118,4.2,4.19,4.196625,-2.0378774430649003,777.3859999999986,8,4.2,4.19,-0.0099999999999997,777.3859999999986,8,0.9679411764705882,180.0,3.291
12,2.0500000000000143e-05,-0.9038454869322992,4.2,4.19,4.196999999999999,-1.50692614940224,783.920999999973,9,4.2,4.19,-0.0099999999999997,783.920999999973,9,0.9676470588235294,179.0,3.29
13,2.198214285714301e-05,-0.6939200794457118,4.2,4.19,4.196625,-2.0378774430649003,700.4370000000345,8,4.2,4.19,-0.0099999999999997,700.4370000000345,8,0.9676470588235294,178.0,3.29
14,2.2111111111110383e-05,-0.9120293579439528,4.2,4.19,4.196888888888889,-1.4826898310649117,814.2129999999888,9,4.2,4.19,-0.0099999999999997,814.2129999999888,9,0.9676470588235294,177.0,3.29
15,2.0500000000000143e-05,-0.9038454869322992,4.2,4.19,4.196999999999999,-1.50692614940224,780.4790000000503,9,4.2,4.19,-0.0099999999999997,780.4790000000503,9,0.9676470588235294,176.0,3.29
16,2.371428571428493e-05,-0.7026438083805194,4.2,4.19,4.1965,-2.015967484395338,724.3519999999553,8,4.2,4.19,-0.0099999999999997,724.3519999999553,8,0.9664705882352942,175.0,3.286
17,2.3944444444444328e-05,-0.946718221664939,4.2,4.189,4.196777777777779,-1.3301977118049115,856.3649999999907,9,4.2,4.189,-0.0110000000000001,856.3649999999907,9,0.9658823529411764,174.0,3.284
18,2.3944444444444328e-05,-0.946718221664939,4.2,4.189,4.196777777777779,-1.3301977118049115,848.1439999999711,9,4.2,4.189,-0.0110000000000001,848.1439999999711,9,0.9658823529411764,173.0,3.284
19,2.232222222222211e-05,-1.121072741016748,4.2,4.189,4.1971,-0.827532945944847,903.4590000000316,10,4.2,4.189,-0.0110000000000001,903.4590000000316,10,0.9658823529411764,172.0,3.284
20,2.3944444444444328e-05,-0.946718221664939,4.2,4.189,4.196777777777779,-1.3301977118049115,811.5569999999134,9,4.2,4.189,-0.0110000000000001,811.5569999999134,9,0.965,171.0,3.281
21,2.3944444444444328e-05,-0.946718221664939,4.2,4.189,4.196777777777779,-1.3301977118049115,830.5690000000177,9,4.2,4.189,-0.0110000000000001,830.5690000000177,9,0.9647058823529412,170.0,3.28
22,2.5250000000000363e-05,-0.8951112489020677,4.2,4.189,4.196666666666667,-1.545674793787284,813.0749999999534,9,4.2,4.189,-0.0110000000000001,813.0749999999534,9,0.9644117647058824,169.0,3.279
23,2.7071428571428955e-05,-0.6846032734250385,4.2,4.189,4.196250000000001,-2.075619078117656,755.1939999999013,8,4.2,4.189,-0.0110000000000001,755.1939999999013,8,0.9641176470588236,168.0,3.278
24,2.702777777777871e-05,-0.9023362507169242,4.2,4.189,4.196555555555555,-1.522563931781741,791.9189999999944,9,4.2,4.189,-0.0110000000000001,791.9189999999944,9,0.9641176470588236,167.0,3.278
25,2.8982142857143847e-05,-0.6923087462279763,4.2,4.189,4.196125,-2.0543595245333757,739.5380000000587,8,4.2,4.189,-0.0110000000000001,739.5380000000587,8,0.963529411764706,166.0,3.276
26,2.9027777777779426e-05,-0.9314577471921056,4.2,4.188,4.196444444444444,-1.3944971170859963,829.5189999999711,9,4.2,4.188,-0.0120000000000004,829.5189999999711,9,0.963529411764706,165.0,3.276
27,2.702777777777871e-05,-0.9023362507169242,4.2,4.189,4.196555555555555,-1.522563931781741,831.7469999999739,9,4.2,4.189,-0.0110000000000001,831.7469999999739,9,0.9632352941176472,164.0,3.275
28,2.702777777777871e-05,-0.9023362507169242,4.2,4.189,4.196555555555555,-1.522563931781741,796.7600000000093,9,4.2,4.189,-0.0110000000000001,796.7600000000093,9,0.963529411764706,163.0,3.276
29,2.9027777777779426e-05,-0.9314577471921056,4.2,4.188,4.196444444444444,-1.3944971170859963,800.265000000014,9,4.2,4.188,-0.0120000000000004,800.265000000014,9,0.9629411764705884,162.0,3.274
30,2.9027777777779426e-05,-0.9314577471921056,4.2,4.188,4.196444444444444,-1.3944971170859963,785.216999999946,9,4.2,4.188,-0.0120000000000004,785.216999999946,9,0.9626470588235296,161.0,3.273
31,2.9027777777779426e-05,-0.9314577471921056,4.2,4.188,4.196444444444444,-1.3944971170859963,818.7920000001322,9,4.2,4.188,-0.0120000000000004,818.7920000001322,9,0.9626470588235296,160.0,3.273
32,2.7066666666668204e-05,-1.1064079598234415,4.2,4.188,4.1968000000000005,-0.8941614695812912,918.9290000000036,10,4.2,4.188,-0.0120000000000004,918.9290000000036,10,0.9623529411764704,159.0,3.272
33,2.9027777777779426e-05,-0.9314577471921056,4.2,4.188,4.196444444444444,-1.3944971170859963,865.3570000000764,9,4.2,4.188,-0.0120000000000004,865.3570000000764,9,0.961764705882353,158.0,3.27
34,3.478571428571595e-05,-0.6844694823468959,4.2,4.188,4.19575,-2.0837461894258293,748.7160000000149,8,4.2,4.188,-0.0120000000000004,748.7160000000149,8,0.9611764705882352,157.0,3.268
35,3.478571428571595e-05,-0.6844694823468959,4.2,4.188,4.19575,-2.0837461894258293,748.7160000000149,8,4.2,4.188,-0.0120000000000004,748.7160000000149,8,0.9611764705882352,156.0,3.268
36,2.7066666666668204e-05,-1.1064079598234415,4.2,4.188,4.1968000000000005,-0.8941614695812912,955.7730000000448,10,4.2,4.188,-0.0120000000000004,955.7730000000448,10,0.8864705882352941,155.0,3.014
37,3.2444444444445984e-05,-0.8949868545380827,4.2,4.188,4.1962222222222225,-1.5530386296005338,868.3479999999981,9,4.2,4.188,-0.0120000000000004,868.3479999999981,9,0.8879411764705883,154.0,3.019
38,3.2444444444445984e-05,-0.8949868545380827,4.2,4.188,4.1962222222222225,-1.5530386296005338,868.3479999999981,9,4.2,4.188,-0.0120000000000004,868.3479999999981,9,0.8879411764705883,153.0,3.019
39,3.461111111111148e-05,-0.9197549573813908,4.2,4.187,4.196111111111112,-1.444066276933369,812.6450000000186,9,4.2,4.187,-0.0129999999999999,812.6450000000186,9,0.8870588235294118,152.0,3.016
40,3.461111111111148e-05,-0.9197549573813908,4.2,4.187,4.196111111111112,-1.444066276933369,844.599000000162,9,4.2,4.187,-0.0129999999999999,844.599000000162,9,0.8858823529411765,151.0,3.012
41,3.2277777777778126e-05,-1.0951670166551772,4.2,4.187,4.1965,-0.9454824461354244,910.027000000002,10,4.2,4.187,-0.0129999999999999,910.027000000002,10,0.8855882352941177,150.0,3.011
42,3.2277777777778126e-05,-1.0951670166551772,4.2,4.187,4.1965,-0.9454824461354244,944.2160000000148,10,4.2,4.187,-0.0129999999999999,944.2160000000148,10,0.886764705882353,149.0,3.015
43,3.2277777777778126e-05,-1.0951670166551772,4.2,4.187,4.1965,-0.9454824461354244,955.0139999999664,10,4.2,4.187,-0.0129999999999999,955.0139999999664,10,0.8861764705882353,148.0,3.013
44,3.2277777777778126e-05,-1.0951670166551772,4.2,4.187,4.1965,-0.9454824461354244,955.0139999999664,10,4.2,4.187,-0.0129999999999999,955.0139999999664,10,0.8861764705882353,147.0,3.013
45,3.2277777777778126e-05,-1.0951670166551772,4.2,4.187,4.1965,-0.9454824461354244,937.5570000000298,10,4.2,4.187,-0.0129999999999999,937.5570000000298,10,0.8844117647058825,146.0,3.007
46,3.6749999999999226e-05,-0.9305895634165412,4.2,4.187,4.196,-1.4072707800326048,842.9930000000168,9,4.2,4.187,-0.0129999999999999,842.9930000000168,9,0.8832352941176471,145.0,3.003
47,3.016363636363668e-05,-1.2478782936460693,4.2,4.187,4.196818181818181,-0.4751858549335432,1029.1009999997914,11,4.2,4.187,-0.0129999999999999,1029.1009999997914,11,0.8814705882352941,144.0,2.997
48,3.6749999999999226e-05,-0.9305895634165412,4.2,4.187,4.196,-1.4072707800326048,837.3829999999143,9,4.2,4.187,-0.0129999999999999,837.3829999999143,9,0.8835294117647059,143.0,3.004
49,3.2277777777778126e-05,-1.0951670166551772,4.2,4.187,4.1965,-0.9454824461354244,1017.969000000041,10,4.2,4.187,-0.0129999999999999,1017.969000000041,10,0.8823529411764706,142.0,3.0
50,3.645555555555559e-05,-1.1310859905008326,4.2,4.186,4.1963,-0.7883159075079313,966.7939999999944,10,4.2,4.186,-0.0140000000000002,966.7939999999944,10,0.8829411764705882,141.0,3.002
51,3.795555555555607e-05,-1.0863697847179838,4.2,4.186,4.196199999999999,-0.9858072495334111,951.686999999918,10,4.2,4.186,-0.0140000000000002,951.686999999918,10,0.8814705882352941,140.0,2.997
52,4.0694444444445006e-05,-0.910593138382314,4.2,4.186,4.195777777777779,-1.4830411536527457,842.2110000001267,9,4.2,4.186,-0.0140000000000002,842.2110000001267,9,0.8814705882352941,139.0,2.997
53,4.0694444444445006e-05,-0.910593138382314,4.2,4.186,4.195777777777779,-1.4830411536527457,842.2110000001267,9,4.2,4.186,-0.0140000000000002,842.2110000001267,9,0.8814705882352941,138.0,2.997
54,3.795555555555607e-05,-1.0863697847179838,4.2,4.186,4.196199999999999,-0.9858072495334111,917.8800000001212,10,4.2,4.186,-0.0140000000000002,917.8800000001212,10,0.8814705882352941,137.0,2.997
55,3.795555555555607e-05,-1.0863697847179838,4.2,4.186,4.196199999999999,-0.9858072495334111,963.6939999999012,10,4.2,4.186,-0.0140000000000002,963.6939999999012,10,0.8797058823529412,136.0,2.991
56,3.795555555555607e-05,-1.0863697847179838,4.2,4.186,4.196199999999999,-0.9858072495334111,954.9310000000988,10,4.2,4.186,-0.0140000000000002,954.9310000000988,10,0.8785294117647059,135.0,2.987
57,3.795555555555607e-05,-1.0863697847179838,4.2,4.186,4.196199999999999,-0.9858072495334111,954.9310000000988,10,4.2,4.186,-0.0140000000000002,954.9310000000988,10,0.8785294117647059,134.0,2.987
58,3.795555555555607e-05,-1.0863697847179838,4.2,4.186,4.196199999999999,-0.9858072495334111,927.8319999999368,10,4.2,4.186,-0.0140000000000002,927.8319999999368,10,0.8770588235294119,133.0,2.982
59,3.795555555555607e-05,-1.0863697847179838,4.2,4.186,4.196199999999999,-0.9858072495334111,927.8319999999368,10,4.2,4.186,-0.0140000000000002,927.8319999999368,10,0.8770588235294119,132.0,2.982
60,3.795555555555607e-05,-1.0863697847179838,4.2,4.186,4.196199999999999,-0.9858072495334111,927.8319999999368,10,4.2,4.186,-0.0140000000000002,927.8319999999368,10,0.8770588235294119,131.0,2.982
61,3.094444444444535e-05,-1.6984218511447713,4.2,4.186,4.197222222222222,1.2602651418691364,887.2709999999497,9,4.2,4.186,-0.0140000000000002,887.2709999999497,9,0.8764705882352941,130.0,2.98
62,4.244444444444654e-05,-1.1180504052437326,4.2,4.185,4.196,-0.8460705572767169,928.7659999998286,10,4.2,4.185,-0.0150000000000005,928.7659999998286,10,0.8758823529411766,129.0,2.978
63,4.244444444444654e-05,-1.1180504052437326,4.2,4.185,4.196,-0.8460705572767169,928.7659999998286,10,4.2,4.185,-0.0150000000000005,928.7659999998286,10,0.8758823529411766,128.0,2.978
