cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,1.4785714285714518e-05,-0.736217464729388,4.2,4.192,4.19725,-1.8937198067630543,713.6140000000014,8,4.2,4.192,-0.008,713.6140000000014,8,0.9708823529411764,223.0,3.301
2,1.4785714285714518e-05,-0.736217464729388,4.2,4.192,4.19725,-1.8937198067630543,719.1270000000077,8,4.2,4.192,-0.008,719.1270000000077,8,0.9708823529411764,222.0,3.301
3,1.4785714285714518e-05,-0.736217464729388,4.2,4.192,4.19725,-1.8937198067630543,725.6460000000079,8,4.2,4.192,-0.008,725.6460000000079,8,0.9705882352941176,221.0,3.3
4,1.757142857142944e-05,-0.5368555394151037,4.2,4.191,4.196714285714285,-2.25523167426859,614.1469999999972,7,4.2,4.191,-0.0090000000000003,614.1469999999972,7,0.9702941176470588,220.0,3.299
5,1.861904761904893e-05,-0.4438235542141377,4.2,4.191,4.196571428571429,-2.5519888017478136,625.4349999999977,7,4.2,4.191,-0.0090000000000003,625.4349999999977,7,0.97,219.0,3.298
6,1.861904761904893e-05,-0.4438235542141377,4.2,4.191,4.196571428571429,-2.5519888017478136,645.4409999999916,7,4.2,4.191,-0.0090000000000003,645.4409999999916,7,0.97,218.0,3.298
7,1.7428571428572666e-05,-0.7068247931514063,4.2,4.191,4.197,-1.985622144584844,691.658000000054,8,4.2,4.191,-0.0090000000000003,691.658000000054,8,0.9697058823529412,217.0,3.297
8,1.7428571428572666e-05,-0.7068247931514063,4.2,4.191,4.197,-1.985622144584844,701.0160000000033,8,4.2,4.191,-0.0090000000000003,701.0160000000033,8,0.9694117647058824,216.0,3.296
9,1.7428571428572666e-05,-0.7068247931514063,4.2,4.191,4.197,-1.985622144584844,730.3649999999907,8,4.2,4.191,-0.0090000000000003,730.3649999999907,8,0.9694117647058824,215.0,3.296
10,1.7428571428572666e-05,-0.7068247931514063,4.2,4.191,4.197,-1.985622144584844,727.9959999999846,8,4.2,4.191,-0.0090000000000003,727.9959999999846,8,0.9694117647058824,214.0,3.296
11,2.0285714285716163e-05,-0.4546852915730716,4.2,4.191,4.196428571428571,-2.5356080142831616,641.1780000000144,7,4.2,4.191,-0.0090000000000003,641.1780000000144,7,0.9688235294117648,213.0,3.294
12,2.0285714285716163e-05,-0.4546852915730716,4.2,4.191,4.196428571428571,-2.5356080142831616,659.8020000000251,7,4.2,4.191,-0.0090000000000003,659.8020000000251,7,0.9691176470588236,212.0,3.295
13,1.7428571428572666e-05,-0.7068247931514063,4.2,4.191,4.197,-1.985622144584844,665.3979999999865,8,4.2,4.191,-0.0090000000000003,665.3979999999865,8,0.9688235294117648,211.0,3.294
14,1.7428571428572666e-05,-0.7068247931514063,4.2,4.191,4.197,-1.985622144584844,708.908000000054,8,4.2,4.191,-0.0090000000000003,708.908000000054,8,0.968529411764706,210.0,3.293
15,2.0785714285715036e-05,-0.7612826079615415,4.2,4.19,4.19675,-1.7855244978218732,724.7800000000279,8,4.2,4.19,-0.0099999999999997,724.7800000000279,8,0.9679411764705882,209.0,3.291
16,1.8982142857144624e-05,-0.7166405346839921,4.2,4.191,4.196875,-1.9645636296213844,770.8549999999814,8,4.2,4.191,-0.0090000000000003,770.8549999999814,8,0.9679411764705882,208.0,3.291
17,2.2238095238096004e-05,-0.5040310662956345,4.2,4.19,4.196285714285715,-2.3619210505802797,643.3350000000792,7,4.2,4.19,-0.0099999999999997,643.3350000000792,7,0.9679411764705882,207.0,3.291
18,1.8982142857144624e-05,-0.7166405346839921,4.2,4.191,4.196875,-1.9645636296213844,754.0219999999972,8,4.2,4.191,-0.0090000000000003,754.0219999999972,8,0.968529411764706,206.0,3.293
19,2.2238095238096004e-05,-0.5040310662956345,4.2,4.19,4.196285714285715,-2.3619210505802797,648.2419999999693,7,4.2,4.19,-0.0099999999999997,648.2419999999693,7,0.9679411764705882,205.0,3.291
20,1.8982142857144624e-05,-0.7166405346839921,4.2,4.191,4.196875,-1.9645636296213844,666.01800000004,8,4.2,4.191,-0.0090000000000003,666.01800000004,8,0.9679411764705882,204.0,3.291
