cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,1.3410714285715218e-05,-0.7253990926547488,4.2,4.192,4.197375,-1.9104505133857397,680.5650000000023,8,4.2,4.192,-0.008,680.5650000000023,8,0.9217647058823528,258.0,3.134
2,1.580952380952405e-05,-0.4763378091354848,4.2,4.192,4.196857142857143,-2.4685440557414706,656.3399999999965,7,4.2,4.192,-0.008,656.3399999999965,7,0.9211764705882354,257.0,3.132
3,1.4785714285714518e-05,-0.736217464729388,4.2,4.192,4.19725,-1.8937198067630543,701.3479999999981,8,4.2,4.192,-0.008,701.3479999999981,8,0.9188235294117648,256.0,3.124
4,1.580952380952405e-05,-0.4763378091354848,4.2,4.192,4.196857142857143,-2.4685440557414706,652.0020000000077,7,4.2,4.192,-0.008,652.0020000000077,7,0.9170588235294116,255.0,3.118
5,1.580952380952405e-05,-0.4763378091354848,4.2,4.192,4.196857142857143,-2.4685440557414706,650.7839999999851,7,4.2,4.192,-0.008,650.7839999999851,7,0.918529411764706,254.0,3.123
6,1.4785714285714518e-05,-0.736217464729388,4.2,4.192,4.19725,-1.8937198067630543,704.6279999999679,8,4.2,4.192,-0.008,704.6279999999679,8,0.9194117647058824,253.0,3.126
7,1.4785714285714518e-05,-0.736217464729388,4.2,4.192,4.19725,-1.8937198067630543,719.1299999999464,8,4.2,4.192,-0.008,719.1299999999464,8,0.918235294117647,252.0,3.122
8,1.4785714285714518e-05,-0.736217464729388,4.2,4.192,4.19725,-1.8937198067630543,716.2400000000489,8,4.2,4.192,-0.008,716.2400000000489,8,0.9176470588235296,251.0,3.12
9,1.4785714285714518e-05,-0.736217464729388,4.2,4.192,4.19725,-1.8937198067630543,717.1469999999972,8,4.2,4.192,-0.008,717.1469999999972,8,0.9202941176470588,250.0,3.129
10,1.6410714285715096e-05,-0.7910538445173892,4.2,4.191,4.197125,-1.6736458349371808,718.6979999999749,8,4.2,4.191,-0.0090000000000003,718.6979999999749,8,0.9167647058823528,249.0,3.117
11,1.580952380952405e-05,-0.4763378091354848,4.2,4.192,4.196857142857143,-2.4685440557414706,636.2980000000098,7,4.2,4.192,-0.008,636.2980000000098,7,0.9170588235294116,248.0,3.118
12,1.757142857142944e-05,-0.5368555394151037,4.2,4.191,4.196714285714285,-2.25523167426859,630.1199999999953,7,4.2,4.191,-0.0090000000000003,630.1199999999953,7,0.9167647058823528,247.0,3.117
13,1.861904761904893e-05,-0.4438235542141377,4.2,4.191,4.196571428571429,-2.5519888017478136,630.2880000000005,7,4.2,4.191,-0.0090000000000003,630.2880000000005,7,0.9167647058823528,246.0,3.117
14,1.7428571428572666e-05,-0.7068247931514063,4.2,4.191,4.197,-1.985622144584844,690.4020000000019,8,4.2,4.191,-0.0090000000000003,690.4020000000019,8,0.913235294117647,245.0,3.105
15,2.40111111111118e-05,0.3402540995616405,4.208,4.192,4.198300000000001,0.5193134652901827,695.1429999999818,10,4.2,4.192,-0.008,695.1429999999818,10,0.9170588235294116,244.0,3.118
