cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,1.4333333333334322e-05,-0.4643866640805553,4.2,4.192,4.197,-2.478853434288928,618.1809999999823,7,4.2,4.192,-0.008,618.1809999999823,7,0.9629411764705884,190.0,3.274
2,1.4333333333334322e-05,-0.4643866640805553,4.2,4.192,4.197,-2.478853434288928,624.7869999999821,7,4.2,4.192,-0.008,624.7869999999821,7,0.9632352941176472,189.0,3.275
3,1.4333333333334322e-05,-0.4643866640805553,4.2,4.192,4.197,-2.478853434288928,624.7869999999821,7,4.2,4.192,-0.008,624.7869999999821,7,0.9632352941176472,188.0,3.275
4,1.3410714285715218e-05,-0.7253990926547488,4.2,4.192,4.197375,-1.9104505133857397,677.8329999999842,8,4.2,4.192,-0.008,677.8329999999842,8,0.9629411764705884,187.0,3.274
5,1.3410714285715218e-05,-0.7253990926547488,4.2,4.192,4.197375,-1.9104505133857397,677.8329999999842,8,4.2,4.192,-0.008,677.8329999999842,8,0.9629411764705884,186.0,3.274
6,1.3410714285715218e-05,-0.7253990926547488,4.2,4.192,4.197375,-1.9104505133857397,673.0329999999958,8,4.2,4.192,-0.008,673.0329999999958,8,0.9623529411764704,185.0,3.272
7,1.3410714285715218e-05,-0.7253990926547488,4.2,4.192,4.197375,-1.9104505133857397,673.0329999999958,8,4.2,4.192,-0.008,673.0329999999958,8,0.9623529411764704,184.0,3.272
8,1.3410714285715218e-05,-0.7253990926547488,4.2,4.192,4.197375,-1.9104505133857397,739.054999999993,8,4.2,4.192,-0.008,739.054999999993,8,0.9623529411764704,183.0,3.272
9,1.3410714285715218e-05,-0.7253990926547488,4.2,4.192,4.197375,-1.9104505133857397,739.054999999993,8,4.2,4.192,-0.008,739.054999999993,8,0.9623529411764704,182.0,3.272
10,1.4333333333334322e-05,-0.4643866640805553,4.2,4.192,4.197,-2.478853434288928,620.2749999999651,7,4.2,4.192,-0.008,620.2749999999651,7,0.961764705882353,181.0,3.27
11,1.4333333333334322e-05,-0.4643866640805553,4.2,4.192,4.197,-2.478853434288928,620.2749999999651,7,4.2,4.192,-0.008,620.2749999999651,7,0.961764705882353,180.0,3.27
12,1.3410714285715218e-05,-0.7253990926547488,4.2,4.192,4.197375,-1.9104505133857397,697.8340000000317,8,4.2,4.192,-0.008,697.8340000000317,8,0.961764705882353,179.0,3.27
13,1.4785714285714518e-05,-0.736217464729388,4.2,4.192,4.19725,-1.8937198067630543,671.1259999999893,8,4.2,4.192,-0.008,671.1259999999893,8,0.9614705882352942,178.0,3.269
