cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,2.915789473684307e-05,0.7755327426798054,4.198,4.183,4.189,-0.9960851522508696,2223.966000000015,20,4.197,4.183,-0.0140000000000002,2223.966000000015,20,0.983529411764706,308.0,3.344
2,2.9923976608189183e-05,0.972493065417524,4.198,4.183,4.188578947368421,-0.5091160513299742,2111.4160000000265,19,4.198,4.183,-0.0150000000000005,2111.4160000000265,19,0.9829411764705884,307.0,3.342
3,3.1355263157897024e-05,0.7680225565297465,4.198,4.183,4.189249999999999,-0.974295479044923,2205.661000000022,20,4.198,4.183,-0.0150000000000005,2205.661000000022,20,0.9829411764705884,306.0,3.342
4,3.241052631579158e-05,0.7806951701201628,4.198,4.183,4.189099999999999,-0.9965126413972456,2270.219999999972,20,4.198,4.183,-0.0150000000000005,2270.219999999972,20,0.9823529411764704,305.0,3.34
5,3.227368421052798e-05,0.757227575752624,4.198,4.183,4.188799999999999,-1.0356379369153117,2237.1719999999623,20,4.198,4.183,-0.0150000000000005,2237.1719999999623,20,0.981764705882353,304.0,3.338
6,2.9590643274855725e-05,0.9999349836399368,4.198,4.183,4.188578947368421,-0.4503018360006297,2143.0259999999544,19,4.198,4.183,-0.0150000000000005,2143.0259999999544,19,0.981764705882353,303.0,3.338
7,2.973421052631695e-05,0.750838964013893,4.198,4.183,4.18895,-1.005560884770353,2169.8150000000023,20,4.198,4.183,-0.0150000000000005,2169.8150000000023,20,0.98,302.0,3.332
8,3.134761904761972e-05,0.6154310390712692,4.197,4.183,4.18895238095238,-1.3497586504482983,2298.2669999999925,21,4.197,4.183,-0.0140000000000002,2298.2669999999925,21,0.98,301.0,3.332
9,2.9526315789474236e-05,0.7982411531681642,4.197,4.183,4.1884999999999994,-1.011653458889522,2186.168000000005,20,4.197,4.183,-0.0140000000000002,2186.168000000005,20,0.9802941176470588,300.0,3.333
10,3.3661904761905765e-05,0.6425643316713231,4.198,4.183,4.188809523809523,-1.343456436981012,2295.377999999968,21,4.197,4.183,-0.0140000000000002,2295.377999999968,21,0.9802941176470588,299.0,3.333
11,3.278684210526324e-05,0.7842119808423472,4.197,4.182,4.18805,-1.0085545038178725,2241.648999999976,20,4.197,4.182,-0.0149999999999996,2241.648999999976,20,0.9794117647058824,298.0,3.33
12,1.742857142857165e-05,-0.7068247931513567,4.197,4.188,4.194,-1.9856221445847584,762.9479999999749,8,4.197,4.188,-0.0090000000000003,762.9479999999749,8,0.9782352941176472,297.0,3.326
13,1.9357142857143796e-05,-0.6659330724790281,4.198,4.188,4.19425,-1.99123650277066,729.0990000000456,8,4.198,4.188,-0.0100000000000006,729.0990000000456,8,0.978529411764706,296.0,3.327
14,1.998214285714504e-05,-0.7446893806380724,4.198,4.188,4.194625,-1.764980701363362,758.5390000001062,8,4.198,4.188,-0.0100000000000006,758.5390000001062,8,0.9782352941176472,295.0,3.326
15,2.0267857142858404e-05,-0.6659815077255747,4.198,4.188,4.194375,-2.007414543266998,683.9180000000633,8,4.197,4.188,-0.0090000000000003,683.9180000000633,8,0.976470588235294,294.0,3.32
16,1.7444444444446054e-05,-0.9371711342831178,4.198,4.188,4.1947777777777775,-1.2046301501660674,780.5190000000875,9,4.198,4.188,-0.0100000000000006,780.5190000000875,9,0.976470588235294,293.0,3.32
17,2.0267857142858404e-05,-0.6659815077255749,4.198,4.188,4.194375,-2.0074145432669983,747.1589999999851,8,4.198,4.188,-0.0100000000000006,747.1589999999851,8,0.9770588235294118,292.0,3.322
18,1.919444444444572e-05,-0.8744028382370245,4.198,4.188,4.1947777777777775,-1.4991567353321091,802.7960000000894,9,4.198,4.188,-0.0100000000000006,802.7960000000894,9,0.976470588235294,291.0,3.32
19,2.1839285714285895e-05,-0.7346833584084381,4.198,4.187,4.193875,-1.7932606775691051,767.8530000000028,8,4.197,4.187,-0.0099999999999997,767.8530000000028,8,0.9741176470588236,290.0,3.312
20,1.769444444444516e-05,-0.9251637944223436,4.197,4.188,4.194222222222223,-1.4291974004905228,794.5249999999069,9,4.197,4.188,-0.0090000000000003,794.5249999999069,9,0.975,289.0,3.315
21,1.9194444444445717e-05,-0.8744028382370242,4.198,4.188,4.1947777777777775,-1.4991567353321087,858.5540000000037,9,4.197,4.188,-0.0090000000000003,858.5540000000037,9,0.9752941176470588,288.0,3.316
22,2.1928571428573324e-05,-0.677509534726363,4.198,4.188,4.19425,-1.9869070228859351,702.6180000000168,8,4.198,4.188,-0.0100000000000006,702.6180000000168,8,0.975,287.0,3.315
23,1.986111111111261e-05,-0.8861167915694425,4.198,4.188,4.194888888888889,-1.5060128682502485,825.3319999999367,9,4.198,4.188,-0.0100000000000006,825.3319999999367,9,0.9729411764705882,286.0,3.308
24,2.211111111111345e-05,-0.9120293579441544,4.198,4.188,4.194888888888889,-1.4826898310644945,899.2139999999199,9,4.198,4.188,-0.0100000000000006,899.2139999999199,9,0.973529411764706,285.0,3.31
25,2.283928571428793e-05,-0.6863097393303944,4.198,4.188,4.194375,-2.00281078662301,750.3560000000289,8,4.198,4.188,-0.0100000000000006,750.3560000000289,8,0.9738235294117648,284.0,3.311
26,1.9277777777779107e-05,-0.8856170368902558,4.198,4.188,4.194444444444445,-1.4505061913973734,829.3520000000717,9,4.198,4.188,-0.0100000000000006,829.3520000000717,9,0.9738235294117648,283.0,3.311
27,2.0500000000000143e-05,-0.9038454869322992,4.197,4.187,4.193999999999999,-1.50692614940224,870.5669999999227,9,4.197,4.187,-0.0099999999999997,870.5669999999227,9,0.971470588235294,282.0,3.303
28,2.1361111111111584e-05,-0.8822633228202492,4.198,4.187,4.194111111111111,-1.512320610543617,866.2759999999544,9,4.197,4.187,-0.0099999999999997,866.2759999999544,9,0.9717647058823528,281.0,3.304
29,2.0500000000000143e-05,-0.9038454869322992,4.197,4.187,4.193999999999999,-1.50692614940224,874.377000000095,9,4.197,4.187,-0.0099999999999997,874.377000000095,9,0.972058823529412,280.0,3.305
30,1.872222222222229e-05,-1.1161238756683345,4.198,4.187,4.1945,-0.7629899004136553,922.363000000012,10,4.198,4.187,-0.0110000000000001,922.363000000012,10,0.9717647058823528,279.0,3.304
31,1.872222222222229e-05,-1.1161238756683345,4.198,4.187,4.1945,-0.7629899004136553,922.363000000012,10,4.198,4.187,-0.0110000000000001,922.363000000012,10,0.9717647058823528,278.0,3.304
32,1.872222222222229e-05,-1.1161238756683345,4.198,4.187,4.1945,-0.7629899004136553,922.363000000012,10,4.198,4.187,-0.0110000000000001,922.363000000012,10,0.9717647058823528,277.0,3.304
33,1.872222222222229e-05,-1.1161238756683345,4.198,4.187,4.1945,-0.7629899004136553,922.363000000012,10,4.198,4.187,-0.0110000000000001,922.363000000012,10,0.9717647058823528,276.0,3.304
34,1.872222222222229e-05,-1.1161238756683345,4.198,4.187,4.1945,-0.7629899004136553,922.363000000012,10,4.198,4.187,-0.0110000000000001,922.363000000012,10,0.9717647058823528,275.0,3.304
35,2.525000000000184e-05,-0.8951112489014571,4.198,4.187,4.1946666666666665,-1.5456747937882525,877.5059999999357,9,4.198,4.187,-0.0110000000000001,877.5059999999357,9,0.968529411764706,274.0,3.293
36,2.0500000000000664e-05,-1.045957137212578,4.198,4.187,4.1945,-1.0364578907120232,913.1030000000028,10,4.197,4.187,-0.0099999999999997,913.1030000000028,10,0.9688235294117648,273.0,3.294
