cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,1.861904761904893e-05,-0.4438235542141377,4.2,4.191,4.196571428571429,-2.5519888017478136,631.3559999999998,7,4.2,4.191,-0.0090000000000003,631.3559999999998,7,0.975,210.0,3.315
2,1.861904761904893e-05,-0.4438235542141377,4.2,4.191,4.196571428571429,-2.5519888017478136,652.8110000000161,7,4.2,4.191,-0.0090000000000003,652.8110000000161,7,0.9752941176470588,209.0,3.316
3,1.861904761904893e-05,-0.4438235542141377,4.2,4.191,4.196571428571429,-2.5519888017478136,645.381000000023,7,4.2,4.191,-0.0090000000000003,645.381000000023,7,0.9747058823529412,208.0,3.314
4,1.7428571428572666e-05,-0.7068247931514063,4.2,4.191,4.197,-1.985622144584844,685.3789999999572,8,4.2,4.191,-0.0090000000000003,685.3789999999572,8,0.9747058823529412,207.0,3.314
5,1.7428571428572666e-05,-0.7068247931514063,4.2,4.191,4.197,-1.985622144584844,698.8660000000382,8,4.2,4.191,-0.0090000000000003,698.8660000000382,8,0.9744117647058824,206.0,3.313
6,1.7428571428572666e-05,-0.7068247931514063,4.2,4.191,4.197,-1.985622144584844,722.2530000000261,8,4.2,4.191,-0.0090000000000003,722.2530000000261,8,0.9747058823529412,205.0,3.314
7,1.7428571428572666e-05,-0.7068247931514063,4.2,4.191,4.197,-1.985622144584844,738.8159999999916,8,4.2,4.191,-0.0090000000000003,738.8159999999916,8,0.9741176470588236,204.0,3.312
8,1.861904761904893e-05,-0.4438235542141377,4.2,4.191,4.196571428571429,-2.5519888017478136,645.5910000000149,7,4.2,4.191,-0.0090000000000003,645.5910000000149,7,0.9738235294117648,203.0,3.311
9,1.8982142857144624e-05,-0.7166405346839921,4.2,4.191,4.196875,-1.9645636296213844,679.4899999999907,8,4.2,4.191,-0.0090000000000003,679.4899999999907,8,0.9738235294117648,202.0,3.311
10,1.8982142857144624e-05,-0.7166405346839921,4.2,4.191,4.196875,-1.9645636296213844,669.9810000000289,8,4.2,4.191,-0.0090000000000003,669.9810000000289,8,0.9738235294117648,201.0,3.311
