cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,5.274994500684485e-06,0.5411963629459625,4.1965,4.1872,4.190402341137124,-0.6059281102488585,300.0599999999981,299,4.1965,4.1872,-0.0093000000000005,300.0599999999981,299,0.9005,224.0,1.801
2,4.803352842809187e-06,0.5960518131391525,4.1965,4.1875,4.190565,-0.5211768142143605,299.9999999999982,300,4.1965,4.1875,-0.0090000000000003,299.9999999999982,300,0.906,223.0,1.812
3,4.7302046822741175e-06,0.596771800491246,4.1965,4.1875,4.190636,-0.5120924584534503,299.9999999999982,300,4.1965,4.1875,-0.0090000000000003,299.9999999999982,300,0.909,222.0,1.818
4,4.658703567446946e-06,0.6053118254110488,4.1966,4.1877,4.190724333333335,-0.4974365624030272,300.0,300,4.1966,4.1877,-0.0088999999999996,300.0,300,0.9115,221.0,1.823
5,4.56823578595313e-06,0.6149011942881969,4.1966,4.1878,4.190815,-0.4883976356272397,300.0600000000013,300,4.1966,4.1878,-0.0087999999999999,300.0600000000013,300,0.9145,220.0,1.829
6,4.459363898117312e-06,0.6204193875209492,4.1966,4.188,4.190898338870433,-0.4853597082089469,300.0,301,4.1966,4.188,-0.0086000000000003,300.0,301,0.9175,219.0,1.835
7,4.375703901895109e-06,0.6427246979126343,4.1968,4.1881,4.191014666666667,-0.4337622607049916,300.06000000000495,300,4.1968,4.1881,-0.0086999999999992,300.06000000000495,300,0.9205,218.0,1.841
8,4.310641638981132e-06,0.6362274263429628,4.1968,4.1881,4.191049833887044,-0.4594195085825237,300.0599999999977,301,4.1968,4.1881,-0.0086999999999992,300.0599999999977,301,0.923,217.0,1.846
9,4.254188963210603e-06,0.6497693713844311,4.1968,4.1881,4.191095000000001,-0.4455357620352664,300.0599999999977,300,4.1968,4.1881,-0.0086999999999992,300.0599999999977,300,0.925,216.0,1.85
10,4.218171237458216e-06,0.6578145536644892,4.1968,4.1881,4.191134,-0.4333086696210397,300.0,300,4.1968,4.1881,-0.0086999999999992,300.0,300,0.9275,215.0,1.855
