cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,3.5297164430314426e-06,0.5806089047671482,4.1969,4.1891,4.191910580204778,-0.5579900734738645,299.99999999999227,293,4.1969,4.1891,-0.0078000000000004,299.99999999999227,293,0.9415,797.0,1.883
2,3.3911957080742542e-06,0.5893256479961705,4.1969,4.1895,4.192001706484642,-0.5439063437903568,299.9999999999909,293,4.1969,4.1895,-0.0074000000000005,299.9999999999909,293,0.919,796.0,1.838
3,3.304258497358437e-06,0.603776007658099,4.1971,4.1895,4.1920924914675775,-0.493994149341884,299.9999999999927,293,4.1971,4.1895,-0.0076,299.9999999999927,293,0.908,795.0,1.816
4,3.26211230071529e-06,0.6014412601789707,4.1969,4.1897,4.1921228668941986,-0.5184185197229132,299.9999999999927,293,4.1969,4.1897,-0.0072,299.9999999999927,293,0.9125,794.0,1.825
5,3.178341670952381e-06,0.5967516871690876,4.1971,4.1898,4.192212286689419,-0.5056995460849865,299.9999999999927,293,4.1971,4.1898,-0.0072999999999998,299.9999999999927,293,0.9275,793.0,1.855
6,3.1384417589561646e-06,0.6085658021395425,4.1971,4.1898,4.192287414965986,-0.4820959878974844,299.9999999999927,294,4.1971,4.1898,-0.0072999999999998,299.9999999999927,294,0.946,792.0,1.892
7,3.194801533498536e-06,0.6107662501743434,4.1971,4.1898,4.1922559726962465,-0.4756518711508652,300.0599999999904,293,4.1971,4.1898,-0.0072999999999998,300.0599999999904,293,0.9575,791.0,1.915
8,3.1612312403571795e-06,0.608168870593577,4.1971,4.1898,4.192256655290103,-0.4754586218912262,299.9999999999927,293,4.1971,4.1898,-0.0072999999999998,299.9999999999927,293,0.935,790.0,1.87
9,3.1402438169152777e-06,0.6128875283812062,4.1971,4.1898,4.192279863481229,-0.482138908542677,300.0599999999977,293,4.1971,4.1898,-0.0072999999999998,300.0599999999977,293,0.922,789.0,1.844
10,3.2671057552947423e-06,0.6235841129407589,4.1971,4.1897,4.192071672354949,-0.4677269422437837,299.9999999999927,293,4.1971,4.1897,-0.0073999999999996,299.9999999999927,293,0.921,788.0,1.842
11,3.2758212165131685e-06,0.6248532509652772,4.1971,4.1897,4.192085665529011,-0.4808476424435826,300.0,293,4.1971,4.1897,-0.0073999999999996,300.0,293,0.935,787.0,1.87
