cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,2.5917239341034523e-06,-0.3860339861864313,4.2004,4.196,4.198916198347108,-1.5536444388988564,609.3600000000661,605,4.2004,4.1961,-0.0042999999999997,609.3600000000661,605,0.9095,306.0,1.819
2,2.258184192596121e-06,-0.4947941790266794,4.2005,4.1961,4.199092857142857,-1.4319312301827525,633.1800000000294,630,4.2004,4.1963,-0.0041000000000002,633.1800000000294,630,0.894,305.0,1.788
3,2.2787812743462753e-06,-0.4196951188408602,4.2005,4.1958,4.199033166666667,-1.4758431237799676,602.2800000000207,600,4.2004,4.1961,-0.0042999999999997,602.2800000000207,600,0.9115,304.0,1.823
4,2.2516386443781674e-06,-0.4767162733984667,4.2005,4.196,4.199079672131147,-1.3985942282615964,612.0000000000218,610,4.2004,4.1961,-0.0042999999999997,612.0000000000218,610,0.9415,303.0,1.883
5,2.378601264019685e-06,-0.4971597392896282,4.2028,4.1958,4.199053492333901,-1.2426347575899284,595.0800000000454,587,4.2005,4.1969,-0.0035999999999996,595.0800000000454,587,0.908,302.0,1.816
6,2.270666772179282e-06,-0.4585026817617517,4.2026,4.1961,4.199070677966102,-1.3287933700183714,596.3400000000474,590,4.2003,4.1965,-0.0038,596.3400000000474,590,0.9235,301.0,1.847
7,2.1866176137124256e-06,-0.3577084927452778,4.2029,4.1961,4.199093867120953,-1.3968273213445734,596.8200000000506,587,4.2004,4.1963,-0.0041000000000002,596.8200000000506,587,0.9145,300.0,1.829
8,2.1069494204427096e-06,-0.4010978041215911,4.2005,4.1965,4.199076923076923,-1.4911938080707487,587.4000000000233,585,4.2005,4.1966,-0.0038999999999997,587.4000000000233,585,0.9525,299.0,1.905
9,2.1649893089594124e-06,-0.3687692606209079,4.2026,4.1963,4.199082876712329,-1.3879701396062047,585.0600000000122,584,4.2005,4.1969,-0.0035999999999996,585.0600000000122,584,0.928,298.0,1.856
10,2.088372081670659e-06,-0.373136021551614,4.2026,4.196,4.199080802792321,-1.4108525899744762,576.2400000000343,573,4.2005,4.1975,-0.0030000000000001,576.2400000000343,573,0.9485,297.0,1.897
11,2.2110466292987046e-06,-0.3449691041647077,4.2026,4.1958,4.199071130434783,-1.242917753213745,577.7400000000198,575,4.2003,4.198,-0.0022999999999999,577.7400000000198,575,0.921,296.0,1.842
12,2.0409692074711297e-06,-0.3589348360532876,4.2006,4.1963,4.199068253968253,-1.5039837809040388,572.460000000021,567,4.2004,4.1965,-0.0038999999999997,572.460000000021,567,0.915,295.0,1.83
13,2.6611182120163e-06,-0.148752189204802,4.2028,4.1958,4.199118890814558,-0.9120028941035488,580.0800000000163,577,4.2004,4.1968,-0.0036000000000004,580.0800000000163,577,0.9645,294.0,1.929
14,2.0973371530432256e-06,-0.3241564538788141,4.2005,4.1963,4.199017468805705,-1.5480384447472206,563.0400000000081,561,4.2004,4.1969,-0.0034999999999998,563.0400000000081,561,0.907,293.0,1.814
15,1.915706105386171e-06,-0.3129456902712467,4.2005,4.1966,4.199054856115108,-1.5454400498893652,558.0600000000268,556,4.2004,4.1966,-0.0038,558.0600000000268,556,0.9085,292.0,1.817
16,1.977581360896671e-06,-0.2619608528979243,4.2005,4.1965,4.199001289134438,-1.5734055773109812,544.320000000007,543,4.2004,4.1965,-0.0038999999999997,544.320000000007,543,0.957,291.0,1.914
17,1.99006789163282e-06,-0.3088406136328862,4.2005,4.1966,4.199032913669065,-1.544634290719162,558.7799999999988,556,4.2004,4.1966,-0.0038,558.7799999999988,556,0.9285,290.0,1.857
18,1.9640337017635823e-06,-0.3257582771426058,4.2005,4.1966,4.1990469642857144,-1.541117197406186,561.5400000000373,560,4.2004,4.1966,-0.0038,561.5400000000373,560,0.924,289.0,1.848
19,1.9914808411990673e-06,-0.280260722829479,4.2005,4.1966,4.199010181818182,-1.5781032492685678,551.460000000021,550,4.2004,4.1966,-0.0038,551.460000000021,550,0.941,288.0,1.882
20,1.8859925568618585e-06,-0.3406833518764261,4.2005,4.1966,4.199111964285715,-1.5331092016730024,564.5400000000664,560,4.2004,4.1966,-0.0038,564.5400000000664,560,0.9,287.0,1.8
21,4.513206585698809e-06,0.5661510961770948,4.1978,4.1894,4.192362671232877,-0.574133055408538,300.0000000000582,292,4.1978,4.1895,-0.0083000000000001,300.0000000000582,292,0.9405,286.0,1.881
22,3.544987054559123e-06,0.6127078586778979,4.1978,4.1901,4.192994520547945,-0.5491005500526889,299.9999999999709,292,4.1978,4.1906,-0.0072,299.9999999999709,292,0.9335,285.0,1.867
23,3.511873558348668e-06,0.6220014495723327,4.1978,4.1901,4.193036301369863,-0.534203460901117,300.0599999999977,292,4.1978,4.1901,-0.0076999999999998,300.0599999999977,292,0.9425,284.0,1.885
24,3.5544926564045104e-06,0.5839944476680158,4.1978,4.1901,4.193025684931507,-0.560045448068037,300.0,292,4.1978,4.1905,-0.0072999999999998,300.0,292,0.9095,283.0,1.819
25,3.5556300899119924e-06,0.6442066440716092,4.1978,4.1905,4.193078767123287,-0.4686708275122035,300.0599999999977,292,4.1978,4.1906,-0.0072,300.0599999999977,292,0.942,282.0,1.884
