cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,3.5493267567441093e-06,0.5849189980014797,4.1972,4.1897,4.192229010238908,-0.5553741958357463,299.9999999999927,293,4.1972,4.1897,-0.0074999999999993,299.9999999999927,293,0.0555,1051.0,0.111
2,1.7104284912805592e-06,0.8058829766881506,4.1972,4.1915,4.193290784982935,-0.041171326201264,299.99999999999727,293,4.1972,4.1917,-0.0054999999999996,299.99999999999727,293,0.2225,1050.0,0.445
3,1.7242051989340666e-06,0.7985642916663475,4.1974,4.1917,4.193335153583618,-0.0613523420617267,299.9999999999927,293,4.1974,4.1917,-0.0057,299.9999999999927,293,0.378,1049.0,0.756
4,2.1205233219570224e-06,0.7298444785241177,4.1972,4.1911,4.193066666666666,-0.2470944929458318,300.05999999999403,294,4.1972,4.1911,-0.0060999999999999,300.05999999999403,294,0.456,1048.0,0.912
5,2.3562391883680496e-06,0.6922368883604754,4.1974,4.1908,4.192934470989761,-0.2848107555262062,299.9999999999909,293,4.1974,4.1908,-0.0065999999999997,299.9999999999909,293,0.5115,1047.0,1.023
6,2.515767918088826e-06,0.6680564258949816,4.1972,4.1906,4.192804436860069,-0.3631681890941829,299.9999999999927,293,4.1972,4.1906,-0.0065999999999997,299.9999999999927,293,0.9595,1046.0,1.919
7,3.3493181074383705e-06,0.5984788710777162,4.1974,4.1898,4.192384641638225,-0.5034200779508886,299.9999999999927,293,4.1974,4.1898,-0.0076,299.9999999999927,293,0.556,1045.0,1.112
8,2.6955495815607227e-06,0.6655391353577195,4.1974,4.1905,4.192781569965871,-0.3542615268089468,299.9999999999927,293,4.1974,4.1905,-0.0068999999999999,299.9999999999927,293,0.6005,1044.0,1.201
9,2.6716744588340637e-06,0.6567985539379776,4.1974,4.1905,4.192793856655291,-0.3787505354824341,299.9999999999927,293,4.1974,4.1905,-0.0068999999999999,299.9999999999927,293,0.6225,1043.0,1.245
10,2.6791392771986898e-06,0.6557729737748621,4.1974,4.1906,4.192791467576793,-0.379810592502189,299.99999999998545,293,4.1974,4.1906,-0.0068000000000001,299.99999999998545,293,0.645,1042.0,1.29
11,2.70646407031658e-06,0.663743574331416,4.1974,4.1905,4.1927764505119445,-0.3644275428029084,299.9999999999927,293,4.1974,4.1905,-0.0068999999999999,299.9999999999927,293,0.667,1041.0,1.334
12,2.929752442844589e-06,0.6659646862511599,4.1972,4.1901,4.192482252559727,-0.3903121069049877,300.0599999999904,293,4.1972,4.1901,-0.0070999999999994,300.0599999999904,293,0.9625,1040.0,1.925
13,3.2985002670010085e-06,0.6161544815947174,4.1974,4.19,4.192430272108844,-0.4807249058879557,299.99999999998545,294,4.1974,4.19,-0.0073999999999996,299.99999999998545,294,0.6895,1039.0,1.379
14,2.8133306633234715e-06,0.6548266437370821,4.1974,4.1905,4.192737074829932,-0.3910082425120484,299.99999999998545,294,4.1974,4.1905,-0.0068999999999999,299.99999999998545,294,0.7115,1038.0,1.423
15,2.789508137726138e-06,0.652768461857692,4.1974,4.1905,4.192737074829932,-0.3942525387012972,299.99999999998545,294,4.1974,4.1905,-0.0068999999999999,299.99999999998545,294,0.756,1037.0,1.512
16,2.899141069397142e-06,0.648310629821923,4.1975,4.1903,4.192702380952381,-0.4102295442174646,300.0599999999831,294,4.1975,4.1903,-0.0072,300.0599999999831,294,0.767,1036.0,1.534
17,2.9687224582666942e-06,0.6500782965860642,4.1974,4.1903,4.192638435374149,-0.4042404426000914,300.0599999999831,294,4.1974,4.1903,-0.0071000000000003,300.0599999999831,294,0.778,1035.0,1.556
18,2.952106986139265e-06,0.6494047958771406,4.1974,4.1903,4.192655102040815,-0.4079055373458282,300.0599999999977,294,4.1974,4.1903,-0.0071000000000003,300.0599999999977,294,0.9695,1034.0,1.939
19,3.22021267209968e-06,0.6205175832551585,4.1974,4.19,4.192527210884354,-0.4654782441246858,300.0,294,4.1974,4.1901,-0.0072999999999998,300.0,294,0.7895,1033.0,1.579
20,3.010562672401853e-06,0.6434642570419558,4.1974,4.1903,4.192655290102389,-0.4223433792526672,300.0,293,4.1974,4.1903,-0.0071000000000003,300.0,293,0.8005,1032.0,1.601
21,3.0090048623125513e-06,0.6432191846803591,4.1974,4.1903,4.192646757679181,-0.4278621153892232,299.9999999999709,293,4.1974,4.1903,-0.0071000000000003,299.9999999999709,293,0.8005,1031.0,1.601
22,3.0314355509842848e-06,0.6465288223336352,4.1975,4.1903,4.19267133105802,-0.4199941239236837,300.0,293,4.1975,4.1903,-0.0072,300.0,293,0.8005,1030.0,1.601
23,2.9503999719482917e-06,0.6496232111819987,4.1975,4.1903,4.192677133105803,-0.4124014336410257,300.0000000000291,293,4.1975,4.1903,-0.0072,300.0000000000291,293,0.9745,1029.0,1.949
24,3.1415500958437977e-06,0.6247177961705105,4.1974,4.1901,4.192586006825938,-0.4681357674151107,300.0599999999977,293,4.1974,4.1901,-0.0072999999999998,300.0599999999977,293,0.8005,1028.0,1.601
25,2.9614390574595394e-06,0.6476074797350005,4.1975,4.1903,4.192721843003413,-0.3989623131013591,299.9999999999709,293,4.1975,4.1905,-0.0069999999999996,299.9999999999709,293,0.8005,1027.0,1.601
26,2.9809974753378964e-06,0.6441913907593323,4.1974,4.1903,4.192705460750854,-0.439908991091638,300.0599999999977,293,4.1974,4.1903,-0.0071000000000003,300.0599999999977,293,0.8005,1026.0,1.601
27,2.9603805694516593e-06,0.6562639295046326,4.1975,4.1903,4.192731399317406,-0.40761436564379,300.05999999996857,293,4.1975,4.1903,-0.0072,300.05999999996857,293,0.8005,1025.0,1.601
28,2.940198466501549e-06,0.6477360105723007,4.1975,4.1903,4.19272423208191,-0.4172318379047341,299.9999999999709,293,4.1975,4.1903,-0.0072,299.9999999999709,293,0.8005,1024.0,1.601
29,2.9212328767124097e-06,0.6582267258217969,4.1975,4.1903,4.1927,-0.3881608205510991,300.0000000000291,293,4.1975,4.1903,-0.0072,300.0000000000291,293,0.979,1023.0,1.958
30,3.1161396044697062e-06,0.6302468215195632,4.1975,4.1901,4.192623890784983,-0.4427742553052822,300.0,293,4.1975,4.1901,-0.0073999999999996,300.0,293,0.8005,1022.0,1.601
31,2.9589087848895445e-06,0.6474077539324422,4.1974,4.1903,4.19268361774744,-0.4154962607119401,300.0,293,4.1974,4.1903,-0.0071000000000003,300.0,293,0.8005,1021.0,1.601
32,2.925864463041831e-06,0.6570700590586331,4.1975,4.1905,4.1927494880546075,-0.3938581592990595,300.0,293,4.1975,4.1905,-0.0069999999999996,300.0,293,0.8005,1020.0,1.601
33,2.915637944738025e-06,0.6519014245794763,4.1975,4.1905,4.192745392491468,-0.3939734140531499,300.0,293,4.1975,4.1905,-0.0069999999999996,300.0,293,0.7895,1019.0,1.579
34,2.8511190331479936e-06,0.6558263221548531,4.1974,4.1905,4.192718771331058,-0.3920128507916049,300.0,293,4.1974,4.1905,-0.0068999999999999,300.0,293,0.9825,1018.0,1.965
35,3.112161391369548e-06,0.6346361455056349,4.1974,4.1903,4.192631399317406,-0.4544339292783421,300.0599999999977,293,4.1974,4.1903,-0.0071000000000003,300.0599999999977,293,0.778,1017.0,1.556
36,2.885222310533539e-06,0.6498284372500709,4.1974,4.1905,4.19276518771331,-0.4199475933423549,300.0,293,4.1974,4.1905,-0.0068999999999999,300.0,293,0.767,1016.0,1.534
37,2.8568065360700203e-06,0.6658251144277811,4.1975,4.1905,4.1927764505119445,-0.3890191860154406,300.0,293,4.1975,4.1905,-0.0069999999999996,300.0,293,0.756,1015.0,1.512
38,2.798474917013507e-06,0.6627374193989394,4.1975,4.1905,4.192817064846416,-0.3604751279419558,300.0599999999977,293,4.1975,4.1905,-0.0069999999999996,300.0599999999977,293,0.7115,1014.0,1.423
39,2.7061103838422467e-06,0.673704381614607,4.1975,4.1906,4.192895563139932,-0.3479041516259915,300.05999999993946,293,4.1975,4.1906,-0.0068999999999999,300.05999999993946,293,0.6895,1013.0,1.379
40,2.6740822385339023e-06,0.6768063698642036,4.1975,4.1906,4.192841638225256,-0.3404819378719539,300.0,293,4.1975,4.1906,-0.0068999999999999,300.0,293,0.9855,1012.0,1.971
