strategy,dataset,dropped_cell
full,CALB,CALB_0_B182
full,CALB,CALB_0_B183
full,CALB,CALB_0_B184
full,CALB,CALB_0_B185
full,CALB,CALB_0_B187
full,CALB,CALB_0_B188
full,CALB,CALB_0_B189
full,CALB,CALB_0_B190
full,CALB,CALB_25_T25-1
full,CALB,CALB_25_T25-2
full,CALB,CALB_45_B253
full,CALB,CALB_45_B255
full,CALB,CALB_45_B256
full,MATR,MATR_b3c0
full,MATR,MATR_b3c1
full,MATR,MATR_b3c10
full,MATR,MATR_b3c11
full,MATR,MATR_b3c12
full,MATR,MATR_b3c13
full,MATR,MATR_b3c14
full,MATR,MATR_b3c15
full,MATR,MATR_b3c16
full,MATR,MATR_b3c17
full,MATR,MATR_b3c18
full,MATR,MATR_b3c19
full,MATR,MATR_b3c20
full,MATR,MATR_b3c21
full,MATR,MATR_b3c22
full,MATR,MATR_b3c24
full,MATR,MATR_b3c25
full,MATR,MATR_b3c26
full,MATR,MATR_b3c27
full,MATR,MATR_b3c28
full,MATR,MATR_b3c29
full,MATR,MATR_b3c3
full,MATR,MATR_b3c30
full,MATR,MATR_b3c31
full,MATR,MATR_b3c33
full,MATR,MATR_b3c34
full,MATR,MATR_b3c35
full,MATR,MATR_b3c36
full,MATR,MATR_b3c38
full,MATR,MATR_b3c39
full,MATR,MATR_b3c4
full,MATR,MATR_b3c40
full,MATR,MATR_b3c41
full,MATR,MATR_b3c44
full,MATR,MATR_b3c45
full,MATR,MATR_b3c5
full,MATR,MATR_b3c6
full,MATR,MATR_b3c7
full,MATR,MATR_b3c8
full,MATR,MATR_b3c9
full,MATR,MATR_b4c0
full,MATR,MATR_b4c1
full,MATR,MATR_b4c10
full,MATR,MATR_b4c11
full,MATR,MATR_b4c12
full,MATR,MATR_b4c13
full,MATR,MATR_b4c14
full,MATR,MATR_b4c15
full,MATR,MATR_b4c16
full,MATR,MATR_b4c17
full,MATR,MATR_b4c18
full,MATR,MATR_b4c19
full,MATR,MATR_b4c2
full,MATR,MATR_b4c20
full,MATR,MATR_b4c21
full,MATR,MATR_b4c22
full,MATR,MATR_b4c23
full,MATR,MATR_b4c24
full,MATR,MATR_b4c25
full,MATR,MATR_b4c26
full,MATR,MATR_b4c27
full,MATR,MATR_b4c28
full,MATR,MATR_b4c29
full,MATR,MATR_b4c3
full,MATR,MATR_b4c30
full,MATR,MATR_b4c31
full,MATR,MATR_b4c32
full,MATR,MATR_b4c33
full,MATR,MATR_b4c34
full,MATR,MATR_b4c35
full,MATR,MATR_b4c36
full,MATR,MATR_b4c37
full,MATR,MATR_b4c38
full,MATR,MATR_b4c39
full,MATR,MATR_b4c4
full,MATR,MATR_b4c40
full,MATR,MATR_b4c41
full,MATR,MATR_b4c42
full,MATR,MATR_b4c43
full,MATR,MATR_b4c44
full,MATR,MATR_b4c5
full,MATR,MATR_b4c6
full,MATR,MATR_b4c7
full,MATR,MATR_b4c8
full,MATR,MATR_b4c9
full,SNL,SNL_18650_NCA_15C_0-100_0.5-1C_a
full,SNL,SNL_18650_NCA_15C_0-100_0.5-1C_b
full,SNL,SNL_18650_NCA_15C_0-100_0.5-2C_a
full,SNL,SNL_18650_NCA_15C_0-100_0.5-2C_b
full,SNL,SNL_18650_NCA_25C_0-100_0.5-0.5C_a
full,SNL,SNL_18650_NCA_25C_0-100_0.5-1C_a
full,SNL,SNL_18650_NCA_25C_0-100_0.5-1C_b
full,SNL,SNL_18650_NCA_25C_0-100_0.5-1C_c
full,SNL,SNL_18650_NCA_25C_0-100_0.5-1C_d
full,SNL,SNL_18650_NCA_25C_0-100_0.5-2C_a
full,SNL,SNL_18650_NCA_25C_0-100_0.5-2C_b
full,SNL,SNL_18650_NCA_25C_20-80_0.5-0.5C_a
full,SNL,SNL_18650_NCA_25C_20-80_0.5-0.5C_b
full,SNL,SNL_18650_NCA_25C_20-80_0.5-0.5C_c
full,SNL,SNL_18650_NCA_25C_20-80_0.5-0.5C_d
full,SNL,SNL_18650_NCA_35C_0-100_0.5-1C_a
full,SNL,SNL_18650_NCA_35C_0-100_0.5-1C_b
full,SNL,SNL_18650_NCA_35C_0-100_0.5-1C_c
full,SNL,SNL_18650_NCA_35C_0-100_0.5-1C_d
full,SNL,SNL_18650_NCA_35C_0-100_0.5-2C_a
full,SNL,SNL_18650_NCA_35C_0-100_0.5-2C_b
full,SNL,SNL_18650_NMC_15C_0-100_0.5-1C_a
full,SNL,SNL_18650_NMC_15C_0-100_0.5-1C_b
full,SNL,SNL_18650_NMC_15C_0-100_0.5-2C_a
full,SNL,SNL_18650_NMC_15C_0-100_0.5-2C_b
fixed_300s,CALB,CALB_0_B182
fixed_300s,CALB,CALB_0_B183
fixed_300s,CALB,CALB_0_B184
fixed_300s,CALB,CALB_0_B185
fixed_300s,CALB,CALB_0_B187
fixed_300s,CALB,CALB_0_B188
fixed_300s,CALB,CALB_0_B189
fixed_300s,CALB,CALB_0_B190
fixed_300s,CALB,CALB_25_T25-1
fixed_300s,CALB,CALB_25_T25-2
fixed_300s,CALB,CALB_45_B253
fixed_300s,CALB,CALB_45_B255
fixed_300s,CALB,CALB_45_B256
fixed_300s,MATR,MATR_b1c11
fixed_300s,MATR,MATR_b1c14
fixed_300s,MATR,MATR_b1c15
fixed_300s,MATR,MATR_b1c20
fixed_300s,MATR,MATR_b1c21
fixed_300s,MATR,MATR_b1c23
fixed_300s,MATR,MATR_b1c24
fixed_300s,MATR,MATR_b1c25
fixed_300s,MATR,MATR_b1c28
fixed_300s,MATR,MATR_b1c32
fixed_300s,MATR,MATR_b1c33
fixed_300s,MATR,MATR_b1c34
fixed_300s,MATR,MATR_b1c36
fixed_300s,MATR,MATR_b1c37
fixed_300s,MATR,MATR_b1c38
fixed_300s,MATR,MATR_b1c39
fixed_300s,MATR,MATR_b1c40
fixed_300s,MATR,MATR_b1c41
fixed_300s,MATR,MATR_b1c42
fixed_300s,MATR,MATR_b1c43
fixed_300s,MATR,MATR_b1c44
fixed_300s,MATR,MATR_b1c45
fixed_300s,MATR,MATR_b1c6
fixed_300s,MATR,MATR_b1c7
fixed_300s,MATR,MATR_b2c0
fixed_300s,MATR,MATR_b2c1
fixed_300s,MATR,MATR_b2c10
fixed_300s,MATR,MATR_b2c11
fixed_300s,MATR,MATR_b2c14
fixed_300s,MATR,MATR_b2c20
fixed_300s,MATR,MATR_b2c27
fixed_300s,MATR,MATR_b2c28
fixed_300s,MATR,MATR_b2c29
fixed_300s,MATR,MATR_b2c3
fixed_300s,MATR,MATR_b2c30
fixed_300s,MATR,MATR_b2c33
fixed_300s,MATR,MATR_b2c35
fixed_300s,MATR,MATR_b2c37
fixed_300s,MATR,MATR_b2c39
fixed_300s,MATR,MATR_b2c41
fixed_300s,MATR,MATR_b2c42
fixed_300s,MATR,MATR_b2c43
fixed_300s,MATR,MATR_b2c44
fixed_300s,MATR,MATR_b2c45
fixed_300s,MATR,MATR_b2c46
fixed_300s,MATR,MATR_b2c47
fixed_300s,MATR,MATR_b2c5
fixed_300s,MATR,MATR_b2c6
fixed_300s,MATR,MATR_b3c0
fixed_300s,MATR,MATR_b3c1
