dataset,window,feature,target,n,pearson,spearman,abs_pearson,abs_spearman
CALB,full,relax_kur,RUL,1386,-0.273120837946601,-0.26888440978462386,0.273120837946601,0.26888440978462386
CALB,full,relax_max,RUL,1386,-0.5982304224524706,-0.25446884936880776,0.5982304224524706,0.25446884936880776
CALB,full,relax_mean,RUL,1386,-0.6162705352411575,-0.3343359199970821,0.6162705352411575,0.3343359199970821
CALB,full,relax_min,RUL,1386,-0.6262378833657501,-0.3787957043829165,0.6262378833657501,0.3787957043829165
CALB,full,relax_ske,RUL,1386,-0.2610241972310335,-0.22716087394721424,0.2610241972310335,0.22716087394721424
CALB,full,relax_var,RUL,1386,-0.2504711340268722,0.23517979141719036,0.2504711340268722,0.23517979141719036
CALB,full,relax_kur,SOH,1386,0.25092976797758515,0.30842048660840127,0.25092976797758515,0.30842048660840127
CALB,full,relax_max,SOH,1386,0.7205399491180464,0.2869657682846927,0.7205399491180464,0.2869657682846927
CALB,full,relax_mean,SOH,1386,0.726217850342866,0.33077743148063826,0.726217850342866,0.33077743148063826
CALB,full,relax_min,SOH,1386,0.7319048307032442,0.3656180026623099,0.7319048307032442,0.3656180026623099
CALB,full,relax_ske,SOH,1386,0.3645173436948024,0.3634386054591494,0.3645173436948024,0.3634386054591494
CALB,full,relax_var,SOH,1386,0.4860471218695126,-0.06264696988064182,0.4860471218695126,0.06264696988064182
CALB,full,relax_kur,discharge_capacity_in_Ah,1386,0.2509297679775847,0.30842048660840127,0.2509297679775847,0.30842048660840127
CALB,full,relax_max,discharge_capacity_in_Ah,1386,0.7205399491180466,0.2869657682846927,0.7205399491180466,0.2869657682846927
CALB,full,relax_mean,discharge_capacity_in_Ah,1386,0.7262178503428662,0.33077743148063826,0.7262178503428662,0.33077743148063826
CALB,full,relax_min,discharge_capacity_in_Ah,1386,0.7319048307032444,0.3656180026623099,0.7319048307032444,0.3656180026623099
CALB,full,relax_ske,discharge_capacity_in_Ah,1386,0.36451734369480204,0.3634386054591494,0.36451734369480204,0.3634386054591494
CALB,full,relax_var,discharge_capacity_in_Ah,1386,0.4860471218695128,-0.06264696988064182,0.4860471218695128,0.06264696988064182
