dataset,cells,cycles,cycles_with_any_rest,cycles_with_paper_compatible_relaxation,paper_compatible_cycle_ratio,median_selected_duration_s,median_selected_points,feature_rows,available_windows
CALB,27,2791,2790,1386,0.49659620207810823,570.0,20.0,2765,"300s,full"
CALCE,13,14298,14298,14297,0.9999300601482725,65.03020794666372,4.0,14297,full
HNEI,14,15164,14757,14754,0.9729622790820364,158.65600000042468,6.0,14754,full
HUST,77,146120,0,0,0.0,,,0,
ISU_ILCC,240,1194846,1194479,1194414,0.9996384471304252,592.0,120.0,2860353,"1800s,300s,600s,full"
MATR,169,140001,59173,57866,0.4133256191027207,210.0009999999893,60.0,57956,"300s,full"
MICH,40,19895,19887,19881,0.9992963056044232,1624.089999999851,145.0,65501,"1800s,300s,600s,full"
MICH_EXP,18,6545,0,0,0.0,,,0,
NA-ion,64,12604,1,0,0.0,,,0,
RWTH,48,105397,1,0,0.0,,,0,
SDU,86,49146,49146,49146,1.0,950.6559499995783,97.0,49146,full
SNL,61,96492,7066,2014,0.020872196658790365,600.0159999998286,11.0,2064,"300s,600s,full"
Stanford,41,39329,39329,39305,0.9993897632790053,692.182222221978,152.0,39309,"300s,600s,full"
Stanford_2,181,188621,188621,188489,0.9993001839667905,716.6366366371512,157.0,188497,"300s,600s,full"
Tongji,130,59038,59038,54364,0.9208306514448321,1680.1010013534687,15.0,54364,full
UL_PUR,10,2245,2245,2245,1.0,1205.060000000056,12.0,2245,full
XJTU,23,6938,6938,6938,1.0,300.0,293.0,11570,"300s,full"
ZN-coin,140,80052,80052,0,0.0,,,0,
