scope,n_battery_model_rows,target,metric,descriptor,spearman,model,task,abs_spearman
all,1540,RUL,mae,cycle_max,0.6564837129113992,,,0.6564837129113992
all,1540,RUL,mae,RUL_max,0.656469221761583,,,0.656469221761583
all,1540,RUL,mae,n_cycles,0.6563880453852557,,,0.6563880453852557
all,1540,RUL,mae,feature_rows,0.6563880453852557,,,0.6563880453852557
all,1540,RUL,mae,RUL_range,0.6563003836569917,,,0.6563003836569917
all,1540,RUL,mae,voltage_kurtosis__std,0.4211531903546466,,,0.4211531903546466
all,1540,RUL,mae,CV_Q__spearman_cycle,-0.409372463546155,,,0.409372463546155
all,1540,RUL,mae,CV_Q__spearman_RUL,0.409372463546155,,,0.409372463546155
all,1540,RUL,mae,voltage_std__std,0.40017629302109475,,,0.40017629302109475
all,1540,RUL,mae,CV_Q__spearman_SOH,0.3852669077775255,,,0.3852669077775255
all,1540,RUL,mae,voltage_entropy__std,0.3820880674390025,,,0.3820880674390025
all,1540,RUL,mae,voltage_skewness__spearman_SOH,-0.37992374970619425,,,0.37992374970619425
all,1540,RUL,mae,SOH_range,0.3630047096560451,,,0.3630047096560451
all,1540,RUL,mae,voltage_skewness__spearman_cycle,0.3622998486331199,,,0.3622998486331199
all,1540,RUL,mae,voltage_skewness__spearman_RUL,-0.3622998486331199,,,0.3622998486331199
all,1540,RUL,mae,current_entropy__std,0.35211430447430636,,,0.35211430447430636
all,1540,RUL,mae,current_skewness__std,0.3413211094493129,,,0.3413211094493129
all,1540,RUL,mae,current_kurtosis__std,0.33909019259631895,,,0.33909019259631895
all,1540,RUL,mae,CC_Q__mean,-0.3239551727899501,,,0.3239551727899501
all,1540,RUL,mae,voltage_slope__spearman_SOH,0.3206841922891806,,,0.3206841922891806
all,1540,RUL,mae,voltage_slope__spearman_cycle,-0.3171278490820315,,,0.3171278490820315
all,1540,RUL,mae,voltage_slope__spearman_RUL,0.3171278490820315,,,0.3171278490820315
all,1540,RUL,mae,voltage_std__mean,-0.3140625049711428,,,0.3140625049711428
all,1540,RUL,mae,voltage_mean__std,0.29906391043302727,,,0.29906391043302727
all,1540,RUL,mae,CV_charge_time__spearman_SOH,0.28580435478581073,,,0.28580435478581073
all,1540,RUL,mae,voltage_entropy__spearman_SOH,0.2796224962633921,,,0.2796224962633921
all,1540,RUL,mae,CV_charge_time__spearman_cycle,-0.2760525701447894,,,0.2760525701447894
