target,model,n_tasks,rank_vs_mean_abs_corr,rank_vs_top3_abs_corr,rank_vs_max_abs_corr,rank_vs_feature_quality_score,performance_vs_feature_quality_score
RUL,Attention,24,-0.40191942183467233,-0.46120471616169556,-0.6312140160700711,-0.4690512992343898,0.4718720332986793
RUL,CNN,24,-0.577159777124844,-0.6006995263429268,-0.7218856426878714,-0.6050587391610903,0.6050587391610903
RUL,GRU,24,-0.4193562731073262,-0.4768978823070841,-0.6329577011973365,-0.4821289376888803,0.4821289376888803
RUL,LSTM,24,-0.5666976663612516,-0.6233674329973768,-0.7236293278151368,-0.6285984883791729,0.62481104009698
RUL,MLP,24,-0.45684550334353213,-0.517002640234188,-0.6695750888699097,-0.517002640234188,0.517002640234188
SOH,Attention,24,0.29642647163511626,0.12641717172674075,-0.4908473633252072,0.14298218043576194,-0.14298218043576194
SOH,CNN,24,0.16303455939931397,-0.0671318773997175,-0.7035769488515848,-0.05318239638159438,0.04622775926955639
SOH,GRU,24,0.14036665274486387,-0.022667906654450065,-0.6974740509061558,-0.03748923023620588,0.04319378305573974
SOH,LSTM,24,-0.09590268199959644,-0.33478754443495484,-0.454229975652634,-0.27027119472613537,0.27027119472613537
SOH,MLP,24,-0.03138633229077701,-0.22929459423539877,-0.8212756949419985,-0.24237223268988917,0.23942490414138168
