cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.957517745471237,0.11651477639895558,-0.36874904781318385,-0.04874238472789595,1.1315971233331015,6033.069056988956,6.530927338987211e-05,0.936103945798849,0.5935182878747582,0.35270905558658006,-1.2265587295555433,0.02464356730637033,0.17867460498046728,1240.5323885086618,-0.0006416584241428355,0.7976158527114252,1.0022198553040118,1578
2,3.961549545652303,0.11588640225757585,-0.27829516344139815,-0.11677007007474854,1.1146467999129817,5943.007074893198,6.582435399679444e-05,0.9329512638100528,0.6038684275746345,0.3458453836644777,-1.1394190246892468,-0.009105662457993506,0.1894752369501489,1384.6640775886335,-0.0006068451142608077,0.8086414742535976,0.9970255081662078,1577
3,3.9611464253622084,0.11725822252664159,-0.12209546657865733,-0.19220137917978097,1.1146617161064212,5942.9746843058965,6.639827862039482e-05,0.9258140391629209,0.6007485566660762,0.3531486210491384,-1.2216155671496935,0.019286228466126695,0.18962438271333215,1262.7159056841629,-0.0006301303705857035,0.8123811710560551,0.9950334324904705,1576
4,3.9608833958404235,0.11675839198030544,-0.13521813329647037,-0.1849098581664593,1.1092303918277944,5912.990705499862,6.646529218658405e-05,0.9261615194896793,0.6001191906010112,0.3530140169937537,-1.2223115451637587,0.01944701236059392,0.1905687295008789,1273.1373687166488,-0.0006246967733735063,0.7976158527114252,0.9925490828094989,1575
5,3.961653420162685,0.11655997192589793,-0.16841052621855734,-0.17781864819185073,1.1033807331794854,5882.974619041692,6.673907287348397e-05,0.927954874323266,0.6003664300466577,0.3530892757263627,-1.222791496528445,0.01920448638200917,0.19267995418709716,1285.8559798139177,-0.0006183953100947523,0.7976158527114252,0.9913925399060266,1574
6,3.9589718544483183,0.11785176341642388,-0.1799150914468286,-0.1410832318731581,1.1203136064029011,5972.9995235487,6.646636216961008e-05,0.9270577373326755,0.5918399787818392,0.3524970522501302,-1.229322417693485,0.023822357144606187,0.18220699982614064,1268.8590723457019,-0.0006271328141155877,0.7976158527114252,0.9955635338462058,1573
7,3.9569987761974335,0.1176737081721509,-0.2832704442308831,-0.09504820485104287,1.1203386901598802,5973.021350362818,6.651254977481255e-05,0.9335097513696721,0.5916406801342964,0.34529939051605996,-1.1527402159317375,-0.004827474409835177,0.17864523173134983,1651.6456467853277,-0.0005812226677249486,0.8086414742535976,0.9955923249799912,1572
8,3.957962226386022,0.11885448503419734,-0.27789018175247326,-0.1328699227717819,1.1090517257476753,5912.965407825279,6.788434881068594e-05,0.9343596353894311,0.5966951157897711,0.35274695345052587,-1.225378782229839,0.02095458492913223,0.18668492108104728,1266.200533308409,-0.0006280348276017577,0.7976158527114252,0.9881254269997545,1571
9,3.9613087528248125,0.11706191714077113,-0.19768636554981356,-0.15618296661708647,1.1034169484002803,5882.975854586053,6.706535073819159e-05,0.9290747412718203,0.5980998054146767,0.34562316295725537,-1.1455816623585466,-0.007180104674539529,0.18931254989209867,1416.152748451801,-0.0005922444281297589,0.7944667686427527,0.9858829880941288,1570
10,3.960833017923394,0.11694564520118265,-0.2538054127961624,-0.13625324887656703,1.0979244729575255,5852.897666195757,6.74367234352592e-05,0.9310243542320893,0.603106002509594,0.34587888439337217,-1.1399236268886772,-0.00832904563083011,0.19042148486486288,1402.5129979896883,-0.0006006838529210514,0.7944667686427527,0.9826323614138411,1569
11,3.961059673015888,0.11583590266602961,-0.2859034830425804,-0.12529344508954254,1.0923370215745072,5822.928615505196,6.718081706123535e-05,0.9342842378060823,0.5943724416817228,0.35253161009757633,-1.2266701514956824,0.02253713927129713,0.18999476674738935,1305.0119481511938,-0.0006093936797962691,0.7976158527114252,0.9840689514203711,1568
12,3.9567205893872965,0.11863383828512292,-0.24014714916449442,-0.12934560981052914,1.1092788663285602,5912.98536108993,6.770317430698243e-05,0.9290423502806444,0.5869099185802042,0.352164628426487,-1.232276055053792,0.02746094507960674,0.18093797465501504,1525.6994506990304,-0.0005943537381153144,0.7976158527114252,0.9874536323347557,1567
13,3.9578591091464266,0.11720166457004172,-0.3543134578290079,-0.06956374727459814,1.1093127334622703,5912.974089888652,6.702112418637721e-05,0.9364469172698439,0.5917629644274711,0.3453241967766581,-1.1517639435143765,-0.0049095480508048045,0.17904055424474263,1656.4975531407108,-0.0005796386790257829,0.8086414742535976,0.985968674076974,1566
14,3.9600012314562894,0.11822876085622591,-0.16511624639536127,-0.18024848848528785,1.098027934351938,5852.961659837572,6.805121055530522e-05,0.927799069475168,0.5948486581444741,0.345392464311787,-1.1482592446018463,-0.005775926862420424,0.18860885091544843,1440.708935343544,-0.0005834388553761487,0.7944667686427527,0.9796593036235606,1565
15,3.9625132279518325,0.11634850428023345,-0.2832755369628619,-0.12389879704259146,1.0923460400254448,5822.9447208647325,6.746503698840043e-05,0.934119948000196,0.590985833046337,0.3523807874105733,-1.2285319790355402,0.025279522695913433,0.18990026685689965,1326.589780568902,-0.0005995086235744092,0.7976158527114252,0.9783057999121119,1564
16,3.9618458563519505,0.11554046823182162,-0.2889251685254348,-0.12723776221184707,1.08675141205972,5792.929415448103,6.735231940778939e-05,0.9349919616478529,0.5910382804771265,0.3523164119379245,-1.229362032473582,0.023859384108783722,0.18962081283202825,1325.152357929357,-0.0006001960537539703,0.7976158527114252,0.977237451758423,1563
17,3.9625258347422805,0.11577373894244486,-0.3016094252325239,-0.12047018614022112,1.0867394541137672,5792.913627745351,6.750638458382585e-05,0.9351042569686406,0.5969348729898533,0.35288064801713653,-1.2255448135076639,0.021616503269091494,0.19025325262502846,1294.9639572210144,-0.0006141053299769437,0.7976158527114252,0.9753485702404096,1562
18,3.964014991124471,0.11526734180960115,-0.32088413074132704,-0.11131406348213706,1.0923735260385747,5822.931387919874,6.689204368080182e-05,0.936048937397652,0.5927699419856072,0.3453456370691482,-1.1512834116733832,-0.0050511326309019555,0.1863447008045518,1437.3273318015854,-0.0005830686496282651,0.8086414742535976,0.9803634303657879,1561
19,3.9576751447571112,0.11879787779795431,-0.22479324908874476,-0.1393714517865409,1.1036604438415534,5882.98708952195,6.811197830167713e-05,0.9287820480281329,0.5871955336630345,0.3448726577796428,-1.156318198324499,-0.004315766095193923,0.18029930666101257,1578.4379700230202,-0.0005738795041414732,0.8086414742535976,0.9812161783202648,1560
20,3.957572793474003,0.11657144416872761,-0.39566444725736716,-0.05830221958720271,1.098052996460872,5852.959386226081,6.740568918689608e-05,0.9389387644998971,0.5831037208748361,0.3518776856955789,-1.233858089349935,0.030046835837819804,0.1781290183417008,1422.3292694461416,-0.00060122603867197,0.7976158527114252,0.9813528764631524,1559
21,3.95778371839959,0.11752470807527124,-0.3995463530674037,-0.052048062163100726,1.1036524430186736,5882.99237961648,6.761604981746268e-05,0.9381354306846325,0.5873220030528804,0.35204042400541213,-1.2322440842251359,0.026502648035229878,0.17681920915284266,1499.1697376310476,-0.000606236753665781,0.7976158527114252,0.9812290599703543,1558
22,3.9570951558611718,0.11765834918339597,-0.3945429580458262,-0.0559507886831717,1.1036872856925593,5882.978314521955,6.768874733184945e-05,0.937849100908175,0.5834049233794212,0.3448691873828826,-1.1598981512954076,-0.002199368297767279,0.1746763495340664,1442.9844587401021,-0.0005892743208832723,0.8086414742535976,0.9810912270739736,1557
23,3.9563128427805636,0.11770499515702076,-0.3894054835158589,-0.05784182372943802,1.1037014043437514,5882.9656747798435,6.770957609732116e-05,0.9374797102842233,0.601798144047675,0.34047745339187857,-1.1994707394525106,0.0012317104040280445,0.17340710831683714,1296.6106745851575,-0.0006122866909454811,0.8015019879940583,0.9809707527660767,1556
24,3.955574914283559,0.11792302805889261,-0.38658492506167397,-0.06159010097027349,1.103722657974711,5882.983053623262,6.783412639727759e-05,0.9370739638526225,0.6010632391857065,0.3406078388177853,-1.1999142423581295,0.0032491754200114444,0.1724458375146558,1295.2829204883892,-0.0006132852778661247,0.8015019879940583,0.980730741920121,1555
25,3.955114249650597,0.11800977353882756,-0.38316539843592423,-0.06339129045594785,1.103656818317893,5882.96775507956,6.788044111125007e-05,0.9370739638526225,0.6018528763366782,0.3403725868650113,-1.1993093032174293,0.0007911704958583288,0.17151465803881183,1283.3142918080557,-0.0006185109390910493,0.8015019879940583,0.9802487904885333,1554
26,3.955138924158164,0.1180607048091928,-0.3844640297639086,-0.06294095025988962,1.1037212923111503,5882.983752760629,6.791152147524068e-05,0.9373352371849671,0.5807885498118898,0.3516194334109864,-1.2360313296749914,0.030647131232771897,0.17117600904648667,1322.3140127325314,-0.0006222430812817239,0.7976158527114252,0.979838497507336,1553
27,3.954994142358073,0.1181923639031849,-0.3855241152550244,-0.06309007434281884,1.103703360298778,5883.000067226472,6.799009876703108e-05,0.9373352371849671,0.6002266867005307,0.3403740908615814,-1.2005562779119545,0.003011282986226723,0.1706688023356635,1287.0335913418676,-0.0006168813154146936,0.8015019879940583,0.9794961702837902,1552
28,3.954817270869531,0.1182763741472121,-0.3829664297229671,-0.06503624915175048,1.103717015694309,5883.00093333493,6.803584809099126e-05,0.9376657138072263,0.5980766707140467,0.34010485193938816,-1.2025407220617723,0.004066150251407401,0.17036800430409182,1296.8145488525624,-0.0006121060665200237,0.8015019879940583,0.9790657986917292,1551
29,3.9544791703296798,0.11839750062840258,-0.38549517306458947,-0.06372025898465775,1.1037098167514916,5882.986536182871,6.810947773166974e-05,0.9378075704844279,0.600664503224518,0.34029435478273967,-1.2007205163247594,0.0017030559467431392,0.169590737019369,1278.5963514539762,-0.0006207528820373124,0.8015019879940583,0.9787349159122332,1550
30,3.95405549204289,0.1183839642077406,-0.38242519461322644,-0.0661049114925509,1.1037236255407414,5883.004186848761,6.809991467366787e-05,0.9373641891481564,0.5985692111046418,0.34030723179044303,-1.2026448007524277,0.004423187895871626,0.1687278651093982,1283.690408356255,-0.0006185882830951407,0.8015019879940583,0.9784118001469767,1549
31,3.954029175230694,0.11853553313600705,-0.38082069148146314,-0.06691888746919136,1.1037445882590589,5882.988060366537,6.818563048626644e-05,0.9370363289479517,0.5989054046247316,0.3403529879707711,-1.2012017286269854,0.004761777774385507,0.1685579688017047,1282.6589756184258,-0.0006190458586177058,0.8015019879940583,0.9779128673363159,1548
32,3.954128707120866,0.11858506782100818,-0.38461357995006473,-0.0641212190722544,1.10373410801481,5882.988152646518,6.821948635290544e-05,0.9364013737594159,0.601141424930614,0.34071398729294416,-1.1998541463880017,0.003834457258646153,0.1682919795840192,1270.2061167726642,-0.0006253831350556705,0.8015019879940583,0.9774583529216839,1547
33,3.954106514829064,0.1187303791990145,-0.3845746990654799,-0.06625638373537066,1.103734124101685,5883.004212973872,6.830493057598971e-05,0.936545846858672,0.6014072470690893,0.3404172424025154,-1.1996131073439795,0.0015885961644281478,0.1674990436943149,1262.956252881093,-0.0006285646487047941,0.8015019879940583,0.9725751314961248,1546
34,3.9588527445940627,0.11792948172944173,-0.28613322392281626,-0.13123480420693986,1.0867688354281855,5792.934380382241,6.87629497761696e-05,0.932420373262612,0.5854039274466535,0.3518955518996154,-1.2329416095207673,0.02781358956602067,0.1806007135796044,1502.9003893180634,-0.0005905341709641081,0.7976158527114252,0.9675382802023347,1545
35,3.960164759443214,0.11638936506779764,-0.33490288075300656,-0.08570329591111223,1.0810958603372909,5762.901042799058,6.82516554277454e-05,0.9359100489172834,0.5869653637707234,0.3449630791345053,-1.157174708041278,-0.00397712618080156,0.18267720498239615,1587.6034526494914,-0.0005670762457013365,0.8086414742535976,0.9656484746790945,1544
36,3.9605054097870984,0.1158972188194406,-0.3525513030101477,-0.07990107524387181,1.07549643717716,5732.884158958448,6.834131751322904e-05,0.9367819923836673,0.5827141213230789,0.3517861135365982,-1.235079253006434,0.02965678571269824,0.1845998426734441,1463.3063782145618,-0.000580720877996049,0.7976158527114252,0.9643752388340424,1543
37,3.9614068754017353,0.11620652048494869,-0.36970176930647725,-0.070959752172392,1.075491863126027,5732.88375998917,6.85483620884585e-05,0.9375880951252331,0.5846471831512948,0.35215678377887855,-1.2337773141700703,0.029655616651967705,0.18583251015925173,1515.617947796709,-0.0005778733598190761,0.7976158527114252,0.9629039000105192,1542
38,3.9579789527912728,0.11764344969305261,-0.16532002339559604,-0.14078900428298805,1.0867858364969951,5792.921111747739,6.83810436070867e-05,0.9262280706547598,0.5816876535924772,0.3518462599185784,-1.2354111765712124,0.030428932291074774,0.17853835391474626,1394.1077425627736,-0.0005995945223323716,0.7976158527114252,0.9685716292127359,1541
39,3.955188094652616,0.1191783547136101,-0.2932582261299528,-0.09334793494502566,1.0924463669275446,5822.960033252952,6.911509052142172e-05,0.9315088268924507,0.5841098183393478,0.3447610744388233,-1.1592848309144113,-0.003187627968503251,0.17450717011174843,1457.3437290518777,-0.0005908977127547535,0.8086414742535976,0.9693285245493872,1540
40,3.9536208602570997,0.119950559101425,-0.2781406063347376,-0.08910137977679147,1.0867870731312108,5792.927708333358,6.988664174431405e-05,0.9301721028532358,0.5983581176918485,0.34020114355290487,-1.2031126208903673,0.0037148594996262436,0.17876306243419826,1351.1993436600314,-0.0005869491239247699,0.8015019879940583,0.9625150747082211,1539
41,3.9616311045841397,0.11797003397300757,-0.22545826857576223,-0.16053354669781694,1.0698278859998414,5702.882410079008,6.978045835166791e-05,0.9296397652194976,0.5873465789854526,0.3450641147061536,-1.1562153934384476,-0.003363255011840795,0.18778750789398324,1639.350864415872,-0.000552168490603579,0.8086414742535976,0.9609114449161461,1538
42,3.9578035384262162,0.11800512604753188,-0.3782979401916102,-0.06895463661981,1.0811619317007148,5762.909598522587,6.928159830079805e-05,0.936606898758244,0.5856346996128559,0.3448827747550178,-1.1584887643838444,-0.003606114010570642,0.1777216257500287,1513.169007652672,-0.0005817643150541061,0.8086414742535976,0.9638632267355522,1537
43,3.9565170597784296,0.11930224577231216,-0.3463969678633938,-0.08377869942350026,1.0867284949553246,5792.959110001102,6.964335819665869e-05,0.9356705950272887,0.5981001186630001,0.340144702204884,-1.201995954616215,0.004460447819517685,0.1752995246193898,1329.0930009168806,-0.0005968867851639707,0.8015019879940583,0.963086308891794,1536
44,3.9610272068338297,0.11705705195385677,-0.22771702787528625,-0.15021225982465203,1.0866720287644067,5792.865903782484,6.815462982380425e-05,0.9298750341952574,0.5927771303057671,0.34534851615287715,-1.1512749571609309,-0.005088124393827893,0.18701257741499888,1442.8560277940123,-0.0005824785911740417,0.8086414742535976,0.9698228066674834,1535
45,3.9645143741153066,0.11785137534941016,-0.08974163735575225,-0.22998411813086456,1.0810510545810552,5762.909962294099,6.878808060060747e-05,0.9252663569207814,0.5905362861230969,0.3524810034509255,-1.2282739091072905,0.026109468757672612,0.1937553077918719,1353.6517774820095,-0.0005875830180145543,0.7976158527114252,0.9701212716270159,1534
46,3.9623817863563695,0.11599344256476601,-0.27248471134727215,-0.14333061981971176,1.0754817439238036,5732.8857601591735,6.830694753492211e-05,0.9332684517972138,0.5868200145972272,0.3520279634869659,-1.2326778981632485,0.026940900317740546,0.1902431075486879,1609.867288603913,-0.0005651084734162453,0.7976158527114252,0.9687112136242049,1533
47,3.9634891909857592,0.1162824070588907,-0.2902192564932835,-0.13437190029166352,1.075488976536836,5732.900340883876,6.850245045337107e-05,0.9347243265936503,0.5899069150909781,0.35242486225692904,-1.2306369453810946,0.025993206241493347,0.19065892224758496,1333.4328803591197,-0.0005970278122433126,0.7976158527114252,0.9643126333599723,1532
48,3.9639883518218992,0.11655094346980047,-0.13136140492743253,-0.21818574288625445,1.0641410835267,5672.847294714884,6.916316720399281e-05,0.9279002987022101,0.5974968119213978,0.3528812131815317,-1.2253095305941633,0.02037824533103837,0.19791393726223339,1337.6820560875349,-0.000594065389086532,0.7976158527114252,0.9625692795736891,1531
49,3.9643738809384796,0.11644070189692632,-0.14495595375750003,-0.21349830665364203,1.0641472283647293,5672.816103536985,6.9119976234121e-05,0.9283632318197036,0.5878165069346627,0.35224077398467335,-1.2317118320581992,0.02703385662097273,0.19590295968094762,1671.6923293885775,-0.0005505119991234741,0.7976158527114252,0.9612016673477903,1530
50,3.9649231923253914,0.11629178390052876,-0.15990057652135725,-0.20838262424855122,1.064156177298218,5672.8478269764455,6.905318823058943e-05,0.9280044751300475,0.5928065041080117,0.35261246229180065,-1.2280133474163846,0.024473704354925654,0.1953637492755289,1347.244453654508,-0.0005902334069031231,0.7976158527114252,0.9600092518144442,1529
51,3.965298724552942,0.11656394043678543,-0.17595760963109575,-0.20536936953808765,1.0585374355883652,5642.847846253775,6.960493892125207e-05,0.9285849030018275,0.5995422611013055,0.35311118343274284,-1.2225091661351783,0.02061864819128002,0.19905517577330767,1331.244613509858,-0.0005969587525206936,0.7976158527114252,0.9576606081810158,1528
52,3.9653630206193875,0.11584200708238276,-0.20677451217035614,-0.18783449916460337,1.0585735321438499,5642.848450995982,6.921196310820252e-05,0.9292900229257416,0.585748580750078,0.3520888142988144,-1.233782098737351,0.0279767838342287,0.19587644400950333,1631.38145777327,-0.0005480731843064508,0.7976158527114252,0.9583241320331395,1527
53,3.964037404489265,0.11652712253489514,-0.1792711074379647,-0.2014225887532351,1.058541352300554,5642.836757021025,6.959164913869781e-05,0.9284887086564313,0.5928964158520103,0.35253190737767975,-1.2272631076253684,0.024199535105335575,0.19588624024320977,1355.417273721774,-0.0005861595787088605,0.7976158527114252,0.9574977977534774,1526
