cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,4.09460097323601,0.104971175597721,-1.0508048670400656,0.15342782458633833,1.073,2857.344000000041,0.00012590669037873021,0.9895292486455499,0.36311300639658844,0.33974432635106233,0.7233311345443396,1.2975975107743905,0.32999999999999985,3275.999000000069,-0.00032162961617307153,0.8608823741944107,0.9439285714285715,1106
2,3.9992462311557784,0.12835156975072826,-0.6437961792269338,0.6377796639913499,2.09,5564.991999999969,7.7434456198181e-05,0.9661409214200433,0.35853389830508475,0.33785186095757885,0.7409434829659771,1.3034741967400978,0.3290000000000002,3296.9919999999693,-0.0003174900329056872,0.8566093381498374,0.942857142857143,1105
3,3.9987110552763823,0.12861389511243296,-0.6459060230679525,0.6360382862394233,2.09,5564.9929999999,7.760782162113145e-05,0.9666280425366891,0.3605235042735043,0.3386748920866115,0.7400243729634157,1.3017105594332898,0.32699999999999996,3268.9929999999003,-0.0003211289207744368,0.8583601019233662,0.9432142857142858,1104
4,3.9986981132075474,0.12860094657471072,-0.6476123646022729,0.634946757470573,2.0869999999999997,5557.984000000055,7.770680539632222e-05,0.9666409121739381,0.3603269230769231,0.3392243987072668,0.7390455443291448,1.3021692889875294,0.32699999999999996,3268.9920000000857,-0.0003215766908085854,0.8590476415511726,0.9410714285714286,1103
5,3.9987157232704402,0.12884765257320793,-0.6493738536372682,0.634027735780103,2.0869999999999997,5557.9839999999385,7.786211963230282e-05,0.9669801114151141,0.35941755888650967,0.33783066324725425,0.7333234220080236,1.3005105761363125,0.3250000000000002,3262.015999999945,-0.0003210309742340191,0.8573117851788494,0.9410714285714286,1102
6,3.9987229219143576,0.12887389381861322,-0.6513920580614059,0.6335403289366444,2.085,5551.007999999914,7.798161556946107e-05,0.9670469268271075,0.36088577586206894,0.33815666920672494,0.7185157083227529,1.2952077504028014,0.3250000000000002,3241.0229999999283,-0.00032368306290585117,0.8592493048230855,0.9396428571428571,1101
7,3.998570707070707,0.12861279730788,-0.6524456298409871,0.6326619934604188,2.0799999999999996,5536.992000000086,7.802658027120724e-05,0.9666394748369224,0.3634730021598272,0.3405339625952078,0.7040665421428178,1.2911341190404804,0.32699999999999996,3233.984000000055,-0.000326852326555897,0.8609159712116933,0.9385714285714287,1100
8,3.998728535353535,0.12881655551536553,-0.6540538195061143,0.6311566242924165,2.08,5536.992000000086,7.815987547966674e-05,0.9672079378387081,0.35920726495726496,0.3389791795141842,0.7534510203618368,1.3060983546531757,0.32600000000000007,3268.9920000000857,-0.00032121235159422533,0.8561910347715457,0.9357142857142858,1099
9,3.999149178255373,0.12882579935105315,-0.6541902891660101,0.6320514947751382,2.077,5530.0160000000615,7.825902689046389e-05,0.9672129011960049,0.36277657266811275,0.33852226818728287,0.6976783490376253,1.287781917207799,0.32399999999999984,3220.0,-0.0003265091795320078,0.8612004893896731,0.9360714285714287,1098
10,3.998841772151899,0.12855884037742235,-0.6531723697418004,0.6311336515710586,2.074,5523.008000000031,7.819913529373328e-05,0.9667155614284844,0.3611456102783726,0.3403465101811558,0.7286143639458573,1.2997581521171957,0.32699999999999996,3261.984999999986,-0.00032341167464629083,0.8581695635211012,0.9346428571428572,1097
11,3.998916455696203,0.1286533374010595,-0.653010077512111,0.6300914331518169,2.074,5522.976999999955,7.826404889787713e-05,0.9672914719052559,0.3635334773218142,0.3402387156352181,0.7047668702019436,1.2917024210963954,0.32600000000000007,3234.0160000000615,-0.0003264875486236479,0.8607183574939274,0.9328571428571429,1096
12,3.9989708860759494,0.12877080143959801,-0.6532682247812929,0.6292965270079692,2.0749999999999997,5523.007999999914,7.83382897952947e-05,0.9671618352707979,0.3618254310344828,0.33965417827629935,0.7223878760176379,1.2968250256836353,0.32600000000000007,3235.9060000000754,-0.0003250314938719047,0.8617578627696113,0.9307142857142857,1095
13,3.9989594423320662,0.12866272707260512,-0.6529325852381658,0.6290814934868036,2.072,5516.0,7.837353901019759e-05,0.967370377414756,0.3630475161987041,0.34039298321015543,0.7106429723677059,1.2934730368620002,0.32600000000000007,3233.984000000055,-0.0003265794147256994,0.8591256601047225,0.9310714285714287,1094
14,3.9993029150823824,0.1288644696067326,-0.6547272761110783,0.6290353815332711,2.072,5516.0,7.849738734242295e-05,0.9673998002745106,0.3609956803455723,0.33823097205532593,0.711970886216478,1.2931288298593278,0.3240000000000003,3233.984000000055,-0.00032452562909470904,0.8580090416365935,0.9314285714285715,1093
15,3.999209656925032,0.12851361254324475,-0.6551632407364489,0.6275934618943102,2.0669999999999997,5501.9839999999385,7.849325922821058e-05,0.9669528863931933,0.3640108225108225,0.3407942965985727,0.7027352724852434,1.291074407494614,0.32600000000000007,3227.0160000000615,-0.000327795229614033,0.8622819734922591,0.9307142857142857,1092
16,3.999198221092757,0.12858624039221891,-0.6536812388671818,0.6267623829558153,2.0660000000000003,5502.015000000014,7.854083410421948e-05,0.9675784142653447,0.36186451612903225,0.34048104428639453,0.7202016681486141,1.2973540534336119,0.32600000000000007,3248.0,-0.000325016638865839,0.8576763332079105,0.9285714285714287,1091
17,3.9995190839694654,0.12847606639113046,-0.6552768518765557,0.6262699198760407,2.063,5495.015000000014,7.85784226780902e-05,0.9673467229040393,0.36548478260869566,0.3406787051755412,0.6897860830210574,1.286616764528455,0.32600000000000007,3213.0,-0.00032932758952925915,0.8618385388220469,0.9285714285714287,1090
18,3.9994185750636126,0.12846008718071353,-0.6549037594755047,0.6243651958049842,2.0639999999999996,5495.0160000000615,7.857856735525108e-05,0.967200882964825,0.3632672413793103,0.3407748091400323,0.7068908977232096,1.293015257580393,0.32699999999999996,3241.0,-0.00032623417776720087,0.8606105092798726,0.9278571428571428,1089
19,3.9995745222929937,0.12838973218155075,-0.6554191700759664,0.6242641198132342,2.061,5488.0,7.863845677417716e-05,0.9670566861089613,0.3624086021505376,0.3406834673503303,0.7151869660373196,1.295580702880363,0.32600000000000007,3248.0,-0.0003253441974363876,0.8609137965839619,0.9257142857142858,1088
20,4.000100636942674,0.1286558901627647,-0.6575259622406402,0.62358866626735,2.061,5488.0,7.880539222489979e-05,0.9677049061266496,0.3621558441558442,0.338452856017914,0.7025761645656083,1.2897856240283772,0.3240000000000003,3227.0,-0.00032564383337905145,0.862007776868474,0.9239285714285715,1087
21,3.9998101910828026,0.12861218956293616,-0.6562714339076132,0.6215388819074837,2.062,5488.0,7.87909336471138e-05,0.9679807077468722,0.36535511982570806,0.34017518321292706,0.6846039791539993,1.2839973440451617,0.32499999999999973,3206.015000000014,-0.0003297175657099086,0.863175894879476,0.925,1086
22,3.999866071428572,0.12852474125856508,-0.6576276955460227,0.6204278257583251,2.059,5480.984999999986,7.884600010398576e-05,0.9677564564303446,0.3611781115879829,0.3401510234376395,0.7307908617977277,1.2996457773271293,0.32600000000000007,3255.0,-0.0003239630053370143,0.8576749009120057,0.925,1085
