cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,4.092727272727273,0.10560833151825347,-1.050095252288966,0.16226972505268455,1.09,2906.3680000000168,0.00012453206796392952,0.9885696568185843,0.34987576374745416,0.3359211806896003,0.9096872828013689,1.3592855696968404,0.33299999999999996,3423.167999999947,-0.0003008872291954895,0.850966096092199,0.9435714285714286,1074
2,3.99815710723192,0.1285263357521859,-0.641422428470031,0.64469068408325,2.101,5607.008000000031,7.691613878957896e-05,0.9656679231761698,0.3473394308943089,0.3347906489818734,0.9358083804190609,1.3668482583036632,0.33099999999999996,3433.6639999999898,-0.00029887521273600165,0.8476233662257151,0.9432142857142858,1073
3,3.9978339575530586,0.12864207571958405,-0.6433523709284676,0.6430464746001292,2.098,5600.0,7.709393175848622e-05,0.9659206120353844,0.34870552147239264,0.3356440090477034,0.9188666166856647,1.3626513402216434,0.33000000000000007,3411.4250000000466,-0.00030163472726692296,0.8495668559771362,0.9417857142857143,1072
4,3.9978175,0.12852681869031582,-0.6443122183096666,0.6424689360838257,2.095,5592.992000000086,7.712531188098135e-05,0.9655375209001797,0.34680324543610547,0.3363718782497292,0.9571195855927437,1.374058628521296,0.3320000000000003,3441.472000000067,-0.00029933313637954106,0.8447685568825902,0.9421428571428572,1071
5,3.998005,0.12876896669415092,-0.645568122096452,0.6413924468118521,2.096,5592.993000000017,7.727973938985336e-05,0.9662889080664263,0.3456036585365854,0.33474746451134046,0.9522673006256079,1.372975366027551,0.33000000000000007,3430.304999999935,-0.0002985152939506849,0.8450309576496418,0.9407142857142857,1070
6,3.9979862327909887,0.1287427971976552,-0.6469964948186049,0.640055128759695,2.093,5585.984000000055,7.736946442120574e-05,0.9662315112148893,0.34752351738241305,0.3356492667740589,0.9264987384146606,1.3660291333282188,0.33000000000000007,3416.0,-0.0003014159217985365,0.8456620415010515,0.9414285714285715,1069
7,3.9980701754385963,0.1286885401427983,-0.6478928435784792,0.6395181553964113,2.09,5579.006999999983,7.743833893832836e-05,0.9663442707401122,0.3495493827160494,0.33594401323813766,0.91168146130609,1.3606949163516588,0.3290000000000002,3392.9919999999693,-0.0003038344527909697,0.8499322713809555,0.9389285714285714,1068
8,3.9982192982456137,0.12882448265372548,-0.6480885521502078,0.6374259107945934,2.091,5579.008000000031,7.753365378887065e-05,0.9665966771777467,0.3486919917864476,0.3348378447875803,0.9215513304644807,1.3628391192814315,0.33000000000000007,3401.984999999986,-0.0003021566968935334,0.8461375490317445,0.9385714285714287,1067
9,3.998606022584693,0.12884479137780636,-0.6497517038175844,0.6372142338934152,2.088,5572.0,7.764544430532969e-05,0.96652446663305,0.3416124497991968,0.33342721944922304,0.9989170695419007,1.386174477633865,0.33000000000000007,3474.976000000024,-0.00029320536426182583,0.8413154615837062,0.9367857142857144,1066
10,3.9983819095477386,0.12864381081987966,-0.6496099108832469,0.6348988233431361,2.086,5565.022999999928,7.763544163271083e-05,0.9666182200255259,0.3494785276073619,0.3360045436135874,0.910761987933868,1.3604987531786183,0.3320000000000003,3413.569999999949,-0.00030206801625176226,0.8499912709251893,0.9357142857142858,1065
11,3.9986030150753766,0.12881194206505406,-0.6500251096343055,0.633697409061288,2.085,5564.991999999969,7.774288128412483e-05,0.9668095765105759,0.34955441478439425,0.3350155954480814,0.9066027508797059,1.3572379989165289,0.33000000000000007,3401.984000000055,-0.0003026250480476013,0.8494287737691527,0.935,1064
12,3.9986113207547174,0.12873145313143752,-0.651418604297652,0.6329721641397386,2.083,5557.984000000055,7.779822988972988e-05,0.9667364278118702,0.3504897119341563,0.3362331954902841,0.8857769971537244,1.3516726549448208,0.33099999999999996,3392.140999999945,-0.00030454830056531816,0.8506164446882198,0.9342857142857144,1063
13,3.998671284634761,0.12869642866327155,-0.6545099067577609,0.6312623859000674,2.08,5551.015000000014,7.788671216553541e-05,0.9665566228158167,0.3498790983606558,0.33701047658513256,0.9176603681222377,1.3608859502605266,0.33099999999999996,3408.1879999999655,-0.0003036381783376157,0.8493256260804316,0.9335714285714286,1062
14,3.999186397984887,0.1289924209289934,-0.6574894567838458,0.6304753504762942,2.08,5550.9679999999935,7.80718752576118e-05,0.9670825710339677,0.3478480492813142,0.33491690129483737,0.9115178416812482,1.3577181723492635,0.32799999999999985,3398.3589999999385,-0.0003025880212287835,0.8491488378497069,0.9317857142857143,1061
15,3.9991750629722924,0.12903084602542286,-0.6591247551917343,0.6275239212231288,2.08,5551.0,7.811252134846368e-05,0.967412101410215,0.34854938271604935,0.3355126630111825,0.8971350038286534,1.3539588357686223,0.3290000000000002,3390.140999999945,-0.0003038303169252109,0.8489314428050927,0.9307142857142857,1060
16,3.9993240857503154,0.1289078232944684,-0.6610061845263044,0.6263857900357166,2.0780000000000003,5544.0,7.814468828113116e-05,0.9672872162284295,0.3464061224489796,0.3355957501651371,0.927781025046635,1.3643192806957507,0.33000000000000007,3419.234999999986,-0.00030095437437320266,0.8457810035117168,0.9307142857142857,1059
17,3.9992950819672135,0.12885569090776613,-0.6610379805758031,0.6246230423133914,2.077,5544.0,7.812320115966022e-05,0.9676525753250429,0.3489465020576132,0.33650788997981457,0.8914040533704455,1.3534495958762125,0.32899999999999974,3394.2339999999385,-0.0003047210730966883,0.8486518162340877,0.9296428571428573,1058
18,3.999503787878788,0.12872794934040566,-0.6622763914962855,0.6234900196680632,2.0749999999999997,5536.984000000055,7.815378667596619e-05,0.9675869006698016,0.34841067761806976,0.33649248600345105,0.9018630376079093,1.3580617359624165,0.3290000000000002,3399.7970000000205,-0.00030382132708313154,0.8476108575519299,0.9285714285714287,1057
