cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,4.101534653465347,0.10125451942676987,-1.0324698824371399,0.14669745679883195,1.051,2801.344000000041,0.00012355252620452464,0.9900554874256717,0.36133070866141737,0.3403009818765786,0.6994875549653621,1.2939957047157162,0.355,3547.7759999999544,-0.0002973694716839272,0.8623429193556587,0.9457142857142858,1081
2,4.005359102244388,0.1255310744790595,-0.6212359162624614,0.6045747376963184,2.104,5607.007999999914,7.529044189628297e-05,0.9649298910432822,0.356992277992278,0.3393856435197221,0.7364856275529261,1.3068725295576704,0.3570000000000002,3617.152000000002,-0.00029023480996935,0.8565925436252642,0.9453571428571429,1080
3,4.00530961298377,0.12546115542260494,-0.6217267492380691,0.6045984235345427,2.101,5600.0,7.534633366371877e-05,0.9647296352714239,0.3588815533980582,0.34020569931987077,0.7155869667412014,1.2995102081888985,0.35699999999999976,3594.817000000039,-0.0002929932558617969,0.8589834984738359,0.9439285714285715,1079
4,4.005161048689138,0.12550830761706125,-0.6218264354376406,0.6019236156881507,2.101,5600.0,7.538724325667172e-05,0.9654928869898635,0.36017738791423004,0.34067018868172916,0.702114373880316,1.2950071577261353,0.35699999999999976,3580.030999999959,-0.00029474294451886716,0.8606817639140039,0.9432142857142858,1078
5,4.0056017478152315,0.12579366020170224,-0.6230129289224626,0.6023344107286217,2.101,5600.0,7.555939507710174e-05,0.9652540277168572,0.35778752436647177,0.33835967433938485,0.7108936807335327,1.2975678602709964,0.355,3579.5509999999776,-0.0002926336727433225,0.8597321298755538,0.9421428571428572,1077
6,4.0057712500000004,0.12579293999715926,-0.6252723475538673,0.6023298160597576,2.0980000000000003,5593.027999999933,7.565617368285577e-05,0.9652049300701959,0.3567684824902724,0.33795992544596065,0.7231982849633622,1.301359681435392,0.3540000000000001,3587.167999999947,-0.00029154997008346895,0.8586472431671412,0.9414285714285715,1076
7,4.005332916145181,0.1255523408028876,-0.6246665782211753,0.5990715434860141,2.0959999999999996,5585.984999999986,7.56216797766474e-05,0.9657975824580252,0.3599551656920078,0.3406620735811133,0.7070891791187002,1.2974745252880944,0.3570000000000002,3578.3040000000037,-0.0002945939323868132,0.8602258485380729,0.9396428571428571,1075
8,4.006013784461153,0.12566118657827338,-0.6259655520968597,0.5992900251696394,2.093,5579.007999999914,7.578481378194778e-05,0.9655721296753785,0.36137204724409455,0.33937366222146237,0.6728503772260166,1.2850662190750555,0.3550000000000004,3548.5470000000205,-0.00029693984973811464,0.8633010459796422,0.9378571428571428,1074
9,4.006086466165414,0.1258353419836365,-0.6263487639866532,0.5972938034732765,2.094,5579.006999999983,7.589808035221316e-05,0.9658513814491194,0.35883398437499997,0.33871881002899684,0.696272755642497,1.292798399102191,0.355,3573.2110000000102,-0.0002937083107254953,0.8600271381353694,0.9367857142857144,1073
10,4.00613567839196,0.12548330389195142,-0.6286547775869682,0.5959521530947811,2.088,5564.992000000086,7.588627922470436e-05,0.9658594707459918,0.360767578125,0.3409481867247774,0.6826428849330033,1.2893624495227738,0.3570000000000002,3577.6330000000307,-0.00029561035759873927,0.8609174750437937,0.9364285714285715,1072
