cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.466943203883495,0.04316104982365675,-0.13117186316968166,0.598870433537415,0.31293322222221953,1025.0,0.0001411946449223868,0.9488125154677827,0.17497016417910446,0.11676926662473605,0.19657465071835611,1.0845617449126146,0.015575808611110853,328.0,-0.0011150000563105585,0.8730859696610999,1.0981902373737384,2282
2,3.4578894444444446,0.0403719667345258,0.5378185814498897,0.8802304175800801,0.27324865277777666,895.0,0.00014818216611623832,0.9222307322707936,0.15963055102040818,0.11021177798033152,0.7352190027504109,1.2702248946269026,0.010168298055556413,237.0,-0.0014041669221911295,0.8175812262379675,1.0971003257575769,2281
3,3.4572920903954807,0.04043192433293907,0.6656645266831935,0.934127166524734,0.2686739166666652,880.0,0.00015029829815965768,0.9173539507545015,0.15970382,0.10985114095135232,0.6908812557858859,1.2566153954530512,0.01039780944444435,242.0,-0.0013739669218316237,0.8249988081740076,1.0982101641414148,2280
4,3.4560999999999997,0.04001511999946306,0.6721760396348211,0.949907693394186,0.26714944444444333,875.0,0.0001494235527184685,0.917159454103912,0.16540305769230768,0.11526431296915583,0.6732205164544389,1.2523270906496649,0.011269679166666435,255.0,-0.0013844098779134232,0.8306979737812409,1.1001644545454556,2279
5,3.4563295454545457,0.040775082472624756,0.9150116493923472,1.029538334145208,0.26714970833333296,875.0,0.00015125657054809553,0.9097551868084424,0.16259687037037035,0.1123853030272644,0.6309525403260423,1.238782618703177,0.0114886577777773,262.0,-0.0013046353946967152,0.8296395416010444,1.1010005404040408,2278
6,3.455102285714286,0.03971284420367654,0.8023042528866942,1.0018901125765112,0.2656323611111111,870.0,0.00014849261083743672,0.9133416100776186,0.1627547857142857,0.11267169377067714,0.6088722831523135,1.2320315718397128,0.011935784444443875,271.0,-0.001263074354986569,0.8343019361403414,1.1021247171717177,2277
7,3.454947428571429,0.04032075107792123,1.0453592552579387,1.0828756572484024,0.2656289305555549,870.0,0.0001497236901030005,0.9052463306806597,0.16771481034482758,0.11817416000131345,0.6299816793775901,1.2398755383543874,0.012772231388888944,282.0,-0.0012770427670163158,0.8305906873568385,1.102668876262627,2276
8,3.4545308571428572,0.04041519668174712,1.091348713726144,1.0989336364862643,0.26562840277777733,870.0,0.00014985239587998143,0.9038845687700374,0.16521325862068964,0.11269589779821615,0.5018233813408157,1.1971307040429537,0.012648248611111246,285.0,-0.0012230506813497772,0.8438749390169713,1.1037681085858597,2275
9,3.4538063218390804,0.03985493224863418,1.0381986500476161,1.0889711031354414,0.2640957499999984,865.0,0.00014874485036589722,0.9035136923647682,0.1679249836065574,0.11778409712103069,0.5585647638463755,1.2187843098080682,0.01347737666666693,296.0,-0.00121386116143952,0.8442534891598932,1.104324305555557,2274
10,3.4531586206896554,0.039724266550809996,1.0699643333815771,1.1017270096482967,0.2640975972222215,865.0,0.00014807911386998624,0.9032178829022863,0.16513352459016392,0.1128879221845878,0.47000082860949055,1.1870993310546734,0.013299091944444896,298.0,-0.001167529955290358,0.8469798137287204,1.10541687878788,2273
11,3.452535838150289,0.039095419778979,1.0059888998104842,1.0884979035629283,0.2625694305555546,860.0,0.0001467374647130012,0.9085684049243584,0.1692354920634921,0.11782348566077123,0.5017166648140572,1.1990458102311496,0.014104380277777606,309.0,-0.0011774844410338916,0.8456852455909504,1.1073546717171727,2272
12,3.452826011560694,0.04038398636029759,1.3350167175961767,1.1936662614051918,0.2625681111111098,860.0,0.00015012594388381754,0.8964159189572157,0.164627234375,0.11286916036520947,0.46160829408211557,1.1842229240233,0.0139107008333339,311.0,-0.0011140147773795737,0.8506787450448624,1.1065188333333347,2271
13,3.4525491329479765,0.04057877727262769,1.3213215896078658,1.195180117590332,0.2625638888888865,860.0,0.0001508213006012087,0.8971490169975159,0.16742506153846154,0.11482901358730578,0.42840297532900395,1.1747992589583183,0.01442779972222219,319.0,-0.001115865689266601,0.8504004624374982,1.1070613939393952,2270
14,3.452411627906976,0.04034392761717722,1.3101501370755555,1.1931112275924796,0.26103809722222027,855.0,0.00015083441228423762,0.8980765216977793,0.16826444776119404,0.11704945786423629,0.4669484629497771,1.1885243457623609,0.014913651666666139,326.0,-0.001102766561021243,0.852636858297642,1.1076210404040419,2269
15,3.45214011627907,0.04032772421470467,1.3039981086909211,1.1930381224164472,0.2610373055555536,855.0,0.00015076443966482813,0.8976414072829227,0.17072642647058822,0.11909359656436741,0.45354868680555604,1.1853357647075833,0.015399205277776495,333.0,-0.0011050863658767225,0.8544799286523654,1.1081744419191935,2268
16,3.4520830409356726,0.04013166864641158,1.3123560337248152,1.1986515530918533,0.2595120416666651,850.0,0.000150828233374128,0.8973182163972729,0.1678748676470588,0.1146579591037966,0.3853927211561361,1.159955905875533,0.015169970555555246,334.0,-0.0010672652837075726,0.8570692056057075,1.1087173611111123,2267
17,3.451560233918129,0.03962098742649967,1.3022890538352474,1.1920757008759049,0.25950966666666464,850.0,0.00014899440804474082,0.8980208482841228,0.1694170434782609,0.11697815394481278,0.40499231618563547,1.1685245122538759,0.015523221666666753,338.0,-0.0010720688909495776,0.8479909948901918,1.109275876262628,2266
18,3.4508824561403504,0.039441267382722585,1.3000598100892926,1.1989008569437534,0.2595099305555537,850.0,0.00014819943840448384,0.8973182163972729,0.17125955714285715,0.11888576876201108,0.4106605668063561,1.1696536235061357,0.015941605000000303,344.0,-0.0010735912668017396,0.8600791950814072,1.1092721868686886,2265
19,3.450962352941177,0.039617515929136767,1.398730107522181,1.2289063239441302,0.2579873055555545,845.0,0.00014930451084202244,0.8944919567915832,0.170473,0.11858681509305444,0.40479398476923256,1.1693927585240387,0.01607421305555401,347.0,-0.0010563743441970596,0.8571542557585037,1.1092757954545467,2264
20,3.450824117647059,0.03972048724782986,1.4713560163330843,1.2479250949987801,0.25798229166666553,845.0,0.00014941909245791407,0.8911940776005113,0.1710438450704225,0.11836637122747899,0.3906710536706193,1.163312160423925,0.016161789444444352,349.0,-0.0010547485999623414,0.8580639523703392,1.1098332752525266,2263
21,3.4504488235294115,0.03938319744778575,1.468211129825578,1.2489369479426025,0.25798545833333186,845.0,0.0001481080599165881,0.8944889248201435,0.1683362394366197,0.11449108254276084,0.3376893324978032,1.1442436977509236,0.015931990277777697,350.0,-0.0010224652515090518,0.863466304605889,1.1098390378787892,2262
22,3.4502905882352946,0.03984122667347479,1.5478082192099638,1.2759278537150283,0.25798308333333164,845.0,0.00014943264879915772,0.8886212022293078,0.16758440277777778,0.11404273984272513,0.33645038721152876,1.1450691149643055,0.016078213333334146,354.0,-0.001004402434251707,0.8599336478917938,1.1103921969696984,2261
23,3.450146745562131,0.03952831720892505,1.4842521932245223,1.2606305538248737,0.2564567638888867,840.0,0.00014934150464919536,0.8927371519045199,0.16934538356164383,0.11614053845253725,0.35710634599073954,1.1522039600748804,0.01647684166666674,359.0,-0.0010080297002189632,0.863938088086208,1.1109499267676783,2260
24,3.4501378698224854,0.03943809477199497,1.447045160692535,1.252166425855767,0.25645940277777624,840.0,0.0001491193376759024,0.8941003402062597,0.16992370666666667,0.11804714647532505,0.38221981105310965,1.1626356075074438,0.016951547222222363,366.0,-0.0009966619811493087,0.8612504892513093,1.110946954545456,2259
25,3.450185207100592,0.039812566290424845,1.4835575548229958,1.2629977711853806,0.25645887499999853,840.0,0.00015038580876137325,0.8927371519045199,0.17067440000000003,0.1178194514473368,0.35195810382798154,1.1520495167127234,0.017062404444444512,368.0,-0.0009955464756778458,0.8625456946744142,1.1115029873737388,2258
26,3.4498726190476194,0.03928150164571907,1.4487258418692726,1.2555618110329272,0.2549341388888877,835.0,0.0001493607037826298,0.8938868706543621,0.16728014666666666,0.11403006172599818,0.32646870154506047,1.142358896397388,0.016713689444444624,367.0,-0.0009650569457344112,0.8607623099890019,1.111495426767678,2257
27,3.4496732142857147,0.039511045182365256,1.5004644707571853,1.2715670601783826,0.254932819444443,835.0,0.00014998924382848337,0.8915456084945238,0.1679028,0.11388737573217744,0.30663754877440574,1.1362836234677414,0.01682540277777833,370.0,-0.000963697331436702,0.8664472456680895,1.1123534823232335,2256
28,3.4497017964071857,0.03951395585861854,1.5502771190014561,1.2850789426268592,0.253404916666665,830.0,0.0001506910962927901,0.8883159108600843,0.1666616315789474,0.11391109308085752,0.3290588477283256,1.1451373841402406,0.016866265555555815,371.0,-0.0009511255152155401,0.8620200506512158,1.110960921717173,2255
