cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.8951896551724134,0.17073233125431234,-1.1997601861056666,0.0029203213950378284,1.86,2826.1699999999837,0.00019298378315312685,0.9950514963028251,0.21325555555555556,0.4063739872553315,10.069305210427206,3.092060454026514,0.2030000000000003,3577.069999999949,-0.0002569467250411733,0.5028357741328403,0.936864406779661,441
2,3.8950344827586214,0.17092260801612666,-1.2010654737543132,0.002405667199499801,1.863,2830.1300000000047,0.000192957348315276,0.9950514963028251,0.21849275362318843,0.4112042376881423,9.75487643642641,3.049029902381185,0.19899999999999984,3423.2600000000093,-0.00027336315414446335,0.509179782687521,0.9364406779661018,440
3,3.8947931034482766,0.1706247607925129,-1.1962267390689993,0.0015179627289073642,1.8650000000000002,2832.5900000000256,0.0001928683061274083,0.9950514963028251,0.22463109756097563,0.4166951685522837,9.39723715536359,2.999549547652171,0.19499999999999984,3258.6399999999558,-0.00029377808336305714,0.5174809324560509,0.9351694915254237,439
4,3.89571551724138,0.17073186738195695,-1.2010899937719755,-0.0004573231921563275,1.863,2830.350000000035,0.00019296488763687912,0.9950514963028251,0.21790560471976403,0.411855984550321,9.787120175055968,3.0549272958271443,0.19500000000000028,3364.4899999999907,-0.000278100705136539,0.5069116330952809,0.9351694915254237,438
5,3.8944482758620698,0.17066592562932575,-1.198954377848187,0.003674517582756435,1.866,2834.5899999999674,0.0001926791240854618,0.9950514963028251,0.20975144508670523,0.406139958114953,10.330199257765639,3.1306045374087472,0.19200000000000017,3432.819999999949,-0.00026491560400779957,0.49240262710614485,0.938135593220339,437
6,3.8962758620689657,0.1708874323720988,-1.2021638743124288,0.001992578352086362,1.868,2837.320000000007,0.00019375527094107843,0.9950514963028251,0.22473125,0.4304193438491829,9.74281823669949,3.0620863145187123,0.18500000000000005,3171.0999999999767,-0.0003062332620779259,0.5067930324959803,0.9385593220338982,436
7,3.895077586206897,0.17072531463866386,-1.2015735324558623,0.0037771907486559776,1.865,2832.6500000000233,0.00019367124402713454,0.9950514963028251,0.21631790123456796,0.4127194575475041,9.899369422296951,3.071681143142993,0.18500000000000005,3217.850000000035,-0.00029045710222036877,0.5044145524514355,0.9355932203389832,435
8,3.8954102564102557,0.17180708677558384,-1.199814534901995,0.0024138665226998775,1.872,2844.7699999999604,0.00019345395176235833,0.9949546686885089,0.24031849315068493,0.4305900984944184,8.546749779897398,2.8772284751724464,0.18399999999999972,2892.8800000000047,-0.00034841650789726395,0.5420844821292631,0.9338983050847459,434
9,3.8947758620689665,0.17070391789940526,-1.1984038959402057,0.0032145554085927937,1.865,2833.030000000028,0.0001930713850739481,0.9950514963028251,0.21912422360248449,0.4153776461026689,9.698678187628436,3.0443847013659067,0.18599999999999994,3194.6699999999837,-0.00029549718407739144,0.5074991158290953,0.9334745762711865,433
10,3.894931034482759,0.1709089116224313,-1.2018280554332972,0.0025408085749539524,1.8650000000000002,2832.7900000000373,0.0001931017446993986,0.9950514963028251,0.2230380952380952,0.4186819762901738,9.448853770487451,3.009307163656601,0.1860000000000004,3129.780000000028,-0.0003063108469091907,0.5141241708456402,0.9330508474576271,432
11,3.8948448275862075,0.17089532028336124,-1.2001170385381779,0.003911027069580057,1.865,2832.8699999999953,0.00019303250848471163,0.9950514963028251,0.22784690553745932,0.42277070766165065,9.166389842578644,2.969563433827376,0.18500000000000005,3041.899999999965,-0.0003196240714448342,0.5202736491601725,0.9330508474576271,431
12,3.894336206896551,0.17081665451667724,-1.2004014071600813,0.0007530200992916317,1.8650000000000002,2832.5100000000093,0.00019307506881078524,0.9950514963028251,0.22578571428571428,0.4216213773682325,9.28199704852219,2.9863057207079753,0.18299999999999983,3055.530000000028,-0.000316674814838902,0.5166906157245255,0.9330508474576271,430
13,3.894163793103448,0.17066672042395925,-1.2011205140961287,0.0014135016284497718,1.864,2831.929999999993,0.0001928692456215082,0.9950514963028251,0.22498045602605865,0.42147415539872957,9.32128074346766,2.9923818499923325,0.18199999999999994,3047.0200000000186,-0.00031706729062782425,0.5128819498355047,0.9338983050847459,429
14,3.8942820512820515,0.17197508070055637,-1.1987073752737794,0.0009018281793368709,1.8760000000000001,2849.570000000007,0.00019321769470907003,0.994954668688509,0.23061258278145694,0.43814089904492876,9.315014447829048,3.004460144184931,0.17799999999999994,2991.0999999999767,-0.00033302628355630495,0.5126789364262475,0.938135593220339,428
15,3.893965811965812,0.17204935797532914,-1.1985670135587114,0.0026699514109527127,1.874,2846.6900000000023,0.00019411469974546096,0.994954668688509,0.23317182130584196,0.44112500929318527,9.182596965847303,2.9856877447186787,0.17399999999999993,2879.4199999999837,-0.0003491404592301614,0.5165565811337219,0.9351694915254237,427
16,3.8942307692307696,0.17192552440415754,-1.2010367241024056,0.0021855630046197024,1.8719999999999999,2844.1600000000326,0.00019355955868484982,0.994954668688509,0.23254515050167227,0.4401096802760786,9.17549867588066,2.984638728999373,0.17799999999999994,2960.399999999965,-0.00033897800422335765,0.516232421150322,0.9334745762711865,426
17,3.8952393162393166,0.1722727213167345,-1.2001461439726933,0.0018099724781018645,1.8729999999999998,2845.0,0.00019377862375662835,0.994954668688509,0.22297029702970303,0.42106707214796846,9.412188106590936,3.0057305483575605,0.17700000000000005,3005.1199999999953,-0.0003199585202402928,0.5093776262074373,0.9326271186440679,425
18,3.8954188034188033,0.17197795765517596,-1.1988343298718316,0.0036396308188517304,1.87,2840.9400000000023,0.00019379353503549412,0.9949546686885089,0.22793265993265993,0.4252340319594399,9.123637579159062,2.9645617627361394,0.17799999999999994,2944.2600000000093,-0.0003321940636765383,0.5191518696095149,0.9317796610169491,424
19,3.8938275862068963,0.1705597575178791,-1.2003241545520018,0.0007843751655579107,1.8610000000000002,2826.7000000000116,0.00019316675960739965,0.9950514963028251,0.22377887788778875,0.4223797927857151,9.333075838722854,2.9950939079447236,0.17799999999999994,3003.0,-0.0003215346119151361,0.5080934722895736,0.9313559322033899,423
20,3.8940086206896547,0.1707086251706286,-1.1986895995032372,0.00215019916843227,1.862,2828.219999999972,0.00019317922641784395,0.9950514963028251,0.2275925925925926,0.4255421808089624,9.102071930195216,2.9624416214375167,0.17799999999999994,2946.8399999999674,-0.0003322854192459779,0.5163094386773447,0.9322033898305085,422
21,3.8950085470085467,0.17190476993474876,-1.1993605704769466,0.002971951615429291,1.869,2839.2000000000116,0.00019395481957144007,0.994954668688509,0.22987285223367698,0.4273907454484013,9.001099033947773,2.947344181565443,0.17600000000000016,2887.4400000000023,-0.0003416459923446832,0.5195925700730234,0.9326271186440679,421
22,3.894495726495726,0.17211662164676883,-1.1992410065504324,0.004968315850421313,1.8719999999999999,2842.8000000000466,0.00019386069878578915,0.994954668688509,0.23694809688581314,0.44516442897483466,8.894431550411664,2.9457078092559725,0.17300000000000004,2854.8699999999953,-0.0003568977572765309,0.5184331261987143,0.9351694915254237,420
23,3.8935344827586205,0.17074814562794616,-1.2001675567938692,0.0035052879692504813,1.862,2829.1500000000233,0.00019393461934923983,0.9950514963028251,0.24143609022556395,0.43672630094587106,8.421430699959082,2.8610076571634266,0.1679999999999997,2630.9700000000885,-0.00038810321245598677,0.5366404461291892,0.9377118644067798,419
24,3.895836206896552,0.17067655369736348,-1.1984005651302867,0.0023234298842664393,1.8590000000000002,2822.4400000000605,0.0001953037672528967,0.9950514963028251,0.233463503649635,0.4316650959637503,8.815146093931256,2.9197335671708715,0.16800000000000015,2717.4000000000233,-0.00036828845289616744,0.5244246260233826,0.9343220338983051,418
25,3.8938620689655177,0.17034389240345663,-1.1983736709700925,0.001162563829427703,1.858,2823.149999999907,0.00019396145818584103,0.9950514963028251,0.23341218637992836,0.4314211566246283,8.78242047591555,2.9154638031986373,0.17100000000000026,2764.4899999999907,-0.00036166738203332975,0.5252386521646152,0.9326271186440679,417
26,3.8959310344827585,0.1705340320052394,-1.1993678457043266,0.003361676741992124,1.857,2820.6999999999534,0.0001944809956275189,0.9950514963028251,0.22994405594405593,0.42912713163454846,8.94927854525842,2.9406686712019052,0.17300000000000004,2834.0400000000373,-0.0003492367754342166,0.518063120295803,0.9317796610169491,416
27,3.8945811965811963,0.17215376243127972,-1.1989096533468067,0.0021251060032240793,1.8679999999999999,2837.2600000000093,0.0001940965248225554,0.994954668688509,0.2473695652173913,0.45370768444550413,8.320519362202925,2.860642444527302,0.17300000000000004,2724.140000000014,-0.00038693640974922164,0.5351871909968715,0.9309322033898306,415
28,3.8952820512820514,0.1723448750853061,-1.200754440383935,0.0020045518625574944,1.8679999999999999,2837.5100000000093,0.00019431315678185008,0.994954668688509,0.23399646643109542,0.4319718149644023,8.715911791057808,2.9064994068128494,0.17399999999999993,2805.030000000028,-0.0003575396479966234,0.5229026256731526,0.9305084745762713,414
29,3.8992184873949576,0.1735125726731603,-1.2226192202353068,-0.022688473739465816,1.9019999999999997,2892.9400000000605,0.000194410121585076,0.9940909042827606,0.2473507462686567,0.515295199311907,13.89645423919091,3.5506851334052727,0.1679999999999997,2649.780000000028,-0.0004093018848138236,0.43641273820544396,0.9313559322033899,413
30,3.895620689655173,0.1704393634454616,-1.1985443066401889,0.002807059105556561,1.8559999999999999,2819.140000000014,0.00019465166577777067,0.9950514963028251,0.23192857142857148,0.4312469731707338,8.844158814124409,2.9258061799680006,0.17099999999999982,2777.0999999999767,-0.00035925263792490773,0.5202753974641089,0.9322033898305085,412
31,3.894887931034483,0.17080926415929168,-1.2012864006528579,0.003312038949405843,1.8570000000000002,2820.4499999999534,0.0001944465855187824,0.9950514963028251,0.23483272727272725,0.4339627212682721,8.681586805304958,2.901620889027139,0.16900000000000004,2726.969999999972,-0.00036980905873907266,0.5241569751197531,0.9355932203389832,411
32,3.8953620689655177,0.17075445867508496,-1.2011389571715894,-0.0006054633076103094,1.857,2820.539999999921,0.00019518264578920202,0.9950514963028251,0.23939080459770118,0.4379620818585653,8.472574069170483,2.870036397833085,0.16400000000000015,2588.3699999999953,-0.00039554146477662963,0.5310081552800288,0.9364406779661018,410
33,3.8955086206896548,0.17124508222400736,-1.2001014467973086,0.0008602021864905507,1.856,2818.329999999958,0.00019561534642276044,0.9950514963028251,0.2422862595419847,0.4397112581438481,8.311580833512505,2.8458393434207285,0.16599999999999993,2591.810000000056,-0.0003974750108468561,0.5379651691680989,0.9330508474576271,409
34,3.8956581196581204,0.1720464633710987,-1.2006848956688094,0.0014305688111366814,1.8619999999999999,2828.180000000051,0.00019515098217366876,0.994954668688509,0.2373639705882353,0.43598653863453524,8.528814782658811,2.8795282992974993,0.16999999999999993,2696.79999999993,-0.0003769520761352231,0.5259776010786025,0.9317796610169491,408
35,3.8939827586206888,0.1706889865660129,-1.2011532139566203,0.00433053727078967,1.8530000000000002,2814.829999999958,0.00019447849463149547,0.9950514963028251,0.23302867383512546,0.4329345397650969,8.743280947008603,2.9114545680177066,0.16999999999999993,2769.0299999999115,-0.0003628068661007811,0.521553033046728,0.9313559322033899,407
36,3.895862068965517,0.17074287286935919,-1.1997762752251,0.0010475579869061588,1.852,2813.3699999999953,0.0001950278549356892,0.9950514963028251,0.24376779026217227,0.44078690571733825,8.193621461377367,2.82936635342309,0.17100000000000026,2646.0400000000373,-0.0003919536407499015,0.5351928106389157,0.9305084745762713,406
37,3.895637931034483,0.17055466529260774,-1.2002553241571914,0.0027696590869814544,1.85,2810.1300000000047,0.00019482751819024428,0.9950514963028251,0.2293111888111888,0.4304543144827652,8.910050224134837,2.9367065691236878,0.17200000000000015,2832.7399999999907,-0.00035002799475110504,0.5163476438239668,0.9305084745762713,405
