cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.8935555555555554,0.17186599854520002,-1.198815311742881,0.0011032747852367144,1.856,2819.3300000000163,0.0001929956739417727,0.9949546686885089,0.18927699530516434,0.38048925567130476,12.137591354289594,3.3582305921923163,0.2140000000000002,4235.830000000016,-0.00019489874971872145,0.4650343814200592,0.9343220338983051,539
2,3.895913793103448,0.17082544199908545,-1.2015917725203793,0.0033464394593407678,1.8490000000000002,2809.0599999999977,0.0001936143011732336,0.9950514963028251,0.19879462102689488,0.3998359122636455,11.76580887693407,3.324686048716912,0.21099999999999985,4057.7299999999814,-0.00021369698721576517,0.4737103600732913,0.9343220338983051,538
3,3.895344827586207,0.17099067370693824,-1.2005190651642808,0.0036631213096110274,1.852,2813.0900000000256,0.00019358675982926706,0.9950514963028251,0.1971501272264631,0.3894431992801325,11.496587879959067,3.2798246173060708,0.20599999999999996,3906.5499999999884,-0.00021885758392408675,0.47682263857152096,0.9326271186440679,537
4,3.893940170940171,0.17205158060775175,-1.1986566878138887,0.0015693350392341197,1.862,2827.25,0.00019298744140428857,0.9949546686885089,0.20891315789473686,0.4095894273963334,10.986901560102208,3.2256841341450375,0.20599999999999974,3763.6699999999837,-0.00023941015824925185,0.4879692379574297,0.9330508474576271,536
5,3.894525862068965,0.17046266765619905,-1.1999234385528608,0.0010600017847024609,1.854,2816.5400000000373,0.00019295718127679365,0.9950514963028251,0.19810026385224275,0.3913609012151447,11.442661369154356,3.2744592203578473,0.1990000000000003,3767.1599999999744,-0.00022800761458297307,0.4748913885754412,0.9360169491525424,535
6,3.8939999999999997,0.17211433649637153,-1.198926584670169,0.004572641972191647,1.8679999999999999,2837.789999999979,0.0001933920256829242,0.9949546686885089,0.2059556786703601,0.40973517629906975,11.247649156785169,3.2618704268665115,0.19099999999999984,3573.1300000000047,-0.00025025929100905075,0.48081386650126906,0.9338983050847459,534
7,3.893448275862069,0.17070005959233753,-1.2006545255913956,0.0033509852857107635,1.8559999999999999,2819.4700000000303,0.0001929320084601293,0.9950514963028251,0.20493593314763228,0.3982213932059379,10.910173734553647,3.2054374367703957,0.19500000000000028,3560.890000000014,-0.0002478101582775766,0.4887324226051388,0.9317796610169491,533
8,3.8949224137931044,0.17070789446415127,-1.2013083262814632,0.0026162014962372625,1.855,2818.0999999999767,0.00019318150201357793,0.9950514963028251,0.2060532212885154,0.3998414362292009,10.819198956702758,3.19477967346244,0.19399999999999995,3547.920000000042,-0.00025052268487079824,0.4905330164752861,0.9309322033898306,532
9,3.893965811965812,0.17224165720369355,-1.2019760162975595,0.0007213832101438628,1.865,2833.8300000000163,0.0001929490190509217,0.994954668688509,0.2049783783783784,0.40984356136054045,11.213802274089273,3.2598698988693404,0.19599999999999973,3667.2399999999907,-0.00024393036176838495,0.4803716269535678,0.9305084745762713,531
10,3.8940170940170944,0.1720632393219575,-1.1999352120807594,0.0008891952526804639,1.864,2832.1599999999744,0.0001929583660203345,0.9949546686885089,0.20668579234972684,0.41178294211153044,11.089495402843866,3.244571153573935,0.19600000000000017,3628.780000000028,-0.00024827961027622215,0.48085328387167453,0.9300847457627118,530
