cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.8317505438723707,0.16783875085812844,-0.9955982091394855,0.5232114277884413,3.828,13780.001000000004,4.1243243884511264e-05,0.9719055080761385,0.32976635514018693,0.24063115042624383,1.0556615901773796,1.35971471743556,0.09199999999999964,1030.703999999998,-0.0006979857904064232,0.8541797581782586,0.9746,378
2,3.8317505438723707,0.16783875085812844,-0.9955982091394855,0.5232114277884413,3.828,13780.001000000004,4.124324388451133e-05,0.9719055080761385,0.32976635514018693,0.24063115042624383,1.0556615901773796,1.35971471743556,0.09199999999999964,1030.703999999998,-0.0006979857904064216,0.8541797581782586,0.9746,377
3,3.8321279999999995,0.16809397600318385,-1.0001850131228527,0.5203491522026669,3.817,13740.001000000004,4.14347474352345e-05,0.972296291514508,0.3378484848484849,0.24353423945822736,0.9456606876064395,1.3313525346480988,0.0860000000000003,951.1380000000063,-0.0007657166643618311,0.8644531563774641,0.9736,376
4,3.8321279999999995,0.16809397600318385,-1.0001850131228527,0.5203491522026669,3.817,13740.001000000004,4.143474743523446e-05,0.972296291514508,0.3378484848484849,0.24353423945822736,0.9456606876064395,1.3313525346480988,0.0860000000000003,951.1380000000063,-0.0007657166643618382,0.8644531563774641,0.9736,375
5,3.8323600583090376,0.1680847536622796,-1.002795040267074,0.519048035507955,3.809,13710.001000000018,4.152575302566135e-05,0.9723171671422529,0.33388999999999996,0.24367613441789593,0.97536757235713,1.340798785398347,0.08700000000000063,964.1239999999816,-0.000757282217103529,0.8593207484672493,0.9715999999999999,374
6,3.8322248175182474,0.1679485050044779,-0.9996746051265211,0.521005703720418,3.8040000000000003,13690.002000000008,4.1546815785160614e-05,0.9720949620549468,0.3357087378640776,0.24216064312716867,0.9666246550899555,1.3335367726183909,0.09000000000000075,985.7079999999842,-0.0007327808238127021,0.8634997220651026,0.9692000000000001,373
7,3.832521137026239,0.16819292348115175,-1.001807253402699,0.5199362865297633,3.809,13710.002000000008,4.1548797898174435e-05,0.9725132535735483,0.33892929292929286,0.2436515265252126,0.9188278892130137,1.3217449564863732,0.08800000000000008,956.2919999999576,-0.0007669992727613418,0.8640670327948149,0.9698,372
8,3.8326600877192982,0.1681546883829199,-1.002831211109714,0.5193633482418485,3.798,13670.00099999999,4.166267875364124e-05,0.9724493067436252,0.3372970297029703,0.24343387375443276,0.9286114769218523,1.3247641750003356,0.08999999999999986,973.2280000000028,-0.0007512808111234363,0.862692447225483,0.9682000000000001,371
9,3.83270007315289,0.16812607046798214,-1.0029794499959095,0.5194551998546232,3.795,13660.00099999999,4.168506040206209e-05,0.9724125769083282,0.3285882352941176,0.23477060018602516,1.0673441146391838,1.3461047027084168,0.08800000000000008,985.5520000000251,-0.0007166499366710254,0.8606247007049881,0.9682000000000001,370
10,3.83261420204978,0.16816900117341238,-1.0062929091770587,0.5169959321795456,3.792,13650.002000000037,4.173388235878518e-05,0.9725437141829721,0.3377448979591837,0.24447736434020176,0.9185658789494013,1.3241632801299252,0.08599999999999941,936.8939999999711,-0.000777808619155807,0.8624945846282156,0.9676,369
11,3.8328792093704243,0.16833019415245667,-1.0066329549706952,0.5169255454581825,3.792,13650.00099999999,4.1773757627299155e-05,0.9726647442378329,0.3300309278350515,0.2367303077699146,1.0283256933771376,1.33752769749806,0.08300000000000018,933.3890000000247,-0.0007606345813712265,0.8631350748380002,0.967,368
12,3.8330557184750735,0.16831681462249448,-1.0083969436167113,0.5162541502213902,3.787,13630.001000000047,4.183276487741506e-05,0.9726712667426645,0.3375876288659793,0.2451355812171994,0.9047090351658706,1.3222781782611475,0.08599999999999941,930.7599999999511,-0.0007879094931048994,0.8598173872815202,0.9662000000000001,367
13,3.832983847283407,0.16818389755851257,-1.0063035009665882,0.5175725948270946,3.782,13610.002000000037,4.1857022918640465e-05,0.9725550666285093,0.3376199999999999,0.2437249973708777,0.9130759195990885,1.319983624695695,0.08899999999999952,967.8640000000014,-0.0007596889234042839,0.8623954857304943,0.9646000000000001,366
14,3.8331093979441997,0.16824024296582796,-1.0080207354912787,0.5165333466383608,3.7809999999999997,13610.001999999979,4.1873809086950836e-05,0.9726300698552387,0.33722222222222226,0.24410517788134015,0.912732570190951,1.3207186898380248,0.0860000000000003,946.7160000000149,-0.0007689111100818393,0.8621260975593427,0.9650000000000001,365
15,3.8331206769683592,0.16838319832858814,-1.0109520010506308,0.5140678384078876,3.7720000000000002,13580.001000000047,4.201049351498437e-05,0.9729078731827798,0.3361836734693877,0.2449189786897883,0.9082899931610289,1.319693001253671,0.08399999999999963,933.4619999999413,-0.0007797998943939466,0.8581640887671139,0.9638,364
16,3.8329793966151584,0.16813570029481192,-1.0086319208151675,0.5160582108293265,3.7729999999999997,13580.001999999979,4.194157486678691e-05,0.9726271250438097,0.33492,0.2438688039404662,0.9325803473529404,1.325715261516297,0.08699999999999974,955.4440000000177,-0.0007606571314721209,0.8605865641462391,0.9632,363
17,3.8329793966151584,0.16813570029481192,-1.0086319208151675,0.5160582108293265,3.7729999999999997,13580.001999999979,4.19415748667873e-05,0.9726271250438097,0.33492,0.2438688039404662,0.9325803473529404,1.325715261516297,0.08699999999999974,955.4440000000177,-0.0007606571314721446,0.8605865641462391,0.9632,362
18,3.8329955784819454,0.1681047660532452,-1.0053259559820649,0.5180071502567486,3.7670000000000003,13560.001000000047,4.1989658644362256e-05,0.9725872616985174,0.3368653846153847,0.24262796874500342,0.9195233048035947,1.3195059200745243,0.09200000000000053,1006.6299999998882,-0.0007275734679290567,0.8635024193594686,0.9596,361
19,3.8331982313927777,0.16786946149631984,-1.006646387267247,0.5170611917731894,3.767,13560.001000000047,4.1933680255718535e-05,0.9724299384680316,0.33617475728155344,0.24292032209341793,0.9234257491910594,1.3219483003491512,0.08999999999999986,991.6539999999804,-0.000735374046608211,0.8617014240274541,0.9602,360
20,3.8331982313927777,0.16786946149631984,-1.006646387267247,0.5170611917731894,3.767,13560.001000000047,4.1933680255718366e-05,0.9724299384680316,0.33617475728155344,0.24292032209341793,0.9234257491910594,1.3219483003491512,0.08999999999999986,991.6539999999804,-0.0007353740466082289,0.8617014240274541,0.9602,359
21,3.83308788774003,0.16798992627506903,-1.007003478097075,0.5170595308303336,3.7590000000000003,13530.001000000047,4.205619907113373e-05,0.9724701447212821,0.33575961538461535,0.2429139643606436,0.9235312852471189,1.3217032649815537,0.09100000000000019,998.7079999999842,-0.0007284980698135613,0.8614823085240989,0.9586,358
22,3.83308788774003,0.16798992627506903,-1.007003478097075,0.5170595308303336,3.7590000000000003,13530.001000000047,4.205619907113204e-05,0.9724701447212821,0.33575961538461535,0.2429139643606436,0.9235312852471189,1.3217032649815537,0.09100000000000019,998.7079999999842,-0.0007284980698135693,0.8614823085240989,0.9586,357
23,3.833260901699926,0.16813012030367533,-1.0105108022556846,0.5147206370878181,3.756,13520.001999999979,4.2129249535643914e-05,0.972754151583931,0.3360792079207921,0.2447919395392061,0.9052209054801446,1.3207028781070087,0.08800000000000008,966.7580000000307,-0.0007559335813247362,0.8616904481748555,0.9578,356
24,3.8335332348596753,0.16817906332989638,-1.0121572578574627,0.5140367795907644,3.7590000000000003,13530.001000000047,4.211166074457963e-05,0.9727443421991006,0.3377551020408163,0.2457016068585553,0.8702989736556166,1.3106139779620953,0.08499999999999996,942.9459999999963,-0.0007821049175023732,0.8639429044739717,0.9582,355
25,3.8334489644970415,0.16826005672846625,-1.0141547964205304,0.5122987226197318,3.753,13510.000999999931,4.220008018367879e-05,0.9729429509164427,0.33934020618556704,0.24582746687624304,0.8588657700557474,1.30808624519452,0.08499999999999996,932.1040000000503,-0.0007911419535332151,0.864289389881022,0.9576,354
26,3.833635355029586,0.16841212806057093,-1.0135538324282027,0.5127280575972621,3.754,13510.001999999979,4.223674415546054e-05,0.9730390857188895,0.3398556701030928,0.24540718670247488,0.852436081081219,1.3037937698557416,0.08699999999999974,929.25,-0.0007910337384631361,0.8669757796993505,0.9570000000000001,353
27,3.8339185185185185,0.16850777739624442,-1.016780237108778,0.510176921535622,3.747,13490.001000000047,4.233190298194385e-05,0.9732779665384544,0.34085263157894735,0.246880019460787,0.8295245530960642,1.2997878350196077,0.08400000000000052,914.2299999999814,-0.0008118783308560407,0.8606938457627071,0.9564,352
28,3.833862962962963,0.16837421180953438,-1.0149505435625084,0.511832131281017,3.7479999999999998,13490.000999999931,4.229219659441061e-05,0.9730776586417768,0.3374897959183674,0.24565138507158227,0.8809539963151924,1.3151132020513105,0.0860000000000003,939.6680000000633,-0.0007822988314173116,0.8625830303349948,0.9555999999999999,351
29,3.833820607857673,0.16824527406624026,-1.0161606727399488,0.5111025484233584,3.7449999999999997,13480.001999999979,4.2292888585772076e-05,0.9730793409919857,0.33959374999999997,0.24663638601774623,0.8472615100559842,1.3055883384929883,0.08400000000000052,919.4580000001006,-0.0008022379452339646,0.8644220552821461,0.9551999999999999,350
30,3.8338554484803558,0.16840674411449372,-1.0159243742572355,0.5111832775911579,3.7439999999999998,13480.001999999862,4.2333522337069034e-05,0.973149874451783,0.33424210526315795,0.23795716205704778,0.9453800252044329,1.3147243254625929,0.0829999999999993,913.5800000000745,-0.0007828932811268967,0.8630941390793949,0.9544,349
31,3.833963649851632,0.16840959900052604,-1.0166094030687067,0.5107193537997317,3.742,13470.002000000095,4.236680533078791e-05,0.9732322764295599,0.3411041666666667,0.24660846782604356,0.8239757743527636,1.297947482701031,0.08499999999999996,922.0519999999087,-0.0008032487880045919,0.860439319292163,0.954,348
32,3.8339391239792135,0.16832877290040535,-1.0175204405009481,0.5102742308233991,3.739,13460.002000000095,4.237880396086089e-05,0.9731240958166866,0.34195789473684207,0.24685773815932474,0.8085831491903801,1.292120579774862,0.08399999999999963,908.0479999999516,-0.0008132259258636599,0.8669193444109785,0.9536,347
33,3.8342956909361066,0.16846149729430016,-1.0185622794187623,0.5093227130696236,3.7369999999999997,13450.000999999931,4.244710253278814e-05,0.9733102750583736,0.33851041666666665,0.24637955292774844,0.8466898488205374,1.306053627422662,0.08399999999999963,918.6820000000298,-0.0008016897126705537,0.8580640290308574,0.953,346
34,3.8342017804154302,0.16859999778895987,-1.0206779905737517,0.5078915099973235,3.742,13470.000999999931,4.242314052966118e-05,0.9734166263572509,0.33347252747252754,0.23976244449961256,0.9455681315257136,1.3194952570623115,0.07899999999999974,873.283000000054,-0.000822647676349067,0.8602928508912079,0.9532,345
35,3.8341874999999996,0.1683395868265284,-1.019396696026,0.5089653598001991,3.731,13430.001999999862,4.248002733579044e-05,0.9733887490346955,0.3421368421052632,0.24725904284073694,0.7987082908533472,1.2918010210251551,0.08300000000000018,911.2460000000428,-0.0008137232698168556,0.866239465890554,0.9518000000000001,344
36,3.8341466865227103,0.16825163031865253,-1.0193684631792783,0.5089147075632997,3.7279999999999998,13420.001999999862,4.24893661374787e-05,0.9731767213931206,0.338958762886598,0.24593863214588094,0.8571291011583706,1.307241624453074,0.0860000000000003,927.6319999999832,-0.0007921382246346798,0.8588631246608234,0.9512,343
37,3.8342749627421755,0.1683435408754161,-1.0206504266932197,0.5078784271539744,3.7249999999999996,13410.002000000095,4.254770651514506e-05,0.9733672555929601,0.3412736842105264,0.24736438115878653,0.8045802841902874,1.2933841909374943,0.08399999999999963,907.8219999999274,-0.0008146656579028355,0.8610361899514857,0.9506,342
38,3.834212369597616,0.16829914702512472,-1.0189778254254498,0.5089348997423645,3.7259999999999995,13410.002000000095,4.253291956600826e-05,0.9732839515434798,0.33974489795918367,0.24583639313615807,0.836900025102024,1.3021440792809096,0.08499999999999996,934.3840000000782,-0.0007839879730368374,0.8625830303349948,0.9490000000000001,341
39,3.834402529761905,0.16828170021278885,-1.0189678100844062,0.5092335148551624,3.7310000000000003,13430.000999999931,4.2463154724012055e-05,0.9732278554661749,0.34055670103092783,0.2468278739439087,0.8181837756062893,1.2974903829759035,0.08499999999999996,927.0879999999888,-0.0007953106711937035,0.8663341559722202,0.9492,340
40,3.834402529761905,0.16828170021278885,-1.0189678100844062,0.5092335148551624,3.7310000000000003,13430.000999999931,4.246315472400946e-05,0.9732278554661749,0.34055670103092783,0.2468278739439087,0.8181837756062893,1.2974903829759035,0.08499999999999996,927.0879999999888,-0.0007953106711936615,0.8663341559722202,0.9492,339
41,3.834402529761905,0.16828170021278885,-1.0189678100844062,0.5092335148551624,3.7310000000000003,13430.000999999931,4.2463154724010734e-05,0.9732278554661749,0.34055670103092783,0.2468278739439087,0.8181837756062893,1.2974903829759035,0.08499999999999996,927.0879999999888,-0.0007953106711938163,0.8663341559722202,0.9492,338
42,3.834402529761905,0.16828170021278885,-1.0189678100844062,0.5092335148551624,3.7310000000000003,13430.000999999931,4.246315472400905e-05,0.9732278554661749,0.34055670103092783,0.2468278739439087,0.8181837756062893,1.2974903829759035,0.08499999999999996,927.0879999999888,-0.000795310671193718,0.8663341559722202,0.9492,337
