cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.968653846153845,0.1267356208112683,-0.37229738551736613,-0.2926078219787713,2.139,770.0000000000009,0.0005502434274586196,0.9454852867333812,1.3580974212034385,2.061289264758969,5.0007883260208,2.3257517740896403,1.274,3457.053,-0.001532193137264538,0.641918734688973,0.6904,572
2,3.968653846153845,0.1267356208112683,-0.37229738551736613,-0.2926078219787713,2.139,770.0000000000009,0.0005502434274586163,0.9454852867333812,1.3580974212034385,2.061289264758969,5.0007883260208,2.3257517740896403,1.274,3457.053,-0.0015321931372645353,0.641918734688973,0.6904,571
3,3.968358974358973,0.1267136022546001,-0.3843569305074106,-0.28611384514155974,2.139,770.0,0.0005503129781610795,0.9454852867333812,1.3635826086956522,2.0643147674225917,4.9636312641572795,2.318071291649641,1.2650000000000001,3419.34,-0.0015547821371440557,0.643759500877143,0.6894,570
4,3.9683333333333324,0.1267625519968125,-0.3864341049166913,-0.2857787511606887,2.139,770.0,0.0005505633606899459,0.9472000797001238,1.3702076023391814,2.070185822095821,4.902562293478806,2.3064850596860293,1.2599999999999998,3384.8940000000002,-0.0015762773033085227,0.6446123944964522,0.6881999999999999,569
5,3.968499999999999,0.12672382795444811,-0.38642491489291864,-0.2851716601738617,2.139,770.0,0.0005503977035622586,0.9454852867333812,1.3698709677419356,2.069768860583926,4.911584707062026,2.307805573903834,1.2550000000000003,3373.522000000001,-0.001580714285025973,0.6449337158941428,0.6874,568
6,3.968461538461537,0.12656425833746068,-0.3923778154839823,-0.280800148243185,2.139,770.0,0.0005497970384046351,0.9472000797001238,1.3852738095238093,2.0787518979336514,4.810839819682806,2.288386976086296,1.251,3328.979000000003,-0.0016172107639381018,0.6491760527475053,0.6864,567
7,3.965870129870129,0.12477235593897333,-0.3729870898899392,-0.2979322355064161,2.1109999999999998,759.9999999999964,0.0005487197013512809,0.9463418923870415,1.381752976190476,2.075106911467688,4.85219166468764,2.295798472016648,1.2479999999999998,3326.8300000000017,-0.0016128090356631953,0.6487041665186989,0.6858,566
8,3.9686025641025626,0.12643034525434235,-0.39864020208305506,-0.27651437412588487,2.139,770.0,0.0005493025961380417,0.9472000797001238,1.3822626865671643,2.0755626081547156,4.842790501449305,2.2935633243166325,1.2440000000000002,3313.6540000000023,-0.0016190961888359837,0.6495010017882691,0.6858,565
9,3.967974358974359,0.12612918283478555,-0.39437673971615794,-0.2777242219280833,2.139,770.0,0.0005479533125102779,0.9472000797001238,1.3814550898203592,2.0750078829231553,4.860947883887835,2.2974159609980185,1.2390000000000003,3305.1440000000002,-0.001622129875363147,0.6490159279599429,0.6856,564
10,3.9674102564102562,0.12578795142861945,-0.39333079909635504,-0.2762979610903608,2.139,770.0,0.0005464813667345317,0.9472000797001238,1.3928030303030303,2.080592001471344,4.793389681984775,2.284301528618171,1.2349999999999999,3265.0469999999987,-0.001650824651315434,0.6521501522236541,0.6841999999999999,563
11,3.968717948717947,0.12609467659606996,-0.3962636189102451,-0.27471460455105806,2.139,770.0,0.0005478521478521492,0.9472000797001238,1.3773862275449102,2.072505135111854,4.887938421503223,2.30227046641935,1.2360000000000002,3301.203999999998,-0.0016191134773365847,0.6480396599931059,0.6839999999999999,562
12,3.968435897435896,0.12600603878990013,-0.39396484826060263,-0.2711860243863435,2.139,770.0,0.0005474348436373669,0.9472000797001238,1.3826475903614457,2.074705607746778,4.869437179192476,2.298614947678337,1.233,3282.143999999993,-0.0016321923914412438,0.6489210807389169,0.6828000000000001,561
13,3.9666753246753257,0.12434189300795243,-0.37658293623810035,-0.29235756333218893,2.1109999999999998,760.0,0.0005469214995530867,0.9463418923870415,1.4079189189189187,2.125264488721466,4.8429873458686075,2.2987486754510993,1.2360000000000002,3282.0720000000074,-0.001664083513823832,0.6511332115651627,0.6822,560
14,3.9664675324675334,0.12417512934472238,-0.3737790784369017,-0.2881177900434105,2.1109999999999998,760.0,0.0005461775067038142,0.9463418923870415,1.4082439759036145,2.124873371196314,4.849704319987467,2.29990835989586,1.234,3272.7889999999898,-0.0016686323014411862,0.6514757495525076,0.6812,559
15,3.9677792207792195,0.12445540560214871,-0.37808407827791957,-0.2871141260533478,2.1109999999999998,760.0,0.0005474630632525344,0.9463418923870415,1.3799246987951808,2.0734876125766877,4.888031670288785,2.302161676875295,1.23,3282.3759999999893,-0.0016302282389628693,0.6489210807389169,0.6804,558
16,3.9680779220779225,0.12449706889741011,-0.3772159644042281,-0.2873595858002691,2.1109999999999998,760.0,0.0005476418318523489,0.9463418923870415,1.3775090361445783,2.0724169646687423,4.904227029759456,2.305183411059918,1.2280000000000002,3282.6640000000043,-0.001628376538951166,0.6473740227440331,0.679,557
17,3.9694805194805194,0.12484459923289165,-0.38367884157609033,-0.28425557995915707,2.1109999999999998,760.0,0.000549271780850724,0.9463418923870415,1.3827703927492447,2.0746156873385146,4.881441974710359,2.3007342712623897,1.229,3278.072,-0.0016366336291553849,0.6498648716326944,0.6778,556
18,3.9702987012987014,0.12505157514265705,-0.39183148247586663,-0.2776208482074077,2.1109999999999998,760.0,0.0005503128450496919,0.948078955392313,1.3868757575757578,2.0774571930059644,4.855127110576168,2.2959815256554563,1.229,3267.076000000001,-0.0016452575604185588,0.6513940781112986,0.6776,555
19,3.9701948051948066,0.1249246129472785,-0.385320779836813,-0.2807045074614678,2.1109999999999998,760.0,0.0005496766391503109,0.9463418923870415,1.379703927492447,2.0721326629059003,4.906456544900551,2.305172672412466,1.226,3271.3419999999896,-0.0016337940239274915,0.6496573815838139,0.6764,554
20,3.968157894736842,0.12329910003797855,-0.35987521524999755,-0.3013432176105419,2.083,750.0,0.0005492358168147738,0.9472647226947396,1.3794199395770395,2.0729301005832874,4.904633415489129,2.3052598360277172,1.226,3279.7360000000044,-0.001633868801455329,0.6494568966718615,0.6769999999999999,553
21,3.970376623376623,0.12494230657651123,-0.3890210636588809,-0.27694084625686943,2.1109999999999998,760.0,0.0005497949419001882,0.948078955392313,1.3779063444108761,2.071849832291348,4.922680713269238,2.308532061008373,1.225,3271.8650000000052,-0.0016325136387128683,0.6488317224777722,0.6748000000000001,552
22,3.969315789473684,0.12344739344096503,-0.3621746917794999,-0.297681338601175,2.083,750.0,0.0005499384825700748,0.9472647226947396,1.402509036144578,2.1215431260211632,4.901415539288238,2.3093277616801875,1.225,3277.7920000000013,-0.001663678733679294,0.6498231286539523,0.6761999999999999,551
23,3.9702207792207798,0.12467817765589674,-0.3812617222039294,-0.27791182809595,2.1109999999999998,760.0,0.0005485383038014588,0.9463418923870415,1.3803768996960488,2.0727764792961363,4.910049466312038,2.305925251533455,1.2190000000000003,3257.4560000000056,-0.0016439632921843616,0.650035548675466,0.6738000000000001,550
24,3.970105263157895,0.12357643561212017,-0.3641748464704251,-0.29468191287404755,2.083,750.0,0.0005505645933014015,0.9426019905859092,1.3844437689969604,2.0753553054674985,4.8789305324208625,2.2999785831096915,1.2229999999999999,3256.0840000000026,-0.0016479143599034817,0.6504864307761741,0.675,549
25,3.9702337662337674,0.12435326335885706,-0.37846033125017975,-0.2772169140977544,2.1109999999999998,760.0,0.0005470897523529069,0.9463418923870415,1.3850398773006134,2.0753580854927884,4.8862698154015,2.301170134857422,1.2119999999999997,3227.578999999998,-0.0016628703495433451,0.6515676830852837,0.673,548
