cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.925172018348624,0.14136235692541446,-1.1309089307481548,0.13859048861666598,2.419,8710.001000000004,5.603531629082951e-05,0.9941071410788443,0.35030158730158734,0.2640937415999829,0.579898429355568,1.2600200276730569,0.05600000000000005,590.8419999999969,-0.001312937126478015,0.8330117160402141,0.9992000000000001,170
2,3.9244575688073393,0.1417567183546337,-1.1328725059982157,0.14000587472028447,2.419,8710.000999999997,5.619098724377125e-05,0.9938587996033847,0.3524354838709678,0.26545448938258437,0.5243475456990705,1.2417707058605285,0.05400000000000027,576.7820000000065,-0.0013456070985289426,0.8330824018365215,0.9992000000000001,169
3,3.923944954128441,0.1420500524560035,-1.1347718368761746,0.14140028978261798,2.419,8709.999999999993,5.6306235919472196e-05,0.9938899804466461,0.3551475409836066,0.266745686379716,0.4799587756910606,1.228881545540562,0.05400000000000027,565.5580000000045,-0.001377123145627395,0.8314545085664069,0.9992000000000001,168
4,3.9234908256880736,0.14228626860983012,-1.1364096133239727,0.1424976493655278,2.419,8710.0,5.639929983618709e-05,0.9941651486168123,0.35791666666666677,0.26758843250230296,0.42777404516860607,1.2123060534875052,0.052999999999999936,555.5380000000005,-0.0014072119363299665,0.8380329444714518,0.9992000000000001,167
5,3.9230837155963303,0.14249846571479083,-1.1384139789457215,0.14325138977546079,2.419,8710.0,5.648298442599178e-05,0.9938899870384673,0.3576000000000001,0.2676569522127094,0.4205549317245101,1.2100281725657218,0.052999999999999936,553.596000000005,-0.0014088919041589396,0.8360986227062482,0.9992000000000001,166
6,3.922741972477064,0.14271278126986772,-1.139907304331888,0.1442242260272783,2.419,8710.0,5.6567131421590227e-05,0.9937922910616753,0.35813333333333336,0.2691577236974423,0.3881328227453973,1.2004910005725895,0.052000000000000046,553.5219999999972,-0.001417359953335464,0.8353852365861228,0.9992000000000001,165
7,3.922411697247706,0.1428922068525978,-1.1414065892153973,0.1449828115812953,2.419,8710.00099999999,5.6637620848857025e-05,0.9941712049793507,0.36193220338983056,0.2690941294357525,0.35291779708053683,1.1857446031868712,0.052000000000000046,543.7179999999935,-0.00144502359037283,0.8399469924927053,0.9992000000000001,164
8,3.922411697247706,0.1428922068525978,-1.1414065892153973,0.1449828115812953,2.419,8710.001000000004,5.663762084885659e-05,0.9941712049793507,0.36193220338983056,0.2690941294357525,0.35291779708053683,1.1857446031868712,0.052000000000000046,543.7179999999935,-0.0014450235903728053,0.8399469924927053,0.9992000000000001,163
9,3.8338264094955488,0.16935370264543775,-1.0277566921032517,0.5029268567431718,3.742,13470.0,4.2631438687587456e-05,0.9740171866333399,0.353469696969697,0.26374417789837823,0.49382675022694666,1.2269607316812299,0.056999999999999496,611.859999999986,-0.001259042143047561,0.8416341254364709,0.9992000000000001,162
10,3.922590126291619,0.1432331058625816,-1.146412330257509,0.13649962580272043,2.417,8700.0,5.684457461070313e-05,0.9938732859727634,0.3562539682539682,0.2656873598225607,0.42841649301245965,1.2059386846784863,0.055999999999999606,586.4280000000144,-0.0013312966932392243,0.8417199573795515,0.9992000000000001,161
11,3.922071182548794,0.14351694836307852,-1.148882466946521,0.13749315340547485,2.417,8700.0,5.6956234329774695e-05,0.993698080191424,0.3585645161290323,0.26671699380772046,0.3825777312803291,1.1889481516889437,0.054999999999999716,577.5479999999807,-0.001360775050582735,0.8413067048028089,0.9992000000000001,160
12,3.921684270952928,0.14370187920012056,-1.1510784216794485,0.13834156491926747,2.417,8700.0,5.702926307309524e-05,0.9932157457993711,0.35819354838709694,0.2676226753306546,0.3808428565565234,1.1936471100870139,0.054999999999999716,573.7760000000126,-0.0013655841728487227,0.8355910977016621,0.9992000000000001,159
13,3.921374282433984,0.14385096048375712,-1.1528955953661872,0.13937726612990495,2.417,8700.0,5.7087385693391136e-05,0.99355520259996,0.361049180327869,0.2676500467793413,0.34512288747374686,1.1784315553276004,0.053999999999999826,565.5080000000307,-0.00139097340605802,0.837965505410319,0.9992000000000001,158
14,3.921074626865672,0.14401428788174023,-1.154196019764365,0.14066420933034052,2.417,8700.0,5.715091650500765e-05,0.993428042861903,0.36159016393442633,0.26802234838716843,0.3290483737547847,1.173739357946883,0.053999999999999826,566.7339999999967,-0.0013926686568199122,0.8321561998321041,0.9992000000000001,157
15,3.920853042479908,0.14415855411140643,-1.1561478496867037,0.14106742009840845,2.417,8700.00099999999,5.7207796859937e-05,0.9929846851897398,0.36490000000000006,0.2682003867589067,0.29666680713081783,1.1605932282679545,0.053999999999999826,560.0,-0.001417983141717823,0.8417098409525385,0.9992000000000001,156
16,3.920578645235362,0.14429729194614185,-1.157800702162361,0.14204203245941993,2.417,8700.001000000047,5.726198688215864e-05,0.9934482811530257,0.3645000000000001,0.2682098533307992,0.2930427930542243,1.1591049033332474,0.053999999999999826,560.3139999999548,-0.0014181180952785781,0.8402621753282169,0.9992000000000001,155
17,3.920578645235362,0.14429729194614185,-1.157800702162361,0.14204203245941993,2.417,8700.001000000047,5.726198688215753e-05,0.9934482811530257,0.3645000000000001,0.2682098533307992,0.2930427930542243,1.1591049033332474,0.053999999999999826,560.3139999999548,-0.0014181180952784647,0.8402621753282169,0.9992000000000001,154
18,3.834872180451128,0.16910429787434778,-1.0366331630552774,0.4962527030627048,3.692,13290.00099999999,4.316309597422896e-05,0.9748269252828415,0.3490461538461539,0.2541205072628702,0.5739163345197,1.224630010155913,0.05800000000000072,617.4519999999902,-0.0012317332997035444,0.8520089929444672,0.9992000000000001,153
19,3.9219805269186714,0.14366776734068715,-1.1624629060559866,0.14309761395544845,2.915,8715.012000000046,5.6877943714734686e-05,0.9920284505802086,0.361609375,0.26564193690167415,0.33987169039231624,1.1719781075958307,0.05699999999999994,597.8489999999874,-0.0013160166332313707,0.8464989371884276,0.9992000000000001,152
20,3.920712643678161,0.144439323772722,-1.1641685318913586,0.13761673400172209,2.414,8690.0,5.738737337113773e-05,0.9929874692775806,0.3628730158730159,0.2670185140411762,0.30401065171147224,1.1615056854118202,0.05799999999999983,591.8999999999651,-0.0013445704497883977,0.8431636190334942,0.9992000000000001,151
21,3.920398850574713,0.14462689030047923,-1.16574600694965,0.1384176671026991,2.414,8690.0,5.7460972221912374e-05,0.9934046262865706,0.3651451612903226,0.26763431417466643,0.2714644807296631,1.1495365163387505,0.05699999999999994,576.1039999999921,-0.0013744989766885597,0.8474272896735339,0.9992000000000001,150
22,3.920398850574713,0.14462689030047923,-1.16574600694965,0.1384176671026991,2.414,8690.0,5.7460972221912225e-05,0.9934046262865706,0.3651451612903226,0.26763431417466643,0.2714644807296631,1.1495365163387505,0.05699999999999994,576.1039999999921,-0.001374498976688476,0.8474272896735339,0.9992000000000001,149
23,3.83670297029703,0.16929664432374425,-1.0469147847253215,0.4869978715537176,3.6439999999999997,13120.0,4.380173385441063e-05,0.9760574124845479,0.34901515151515156,0.25516857127573483,0.5348466200455277,1.2146174069042102,0.05900000000000016,620.7539999999572,-0.001221990656949765,0.8491422401015793,0.9992000000000001,148
24,3.920488505747126,0.14498438225902285,-1.1730920668611287,0.1371068531978591,2.414,8690.0,5.7601678828283156e-05,0.9927104357605601,0.35973846153846156,0.26624584955233793,0.32609908016338807,1.1680796356168088,0.05799999999999983,602.1439999999711,-0.001300773194843488,0.8472786279240903,0.9992000000000001,147
25,3.9200804597701153,0.1451901430485331,-1.175508558697313,0.13821716697239705,2.414,8690.0,5.768222799826038e-05,0.9927043390571878,0.36609523809523814,0.26728767360435746,0.24746367963725868,1.1406699499837314,0.05699999999999994,583.3040000000037,-0.001352045944623406,0.8548119349423206,0.9992000000000001,146
26,3.9196862068965523,0.145303354492567,-1.1774864523034254,0.13987590416064405,2.414,8690.0,5.7725547220325484e-05,0.9932243462255874,0.36576190476190484,0.26844046100763347,0.23382245492106746,1.136091096648021,0.05699999999999994,583.0419999998994,-0.0013594896326341022,0.8522903083848643,0.9992000000000001,145
27,3.919486206896552,0.14540540261584708,-1.178616518078034,0.14147780642757296,2.414,8690.001000000047,5.77644494182777e-05,0.9928778050654278,0.36439682539682544,0.2687690302149088,0.2411041507994467,1.1411140235282804,0.05699999999999994,584.3560000000289,-0.0013591235712201632,0.8445423481995147,0.9992000000000001,144
28,3.9192827586206893,0.14552943873658877,-1.1802077625533343,0.1425549417073986,2.414,8690.00099999999,5.781232423810919e-05,0.9927583323087087,0.36425396825396833,0.26820382043981983,0.24740269729190079,1.1427199003904216,0.05699999999999994,589.7260000000242,-0.0013527352052069828,0.8501672313784213,0.9992000000000001,143
29,3.919112643678161,0.14563153593513223,-1.1810130325064399,0.143834331423117,2.414,8690.001000000047,5.785152476867432e-05,0.9927051120089339,0.36333333333333334,0.26792783091841205,0.25733485221438723,1.144098515939938,0.05600000000000005,586.9879999998957,-0.0013526618175111133,0.8445423481995147,0.9992000000000001,142
30,3.918902298850575,0.1457174176874337,-1.1816754366644022,0.1444877062913077,2.414,8690.0,5.788479590794858e-05,0.9926873686117328,0.3575737704918033,0.2581989839262472,0.377175594564926,1.1624178697605918,0.05600000000000005,579.5570000000298,-0.0013427913270166651,0.8551033476286737,0.9992000000000001,141
31,3.9186816091954024,0.14580670719799121,-1.1829192565791988,0.1451153572610605,2.414,8690.001000000047,5.79193968579978e-05,0.9926525192486041,0.3637936507936508,0.2690684142963284,0.22646626911199075,1.1339919574097364,0.05699999999999994,583.2480000000214,-0.0013622829992729721,0.8478083225973935,0.9992000000000001,140
32,3.918526436781609,0.1458824380159109,-1.1831886808300496,0.1464364178384613,2.414,8690.001000000047,5.7947966650811546e-05,0.992644120690079,0.36750000000000005,0.2688645066772847,0.19769297662631047,1.1239896038879806,0.05600000000000005,576.8040000000037,-0.0013833283078525777,0.8488282564067481,0.9992000000000001,139
33,3.918325287356322,0.14595147507555298,-1.1844665503672223,0.14721917196111756,2.414,8690.001000000047,5.7974299454810474e-05,0.992737482424213,0.3683225806451613,0.26974212179161217,0.17763519864365884,1.1191118687183235,0.05600000000000005,575.0979999999981,-0.001389268037895824,0.8521011474288692,0.9992000000000001,138
34,3.9182057471264367,0.14601784406011342,-1.1852791646793848,0.14776003317685735,2.414,8690.000999999931,5.7999817513038633e-05,0.9919439477105867,0.372032786885246,0.26918908888320575,0.15269778386910327,1.1075170679512552,0.05600000000000005,571.1419999999925,-0.0014085846602640434,0.8501378264188505,0.9992000000000001,137
35,3.9182057471264367,0.14601784406011342,-1.1852791646793848,0.14776003317685735,2.414,8690.000999999931,5.7999817513037495e-05,0.9919439477105867,0.372032786885246,0.26918908888320575,0.15269778386910327,1.1075170679512552,0.05600000000000005,571.1419999999925,-0.0014085846602637214,0.8501378264188505,0.9992000000000001,136
36,3.8377036181678212,0.1691032427164611,-1.0531847172172693,0.4802686627734119,3.6049999999999995,12980.0,4.4244905523098e-05,0.9769038903737349,0.36058823529411765,0.26542229013090046,0.30529892586333185,1.1597412245612206,0.06199999999999939,638.4340000000084,-0.0012396286159791173,0.8535646712769002,0.9992000000000001,135
37,3.9194959723820486,0.1455198500874499,-1.1823369888632371,0.138259126561959,2.411,8680.0,5.787618332020803e-05,0.9929323437551123,0.36359090909090913,0.2674013392333259,0.25051665650079213,1.143032159003951,0.06000000000000005,617.3680000000168,-0.0012890872740081122,0.8457566199112752,0.9992000000000001,134
38,3.9190955120828543,0.14574850139730047,-1.1851865107320534,0.13915345660249423,2.411,8680.0,5.796544903400506e-05,0.9924731440177482,0.36483076923076924,0.2678352787413591,0.22570058623725142,1.1329203079093109,0.06000000000000005,606.1480000000447,-0.00131364960461978,0.851350482679736,0.9992000000000001,133
39,3.91877330264672,0.1458878362341582,-1.187333378429647,0.14064189000451666,2.411,8680.001000000047,5.8018981642191306e-05,0.9922043039972323,0.367765625,0.26814801303541536,0.1886986786948448,1.118957972402565,0.05900000000000016,601.4980000000214,-0.0013359902077035566,0.8540099905549416,0.9992000000000001,132
40,3.9185028768699657,0.14596172894494938,-1.1887976589229667,0.14231159449612488,2.411,8680.000999999931,5.804647506220762e-05,0.9922553571824326,0.366328125,0.2680550200977463,0.20813585526669431,1.1250524842485377,0.05900000000000016,598.2460000000428,-0.0013366682122713481,0.8484729961757055,0.9992000000000001,131
41,3.9182980437284236,0.14608936807280168,-1.19029851463648,0.1434171685418854,2.411,8680.000999999931,5.809585954633156e-05,0.9923255917648376,0.36598437500000003,0.26803272082811797,0.21109576802649332,1.127772931951141,0.06000000000000005,601.7740000000922,-0.0013341507713370184,0.8484729961757055,0.9992000000000001,130
42,3.9181231300345227,0.1461796753804682,-1.1911931263634783,0.14478496911830185,2.411,8680.000999999931,5.813027010885851e-05,0.9923366423376224,0.36690625,0.2687934664000691,0.18329369413579322,1.119813475150504,0.05900000000000016,601.140000000014,-0.0013388545814703148,0.8505629001039228,0.9992000000000001,129
43,3.9179873417721525,0.14629253432746775,-1.192499994572725,0.14572447522114856,2.411,8680.001000000047,5.817376281309089e-05,0.9918449355116737,0.37077777777777793,0.2683492815670702,0.15359754631502698,1.1044721149142334,0.05900000000000016,592.9139999999898,-0.0013600659719307066,0.856190664108341,0.9992000000000001,128
44,3.9179873417721525,0.14629253432746775,-1.192499994572725,0.14572447522114856,2.411,8680.001000000047,5.817376281308909e-05,0.9918449355116737,0.37077777777777793,0.2683492815670702,0.15359754631502698,1.1044721149142334,0.05900000000000016,592.9139999999898,-0.0013600659719304946,0.856190664108341,0.9992000000000001,127
45,3.838717829457364,0.16894040082288156,-1.0585942145546425,0.4742457423954468,3.58,12890.0,4.4529492927500534e-05,0.976986718234104,0.3617391304347827,0.26497650573843406,0.28272886911742656,1.1488928223181636,0.06299999999999972,650.01800000004,-0.0012214381171677313,0.853060425437233,0.9992000000000001,126
46,3.9193014959723826,0.14587967316092496,-1.1849168794476526,0.13798311312148745,2.411,8680.0,5.801757555886802e-05,0.9918692058155221,0.36383582089552247,0.2665922773333571,0.24084440856157618,1.1366319972707546,0.06199999999999983,632.9000000000233,-0.0012665091209937132,0.8569546641938306,0.9992000000000001,125
