cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.3703913461538466,0.3437943220123686,-1.121008772890551,0.03583288634095404,0.8818012,622.0,0.0019042294715460647,0.9853106024325852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8878865,225
2,3.313810459587956,0.3958798685246849,-0.9473661679034726,-0.14829963057096532,0.8911588,629.0,0.0021619363894138798,0.9700974247649276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8893038,224
3,3.312003809523809,0.39740072572381424,-0.943540679544415,-0.15095032532526872,0.8903112,628.0,0.0021734935257581426,0.9706975489786129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8885992,223
4,3.311357233704293,0.3978016429091924,-0.9412883999735611,-0.1525330093265134,0.8891748,628.0,0.002178997614539015,0.9704395014922835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8877498,222
5,3.310726114649682,0.3978271455318768,-0.9398452341534913,-0.1538488353166472,0.8883248,627.0,0.002182523595552327,0.9703358822288486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887038,221
6,3.311428980891719,0.3983435011399021,-0.9390745423524938,-0.15409554977207282,0.8874773,626.0,0.0021853709283309185,0.9705338637184396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8861895,220
7,3.311439872408293,0.39822128957195935,-0.9379086458192218,-0.15527603443743265,0.8863438,625.0,0.002188113045958076,0.9704171046950482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8851959,219
8,3.3118251993620413,0.39861018432108447,-0.9369411223725317,-0.15576525103847325,0.88578,625.0,0.002190221031621696,0.9703263171689214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8846311,218
9,3.311469968051118,0.3983892708904684,-0.936080809821374,-0.15679930723652996,0.884923,624.0,0.0021924464972754884,0.9702124148525199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8839192,217
10,3.311991373801917,0.39873562564369597,-0.9355422734858996,-0.15708545905437576,0.884351,624.0,0.0021943424988415043,0.9704395285579518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8832076,216
11,3.3118524799999998,0.3984206424913634,-0.9339530462920376,-0.15840059224613853,0.8835023,623.0,0.0021960312451933767,0.9697309017808956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8825017,215
12,3.31267552,0.39871274983845656,-0.9338091180830199,-0.1585224831448766,0.8826525,623.0,0.0021976442276426676,0.969860458630261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8817924,214
13,3.312298397435897,0.39838453390080325,-0.9336781499631996,-0.1594254525307928,0.881943,622.0,0.0021993235748208662,0.9702656184679957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8809444,213
14,3.312040930979133,0.3980652883285884,-0.9318491560749003,-0.16100792194465818,0.8812373,622.0,0.0022009538065713248,0.969595850227697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8802362,212
15,3.312794542536116,0.3983760884490706,-0.9317743594390491,-0.16113252105079345,0.8805307,622.0,0.002202679243874732,0.9695785583551626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8795301,211
16,3.3125742765273314,0.3979560402017422,-0.9315952366826643,-0.16191182114087327,0.8798242,621.0,0.0022038644450722597,0.9700796450695779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.878823,210
17,3.3134326366559486,0.3982638265464087,-0.9308349125029061,-0.1623268318038508,0.8791149,620.0,0.0022055797294989513,0.9697587123694286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8781086,209
18,3.313187439613527,0.39787495231629233,-0.930226841388702,-0.16335748027194366,0.8782653,620.0,0.0022068910956477474,0.969569000370385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.877404,208
19,3.313773429951691,0.398164402443939,-0.9305430827026764,-0.163409687733447,0.8776947,620.0,0.0022085176633410007,0.9702463919007067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8766946,207
20,3.3135098387096775,0.39780285151725175,-0.929996194119096,-0.16438384425805364,0.8769897,619.0,0.0022100227888210036,0.9701335282329896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8759906,206
21,3.314339838709677,0.39809775856334145,-0.9292622422717365,-0.1645126424993465,0.8761368,618.0,0.0022116813961958683,0.9696614098915725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8751361,205
22,3.3140642972536347,0.39765181900771496,-0.9293920087075955,-0.1652182577071464,0.8754268,618.0,0.00221271784451751,0.9699410215935478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8744256,204
