cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.4251151276847063,0.3331272438893103,-1.2508489497217856,-0.00014323051359148281,0.7819679995409388,703.0,0.0016249247627130028,0.9863567301925809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8934303522109985,118
2,3.3460503110179194,0.3887819942970975,-0.9451875975468909,-0.15462433103326226,0.8934008713404182,804.0,0.0016518029638219844,0.9725453821900679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893282949924469,117
3,3.346136259149622,0.38852417883492696,-0.9452952938322126,-0.1540892567200365,0.8934675111249817,804.0,0.0016507172299703816,0.9727987457608369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8934181928634644,116
4,3.3459990466082536,0.3885093873841002,-0.9451580546552485,-0.1540918523324209,0.8935214559423912,805.0,0.0016506075225051979,0.9721429924504674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8934081792831421,115
5,3.3459533815030698,0.38844919007183076,-0.9459490254179572,-0.15325090766225144,0.8934956421253446,804.0,0.0016504243121347993,0.9727987457608369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8934651613235474,114
6,3.3458888919265184,0.3885296528710313,-0.9459937825104023,-0.15341052818205714,0.8934815795437316,805.0,0.0016507204806677131,0.9727987457608369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8934049606323242,113
7,3.3460319722140275,0.388588878807021,-0.9459133030819187,-0.15364348024977062,0.8932094222709566,804.0,0.0016510133607232013,0.9719844622015508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8933060169219971,112
8,3.346019721914221,0.3885529999719058,-0.9459735523136308,-0.15389883354158074,0.8932635460496385,804.0,0.0016508578158531395,0.9722378257723197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8931860327720642,111
9,3.345838032828437,0.3884628837350072,-0.9457685339200141,-0.15387050657493395,0.8936302905822231,805.0,0.0016504210209695542,0.9722378257723197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8936877846717834,110
10,3.344505543178982,0.38849945685791554,-0.9487536245704069,-0.15452931187982305,0.894435910107859,805.0,0.001650624814375661,0.9729344594424355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8954871296882629,109
11,3.3421966040575946,0.38914875771311663,-0.9456604206114121,-0.1556595325750717,0.8954882865236868,806.0,0.0016532750750026999,0.9731357084777146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8955205678939819,108
12,3.341696266774778,0.38915153995252133,-0.9453516076591866,-0.15581057623675493,0.8957763561811589,806.0,0.0016532759988766793,0.9726810958716666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8957039713859558,107
13,3.341642689704895,0.38928532510164676,-0.9454744355455951,-0.15544548584834308,0.8956076163194666,806.0,0.0016538592745534303,0.972975339802182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8953577280044556,106
14,3.3421450429492525,0.38918290642891695,-0.9453239558860318,-0.15525303290008405,0.8953484571138688,806.0,0.001653417081046218,0.9731357084777146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8952776789665222,105
15,3.342264352904426,0.38924805999603834,-0.9454125790912715,-0.15554302741207765,0.8952238811689313,806.0,0.00165369535393017,0.9731357084777146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895020067691803,104
16,3.342798020221569,0.3892751039002654,-0.9457829121323402,-0.1552764263044316,0.8949165588455799,805.0,0.0016538683105759115,0.9734527689755481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8949422240257263,103
17,3.3421951832594696,0.3892189946470048,-0.9457811408358303,-0.15551166947616438,0.8953292658752616,806.0,0.0016535830835177146,0.9729116428751173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8951624035835266,102
18,3.3424697990770693,0.38926657366361583,-0.9462535030850194,-0.1550689806394418,0.8950721896635514,805.0,0.0016538424951266632,0.9731357084777146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8950052261352539,101
19,3.342435194827892,0.38932222310275627,-0.9463954073443936,-0.15518153282160652,0.8950389859637653,806.0,0.0016540398082663887,0.9728168095532651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8947657346725464,100
20,3.34352675014072,0.38953968378806625,-0.9474428244165098,-0.15443324395389488,0.8942352206049691,805.0,0.0016550403096306909,0.9734527689755481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8938260078430176,99
21,3.3448477709734883,0.3894239378199451,-0.9478469340927762,-0.15459227999014688,0.8935580485504033,804.0,0.0016546032950870877,0.9729344594424356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8933482766151428,98
22,3.3430750059815586,0.3881809706457855,-0.9463437744720209,-0.1553135381296709,0.8930337708443403,804.0,0.0016552364858710416,0.972851730423165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892731785774231,97
23,3.343706465121982,0.38816500569723,-0.947560623947326,-0.15476869668498974,0.8926468793251843,803.0,0.0016552485600731604,0.9728517304231651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8925601840019226,96
24,3.3434735239659985,0.3878959286183526,-0.9467660190037996,-0.15542479930901712,0.8930842519403086,804.0,0.0016540194035633696,0.972715512229739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8935472369194031,95
25,3.343901299547266,0.38954431763537334,-0.9472059044998113,-0.15562778505413571,0.8941115397337853,805.0,0.0016550408855729663,0.9729344594424355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8940614461898804,94
26,3.343584504833928,0.3895382214320782,-0.9470721241485749,-0.1556766188057312,0.8942637711988937,805.0,0.0016550136793551972,0.9734527689755481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8941878080368042,93
27,3.3434538231955635,0.38958423378703705,-0.9475080180489983,-0.1555954117807794,0.8943253431534686,805.0,0.0016552184769082167,0.9734527689755481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8944453597068787,92
28,3.342637311970746,0.3897575443125466,-0.9471894029539856,-0.1559150357974242,0.8946622276835114,806.0,0.0016559019190629347,0.9734527689755481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894681990146637,91
29,3.3423026349809435,0.38981477807177917,-0.9465374474421733,-0.15666763391899538,0.8949082768613152,806.0,0.0016561207288991288,0.9734527689755481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8946912884712219,90
30,3.342806723382738,0.38990430969879736,-0.9475263973752077,-0.1561880597479803,0.8944821020795644,805.0,0.0016565782916294002,0.9734527689755481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8942268490791321,89
31,3.3432884083853827,0.38981579791454357,-0.9474171099969282,-0.1556292642332182,0.8941918895379786,805.0,0.0016562017634279157,0.9732942387266312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8941959142684937,88
32,3.3428877097589,0.3898864707571194,-0.9475583603590909,-0.1562207817931154,0.8944329858459241,805.0,0.001656504837080571,0.9734527689755481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8944277167320251,87
33,3.3426489697562323,0.390003191260993,-0.9472924960870674,-0.15646260636598142,0.8944573064563883,805.0,0.0016569929370720993,0.9734527689755481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8942402005195618,86
34,3.343147800586842,0.39000033248154375,-0.9474555727155503,-0.15643805988628848,0.894160236528478,805.0,0.0016569807005204027,0.9732942387266312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893960177898407,85
35,3.343382484824569,0.3899389623287714,-0.9474203396458023,-0.15588099497980765,0.893968963471707,805.0,0.0016567299570135834,0.9731585250450325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939025402069092,84
36,3.343514233165317,0.3901202701773936,-0.9481241489820436,-0.15592182409845776,0.8937985514767206,805.0,0.0016575111465810142,0.9731585250450325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8938261270523071,83
37,3.3430484860031693,0.3901756561370914,-0.9476189449563996,-0.15662347364121526,0.8941113031833083,804.0,0.0016577772430450184,0.9731585250450328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939512372016907,82
38,3.3434729902832596,0.39025532726180284,-0.9477721592253219,-0.15669763843979276,0.8938005224790686,805.0,0.001658071363369402,0.9729344594424356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8936409950256348,81
39,3.3435287846459283,0.39014848510018585,-0.9483170198164523,-0.15610460983236424,0.8937784098106931,805.0,0.001657637798684301,0.9731585250450325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893696665763855,80
40,3.343711104216399,0.3902882532491098,-0.9484131336758712,-0.15599413687131294,0.8935508969971124,804.0,0.0016582819722432201,0.9731585250450325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893483579158783,79
41,3.343674416012234,0.39041468268746204,-0.9489562334433694,-0.156006599634205,0.8934869410859392,804.0,0.0016588303192543983,0.9731585250450325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8933167457580566,78
42,3.3440624546121667,0.3903878848109973,-0.9487312412245554,-0.15637400840019286,0.8933353074462502,804.0,0.0016587079083553026,0.9729999947961159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8932596445083618,77
43,3.343836960086116,0.3903684272651569,-0.9488944412861979,-0.15641595535787955,0.8934683481838874,805.0,0.00165858206722588,0.9731585250450325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8933480978012085,76
44,3.3440168733950015,0.39044736953139136,-0.9491105860023739,-0.15612453891704017,0.8932619360584795,804.0,0.0016589728529081908,0.9729999947961159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8931721448898315,75
45,3.341738567919536,0.38918263697014904,-0.9473667509966255,-0.1575487772386396,0.89312919594704,804.0,0.00165951192474663,0.972851730423165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8929764032363892,74
46,3.3420534125047987,0.38915544131772434,-0.9472702813808622,-0.15783234889741962,0.892982271803703,803.0,0.0016594443844665976,0.972851730423165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928329348564148,73
47,3.342226378536579,0.3891604882359702,-0.9476033046995078,-0.1576208797603941,0.8928424937712407,804.0,0.001659426781287385,0.972851730423165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89288330078125,72
48,3.3416313158978315,0.3892566250906482,-0.948030828671353,-0.15738951778760976,0.8930943246941752,803.0,0.0016598963678446709,0.9730766289833926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8929033279418945,71
49,3.342169192643857,0.389334513307721,-0.9482184778760483,-0.15738069781495484,0.8927512454974931,804.0,0.0016601804194856114,0.972851730423165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8925762176513672,70
50,3.3424526847428107,0.38939109768229074,-0.9481421876626106,-0.15772695844139423,0.892529274276967,804.0,0.0016604159565873902,0.9729879486165912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892448365688324,69
51,3.34233198378609,0.3893860850651183,-0.9482865187436196,-0.15776797530498485,0.8925936500618263,804.0,0.0016604035312823126,0.9729879486165912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8926141262054443,68
52,3.342061690681486,0.3894894844896822,-0.9477458332384581,-0.15826061804099223,0.8926986102851515,804.0,0.001660827088744156,0.972851730423165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8926027417182922,67
53,3.341917473144248,0.38950607833375017,-0.9485924741214276,-0.15800949167329914,0.8927393221383682,804.0,0.0016609231219160373,0.9730766289833926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892735481262207,66
54,3.341873776957005,0.3897365627961201,-0.9483768806115909,-0.15817071493966092,0.8926064637253148,804.0,0.0016619031397605896,0.9732128471768188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8923685550689697,65
55,3.3423351638822307,0.3897010740052156,-0.9489214563840318,-0.15795273102143828,0.8923460499536304,803.0,0.0016618104228868457,0.9732128471768188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8922072052955627,64
56,3.342622609829814,0.38970128245100644,-0.9487657598309052,-0.1583937042195964,0.8922590851288987,803.0,0.0016617992993252463,0.9732128471768188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8921584486961365,63
57,3.3425275986965706,0.3897429060560699,-0.9486319633418012,-0.1582441743411954,0.8922083620273042,803.0,0.0016619815808266894,0.9729879486165912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8922634124755859,62
58,3.342079954962748,0.38992350565784284,-0.948597629188503,-0.15849702516118822,0.8923234603171295,803.0,0.0016627441852854702,0.9732128471768188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8921864032745361,61
59,3.3421188996183826,0.38991747056878356,-0.9488847028307101,-0.15854172369237587,0.8923247139700834,804.0,0.0016626833956123659,0.9732128471768188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8921752572059631,60
60,3.342363293729307,0.38999970419298335,-0.9491281324757899,-0.15849054152478584,0.892103937576394,803.0,0.0016630827729055848,0.9729879486165911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8919868469238281,59
61,3.3423744249521135,0.38998039174447335,-0.9491921795541929,-0.15842598912403796,0.8921025614254177,803.0,0.0016630084259267482,0.9732128471768188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8918609619140625,58
62,3.34289014029237,0.3900216414239314,-0.9498393648136605,-0.15783692825772533,0.8917153708680416,802.0,0.0016632465466479894,0.9732128471768188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8917351961135864,57
63,3.342435393634782,0.39011643840863774,-0.9498340541403145,-0.1584446595650641,0.891970721009784,803.0,0.001663598930150433,0.9729879486165912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8918460011482239,56
64,3.3427626661208483,0.3902436630535764,-0.9495375402292714,-0.15890875704689073,0.8917477353716095,802.0,0.0016641790602665654,0.973371966757516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.891552746295929,55
65,3.342873473149693,0.3901339303493366,-0.9494679689037722,-0.15894766375677294,0.8917228813279507,803.0,0.0016636611933243221,0.9729879486165911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8917181491851807,54
66,3.3422370125369953,0.39024273940305465,-0.9496287596623185,-0.158739164067467,0.8919428853187128,803.0,0.0016641364453590178,0.9732128471768188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8919904232025146,53
67,3.341743940757553,0.3905677621065749,-0.9502577278326951,-0.15899489063388128,0.8920669214367081,803.0,0.001665528110819051,0.9732128471768188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8918753266334534,52
68,3.3419987304503147,0.39052452251317243,-0.9498122688737638,-0.15935557566452335,0.8919441944144637,803.0,0.0016653349997815601,0.9732128471768188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8917003273963928,51
69,3.3424595146817344,0.39049976459260133,-0.9494325825341052,-0.159524154054313,0.891631328888252,802.0,0.0016652652695975745,0.9731470681972884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8914783000946045,50
70,3.3426227977284713,0.39065393368113205,-0.949967341163493,-0.15914326183150962,0.8913855811697431,802.0,0.0016659431424847814,0.973371966757516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8912022709846497,49
71,3.342656482994335,0.39070487792879666,-0.9503303189591392,-0.15909301120775685,0.891303382721162,802.0,0.0016661640458080803,0.973371966757516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8911648988723755,48
72,3.3427517688850488,0.39087191660176823,-0.9501596983887404,-0.15955637512051268,0.8911432280019653,802.0,0.0016668687234095397,0.9733061877779854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8908036351203918,47
73,3.343344372887594,0.39080820433921726,-0.950316886602105,-0.15951200478889463,0.8908111073669716,802.0,0.0016666048660381738,0.9732357485640899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8906373977661133,46
74,3.343297324659213,0.39090876843752353,-0.9501577601004123,-0.1592852366222481,0.8906992321972211,802.0,0.0016670295859115313,0.9730108500038621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8903180956840515,45
75,3.343649219846194,0.39108752819445025,-0.9507715504230809,-0.15912844291580377,0.8902541037514311,801.0,0.0016678586401792784,0.9730108500038621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8897684812545776,44
76,3.342105268542446,0.3899567335699069,-0.949158077747275,-0.16044068938517328,0.8895076775788766,800.0,0.0016690552967966144,0.9729316431196727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8891085982322693,43
77,3.3425405603736196,0.3901071941528763,-0.9496384182052502,-0.16053920247700454,0.8891030782233429,800.0,0.0016697142069974128,0.9730683695899399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888908326625824,42
78,3.3422823752929913,0.39007063652991336,-0.9496651236502669,-0.16039243220908955,0.8892196046108438,801.0,0.0016695197453650552,0.9730683695899399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8890281915664673,41
79,3.342662129829179,0.3901819952048517,-0.9493979863841426,-0.1605098591467422,0.8889246256239858,800.0,0.0016700304394230894,0.9730683695899399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8886341452598572,40
80,3.3427536879012836,0.39018705427330475,-0.9497207535918797,-0.1600492939720879,0.8888150104558008,800.0,0.0016700657293830393,0.9730683695899399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888248801231384,39
81,3.342267468794068,0.39033247851759806,-0.9496054228150008,-0.16036866693173815,0.8889640209854406,801.0,0.001670643035211479,0.9732050960602073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888214826583862,38
82,3.3424889276276772,0.39025588360453983,-0.9492009946771516,-0.16073631197437407,0.888951325445305,800.0,0.0016703406098554537,0.9730683695899399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8889666795730591,37
83,3.3420460099604594,0.3903735832350322,-0.9495742720905387,-0.1607551136515107,0.8891191708535189,800.0,0.0016708561121191613,0.9732050960602073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8889673948287964,36
84,3.3422000328106667,0.39030907828268985,-0.949466532140919,-0.16034383915662218,0.8889886989836668,800.0,0.0016705815491342957,0.9732050960602073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888183832168579,35
85,3.3427371427194394,0.390351350107935,-0.9499141222290373,-0.1602223467785169,0.8886612905698712,800.0,0.0016707705603709534,0.9730683695899399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888559877872467,34
