cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.4343734177215195,0.04196168773924983,3.322833974720928,1.9341514515052372,0.24,1571.938,7.56274206008703e-05,0.7833070677412237,0.14363157894736842,0.12302267655748847,6.088714934611,2.303769636893809,0.040000000000000036,1062.0199999999995,-0.00029815632584235494,0.6523697059244815,0.9527272727272726,4061
2,3.4343734177215195,0.04196168773924983,3.322833974720928,1.9341514515052372,0.24,1571.938000000002,7.562742060087042e-05,0.7833070677412237,0.14363157894736842,0.12302267655748847,6.088714934611,2.303769636893809,0.040000000000000036,1062.0200000000004,-0.00029815632584235375,0.6523697059244815,0.9527272727272726,4060
3,3.435927927927928,0.04492088230974174,2.5340333807065107,1.771127207357965,0.16800000000000004,1099.0840000000026,0.0001173547387692224,0.7775463242414866,0.14514285714285718,0.13352778860473327,6.64302999484236,2.438271002455188,0.028000000000000025,766.8070000000007,-0.00042480992690752177,0.6144238945629326,0.9545454545454545,4059
4,3.435927927927928,0.04492088230974174,2.5340333807065107,1.771127207357965,0.16800000000000004,1099.0840000000026,0.00011735473876923124,0.7775463242414866,0.14514285714285718,0.13352778860473327,6.64302999484236,2.438271002455188,0.028000000000000025,766.8070000000007,-0.0004248099269075234,0.6144238945629326,0.9545454545454545,4058
5,3.42825,0.03513951784367157,2.8911524895086256,1.7356525138230647,0.129,840.0690000000177,0.00010455326070936705,0.5315514604066738,0.16616666666666668,0.1926711360496602,4.884810088675685,2.1816679804974703,0.018999999999999906,515.4560000000056,-0.0007851848750167112,0.39895225740642,0.9463636363636362,4057
6,3.42775,0.03481276448989038,2.964349150069739,1.7513488005764264,0.129,840.1479999999865,0.00010335377032398278,0.5315514604066738,0.16433333333333336,0.19328700594366574,4.946968045136079,2.1965973466032254,0.018000000000000016,504.1530000000057,-0.0007971464195231496,0.39895225740642,0.9463636363636362,4056
7,3.4275,0.03440514911629189,3.0129450004482123,1.7570861782248046,0.129,840.1809999999969,0.00010216116871795012,0.5315514604066738,0.16333333333333336,0.1936322975814383,4.978629559353394,2.2043877907639047,0.018000000000000016,488.72600000000966,-0.0008142434934599526,0.39895225740642,0.9463636363636362,4055
8,3.42725,0.03413732770527214,2.947378499580516,1.7479650298508174,0.129,840.0950000000012,0.00010137992339462814,0.5315514604066738,0.16250000000000003,0.1939141562650855,5.006851949963302,2.210927162263875,0.018000000000000016,484.99199999999837,-0.0008180460148039755,0.39895225740642,0.9463636363636362,4054
9,3.427,0.03414255827723347,3.0371976643598266,1.759893163659829,0.129,840.119000000006,0.00010137384446472187,0.4872555053727843,0.18420000000000003,0.20827793930226987,4.154271790031129,2.0174835140349376,0.016999999999999904,474.71199999999953,-0.0009228320432961551,0.41140808993222105,0.9463636363636362,4053
10,3.42675,0.03420421862034812,3.0772971340641195,1.7757071338139352,0.129,840.0710000000108,0.00010118247567951674,0.4872555053727843,0.18380000000000002,0.20841233168889026,4.171239019131145,2.0220332489808364,0.016999999999999904,470.99800000000687,-0.0009298996054962076,0.41140808993222105,0.9463636363636362,4052
11,3.42675,0.03420421862034812,3.0772971340641195,1.7757071338139352,0.129,840.093000000008,0.00010117948305998492,0.4872555053727843,0.18300000000000002,0.2087199080107118,4.198806858027012,2.0290928557134214,0.016999999999999904,464.9140000000043,-0.0009421645595469577,0.41140808993222105,0.9454545454545454,4051
12,3.4304285714285716,0.03517033381917749,2.5996662444752703,1.6550986240583798,0.10899999999999987,720.0899999999965,0.00012051882034148411,0.4974178695665278,0.18220000000000003,0.20910451931988464,4.210282088863214,2.032864473823751,0.016999999999999904,462.0819999999949,-0.0009483884197418033,0.41140808993222105,0.9454545454545454,4050
13,3.4301428571428576,0.03474396144861516,2.6582804131506297,1.6633000592509046,0.10899999999999987,720.0219999999972,0.00011904285196150519,0.4974178695665278,0.18220000000000003,0.20910451931988464,4.210282088863214,2.032864473823751,0.016999999999999904,455.55199999999604,-0.0009626480043034487,0.41140808993222105,0.9454545454545454,4049
14,3.4299999999999997,0.03480900266693468,2.6559396210994386,1.6681402916954944,0.10999999999999999,720.0589999999793,0.00011903891927148654,0.4974178695665278,0.182,0.20913631917962028,4.226251456495857,2.036621445353303,0.016000000000000014,452.9349999999977,-0.0009675275879837931,0.41140808993222105,0.9454545454545454,4048
15,3.429714285714286,0.034955754346098204,2.658432807703406,1.6681319482571104,0.10999999999999999,720.0659999999916,0.00011963008489232709,0.4974178695665278,0.18140000000000003,0.20941657050004425,4.237059976588206,2.039676992497423,0.016000000000000014,452.69999999998254,-0.000968160137931799,0.41140808993222105,0.9454545454545454,4047
16,3.429428571428571,0.03471722503723074,2.5635160539596793,1.6490098447670656,0.10999999999999999,720.1039999999921,0.00011902712845027767,0.4974178695665278,0.18080000000000002,0.20969787791010192,4.247699669541754,2.0426681650335063,0.016000000000000014,448.89000000001397,-0.0009767389557753224,0.41140808993222105,0.9454545454545454,4046
17,3.4292857142857143,0.03462520414242737,2.694442445393401,1.6733861006975121,0.10999999999999999,720.0400000000081,0.00011844389262153107,0.4974178695665278,0.18080000000000002,0.209590553222229,4.268574448071776,2.0475990418809915,0.016000000000000014,443.6790000000037,-0.0009864544820204575,0.41140808993222105,0.9454545454545454,4045
18,3.4295714285714287,0.03482746589909152,2.8070366517831005,1.7044324528270773,0.10999999999999999,720.0780000000086,0.00011844118335118402,0.4974178695665278,0.18060000000000004,0.20973149501207494,4.263297054163499,2.0463455628938725,0.016000000000000014,441.2360000000044,-0.0009929214565548453,0.41140808993222105,0.9445454545454544,4044
19,3.429714285714286,0.034917590054843364,2.675887934778796,1.6799778986337606,0.10999999999999999,720.0770000000193,0.00011903583483224744,0.4974178695665278,0.18060000000000004,0.20973149501207494,4.263297054163499,2.0463455628938725,0.016000000000000014,442.945000000007,-0.0009890661821594555,0.41140808993222105,0.9445454545454544,4043
20,3.429714285714286,0.034917590054843364,2.675887934778796,1.6799778986337606,0.10899999999999987,720.0970000000088,0.00011903379360517982,0.4974178695665278,0.18020000000000003,0.20987305687009947,4.2789806842426845,2.0505248442313686,0.016000000000000014,442.62999999997555,-0.000988979346688496,0.41140808993222105,0.9445454545454544,4042
21,3.4298571428571436,0.035253503709695606,2.745878317555648,1.6954464576893875,0.10999999999999999,720.1609999999928,0.00011991332796010549,0.4974178695665278,0.18020000000000003,0.20987305687009947,4.2789806842426845,2.0505248442313686,0.014999999999999902,439.45100000000093,-0.0009961192210409086,0.41140808993222105,0.9445454545454544,4041
22,3.4297142857142857,0.03538697635060244,2.704828572055651,1.6805856480591679,0.10899999999999987,720.0540000000037,0.0001208239480289921,0.4974178695665278,0.17980000000000002,0.210049279932115,4.288992260005306,2.052870423037862,0.014999999999999902,437.23499999998603,-0.0010011748131712019,0.41140808993222105,0.9445454545454544,4040
23,3.4297142857142857,0.03538697635060244,2.704828572055651,1.6805856480591679,0.10999999999999999,720.1570000000065,0.00012080643242939922,0.4974178695665278,0.1796,0.21015660827107013,4.289217280655682,2.053386996642346,0.014999999999999902,434.7270000000135,-0.0010069544864913572,0.41140808993222105,0.9445454545454544,4039
24,3.4298571428571423,0.03572314175912942,2.7735444639811693,1.6959187008408774,0.10999999999999999,720.1289999999863,0.00012170476122191153,0.4974178695665278,0.17940000000000003,0.21019229291294203,4.304403490090469,2.0569769408696694,0.016000000000000014,431.5560000000114,-0.0010131632190785588,0.41140808993222105,0.9436363636363636,4038
25,3.4298571428571423,0.03572314175912942,2.7735444639811693,1.6959187008408774,0.10999999999999999,720.051999999996,0.00012171674585292848,0.4974178695665278,0.17900000000000002,0.21044120318986964,4.299284025275438,2.056185957914828,0.016000000000000014,431.26900000000023,-0.001014971678159296,0.41140808993222105,0.9445454545454544,4037
26,3.4298571428571423,0.03572314175912942,2.7735444639811693,1.6959187008408774,0.10999999999999999,720.0580000000191,0.00012171615780686264,0.4974178695665278,0.1792,0.21030026153098338,4.304527640211657,2.0574549946344347,0.016000000000000014,429.96899999998277,-0.0010168570527417928,0.41140808993222105,0.9436363636363636,4036
