cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.545142857142857,0.04668903896469712,1.5305586144666474,-1.5079421793637582,0.27499999999999997,609.3,0.0002241972665292972,0.8325932680281813,1.582154929577465,0.18802653930184765,20.396006220105615,-4.615732108329147,2.863,7156.875,-5.124039558930947e-05,0.09993652249865731,0.9965625,514
2,3.545142857142857,0.04668903896469712,1.5305586144666474,-1.5079421793637582,0.27499999999999997,609.3000000000011,0.00022419726652929991,0.8325932680281813,1.582154929577465,0.18802653930184765,20.396006220105615,-4.615732108329147,2.863,7156.875,-5.124039558930925e-05,0.09993652249865731,0.9965625,513
3,3.5399634146341463,0.04181453616997214,1.4591708249627047,-1.2585027657693881,0.365,810.1269999999968,0.00016137096569127215,0.8770514531974817,1.5800164233576646,0.19386866232244523,19.51173532815804,-4.521576110074025,2.7649999999999997,6953.906999999999,-5.580783400323303e-05,0.10305053361175243,0.9953124999999999,512
4,3.5399634146341463,0.04181453616997214,1.4591708249627047,-1.2585027657693881,0.365,810.1269999999931,0.00016137096569127243,0.8770514531974817,1.5800164233576646,0.19386866232244523,19.51173532815804,-4.521576110074025,2.7649999999999997,6953.906999999992,-5.580783400323305e-05,0.10305053361175243,0.9953124999999999,511
5,3.520285714285714,0.05707221824353862,2.149179171023114,-1.3364744098204082,0.325,719.9990000000107,0.0002047620284133555,0.4974178695665278,1.4067500000000002,0.39515492027425037,0.5506084299522671,-1.4885705022031286,2.726,6874.013999999996,-0.0001437548459748065,0.33132915021159337,0.9843749999999999,510
6,3.521,0.056154548643305255,2.0528004952419963,-1.3033928577549168,0.325,720.0,0.00020208293030626482,0.4974178695665278,1.4061166666666667,0.39632849291185884,0.5519310784584053,-1.488819355752264,2.722,6868.207999999999,-0.00014424640139394456,0.33132915021159337,0.98375,509
7,3.5212857142857144,0.0555089010451305,1.962324080022313,-1.2755459546334593,0.325,720.002999999997,0.00020029710600530878,0.4974178695665278,1.4055666666666669,0.3972354622001648,0.5476571634627816,-1.4875738868091644,2.718,6862.494000000006,-0.00014467740980451293,0.33132915021159337,0.9825,508
8,3.5222857142857147,0.05475921318437138,1.8586252406771013,-1.2405553377482712,0.325,720.0019999999931,0.00019821362386341444,0.4974178695665278,1.4053333333333335,0.39762177184647185,0.5477026936721558,-1.4875703041664552,2.714,6853.481999999989,-0.00014491537022102757,0.33132915021159337,0.9818749999999999,507
9,3.5225714285714287,0.054119796571609334,1.7648621969058498,-1.211165482447529,0.325,720.0,0.00019642829152387916,0.4974178695665278,1.4050500000000001,0.39819067168499717,0.5494981336219,-1.4880944911863507,2.7110000000000003,6849.263999999996,-0.00014516166241009175,0.33132915021159337,0.9809374999999999,506
10,3.5228571428571427,0.05348341977170303,1.6695739762463875,-1.181072274759943,0.325,720.0,0.00019464254464125427,0.4974178695665278,1.4012542372881354,0.400690765330811,0.46968768981209186,-1.4622378761338697,2.7070000000000003,6839.494000000006,-0.0001481437114261882,0.3355878234478112,0.98,505
11,3.5234285714285716,0.05295550693068387,1.584842657944293,-1.1572686754455555,0.325,719.9979999999923,0.00019315471459744186,0.4974178695665278,1.401135593220339,0.40079397311298703,0.4652508748813684,-1.4609672334828443,2.704,6834.931000000011,-0.0001482639031044983,0.3355878234478112,0.9790625,504
12,3.523857142857143,0.05224119884863722,1.5513096019075707,-1.139467860565404,0.325,719.9990000000107,0.00019077434275694707,0.4974178695665278,1.400864406779661,0.40120922642238976,0.46320358637662373,-1.4603605429435993,2.701,6828.47199999998,-0.0001485190512061927,0.3355878234478112,0.9781249999999999,503
13,3.523857142857143,0.05201098785009613,1.4371475844010195,-1.109990787526364,0.325,720.0,0.00019047629853510484,0.4974178695665278,1.4007966101694915,0.4014326404465601,0.4665141996954536,-1.4612748856251028,2.698,6822.394,-0.00014866340333701426,0.3355878234478112,0.9768749999999999,502
14,3.524714285714286,0.05159365040297848,1.3749544009396306,-1.086490355692729,0.325,720.0,0.00018928530293082162,0.4974178695665278,1.4007288135593223,0.40149753426083906,0.46533217770097224,-1.4609146442603256,2.694,6814.103000000003,-0.0001488106741460011,0.3355878234478112,0.9759375,501
15,3.524857142857143,0.051281668496739916,1.3246416929960763,-1.070090843394821,0.325,720.0030000000261,0.00018839231930243511,0.4974178695665278,1.4171206896551725,0.3845502763008042,0.7655697903033145,-1.54953867844749,2.6910000000000003,6806.678000000014,-0.00014224306634280862,0.32514304259962595,0.9753124999999999,500
16,3.5251428571428574,0.05066040061503843,1.2230520483113239,-1.0367419819169428,0.325,720.0010000000184,0.00018660679740596276,0.4974178695665278,1.400508474576271,0.40197728417898054,0.46850376738247945,-1.461711660148212,2.689,6803.257000000012,-0.0001491173985734605,0.3355878234478112,0.9746875,499
17,3.5258571428571424,0.05033695981889976,1.112378018030567,-0.9926368676151097,0.325,720.0,0.00018601178553454044,0.4974178695665278,1.4006610169491527,0.4017034680118422,0.46853496876228906,-1.4617575576169377,2.685,6794.114000000001,-0.00014913736453366232,0.3355878234478112,0.9728125,498
18,3.5261428571428572,0.050054731948899554,1.0708262911769113,-0.9855588197608071,0.325,719.9959999999846,0.00018511938527104995,0.4974178695665278,1.4001864406779665,0.4024155715510621,0.46564623294749063,-1.4607580382803529,2.681,6785.673999999999,-0.00014954368522544851,0.3355878234478112,0.9721875,497
19,3.5264285714285712,0.04965500022776203,1.08351700255285,-0.9813316536374312,0.325,720.0019999999786,0.00018363112279883934,0.4974178695665278,1.4002542372881355,0.40228046457665795,0.4632544904875613,-1.4602961659258267,2.6790000000000003,6781.377999999997,-0.00014955025150675434,0.3355878234478112,0.9715625,496
20,3.5267142857142857,0.049429121934726906,1.0163028043632707,-0.9678408239780227,0.325,719.997000000003,0.0001830357839014276,0.4974178695665278,1.400491525423729,0.4020232182727655,0.46912680934305406,-1.4619005135900696,2.677,6775.479999999981,-0.00014949966519074592,0.3355878234478112,0.9715625,495
21,3.5268571428571427,0.049123750438488156,0.9639403766873209,-0.9501572999111454,0.325,720.0,0.0001821428188751043,0.4974178695665278,1.400406779661017,0.40199404347294315,0.46274974826554427,-1.4601632747402868,2.6750000000000003,6773.728999999992,-0.00014954690989926343,0.3355878234478112,0.9703124999999999,494
22,3.5269999999999997,0.04881939505292269,0.9113346804244005,-0.9322913987066184,0.325,720.0040000000154,0.00018124937996034476,0.4974178695665278,1.4004406779661016,0.4020343642537436,0.46405466708403464,-1.4606073871737852,2.673,6767.997000000032,-0.00014963325267511795,0.3355878234478112,0.9703124999999999,493
23,3.527285714285714,0.04847925427683575,0.8988587841815701,-0.9280086697246817,0.325,719.9990000000107,0.00018005967137756286,0.4974178695665278,1.4004745762711865,0.40200241704249373,0.46440269267551004,-1.4609066186159076,2.672,6766.2579999999725,-0.0001496192201915924,0.3355878234478112,0.97,492
24,3.5275714285714286,0.04787433948319694,0.7925792507336178,-0.8914853263047878,0.325,720.0009999999893,0.00017827354591718142,0.4974178695665278,1.4003898305084743,0.4020561385123824,0.46182743962950656,-1.460096843665327,2.6710000000000003,6763.084999999963,-0.0001497008956068228,0.3355878234478112,0.9693749999999999,491
25,3.5275714285714286,0.04787433948319694,0.7925792507336178,-0.8914853263047878,0.325,719.9990000000107,0.00017827389207524598,0.4974178695665278,1.4004576271186442,0.401959438768344,0.4627778880480813,-1.4603481419525568,2.669,6759.642999999982,-0.0001497051043809418,0.3355878234478112,0.96875,490
26,3.528285714285715,0.0476330217591196,0.651849304311952,-0.8416010545360572,0.325,720.0009999999893,0.00017797596158973636,0.4974178695665278,1.4004237288135595,0.4018414167987439,0.4566858518689991,-1.458606328806495,2.668,6756.794999999984,-0.00014973283111891097,0.3355878234478112,0.9681249999999999,489
27,3.5682,0.018992103622295253,-1.1831743854497294,0.15761004313525168,0.21700000000000003,480.0,9.999997777443468e-05,0.41140808993222105,1.4061333333333335,0.3967915162205875,0.5610467647590589,-1.490352852625662,2.754,6939.6479999999865,-0.00014363719075629515,0.33132915021159337,0.97125,488
28,3.5270000000000006,0.04509988913511866,0.36952186477870663,-0.7303617297077012,0.325,720.0,0.0001696427186040583,0.4974178695665278,1.3988305084745762,0.4051422122621063,0.4583652740914328,-1.4585029518657167,2.685,6800.17300000001,-0.00015048887892246137,0.3355878234478112,0.9718749999999999,487
29,3.5270000000000006,0.04509988913511866,0.36952186477870663,-0.7303617297077012,0.325,720.0,0.00016964266652298067,0.4974178695665278,1.3985254237288138,0.4053312122004289,0.46379141555475956,-1.4598322305929687,2.681,6791.493000000017,-0.00015060102435623826,0.3355878234478112,0.97125,486
30,3.527142857142857,0.044808587612303975,0.314963832526042,-0.7101423829656875,0.325,720.0010000000475,0.0001687500889285314,0.4974178695665278,1.3984745762711863,0.4056428850658653,0.46538711970361835,-1.4602577685510212,2.677,6783.627999999968,-0.00015083178425609987,0.3355878234478112,0.970625,485
31,3.5272857142857146,0.044518588947817635,0.260425243288386,-0.6897602987784265,0.325,719.9989999999525,0.00016785746102452998,0.4974178695665278,1.3983559322033898,0.40569870605353503,0.4652411702380661,-1.4602741031055957,2.6740000000000004,6777.108999999997,-0.00015091502106176933,0.3355878234478112,0.97,484
32,3.527142857142857,0.04462969329728265,0.1991682953151086,-0.6781645568798718,0.325,719.9959999999846,0.00016845266085244084,0.4974178695665278,1.3983559322033896,0.4057905338162682,0.4633681875919091,-1.459590121649082,2.672,6773.966000000015,-0.00015102905828151813,0.3355878234478112,0.9693749999999999,483
33,3.5277142857142856,0.04439111880288014,0.1857165341959095,-0.6771826629385727,0.325,719.9979999999632,0.00016755951636432813,0.4974178695665278,1.398220338983051,0.4059739701098824,0.46155547933867025,-1.4591964723975241,2.669,6767.861999999965,-0.00015118205601063735,0.3355878234478112,0.96875,482
34,3.5281428571428575,0.04426220574195164,0.16374364879629955,-0.6514607156975971,0.325,720.0019999999786,0.00016726187889414652,0.4974178695665278,1.3983389830508475,0.4056961496833727,0.46567257019509123,-1.4603912961050014,2.6670000000000003,6762.8889999999665,-0.00015109197058350786,0.3355878234478112,0.9678125,481
35,3.528571428571428,0.043771593310643536,0.03747528677242462,-0.6166636373620956,0.325,720.0010000000475,0.0001657737744461524,0.4974178695665278,1.3983898305084745,0.40573517849357377,0.46561191567830296,-1.4604156761716616,2.664,6756.725999999966,-0.000151201754404424,0.3355878234478112,0.9671875,480
36,3.528571428571428,0.043771593310643536,0.03747528677242462,-0.6166636373620956,0.325,720.0019999999786,0.0001657736874633298,0.4974178695665278,1.3983050847457628,0.4057307691593838,0.46578131840213643,-1.4604927824814125,2.6620000000000004,6751.975999999966,-0.00015123831044515091,0.3355878234478112,0.9662499999999999,479
37,3.5290000000000004,0.043650124092988934,-0.03673185308224358,-0.6045712049144997,0.325,720.0019999999786,0.00016547616389905813,0.4974178695665278,1.3982881355932202,0.4058931425051069,0.4624127731652403,-1.4594614652023763,2.66,6747.123000000021,-0.00015142614323958924,0.3355878234478112,0.9659375,478
38,3.5292857142857144,0.04357642438182328,-0.09323049461426303,-0.5643538301739172,0.325,720.0,0.00016547629287000628,0.4974178695665278,1.3982881355932202,0.4057771620010625,0.4644055654906274,-1.4601332583283382,2.6580000000000004,6742.9679999999935,-0.0001513856245054977,0.3355878234478112,0.9653124999999999,477
