cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.544060606060606,0.04588141195194368,1.633674401746676,-1.517769065413653,0.288,639.69,0.00021044496413084103,0.8386719259341774,1.5839031690140848,0.18340817940355492,21.373800403549765,-4.7130396825760315,2.8659999999999997,7171.333,-4.9164537619260144e-05,0.0975164883998442,1.0015625,653
2,3.544060606060606,0.04588141195194368,1.633674401746676,-1.517769065413653,0.288,639.6899999999987,0.00021044496413084076,0.8386719259341774,1.5839031690140848,0.18340817940355492,21.373800403549765,-4.7130396825760315,2.8659999999999997,7171.333000000002,-4.916453761926027e-05,0.0975164883998442,1.0015625,652
3,3.537870588235293,0.04292041035043654,1.4686164110401068,-1.2544269466382971,0.379,840.1360000000022,0.0001598294233260922,0.8763190761402334,1.5818196721311477,0.18944025861232344,20.47517119945905,-4.619699816655335,2.774,6980.531000000003,-5.352311194116928e-05,0.10040288543631853,1.0009374999999998,651
4,3.537870588235293,0.04292041035043654,1.4686164110401068,-1.2544269466382971,0.379,840.1359999999986,0.000159829423326092,0.8763190761402334,1.5818196721311477,0.18944025861232344,20.47517119945905,-4.619699816655335,2.774,6980.531000000003,-5.3523111941169485e-05,0.10040288543631853,1.0009374999999998,650
5,3.537870588235293,0.04292041035043654,1.4686164110401068,-1.2544269466382971,0.379,840.1359999999986,0.00015982942332609215,0.8763190761402334,1.5818196721311477,0.18944025861232344,20.47517119945905,-4.619699816655335,2.774,6980.531000000003,-5.352311194116901e-05,0.10040288543631853,1.0009374999999998,649
6,3.537870588235293,0.04292041035043654,1.4686164110401068,-1.2544269466382971,0.379,840.1359999999986,0.00015982942332609215,0.8763190761402334,1.5818196721311477,0.18944025861232344,20.47517119945905,-4.619699816655335,2.774,6980.531000000003,-5.3523111941169275e-05,0.10040288543631853,1.0009374999999998,648
7,3.537870588235293,0.04292041035043654,1.4686164110401068,-1.2544269466382971,0.379,840.1359999999986,0.00015982942332609345,0.8763190761402334,1.5818196721311477,0.18944025861232344,20.47517119945905,-4.619699816655335,2.774,6980.531000000003,-5.352311194116921e-05,0.10040288543631853,1.0009374999999998,647
8,3.52325,0.059181922915701214,1.7975019215615076,-1.1923498213495998,0.379,840.0020000000077,0.0001892854588870232,0.5315514604066738,1.4014915254237286,0.40003561793495146,0.4615482195979421,-1.4594795501112432,2.6799999999999997,6777.848000000013,-0.0001488144009209487,0.3355878234478112,0.9878125,646
9,3.523625,0.05868545086183755,1.6924969763329827,-1.1646983007966296,0.379,840.0,0.00018819430327925044,0.5315514604066738,1.4006949152542376,0.4016118925219707,0.45882417165737,-1.4588615453315423,2.679,6780.656000000003,-0.00014939079548528437,0.3355878234478112,0.9871874999999999,645
10,3.524625,0.05798506581131783,1.6166464309865702,-1.1305067380861902,0.379,839.9979999999923,0.00018640916313205204,0.5315514604066738,1.4001355932203392,0.4025278511515188,0.4592302982905965,-1.4587497772331826,2.6759999999999997,6775.114000000001,-0.00014980800573185333,0.3355878234478112,0.9865625,644
11,3.52475,0.05769810593573618,1.5708171336421852,-1.1160069332110896,0.379,840.0010000000184,0.00018571413897026557,0.5315514604066738,1.3996271186440679,0.40319738891058476,0.45861508043939736,-1.4585429912201688,2.674,6773.415999999997,-0.00015005569695187,0.3355878234478112,0.9859374999999999,643
12,3.525,0.05712642620914222,1.478539131721969,-1.0866300837091234,0.379,840.0,0.00018432562141544796,0.5315514604066738,1.3991864406779664,0.40404192657899324,0.4597940191791161,-1.4586197814395065,2.6719999999999997,6771.012000000017,-0.00015043015546850738,0.3355878234478112,0.985625,642
13,3.525125,0.05639006371440179,1.40399730771684,-1.0713306376794962,0.379,839.9990000000107,0.00018224232583605822,0.5315514604066738,1.3988474576271186,0.40458773455249664,0.460809304883842,-1.4587417850239421,2.67,6767.858999999997,-0.00015066884555107538,0.3355878234478112,0.985,641
14,3.525125,0.055980704583939264,1.3793826016211446,-1.0623605899974446,0.379,839.9979999999923,0.00018105193671837615,0.5315514604066738,1.3987288135593223,0.4049416233155042,0.46326552960424117,-1.4595111513716752,2.669,6764.665999999997,-0.00015083811522935515,0.3355878234478112,0.9843749999999999,640
15,3.525375,0.055415153935672555,1.2844056794536103,-1.0318160185313263,0.379,839.9979999999923,0.00017966254814116712,0.5315514604066738,1.398254237288136,0.4055411707157844,0.4607491531288139,-1.458574429713837,2.667,6761.766999999993,-0.0001510985376057473,0.3355878234478112,0.9840625,639
16,3.525625,0.05504267824671537,1.287611218598908,-1.0262866271565736,0.379,839.9989999999816,0.00017847229097438117,0.5315514604066738,1.3981355932203394,0.4058723027321193,0.4618003489849172,-1.4589937087573444,2.665,6758.5470000000205,-0.00015125826924222908,0.3355878234478112,0.9834374999999999,638
17,3.525875,0.054480501099017045,1.191390475795238,-0.9948745391561182,0.379,840.0,0.0001770833872750699,0.5315514604066738,1.397762711864407,0.4063830933806455,0.4579668777459007,-1.4577692908107855,2.663,6755.331000000006,-0.00015152125581078553,0.3355878234478112,0.9828125,637
18,3.526125,0.05424135875879217,1.1418055037394774,-0.9851347528355386,0.379,840.0009999999893,0.00017648794527457725,0.5315514604066738,1.3975932203389834,0.40675194163299244,0.4615275059655781,-1.4586333055664364,2.6599999999999997,6750.347999999998,-0.00015171080580458215,0.3355878234478112,0.9821874999999999,636
19,3.526375,0.054089707233182883,1.0709240132312985,-0.9631956202927376,0.379,840.0009999999893,0.00017628954816735696,0.5315514604066738,1.3974576271186443,0.40699069387115067,0.4594025187912387,-1.4581356147607312,2.659,6746.924999999988,-0.00015185522636783412,0.3355878234478112,0.9815625,635
20,3.526625,0.05398395925775409,1.0069513541935207,-0.9320360435668367,0.379,840.0010000000184,0.00017628969240998088,0.5315514604066738,1.3972372881355937,0.4071566393053785,0.4537771188164723,-1.4566403070962703,2.6559999999999997,6743.383000000002,-0.00015198382712778755,0.3355878234478112,0.9809374999999999,634
21,3.52675,0.053707541369904466,0.958684743348408,-0.9158190648495506,0.379,839.9979999999923,0.00017559548799921205,0.5315514604066738,1.3971864406779664,0.4074351852231254,0.4603534839612822,-1.4582703622277806,2.655,6739.40399999998,-0.00015212386689281122,0.3355878234478112,0.980625,633
22,3.526875,0.05343203292835811,0.9103271625169036,-0.8994827145992534,0.379,840.0010000000475,0.00017490082533098386,0.5315514604066738,1.3970677966101694,0.40761170943582975,0.46075201724880754,-1.4583405957489495,2.653,6735.99099999998,-0.0001522240570632208,0.3355878234478112,0.98,632
23,3.527,0.05315744807375813,0.8618913733577234,-0.8830283729683769,0.379,839.9989999999525,0.00017420633644899688,0.5315514604066738,1.3970677966101699,0.40782699443923187,0.46417748983255347,-1.4594488265258532,2.651,6731.755999999994,-0.0001523415957156243,0.3355878234478112,0.9793749999999999,631
24,3.527125,0.052883801192533664,0.8133906710613736,-0.8664575499863242,0.379,839.9959999999846,0.00017351200363886746,0.5315514604066738,1.3969322033898306,0.40795972013840565,0.46438844098326104,-1.459349056882304,2.649,6727.429000000004,-0.00015244622757870722,0.3355878234478112,0.97875,630
25,3.52725,0.052611106920768834,0.7648388956308851,-0.8497718908543993,0.379,839.9970000000321,0.0001728177913975468,0.5315514604066738,1.396898305084746,0.4082127021167905,0.46296185978610094,-1.4590351242808435,2.647,6722.844999999972,-0.00015259612210789212,0.3355878234478112,0.9778125,629
26,3.527375,0.05233938014808465,0.7162504428883221,-0.8329731813689717,0.379,840.0,0.00017212301154086732,0.5315514604066738,1.4097894736842107,0.3933445752609512,0.6682613621510578,-1.5185808420761744,2.645,6719.622999999963,-0.00014876110242849594,0.3294916506707554,0.9775,628
27,3.5275,0.0520686360215328,0.6676402751582771,-0.8160633534714227,0.379,839.9990000000107,0.00017142862138468966,0.5315514604066738,1.4100350877192984,0.39343741401507204,0.6716102100592551,-1.5196765629321447,2.643,6713.726000000024,-0.00014889319359917376,0.3294916506707554,0.9768749999999999,627
28,3.52825,0.0521310162680803,0.6219731625516696,-0.800267707741809,0.379,840.0,0.00017182532062811283,0.5315514604066738,1.3926034482758622,0.4110395865878209,0.37528972598707444,-1.4306681492020783,2.6399999999999997,6709.728999999992,-0.00015590496583732755,0.33996554660108425,0.9759375,626
29,3.528625,0.05163314965075389,0.5233119325251305,-0.7733258136130969,0.379,840.0019999999786,0.0001705354259966674,0.5315514604066738,1.3925689655172415,0.4110688298565252,0.3795738183191708,-1.4317892797704455,2.638,6705.870999999985,-0.00015594640472768676,0.33996554660108425,0.975625,625
30,3.52875,0.05136633138545137,0.4750647815250262,-0.7562149171125424,0.379,840.0,0.00016984110977178447,0.5315514604066738,1.3924655172413791,0.4112469363408411,0.37729477480612594,-1.4312036008252662,2.637,6702.429999999993,-0.00015608201292888476,0.33996554660108425,0.975,624
31,3.52875,0.05136633138545137,0.4750647815250262,-0.7562149171125424,0.379,839.9990000000107,0.00016984129733817958,0.5315514604066738,1.392551724137931,0.41115759442471156,0.3801117890365262,-1.4320821723050507,2.635,6698.4589999999735,-0.00015607775912349504,0.33996554660108425,0.9746875,623
32,3.528875,0.05110056611372182,0.42687776775122677,-0.7390073861869976,0.379,839.9979999999632,0.00016914703584475753,0.5315514604066738,1.3925344827586208,0.4111918157215614,0.38008139110787464,-1.4320987450454519,2.634,6695.574000000022,-0.00015613285065174307,0.33996554660108425,0.9740624999999999,622
33,3.529,0.05083587035042987,0.37876909537440717,-0.7217060898342538,0.379,840.0019999999786,0.00016845231563916176,0.5315514604066738,1.392379310344828,0.4115097077402043,0.3783637885459008,-1.431487297182316,2.632,6691.614000000001,-0.0001563351789817474,0.33996554660108425,0.9734375000000001,621
34,3.529,0.05083587035042987,0.37876909537440717,-0.7217060898342538,0.379,840.0009999999893,0.00016845242890112393,0.5315514604066738,1.3924482758620689,0.4113159955008679,0.37843007719529353,-1.4316845534054812,2.63,6688.626999999979,-0.00015628830033203532,0.33996554660108425,0.9731249999999999,620
35,3.529375,0.05083850481110329,0.30668574654054526,-0.6909407868758175,0.379,840.0020000000368,0.00016874988281189937,0.5315514604066738,1.3923965517241381,0.4114349702258462,0.3802010811381722,-1.4320907734253314,2.629,6685.452000000048,-0.00015637668958417823,0.33996554660108425,0.9728125,619
36,3.5295,0.0505766744656072,0.2593291157270321,-0.6735142819863345,0.379,839.9980000000214,0.00016805566909097074,0.5315514604066738,1.3922931034482757,0.41158209978555177,0.37372701287382126,-1.430334220553027,2.627,6682.174999999988,-0.00015649570609037238,0.33996554660108425,0.9721875,618
37,3.5295,0.0505766744656072,0.2593291157270321,-0.6735142819863345,0.379,840.0019999999786,0.00016805534281197517,0.5315514604066738,1.3924827586206898,0.4114065834311626,0.3777353490895585,-1.4314884946341682,2.626,6679.390000000014,-0.00015643669038725862,0.33996554660108425,0.9718749999999999,617
38,3.5295,0.0505766744656072,0.2593291157270321,-0.6735142819863345,0.379,840.0019999999786,0.00016805534281199213,0.5315514604066738,1.3924827586206898,0.4114065834311626,0.3777353490895585,-1.4314884946341682,2.626,6679.390000000014,-0.00015643669038724756,0.33996554660108425,0.9718749999999999,616
39,3.530125,0.04992118788650766,0.11345877247190206,-0.626171328357445,0.379,839.9990000000107,0.00016636917637947838,0.5315514604066738,1.3928793103448283,0.410684925442219,0.3736258775091752,-1.4303494712098326,2.621,6665.756999999983,-0.00015638721118540504,0.33996554660108425,0.970625,615
40,3.530375,0.04984816231030272,0.15342652276533109,-0.6412797887640916,0.379,839.9980000000214,0.00016597245115324577,0.5315514604066738,1.3925344827586206,0.411427136032327,0.3754028215405705,-1.4308608059070886,2.622,6669.168000000005,-0.00015663587721927248,0.33996554660108425,0.9703124999999999,614
41,3.5214285714285714,0.04608635786165342,0.4698759062009037,-0.7776448319979985,0.325,720.0020000000368,0.00017291629499486454,0.4974178695665278,1.396542372881356,0.40899992926539724,0.45564550627425415,-1.4572333954518952,2.6740000000000004,6785.039000000048,-0.00015210060113307795,0.3355878234478112,0.9696875,613
42,3.521857142857143,0.046135411458837046,0.3768862728696156,-0.7342008106922352,0.325,720.0009999999893,0.00017351164771027192,0.4974178695665278,1.3966949152542376,0.4090863771127277,0.45520764727796026,-1.457101929974324,2.672,6781.434000000008,-0.0001521525332042214,0.3355878234478112,0.9693749999999999,612
43,3.522,0.0458439381670757,0.3235625917775691,-0.7144675188845557,0.325,719.9990000000107,0.0001726193604730095,0.4974178695665278,1.3965254237288134,0.4090005630184222,0.45653392373061363,-1.45743278584211,2.6710000000000003,6778.12300000008,-0.00015218261299687944,0.3355878234478112,0.9690624999999999,611
