cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,4.128042214469514,0.14121380603282832,-1.1517319044740546,0.1567825943076735,0.0900939553976059,1351.4061261261231,0.0003594960382880842,0.9967040938038797,0.05979788016580115,0.05509147768231903,1.45828428930899,1.4948445889917228,0.01649622619152069,999.4774474474543,-0.00016612911671278597,0.8278606477869188,1.0050413509209952,777
2,4.1275246300086845,0.14079664665050107,-1.1523551220926203,0.1550843165271284,0.08988849818706512,1348.3243243243196,0.0003592661136657884,0.9967040938038797,0.06057021256641183,0.055774732682235116,1.412132369134948,1.4864619822567355,0.01660788059234619,992.516516516509,-0.00016950634689464486,0.8334424748091835,1.005674588183562,776
3,4.1268327795226,0.14105124962198323,-1.151970319106632,0.15539953142526283,0.09013408422470093,1352.007957957976,0.00035893911909862144,0.9967619686152279,0.0606427675130654,0.05586075089287321,1.3860228808926571,1.4789418246340809,0.01654253900051117,987.1061561561655,-0.00017087321344884298,0.8333482941630386,1.0055538266897202,775
4,4.126947438305822,0.14082541643839133,-1.1520900760371469,0.15426827101675022,0.09002549946308136,1350.3792592592654,0.0003588048468005324,0.9967619686152281,0.06093157829619697,0.055963721632914576,1.3441377619513206,1.4702341126658718,0.01652875542640686,981.2444444444554,-0.00017237339496046564,0.8357234973862473,1.0056998580694199,774
5,4.127871331507272,0.14102034246388337,-1.1531947935079738,0.15431766913186823,0.09097762405872345,1364.6611411411432,0.0003554342126665232,0.9966865554671078,0.060308649004078826,0.05551821222982471,1.3864078102900574,1.4795577204651975,0.016155019402503967,969.7591991992085,-0.00017271138999256838,0.830380863127832,1.0073682914177577,773
6,4.127978843368896,0.1411802364980452,-1.153265503210538,0.15201680138043822,0.09050151705741882,1357.5193693693727,0.00035784625809205537,0.9967389885388427,0.060747273198500706,0.05587655853269116,1.433689786479932,1.484939435622232,0.01601317524909973,956.328078078106,-0.00017638829657087276,0.8328623403007965,1.007316199441751,772
7,4.128519508936634,0.14107637102993098,-1.1525629885792628,0.1518018502591315,0.09034478664398193,1355.1686486485996,0.00035820465178580874,0.9967389885388427,0.06077155582606793,0.05557549277560331,1.3703435290950532,1.4679733493637692,0.015932053327560425,950.0151351351524,-0.00017703397812809195,0.8344544214689741,1.0071203112602234,771
8,4.1273308086068665,0.14092735082658406,-1.1538454355226044,0.1502434007510008,0.09035353362560272,1355.2997297297698,0.00035780317008857914,0.9967389885388427,0.061322958253830384,0.056456417156856654,1.3870001736156858,1.4745332692510098,0.016151532530784607,954.7644144144142,-0.00017874669859994265,0.8320737148412212,1.0070640593767166,770
9,4.128095471695678,0.1408762942132185,-1.153427992621794,0.1502155656655573,0.09025661647319794,1353.846186186187,0.0003580575622940344,0.9967389885388427,0.06127661056362274,0.05624933484130405,1.3876721838486468,1.4726724558033004,0.016043037176132202,949.0880480480264,-0.00017924786185449036,0.8349117301112866,1.0068723931908607,769
10,4.1282847212443174,0.14127917521916314,-1.1526891657023037,0.1503606176130477,0.09049177169799805,1357.3732532532886,0.0003581534378959289,0.9968051459009399,0.06099593264562096,0.05564039450597749,1.3706060153235482,1.4664727179706276,0.01587340235710144,943.6533233233495,-0.00017852037994201266,0.8350754096759455,1.00680577258269,768
