cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.871725,0.16721366455940323,-1.102519945139831,0.24170318935653914,2.08,4680.3550000000105,0.00011872222976454888,0.9341003593321174,0.3715652173913044,0.38753125477818134,1.9720822723813116,1.6014217681499507,0.5409999999999999,5335.714000000007,-0.0002092694720759642,0.7518371591036178,0.8858823529411765,163
2,3.8713750000000005,0.1670511494676452,-1.1004522168007607,0.24241363448440997,2.08,4680.356999999989,0.0001186049672916261,0.9341003593321174,0.37067391304347824,0.3878802824668587,1.9784326316180394,1.6040083970832248,0.5390000000000001,5308.902999999991,-0.00020952101256027606,0.7518371591036178,0.8805882352941178,162
3,3.8713750000000005,0.1670511494676452,-1.1004522168007607,0.24241363448440997,2.08,4680.356999999989,0.00011860496729162654,0.9341003593321174,0.37067391304347824,0.3878802824668587,1.9784326316180394,1.6040083970832248,0.5390000000000001,5308.902999999991,-0.00020952101256027617,0.7518371591036178,0.8805882352941178,161
4,3.8713750000000005,0.1670511494676452,-1.1004522168007607,0.24241363448440997,2.08,4680.356999999989,0.00011860496729162583,0.9341003593321174,0.37067391304347824,0.3878802824668587,1.9784326316180394,1.6040083970832248,0.5390000000000001,5308.902999999991,-0.0002095210125602761,0.7518371591036178,0.8805882352941178,160
5,3.8662,0.16643597367556492,-1.1015778233729658,0.22988264109104325,2.0799999999999996,4680.354999999981,0.0001182070985818117,0.9429595503388949,0.36625531914893605,0.3852970885414045,2.0944356543796188,1.6339717160906218,0.5449999999999999,5438.091999999946,-0.0002027721629642082,0.7493062794101756,0.8805882352941178,159
6,3.8662,0.16643597367556492,-1.1015778233729658,0.22988264109104325,2.0799999999999996,4680.354999999981,0.00011820709858181315,0.9429595503388949,0.36625531914893605,0.3852970885414045,2.0944356543796188,1.6339717160906218,0.5449999999999999,5438.091999999946,-0.0002027721629642079,0.7493062794101756,0.8805882352941178,158
7,3.8662,0.16643597367556492,-1.1015778233729658,0.22988264109104325,2.0799999999999996,4680.354999999981,0.00011820709858181172,0.9429595503388949,0.36625531914893605,0.3852970885414045,2.0944356543796188,1.6339717160906218,0.5449999999999999,5438.091999999946,-0.00020277216296420882,0.7493062794101756,0.8805882352941178,157
8,3.8662,0.16643597367556492,-1.1015778233729658,0.22988264109104325,2.0799999999999996,4680.354999999981,0.0001182070985818122,0.9429595503388949,0.36625531914893605,0.3852970885414045,2.0944356543796188,1.6339717160906218,0.5449999999999999,5438.091999999946,-0.00020277216296420812,0.7493062794101756,0.8805882352941178,156
9,3.8672000000000004,0.16661812626482148,-1.094676646456529,0.23305758737882656,2.08,4680.35500000004,0.00011832433400211985,0.9429595503388949,0.3956875,0.4209367545484562,1.7246188721025995,1.5819792894836,0.5550000000000002,5509.243000000017,-0.0002167966494919514,0.7574030508637347,0.8770588235294119,155
10,3.8672000000000004,0.16661812626482148,-1.094676646456529,0.23305758737882656,2.08,4680.35500000004,0.0001183243340021219,0.9429595503388949,0.3956875,0.4209367545484562,1.7246188721025995,1.5819792894836,0.5550000000000002,5509.243000000017,-0.00021679664949195108,0.7574030508637347,0.8770588235294119,154
11,3.8672000000000004,0.16661812626482148,-1.094676646456529,0.23305758737882656,2.08,4680.35500000004,0.00011832433400212278,0.9429595503388949,0.3956875,0.4209367545484562,1.7246188721025995,1.5819792894836,0.5550000000000002,5509.243000000017,-0.00021679664949195127,0.7574030508637347,0.8770588235294119,153
12,3.8672000000000004,0.16661812626482148,-1.094676646456529,0.23305758737882656,2.08,4680.35500000004,0.00011832433400212315,0.9429595503388949,0.3956875,0.4209367545484562,1.7246188721025995,1.5819792894836,0.5550000000000002,5509.243000000017,-0.0002167966494919517,0.7574030508637347,0.8770588235294119,152
13,3.8672000000000004,0.16661812626482148,-1.094676646456529,0.23305758737882656,2.08,4680.35500000004,0.0001183243340021212,0.9429595503388949,0.3956875,0.4209367545484562,1.7246188721025995,1.5819792894836,0.5550000000000002,5509.243000000017,-0.00021679664949195084,0.7574030508637347,0.8770588235294119,151
14,3.8672000000000004,0.16661812626482148,-1.094676646456529,0.23305758737882656,2.08,4680.35500000004,0.00011832433400212246,0.9429595503388949,0.3956875,0.4209367545484562,1.7246188721025995,1.5819792894836,0.5550000000000002,5509.243000000017,-0.000216796649491951,0.7574030508637347,0.8770588235294119,150
15,3.8695897435897426,0.16306500446604558,-1.1018565819213364,0.23180025521213704,2.027,4560.347000000009,0.0001187426713818297,0.9364877560909672,0.3619795918367347,0.38292381149278676,2.1654821733172813,1.6552730195646193,0.5630000000000002,5673.3159999999625,-0.00019261460686583926,0.7477232637017699,0.8711764705882353,149
16,3.8699999999999997,0.16328889477822658,-1.1047573242022464,0.22867970054011322,2.027,4560.345999999961,0.00011891471300479077,0.9364877560909672,0.36720408163265306,0.38057275802356094,2.1940825129670234,1.6593981808982938,0.5710000000000002,5684.3520000000135,-0.00019163748198549962,0.7574501344919293,0.8708823529411764,148
17,3.873282051282051,0.16362214956191126,-1.1101947553906926,0.23207357278463847,2.0260000000000002,4560.345999999961,0.00011914918442048761,0.9364877560909672,0.36240816326530617,0.38231411160454537,2.185844076861448,1.6604658559969454,0.5630000000000002,5709.892999999982,-0.00019198734401887571,0.7477232637017699,0.8720588235294118,147
18,3.8699743589743596,0.16386796468972195,-1.106246055986594,0.2293428848229538,2.026,4560.345999999961,0.0001193364217135883,0.9364877560909672,0.3631020408163266,0.3820843735844414,2.1907309756580604,1.6623802829694876,0.5660000000000003,5756.648000000045,-0.0001915541923103348,0.750579255006676,0.873235294117647,146
19,3.8699743589743596,0.16386796468972195,-1.106246055986594,0.2293428848229538,2.026,4560.345999999961,0.00011933642171358704,0.9364877560909672,0.3631020408163266,0.3820843735844414,2.1907309756580604,1.6623802829694876,0.5660000000000003,5756.648000000045,-0.00019155419231033552,0.750579255006676,0.873235294117647,145
20,3.8699743589743596,0.16386796468972195,-1.106246055986594,0.2293428848229538,2.026,4560.345999999961,0.00011933642171358992,0.9364877560909672,0.3631020408163266,0.3820843735844414,2.1907309756580604,1.6623802829694876,0.5660000000000003,5756.648000000045,-0.00019155419231033443,0.750579255006676,0.873235294117647,144
21,3.873564102564102,0.1639612911429169,-1.1052160672339506,0.23213837986746616,2.0269999999999997,4560.34600000002,0.0001193954540938102,0.9364877560909672,0.38243137254901954,0.4150247826287949,1.952584994145977,1.645075846650685,0.5720000000000001,5822.738000000012,-0.0001993642312051497,0.747141997966363,0.866764705882353,143
22,3.873564102564102,0.1639612911429169,-1.1052160672339506,0.23213837986746616,2.0269999999999997,4560.34600000002,0.00011939545409381254,0.9364877560909672,0.38243137254901954,0.4150247826287949,1.952584994145977,1.645075846650685,0.5720000000000001,5822.738000000012,-0.00019936423120514875,0.747141997966363,0.866764705882353,142
23,3.8710249999999995,0.16719487900083113,-1.0919918555582453,0.21983981374218922,2.08,4680.354999999981,0.00011877537591342506,0.9429595503388949,0.35718000000000005,0.3812116927559772,2.2617876420455296,1.6822494913895385,0.5670000000000002,5779.944000000018,-0.00018713459442313828,0.7440089593763697,0.8664705882352942,141
24,3.8711749999999996,0.1683055657473587,-1.0931254781522577,0.22217933170772003,2.08,4680.356000000029,0.00011955549351088753,0.9429595503388949,0.35922000000000004,0.3808265602339099,2.2532013406036615,1.6804812002072331,0.5700000000000003,5824.814000000013,-0.00018679061200478338,0.7440089593763697,0.8664705882352942,140
25,3.8711749999999996,0.1683055657473587,-1.0931254781522577,0.22217933170772003,2.08,4680.356000000029,0.0001195554935108879,0.9429595503388949,0.35922000000000004,0.3808265602339099,2.2532013406036615,1.6804812002072331,0.5700000000000003,5824.814000000013,-0.00018679061200478357,0.7440089593763697,0.8664705882352942,139
26,3.8705749999999997,0.16823120346865741,-1.0928385877883384,0.21936858564410078,2.08,4680.354999999981,0.00011951170888938403,0.9429595503388949,0.35840000000000005,0.38070900559190285,2.2726249364617797,1.6863449695088766,0.5699999999999998,5869.695999999996,-0.00018626718803237377,0.7440089593763697,0.8652941176470589,138
27,3.8724,0.16916670582290827,-1.0918964997922396,0.22609336093663193,2.08,4680.354999999981,0.00012015503481662878,0.9429595503388949,0.35513725490196074,0.37885686054803563,2.3433106766537666,1.703594080256758,0.5750000000000002,5955.568000000087,-0.00018146140581009064,0.7428162374003787,0.8638235294117647,137
28,3.8743749999999997,0.16937572972687914,-1.0922192802720472,0.2245231032381864,2.0789999999999997,4680.355000000098,0.00012030905484160587,0.9429595503388949,0.35496078431372546,0.37827333825075826,2.3540236617731196,1.7052274929213673,0.5760000000000001,5978.015000000014,-0.00018103842194109172,0.7428162374003787,0.8602941176470588,136
29,3.8729999999999993,0.16448580165889218,-1.101343896838575,0.2231939777993369,2.027,4560.347000000067,0.00011980196435339528,0.9364877560909672,0.351076923076923,0.3769748442303595,2.423529732870497,1.7231061527727383,0.5799999999999996,6040.958999999915,-0.0001767176546837516,0.7405928207638235,0.8614705882352941,135
30,3.8741499999999993,0.16920122294520754,-1.0877210130755621,0.2250083563737892,2.08,4680.354999999981,0.00012018160497890662,0.9429595503388949,0.3546274509803921,0.3790726031136681,2.3417598993515174,1.7039956871197675,0.5750000000000002,5947.248000000021,-0.00018154090367659815,0.7415497970191959,0.8614705882352941,134
31,3.874225,0.16936010602506277,-1.0916247690871006,0.22402722450262927,2.08,4680.356000000029,0.00012029808246458503,0.9429595503388949,0.35478431372549013,0.3788018645004531,2.352878996639502,1.7070332866164344,0.5749999999999997,5981.092000000062,-0.00018116703949531615,0.7428162374003787,0.8602941176470588,133
32,3.8736249999999997,0.1692980511648174,-1.0886479881306768,0.22426274925764395,2.08,4680.354999999981,0.00012025119773931477,0.9429595503388949,0.3554509803921569,0.3788169644419579,2.34125197846246,1.7038236403213323,0.577,5973.945999999996,-0.00018131043473523835,0.7428162374003787,0.8591176470588235,132
33,3.8722820512820513,0.1646223666964308,-1.0972317096526003,0.22015749033301624,2.0260000000000002,4560.34600000002,0.00011990823654372173,0.9364877560909672,0.35275,0.37681242408017346,2.409367756993836,1.7187634540275227,0.5839999999999996,6086.478000000003,-0.00017662876447056385,0.7429533092952267,0.8585294117647059,131
34,3.867871794871794,0.16400997714952711,-1.0931279380296708,0.2131605568302289,2.027,4560.347999999998,0.00011947978309794212,0.9364877560909672,0.3518846153846154,0.37753216478195234,2.3990930631680136,1.7187236045027918,0.5819999999999999,6045.702000000048,-0.00017702551261280467,0.7405928207638235,0.8588235294117647,130
35,3.8690769230769226,0.16391643965839242,-1.0956722798905845,0.21621147865634072,2.027,4560.34600000002,0.00011940388539593275,0.9274014063404259,0.35084615384615386,0.377372670883856,2.416497947452253,1.7226239810508763,0.5789999999999997,6022.6870000000345,-0.00017692822127308834,0.7405928207638235,0.8579411764705882,129
36,3.8742999999999994,0.1694758435248562,-1.0886271021218634,0.21920344980086034,2.08,4680.354999999981,0.00012039110125280783,0.9429595503388949,0.35123076923076924,0.3775881985207453,2.4108346937150227,1.7230095845257214,0.5799999999999996,6080.26099999994,-0.00017669418402117658,0.7405928207638235,0.8576470588235294,128
37,3.8737692307692306,0.16550520130775054,-1.0998296159266496,0.22044248034944283,2.027,4560.346999999951,0.00012055259174879689,0.9364877560909672,0.3490566037735849,0.3758888141200154,2.4668545071595496,1.7341668637934333,0.5880000000000001,6151.689999999944,-0.00017265708722356967,0.7384782451962918,0.8567647058823529,127
38,3.8737692307692306,0.16550520130775054,-1.0998296159266496,0.22044248034944283,2.027,4560.346999999951,0.00012055259174880854,0.9364877560909672,0.3490566037735849,0.3758888141200154,2.4668545071595496,1.7341668637934333,0.5880000000000001,6151.689999999944,-0.0001726570872235649,0.7384782451962918,0.8567647058823529,126
39,3.8737692307692306,0.16550520130775054,-1.0998296159266496,0.22044248034944283,2.027,4560.346999999951,0.00012055259174880356,0.9364877560909672,0.3490566037735849,0.3758888141200154,2.4668545071595496,1.7341668637934333,0.5880000000000001,6151.689999999944,-0.00017265708722356645,0.7384782451962918,0.8567647058823529,125
40,3.8685897435897436,0.16479807707563596,-1.0938787320155698,0.21363923457015882,2.027,4560.346999999951,0.00012005329961621542,0.9364877560909672,0.34720754716981134,0.37591602778006794,2.4883791870111924,1.7415956455841917,0.5840000000000001,6129.024999999907,-0.00017241981803530203,0.7384782451962918,0.8555882352941176,124
41,3.8685897435897436,0.16479807707563596,-1.0938787320155698,0.21363923457015882,2.027,4560.346999999951,0.00012005329961622565,0.9364877560909672,0.34720754716981134,0.37591602778006794,2.4883791870111924,1.7415956455841917,0.5840000000000001,6129.024999999907,-0.00017241981803529634,0.7384782451962918,0.8555882352941176,123
42,3.8741538461538463,0.1653809857430537,-1.0964294200048168,0.2152605089833549,2.027,4560.34600000002,0.00012047837161457325,0.9274014063404259,0.34733962264150947,0.3757907531201694,2.499363918647754,1.7454303130809792,0.5859999999999999,6175.996000000043,-0.00017203456776600728,0.7384782451962918,0.8544117647058823,122
43,3.873487179487179,0.16503522300196719,-1.0948989111390488,0.21771444214268346,2.0269999999999997,4560.348000000115,0.00012021859054228431,0.9364877560909672,0.3475660377358491,0.37627376027373605,2.490474014926967,1.745312268546394,0.585,6156.576000000001,-0.00017227936956032145,0.7384782451962918,0.853235294117647,121
44,3.875410256410257,0.16513626238714404,-1.1000343646135728,0.21599279568958984,2.027,4560.34600000002,0.00012029619036459341,0.9274014063404259,0.3479811320754717,0.37578336079786706,2.501750639503884,1.743919700659828,0.5860000000000003,6134.797999999952,-0.00017238525916560873,0.7384782451962918,0.853235294117647,120
45,3.8774358974358973,0.16552814912016353,-1.0952114992991504,0.22098215348475103,2.026,4560.34600000002,0.0001205660705081976,0.9364877560909672,0.34886792452830184,0.3764192138139363,2.4563745641742454,1.7348714068057243,0.5879999999999996,6154.969999999972,-0.0001727120410325539,0.7384782451962918,0.853529411764706,119
46,3.8760000000000003,0.1655850870478123,-1.0914451417794695,0.21905456988133554,2.0269999999999997,4560.34600000002,0.00012061331271346903,0.9364877560909672,0.348,0.3757521687331855,2.4899052838217166,1.74302189289974,0.5860000000000003,6189.508000000031,-0.0001720254142337796,0.7384782451962918,0.8526470588235294,118
47,3.8741794871794877,0.16581868217310386,-1.0915726284214355,0.2191394236652604,2.0260000000000002,4560.346999999951,0.00012078198884918066,0.9274014063404259,0.33976363636363627,0.3727245514395198,2.6426993406797106,1.7814176384771307,0.5939999999999999,6377.256999999983,-0.0001635520106157066,0.729832597561692,0.8514705882352941,117
48,3.8804871794871794,0.16636372197448512,-1.0967765651172505,0.22457530727893066,2.027,4560.347000000067,0.000121166577290937,0.9364877560909672,0.34998113207547177,0.37605801979553627,2.4663163435284634,1.7383360923456812,0.5910000000000002,6237.336000000127,-0.00017207347478695375,0.7407941962082346,0.8511764705882353,116
49,3.8769230769230765,0.16364409144227487,-1.1067125221171388,0.2019720737712943,2.026,4560.347000000067,0.000119257129989618,0.9364877560909672,0.36786792452830186,0.4106363746925126,2.2293158316991954,1.7245232779295518,0.5710000000000002,6098.625,-0.00018673439149903645,0.7384782451962918,0.8500000000000001,115
50,3.881256410256411,0.16655609422538922,-1.0958519828518827,0.22344093281981706,2.026,4560.345999999903,0.00012130826131347929,0.9364877560909672,0.3437037037037037,0.3743733193620703,2.574909071481491,1.7642208930141454,0.5899999999999999,6245.706000000006,-0.00016791201342366055,0.7320814952244898,0.8502941176470589,114
51,3.8807948717948726,0.16651776884594177,-1.0974514836503173,0.22334354592371064,2.0260000000000002,4560.345999999903,0.00012128296152372622,0.9364877560909672,0.3438148148148148,0.37427212751787636,2.5752407452889097,1.7642707401684674,0.5900000000000003,6259.810000000056,-0.00016780046088552008,0.7320814952244898,0.8482352941176471,113
52,3.8714102564102566,0.16554435213445587,-1.0838042792953526,0.20265547465858183,2.0260000000000002,4560.346000000136,0.00012062006146396698,0.9364877560909672,0.3460925925925927,0.3742414853781677,2.538808991953136,1.7547667589223146,0.5949999999999998,6316.584000000032,-0.00016785034429482387,0.7377273910641718,0.8497058823529411,112
53,3.874631578947368,0.16118571143377602,-1.1017676422235758,0.21321514346112666,1.9730000000000003,4440.336999999825,0.00012048361891465437,0.9298478446264344,0.3452777777777778,0.374444464817821,2.5445949466446303,1.7578758639582455,0.593,6303.028000000166,-0.00016783144046655119,0.7359815759960344,0.8485294117647059,111
54,3.8807692307692307,0.16648367417011845,-1.0940554668189575,0.22068818429276751,2.027,4560.344999999972,0.00012126609240131051,0.9364877560909672,0.34553703703703703,0.3742890474689397,2.5436857058105034,1.7563634402503667,0.593,6308.625,-0.0001678271788181417,0.7359815759960344,0.8488235294117648,110
55,3.8802564102564108,0.16625831486111856,-1.0947027237834148,0.21906101357419688,2.0260000000000002,4560.345999999903,0.00012110416767075706,0.9364877560909672,0.3446111111111111,0.3744377630057896,2.5532926355777708,1.7590170969035572,0.5910000000000002,6266.882999999914,-0.00016798300068712163,0.7359815759960344,0.8500000000000001,109
56,3.8781025641025644,0.1661680814989504,-1.0911896869279463,0.21716828241567443,2.0260000000000002,4560.347000000067,0.00012104512208241776,0.9364877560909672,0.34322222222222226,0.3748417863310789,2.5714957226158095,1.7658819539596078,0.589,6257.966000000015,-0.00016789237942614805,0.7320814952244898,0.8485294117647059,108
57,3.876615384615385,0.1660164252153851,-1.0883603646363214,0.21218890995894676,2.0269999999999997,4560.346000000136,0.00012094560503304,0.9364877560909672,0.345037037037037,0.37388864061844407,2.5736068793563245,1.7647642305463762,0.5939999999999999,6352.187000000151,-0.00016721725997557944,0.7359815759960344,0.8476470588235294,107
58,3.873973684210526,0.1607587561134411,-1.096282286633476,0.20964882546439711,1.974,4440.336999999825,0.00012017087271464877,0.9298478446264344,0.34496296296296297,0.37479574124979026,2.5577866967295826,1.7629547530656158,0.593,6303.881999999983,-0.0001677952529479104,0.7359815759960344,0.8485294117647059,106
59,3.8780769230769225,0.1661238258230073,-1.08959400141706,0.21447532077004489,2.0269999999999997,4560.346000000136,0.00012101813859104092,0.9274014063404259,0.345,0.37498176056271987,2.542306404588574,1.7581697683612096,0.5919999999999996,6292.197999999858,-0.00016808996763476359,0.7359815759960344,0.8494117647058823,105
60,3.876410256410256,0.16635294089576338,-1.0887436533653778,0.21206443909907077,2.026,4560.339999999851,0.00012119203800831258,0.9364877560909672,0.34474074074074074,0.3746202195222685,2.56429852142458,1.763876291860801,0.5920000000000001,6298.194000000134,-0.0001677383437725587,0.7359815759960344,0.8461764705882352,104
61,3.8794615384615385,0.16665183469766287,-1.088792440550996,0.2143411299237737,2.0260000000000002,4560.346000000136,0.00012140272296122061,0.9364877560909672,0.3421454545454546,0.3731314145515659,2.624997426078296,1.7787382277253956,0.5979999999999999,6404.381000000052,-0.00016371280425176845,0.7315466705376814,0.8455882352941176,103
62,3.878052631578947,0.1619384179529485,-1.097213359435072,0.21429970879628513,1.973,4440.337000000058,0.0001210397917441313,0.9298478446264344,0.34234545454545456,0.37335224248649823,2.610316126791539,1.775185055235944,0.6000000000000001,6406.4789999998175,-0.00016388035758052697,0.7315466705376814,0.8447058823529412,102
63,3.878789473684211,0.16185181041573382,-1.0971935933465822,0.213284427172497,1.9740000000000002,4440.336999999825,0.0001209796142604263,0.9298478446264344,0.3425636363636364,0.3732118236603247,2.6134286672828564,1.7753066647826088,0.6000000000000001,6400.333000000101,-0.00016387975982085532,0.7315466705376814,0.8444117647058824,101
64,3.878789473684211,0.16185181041573382,-1.0971935933465822,0.213284427172497,1.9740000000000002,4440.336999999825,0.00012097961426041201,0.9298478446264344,0.3425636363636364,0.3732118236603247,2.6134286672828564,1.7753066647826088,0.6000000000000001,6400.333000000101,-0.0001638797598208603,0.7315466705376814,0.8444117647058824,100
65,3.878789473684211,0.16185181041573382,-1.0971935933465822,0.213284427172497,1.9740000000000002,4440.336999999825,0.00012097961426042046,0.9298478446264344,0.3425636363636364,0.3732118236603247,2.6134286672828564,1.7753066647826088,0.6000000000000001,6400.333000000101,-0.00016387975982085925,0.7315466705376814,0.8444117647058824,99
