cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.854095238095238,0.16526738269135036,-1.0937305140544138,0.2743728620232453,2.1870000000000003,4920.373999999982,0.00011169235280315326,0.9469940755831071,0.42085714285714293,0.41483250644490405,0.9551132673065736,1.303657900439456,0.4620000000000002,3980.8250000000116,-0.0003070766370466406,0.7548968983636863,0.9217647058823529,258
2,3.84760465116279,0.16742135887162976,-1.0919575884497592,0.30050996014733766,2.725,12947.051000000007,3.8360975717792016e-05,0.9449641024784903,0.4325294117647059,0.41647003131980853,0.8556814240362289,1.2685226221185872,0.4620000000000002,3956.606999999989,-0.0003173986128492153,0.764543358731872,0.9211764705882354,257
3,3.8583255813953485,0.1702303370828608,-1.0869187338195214,0.2961684378992067,2.6839999999999997,12900.660999999993,3.848273164748928e-05,0.9449641024784903,0.4216,0.4147504706943399,0.9515901713858712,1.3019548953420805,0.46399999999999997,4001.6059999999998,-0.0003067759527417275,0.7548968983636863,0.9188235294117648,256
4,3.8552142857142866,0.1660899749862729,-1.0893679937081586,0.2764219408939903,2.187,4920.372999999992,0.00011224129518343471,0.9469940755831071,0.4247142857142857,0.41324822133552463,0.9586073140945834,1.3009659459635101,0.46799999999999997,4072.279999999999,-0.00030475743166185937,0.7619175386659442,0.9170588235294117,255
5,3.851325581395349,0.16860572787680797,-1.096469847570327,0.2879513464438804,2.716,13033.487000000023,3.755064028355026e-05,0.9449641024784903,0.4238,0.41222122843986414,0.9964947716581127,1.3110691987063245,0.4670000000000001,4071.064000000013,-0.00030375963594019657,0.7619175386659442,0.9185294117647059,254
6,3.8557380952380953,0.16651141607736172,-1.0942941205367447,0.2732628521459249,2.1870000000000003,4920.3739999999525,0.0001125383827393449,0.9469940755831071,0.42222857142857145,0.4140332528357855,0.9676692067298664,1.3057277392585596,0.46399999999999997,4004.880999999994,-0.00030618158212955386,0.7594358261671074,0.9194117647058824,253
7,3.8495813953488374,0.1682665448680045,-1.0965555682636887,0.29110540219470993,2.72,12992.054000000004,3.809310576553723e-05,0.9449641024784903,0.4228000000000001,0.41458716531877693,0.954384019027732,1.3036051556852413,0.46499999999999986,4019.3899999999558,-0.0003063283459936491,0.7594358261671074,0.918235294117647,252
8,3.858190476190476,0.16689243477501775,-1.091694260905934,0.2783358708676465,2.187,4920.373000000021,0.00011277808440499596,0.9469940755831071,0.45538888888888884,0.4524766941292764,0.7069594108190387,1.272596126964927,0.4660000000000002,4019.103000000003,-0.0003255461381929337,0.7609431086010296,0.9176470588235295,251
9,3.8534883720930235,0.16937382887917363,-1.0915505871938245,0.29436799810396,2.702,12954.578999999969,3.81817219421166e-05,0.9449641024784903,0.42200000000000004,0.4141189087547625,0.9714527888795867,1.3088011946417502,0.46399999999999997,4017.4259999999776,-0.00030585048281106335,0.7594358261671074,0.9202941176470588,250
10,3.8591463414634144,0.16351721025256177,-1.1013339564949107,0.27397618897484255,2.1340000000000003,4800.364999999991,0.00011317955853468552,0.9406284175758041,0.42162857142857146,0.4140586833738799,0.9736798283884567,1.3094242563435408,0.46399999999999997,4018.94299999997,-0.0003057224674199391,0.7594358261671074,0.9167647058823529,249
11,3.857619047619048,0.16718690466586722,-1.091257750752203,0.2780462013903436,2.187,4920.374000000011,0.00011297794752751169,0.9469940755831071,0.4557777777777777,0.4519486766760208,0.7185308831191968,1.2762775998767155,0.4670000000000001,4060.0950000000303,-0.0003243586443548661,0.7609431086010296,0.9170588235294117,248
12,3.857404761904762,0.1671984448993806,-1.0933738876966217,0.27596150281548465,2.187,4920.374000000011,0.00011299346658622443,0.9469940755831071,0.4234,0.41380225456412506,0.9739468691915043,1.3095901597642732,0.4660000000000002,4050.402999999991,-0.00030506325171779033,0.7594358261671074,0.9167647058823529,247
13,3.852093023255814,0.16943868310134644,-1.0934451008289767,0.28884168821849965,2.708,12996.309000000008,3.8219069093281926e-05,0.9449641024784903,0.45588888888888884,0.4531051456515066,0.692458571280846,1.2711874489534605,0.4670000000000001,4052.6300000000047,-0.00032533816188721706,0.7609431086010296,0.9167647058823529,246
14,3.856,0.16691461231683116,-1.0910626329785447,0.27608548032025804,2.187,4920.3739999999525,0.00011280238684267376,0.9385567508147472,0.41452777777777783,0.41161726231405876,1.068481678315024,1.3404991833486428,0.4690000000000003,4110.66399999999,-0.0002946095979560424,0.7528148773642059,0.913235294117647,245
