cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.9028515856236785,0.12544399514571455,-0.5141540681755252,0.5703892986472661,1.619,971.4000000000001,0.00043357489368302514,0.9326048509367308,0.9132124907063197,1.2393343401556758,4.06256361775869,2.1489974270119347,0.3500000000000001,1381.32,-0.0024064552441482607,0.6846105080814576,0.9385,317
2,3.906366553672316,0.12697290216657492,-0.6282439948350116,0.5169398836515945,1.514,908.5199999999995,0.0004721726335425522,0.9562137121647425,0.9315796803652967,1.2467228987921832,3.9031778379650586,2.1141950681823634,0.349,1349.9399999999996,-0.002496887634017162,0.6936199642015868,0.9425,316
3,3.9044699324324323,0.12775845783405193,-0.6318852706474605,0.5139849386660627,1.521,912.3600000000006,0.00047316938339078,0.9567453251270772,0.9331203376822715,1.2401820154837053,3.8633124054103263,2.103635563296833,0.347,1338.9599999999991,-0.0025115343982698014,0.695923411876153,0.945,315
4,3.903025307950728,0.12846050835304684,-0.6309211495751867,0.5162160106721346,1.527,916.4399999999987,0.00047367079162424536,0.9571652872748113,0.9374050730207532,1.2434541923907954,3.8581958709364663,2.100810608054325,0.347,1336.2000000000007,-0.0025245508988516016,0.6979148549747072,0.948,314
5,3.901760825892857,0.1289267898230067,-0.6321199816321905,0.5183162123739238,1.533,919.7999999999993,0.00047358661420891974,0.9571404804312009,0.9399766615146832,1.2449200182955371,3.8341067626027634,2.095165214556719,0.347,1329.3600000000006,-0.00254581474839008,0.6988582945075359,0.9505,313
6,3.9004712694877504,0.12937383647332626,-0.6302705326343094,0.5196468520397923,1.538,922.8600000000006,0.0004736589644333752,0.9566654748621385,0.9398972179289026,1.2436439168437805,3.836550037025054,2.095184144379057,0.347,1330.1399999999994,-0.002542506334222418,0.699030231309013,0.9525,312
7,3.899564039955605,0.12953116696976646,-0.6299183311563143,0.5216959780386399,1.542,925.0800000000017,0.00047319848449742393,0.9566715214263228,0.9442024031007752,1.248398766035914,3.805187744302536,2.087499741638887,0.347,1324.8600000000006,-0.00256466980119789,0.6996286308094865,0.9545,311
8,3.8985834811529934,0.12969822133301184,-0.6289885707015257,0.5236660112423671,1.545,927.1200000000026,0.00047265207189533414,0.956653761409637,0.9470248437500001,1.2458040655535605,3.7391935888882166,2.07321831162409,0.34599999999999986,1315.020000000004,-0.002585400929128166,0.7014656060144526,0.9565,310
9,3.8981011049723757,0.12999009619735327,-0.6269241804481935,0.524404264093652,1.55,929.760000000002,0.000472479682949498,0.9560604410467903,0.9498439062500001,1.2496557338065355,3.746593687190739,2.0747908555304813,0.3460000000000001,1315.5599999999977,-0.0025940503221821595,0.7024136068357284,0.958,309
10,3.897494922737307,0.13026032997560363,-0.6274557614652858,0.524322320158255,1.553,931.8600000000006,0.0004722645711103062,0.9561246228057526,0.9497258014073493,1.2492436212875,3.7522703575637024,2.0747759161561103,0.347,1315.260000000002,-0.002594313027931014,0.7021034663805166,0.9565,308
11,3.9009403547671835,0.12878681457474236,-0.6309591494316313,0.5318296962191779,1.547,927.9599999999991,0.0004688326201956156,0.9558731684788422,0.9290923780487805,1.2360023490049799,3.9697788028672782,2.1218877410632238,0.347,1348.9199999999983,-0.002480165390209139,0.6949059083894923,0.958,307
12,3.8981588754134506,0.12987663868454788,-0.6267711242017371,0.532262085957982,1.555,932.6999999999971,0.0004703514995637463,0.9553468579228438,0.9540197327044024,1.2492529191224815,3.714897032669467,2.0661655069208584,0.34599999999999986,1308.0,-0.0026130280557047814,0.7047939217355353,0.962,306
13,3.8964913566739603,0.130661606288346,-0.6260464043432092,0.526622288505562,1.562,937.0800000000017,0.0004709435900987849,0.9553542558303934,0.9608630830039526,1.251513995401213,3.64425281413369,2.049761218135065,0.3460000000000001,1296.5999999999913,-0.0026509465631252543,0.7075625780472998,0.9635,305
14,3.895494868995633,0.13053594570533053,-0.61916643534847,0.533392554211517,1.564,938.6399999999994,0.00046978398872265153,0.9541851698120096,0.9632437201907789,1.2519803866627535,3.5817866925279134,2.037311137516225,0.345,1289.4000000000087,-0.002669153232262787,0.7088202015786204,0.9655,304
15,3.8948579520697164,0.13066329165949941,-0.6190063109430048,0.5328119662196962,1.567,940.1999999999971,0.0004694296422042542,0.9542755511409562,0.9685058213716109,1.2541224135475824,3.5528375640979135,2.029565929494373,0.345,1284.4800000000105,-0.0026904608371385156,0.7108143012773742,0.9665,303
16,3.8944450489662676,0.1310080588208421,-0.6187394048723474,0.5361757616885938,1.571,942.3600000000006,0.0004694187594739522,0.9541030296605063,0.9713387559808613,1.2588586911781308,3.560137325495907,2.030894706073685,0.34599999999999986,1283.820000000007,-0.002700884012455158,0.7114693701648037,0.968,302
17,3.8937394136807817,0.13109566428708938,-0.6135506896817873,0.5368383296460997,1.573,943.679999999993,0.0004691187893654619,0.953051222395167,0.9710844,1.2543869148290392,3.520062039844488,2.022011951682061,0.345,1281.5399999999936,-0.0027004828907918033,0.711719448799803,0.969,301
18,3.8935959869848156,0.13121612549845843,-0.6129478604055301,0.5369242909047508,1.575,945.0599999999977,0.00046893416984017297,0.9525248943022401,0.9713791567223546,1.2593077052649737,3.5611909645122264,2.0312315142332054,0.347,1288.5599999999977,-0.002692290884199019,0.7111601678652861,0.9705,300
19,3.8931315276273017,0.1313738005843816,-0.613998636850078,0.5368984892279355,1.578,946.5,0.0004687642520429383,0.9523020903362929,0.9687632083000797,1.252854503042493,3.537456362386692,2.0255342690446443,0.34599999999999986,1284.6000000000058,-0.0026904934553646487,0.7111532476850331,0.9715,299
20,3.893164108108108,0.13162225543563033,-0.6114685046317514,0.5373874171798636,1.581,948.4199999999983,0.0004686637302693892,0.951883538504527,0.9707188047808766,1.253958898993026,3.545499980686582,2.0255092645804376,0.34599999999999986,1284.9600000000064,-0.0026942594893998827,0.7119600467185229,0.9725,298
21,3.892725566343042,0.131638203226419,-0.6101779275941417,0.5376120163961104,1.582,949.4400000000023,0.00046822524336544564,0.9509514783898511,0.971696892430279,1.2565707228268588,3.5360547300766285,2.0250007073547995,0.34599999999999986,1285.6800000000076,-0.002695775310256158,0.71201135711712,0.9735,297
22,3.8922150432900433,0.13191055910075325,-0.6128175942217431,0.5336265854897332,1.583,949.859999999986,0.00046908683408409006,0.9511262130417695,0.9724441786283893,1.2569433901379867,3.5593383048375085,2.0288688969843625,0.34799999999999986,1289.3399999999965,-0.002688332394941403,0.7126305725057108,0.9745,296
23,3.8918250810810813,0.1319806612084859,-0.6067041635511448,0.5361528514532284,1.586,951.4800000000105,0.00046846437369440797,0.9496353158309577,0.9717617717478051,1.2561823714725724,3.5485299510462234,2.027441508043358,0.347,1288.5599999999977,-0.0026889745391790376,0.7119707043273403,0.976,295
24,3.8911659827213825,0.13211921250084724,-0.6051491314285005,0.5344004680486643,1.587,952.4400000000023,0.00046836530936951394,0.9493965923249318,0.9753294542536116,1.2543166006915099,3.5026922428361553,2.0163861599810855,0.347,1280.820000000007,-0.0027060995840248944,0.7143605982602739,0.977,294
25,3.8913316414686823,0.13193978898214906,-0.6103179364933946,0.5403695210638678,1.587,952.5599999999977,0.0004678438329019444,0.9556441834919321,0.9721442322991249,1.2573845184405288,3.5374276931436075,2.0244625271025045,0.349,1292.1000000000058,-0.002684942532706907,0.7120032317517515,0.978,293
26,3.89070690399137,0.1321407506670091,-0.6088534267300618,0.5413920350637315,1.589,953.5200000000186,0.00046799180118980586,0.9549343026338782,0.972023642172524,1.254742959400379,3.509703255489521,2.017717128552665,0.347,1286.820000000007,-0.002693330253622345,0.7116820017378039,0.979,292
27,3.8903397629310343,0.1322450602799374,-0.6072399851392292,0.5404721550047932,1.591,954.5400000000081,0.0004677772727127461,0.9546198186788943,0.974245592948718,1.2549800214692255,3.485367879858785,2.0123414397469794,0.34599999999999986,1283.640000000014,-0.0027052973170631663,0.7128679795540671,0.9795,291
28,3.8902142088266953,0.13243041191689278,-0.6029080672520815,0.5403565296592695,1.593,955.7400000000198,0.00046787227498612234,0.9543440475315244,0.9734174641148325,1.2585711542020872,3.5110785644902283,2.0184352133123684,0.34799999999999986,1288.8000000000175,-0.0026957411235230995,0.7120287774874845,0.98,290
29,3.8899931182795693,0.13254492617705899,-0.6034902180551653,0.5354828729524136,1.594,956.4000000000233,0.000468132492340342,0.9533836713284274,0.97624964028777,1.2600197754217473,3.503869627386832,2.016373128317275,0.3480000000000001,1286.8800000000047,-0.002705682673993895,0.7129023019319063,0.981,289
30,3.889963694951665,0.13279600902835723,-0.6042577254527313,0.5350625795499997,1.595,956.9400000000023,0.00046855004532813353,0.9532256995598791,0.9715736883942767,1.2555880663315928,3.547197127973222,2.0256095997414274,0.34799999999999986,1294.0199999999895,-0.002678856586305667,0.7118474317112006,0.981,288
31,3.8896633727175076,0.1328365852774846,-0.6018453089985409,0.5352664982759738,1.596,957.6600000000035,0.00046847940541058574,0.9528981409396091,0.9750238627294493,1.25717107711631,3.4956565595492215,2.0141948879634346,0.3480000000000001,1288.320000000007,-0.0026985609060984515,0.7126807704908159,0.982,287
32,3.8895648068669533,0.13292056811574293,-0.5979239313278906,0.5348606436026409,1.597,958.5,0.0004682953214189884,0.9522627662469855,0.9744267358339984,1.2561884357824546,3.4927220547777083,2.0132326868151313,0.349,1288.140000000014,-0.0026964141531075647,0.7125081665259412,0.982,286
33,3.88914522019334,0.13280458222690292,-0.5951160672565519,0.5341642555684801,1.596,957.7799999999988,0.000468116940974224,0.9517775091949084,0.9738694023904383,1.2548130449541566,3.491489143624416,2.0131506657249423,0.3480000000000001,1290.4199999999837,-0.0026896297917715054,0.7127582572821904,0.9825,285
34,3.8893438841201715,0.13282807894216753,-0.5966913317139717,0.5331525732300821,1.597,958.4400000000023,0.00046788651506742777,0.9516047418975634,0.9798015175718849,1.26212830178772,3.470259767181476,2.0087591167905536,0.34999999999999987,1287.6000000000058,-0.002712872033013899,0.7142305272987045,0.983,284
35,3.8890884244372987,0.13299704720569322,-0.5940113262285882,0.5325752497145112,1.599,959.3399999999965,0.00046813547379319625,0.9510412941652657,0.9787039168665068,1.2600968078527324,3.469066176481965,2.0087488038030306,0.349,1286.7000000000116,-0.0027109145213241206,0.7141775730161458,0.9835,283
36,3.889455042918455,0.13273414472320583,-0.5999163587364063,0.5389419909267411,1.598,958.679999999993,0.0004674524758275901,0.954205024347779,0.9751326173428797,1.2576499339401725,3.509815445564586,2.0161902713033917,0.34999999999999987,1292.5199999999895,-0.002690017380237698,0.7127480232457273,0.984,282
37,3.8891100858369096,0.1327017986841138,-0.5962268772994621,0.538793816403896,1.598,958.7399999999907,0.00046729562716649057,0.9538039386864599,0.9801427316293929,1.262189661729704,3.4699095755782334,2.007970656641026,0.351,1288.320000000007,-0.0027133899874539793,0.7142673301060122,0.984,281
38,3.8892254019292603,0.1329311123509981,-0.594634689160598,0.5364238234844726,1.6,959.6399999999849,0.00046773371032441226,0.9533092426605357,0.978681085395052,1.2586946128889858,3.457208063021106,2.0049666629585334,0.34999999999999987,1288.2000000000116,-0.002705904466837083,0.7144412545390222,0.9845,280
39,3.8901080472103002,0.13276047671623728,-0.6017223879468574,0.5299630659405589,1.598,958.7999999999884,0.0004677325046964986,0.9536937044895003,0.9737776898734177,1.2554309944831026,3.533366141762185,2.0216509004749903,0.351,1299.9599999999919,-0.002669255469898674,0.7131158959367642,0.985,279
40,3.888948017148982,0.1330218644651514,-0.5935827966893701,0.5319033930387892,1.6010000000000002,960.1199999999953,0.0004677818488110567,0.952621079666935,0.981019408945687,1.2603078192629187,3.4489245727876927,2.0028023138537314,0.3500000000000001,1288.0199999999895,-0.002713122132778463,0.7151940761576395,0.9855,278
41,3.889437942122186,0.1331123004253024,-0.5996051162290934,0.5259882790881009,1.6,959.5199999999895,0.0004686067104628268,0.952405223806085,0.9797785544082607,1.2594951670110293,3.48770551893983,2.011209344690518,0.35199999999999987,1294.7999999999884,-0.0026919960950046585,0.7147853653885025,0.9855,277
42,3.8893618435155415,0.13301071515143306,-0.5931443792513891,0.5297545028182099,1.6010000000000002,960.2999999999884,0.00046783143110781735,0.9519772493578682,0.980857609561753,1.2598779743273705,3.4496291798730025,2.0026148095561953,0.351,1289.5200000000186,-0.00270707871320931,0.7149596006420745,0.9855,276
43,3.8892317596566524,0.1328105179724796,-0.5907497177865233,0.5273920455071096,1.5990000000000002,959.0400000000373,0.00046775144571945703,0.9515840164961215,0.9702186614173229,1.2506373304877614,3.5434849401530535,2.022817741597429,0.351,1306.4400000000023,-0.0026464500028929006,0.7122631743865558,0.9855,275
44,3.889487339055794,0.13307356957745914,-0.5961963529475858,0.524596505607463,1.598,958.5,0.0004688649687044807,0.9518137285573357,0.9712797180892717,1.2544963278303098,3.5880308426007144,2.0331753316971155,0.35399999999999987,1314.0599999999977,-0.0026346620563341503,0.7118846380708498,0.986,274
45,3.889756115879828,0.1329329496523144,-0.6000220920154256,0.5314744718426445,1.598,958.5599999999977,0.0004685029261648648,0.9543116490106393,0.968652034428795,1.2499739011996507,3.5768536787776366,2.030102084392274,0.353,1314.7799999999697,-0.0026242677616923637,0.7116446996738269,0.986,273
46,3.8895785407725323,0.13296948710667778,-0.5987448180897044,0.5297522208596037,1.598,958.5,0.000468636303726434,0.9541074113378332,0.9710665360501567,1.2523694860859895,3.561118010582401,2.026572263171868,0.353,1311.960000000021,-0.002636238475398526,0.7122371730881918,0.986,272
47,3.8896024678111587,0.13299815600154385,-0.5953323645821769,0.5308215711270806,1.598,958.7399999999907,0.0004685927090032663,0.9535350161724757,0.9715301960784314,1.2525665086442626,3.5586436872970593,2.026225678738457,0.353,1311.539999999979,-0.0026384189003247844,0.7122705538874107,0.986,271
48,3.8899848549946294,0.13270370738294343,-0.5999772895142961,0.525141699582527,1.596,957.2399999999907,0.0004684209886270016,0.9536026793217737,0.9655399532710282,1.247144019239003,3.5995459921132307,2.0348303357268636,0.3540000000000001,1320.4199999999837,-0.0026052818935735538,0.7105260423815759,0.986,270
49,3.8900740860215053,0.1327646334131634,-0.5950822890165806,0.5306143878340361,1.5950000000000002,957.1199999999953,0.00046847497931975135,0.953291337686459,0.9645943454686289,1.2486686732815349,3.652064152922355,2.0461383455780573,0.355,1327.9799999999814,-0.0025887642189317576,0.7099410334644961,0.986,269
