cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.9095259487179486,0.13895283677346834,-1.0996031462808027,0.3832109118376715,1.1,3960.78,0.0001202103265067644,0.9809912931736037,0.21482170272156317,0.2118507423392707,2.133242086963861,1.6600512667877108,0.17299999999999982,2897.9399999999996,-0.00021662408823974914,0.7948518391444265,0.9435,273
2,3.8340529233511584,0.15911323748242598,-0.7883530719790723,0.6117199854907235,1.575,5670.539999999999,9.460383120069835e-05,0.9723402612470319,0.21319655921767472,0.2102488848281723,2.1787771749132707,1.6695536792965047,0.16599999999999993,2798.8199999999997,-0.00022218076889965916,0.7926728867541506,0.9005,272
3,3.83611664238893,0.15953877012497483,-0.8212963766723664,0.5934535286144969,1.544,5556.959999999999,9.700271836356158e-05,0.973687629361934,0.2138161195130948,0.21062018650041034,2.127544511134402,1.655958769571203,0.16300000000000003,2742.5999999999985,-0.00022772340743612137,0.7929990368685418,0.869,271
4,3.8371607966070447,0.15972894914168206,-0.8389547648900919,0.5855922188578506,1.5230000000000001,5482.260000000002,9.843016766334419e-05,0.9737238066908849,0.21634511278195487,0.2120893743631168,2.057182101944054,1.6379197364339104,0.16199999999999992,2693.4000000000015,-0.000234013535219831,0.7974312406958254,0.894,270
5,3.835292431235001,0.16002943109444198,-0.8285188762797113,0.5924924669662097,1.5350000000000001,5524.5,9.78148882547389e-05,0.9737943309440525,0.21498773728170084,0.2115965142347005,2.0684995857932353,1.6441720916346834,0.16100000000000003,2692.3199999999997,-0.00023332654530335882,0.7950298476782082,0.8985,269
6,3.8340543098695097,0.15996409722496738,-0.8220965564159783,0.5975892004875705,1.541,5546.040000000001,9.730840563804466e-05,0.9732468729272613,0.2150926912828321,0.21188856912825027,2.0807091363621844,1.6463583848490382,0.15999999999999992,2680.4400000000023,-0.0002347877608048037,0.7951341151089282,0.902,268
7,3.834044466948997,0.16054862280841295,-0.8293903567701375,0.5955866984749525,1.539,5539.080000000002,9.782207479158863e-05,0.9735552317058324,0.21671985121378232,0.21308166667259665,2.0212318161565968,1.6350214271974015,0.15700000000000003,2608.320000000007,-0.000242423535346361,0.7976997254619544,0.882,267
8,3.8346642581356867,0.16056693972180539,-0.8391873084059731,0.5909143320305497,1.531,5509.859999999986,9.841550837028784e-05,0.973641797114536,0.2169819111285883,0.2136955382216177,2.0127845781031457,1.631769994054574,0.15500000000000003,2578.4400000000023,-0.0002461432777129167,0.7971136790983446,0.9,266
9,3.8333930492043162,0.16071160569214474,-0.8291506488218294,0.596698134868391,1.538,5534.820000000007,9.798059906696988e-05,0.973414064556764,0.21562036964215492,0.21235224394713464,2.0208979272994734,1.634873530107515,0.15400000000000014,2577.2399999999907,-0.0002450342798933245,0.7952995215844327,0.8785,265
10,3.8347719624447723,0.1605850800997142,-0.8401846302407541,0.5907329879155886,1.528,5500.919999999998,9.85468159313201e-05,0.9734897505790768,0.21589948798739664,0.21262467148866723,2.0151116476307944,1.6324664535602624,0.15399999999999991,2572.3800000000047,-0.00024562721105875787,0.7957375235153733,0.923,264
11,3.832187520435968,0.16083909482628103,-0.8238059596953198,0.6025408608842839,1.549,5575.020000000004,9.735981751627805e-05,0.9730638266213552,0.2162707807570978,0.213104118920608,2.017702666976966,1.6326977995143475,0.15599999999999992,2584.2599999999948,-0.00024514520411472306,0.7961659186630617,0.907,263
12,3.8328617432531003,0.16082893735228698,-0.8319589549260864,0.5971950371812776,1.545,5562.119999999995,9.768778686449582e-05,0.9732908289016787,0.21826732157177225,0.21395308713001113,1.9670922437852703,1.6219653221667678,0.15300000000000002,2532.779999999999,-0.00025122801608796314,0.8002582543046404,0.8715,262
