cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.8705971527777776,0.14108131839653607,-0.6225118481737955,0.5695104322833514,1.643,1478.1,0.00032194923488821,0.9610771597193654,0.6856778737541529,0.8262622080620292,3.586346452636332,2.0337149365813647,0.29400000000000004,1545.54,-0.0014761528513629765,0.7260176773567081,0.0555,1224
2,4.1428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5973322489391796,0.6147787619344635,4.288084277646114,1.9499882051557997,0.12,726.06,-0.002466270049195781,0.7215501156138034,0.2225,1223
3,4.12950544217687,0.043486544576695776,-0.08882328486602287,-0.7689529109211823,0.166,150.0599999999995,0.0009599053738629318,0.9454237657149613,0.9001677669902913,0.9738883294709673,1.1316413489332335,1.45487786075802,0.264,1057.0200000000004,-0.0027726717218902234,0.8096456893358926,0.378,1222
4,4.053621728395061,0.08132018231325298,-0.7489680826101162,-0.26221327361266333,0.461,415.5,0.0006701581969353064,0.971461224651128,0.8299043293718167,0.9198577272282266,1.70809462007285,1.6007437582469088,0.279,1210.08,-0.0022436625648667124,0.7875728113208912,0.4555,1221
5,4.015140782122905,0.09855794186472758,-0.9808018454926897,-0.05265378455890643,0.612,551.2799999999988,0.0006161241808869515,0.979661630775185,0.8034474493927125,0.8997038455737797,1.9555103253064372,1.659120163942134,0.28300000000000003,1268.8199999999997,-0.002076214957604348,0.777794272417789,0.5115,1220
6,3.9509721685082875,0.12880229716213867,-1.1416987686021876,0.11623188662533464,0.827,1487.4599999999991,0.0002992579564654181,0.9857085759120541,0.5136699435938759,0.4558134958766614,0.9713737992457183,1.3586808214160155,0.18200000000000005,1273.3199999999997,-0.0011045091800635984,0.845672102159954,0.9615,1219
7,3.8677961843052553,0.14494095764486045,-0.6656625200236692,0.5118323444081386,1.586,1427.4599999999991,0.0003436604551654681,0.9699662168497621,0.7152719101123596,0.8403190209615293,3.188051595099875,1.9415209826304425,0.2909999999999999,1463.5800000000017,-0.0016133446310853704,0.7425115728663068,0.556,1218
8,3.971059776536313,0.11515389934195146,-1.072852719804898,0.18886508745649086,0.817,734.8199999999997,0.0005392917250780172,0.9725227126354917,0.7793347589424572,0.882302716369091,2.2259377749736178,1.7202132913297052,0.28600000000000003,1320.8400000000038,-0.001941157461957507,0.7678258691908644,0.6,1217
9,3.9560143583227445,0.11945583386322309,-1.0623636683518176,0.2833089784470865,0.898,808.9800000000032,0.0005066145789664657,0.9734137851631065,0.7781345707656614,0.8809770687621455,2.2574971534283277,1.72610228051801,0.28700000000000003,1328.8800000000047,-0.0019258801098649846,0.7678212612959354,0.6225,1216
10,3.9480171704957674,0.12167475786865506,-1.0310380423737253,0.32182940287204054,0.944,849.1800000000003,0.000490657278286812,0.9642956927831258,0.7789032457496137,0.880621912810935,2.2597291424006585,1.72572185250724,0.28800000000000003,1329.5400000000009,-0.0019231377166985736,0.7686391607982987,0.6445,1215
