cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,1.6104999843496866,0.0718679244902875,0.35233495821641636,0.8583696224808233,0.0003088110947383029,625.0,0.0003713063979889814,0.779311907766948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,916
2,1.610541842409954,0.07188388367804735,0.3547882699032794,0.8539161546427364,0.00030633314948863696,620.0,0.00037444720899754093,0.7791373742453449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9938033596462035,915
3,1.6106391834595442,0.07192051217785637,0.3617917662715344,0.8476248919710888,0.0003048467288072061,617.0,0.0003765813565618367,0.7780385750425358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904913588435075,914
4,1.610698550987862,0.07198401525333176,0.35486763517798714,0.841235752759349,0.0003043849423329448,616.0,0.00037774012864207746,0.7777286667063176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9907552079640577,913
5,1.6105752163227025,0.07194257910140835,0.36120601552560894,0.8380635623107405,0.00030445983496883857,616.0,0.0003775932242779108,0.7771510437948965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993553690704482,912
6,1.610653654824166,0.07210302237460256,0.3601774789580019,0.8321185058326724,0.0003053410326383528,617.0,0.00037736808915812765,0.7730323921477589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977841759179293,911
7,1.610746911484329,0.07223841997617136,0.3676789920491501,0.8305340525035606,0.0003066377675913827,620.0,0.00037626719677837854,0.7687241992960662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0038548571659924,910
8,1.6103885567341096,0.07197999592847677,0.3763843797541666,0.8264372720587335,0.00030804715947851946,623.0,0.0003738091105074784,0.769183538880897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097761086675021,909
9,1.6104473236260142,0.07216768193765702,0.3795486251258997,0.8253277392153143,0.000309837028158654,626.0,0.0003724004535431046,0.7703591024805545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0167817037748905,908
10,1.6103574469496933,0.07218024679500841,0.37540834882986385,0.8227303005401081,0.0003119044486011262,631.0,0.00037019284145513927,0.7711343434321904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0239627419224078,907
11,1.6102385740235168,0.0722343081940686,0.3874913481676092,0.8204091032748438,0.00031390726366134914,634.0,0.00036810316191110957,0.7728211460285349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0312970237956112,906
12,1.6102812704913516,0.07246612546161475,0.3901194398964174,0.8196861997429575,0.00031612611861237384,639.0,0.0003664224454986755,0.7736189595589159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0387642081724575,905
13,1.6101150941479114,0.07242336868825405,0.39382355445213024,0.8188330223231528,0.0003182056541118072,643.0,0.00036396837082801765,0.7739672461094249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0461952086447064,904
14,1.6098925420793437,0.07235309994831052,0.3983223364099544,0.8175831731932883,0.00032036315013647253,648.0,0.0003613878456519351,0.7732691090325187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0536458657786418,903
15,1.6099842167046456,0.07254169861111993,0.39178259065725074,0.8207649581329743,0.0003225879043984605,652.0,0.000359527377609518,0.7735945819901027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0607682273241092,902
16,1.609762310438243,0.07248884365425139,0.3994562280353149,0.8181451481258825,0.0003247627500195449,657.0,0.00035708697553126395,0.7734129610199123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0688003695843573,901
17,1.6096191397246278,0.07249916261558939,0.3995526005847978,0.8169906642231363,0.0003267937250129762,661.0,0.0003550635119616094,0.7731877839439502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0754866661822586,900
