cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,1.6179773595200075,0.07405174313419641,-0.22679989467135098,0.6534369012972981,0.0004034095999486453,464.9899999999998,0.0005284632497829955,0.8336829450891685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998069021428703,390
2,1.6179755095512636,0.07403269442860719,-0.22789142029284148,0.6463628469729635,0.0004025417019556699,463.9899999999998,0.0005296203530729799,0.8351124339554562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976575461094835,389
3,1.6182351250802316,0.07426044610756545,-0.23208469778052487,0.6420474084033484,0.00040254182034641414,463.9899999999998,0.0005313798847070009,0.8351141971531172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976578409153722,388
4,1.6184131960715018,0.07437845824332995,-0.24786593425624348,0.6401308662981872,0.0004025412835717361,463.9899999999998,0.000532464276999753,0.8350667525876275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976612311830929,387
5,1.618518618870807,0.0743877915474914,-0.2636470254705201,0.6366590835353432,0.0004025414326624741,463.9899999999998,0.0005328130845501094,0.8347134198431948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976602730639546,386
6,1.6188428261249361,0.07466303239090538,-0.261383738625832,0.6328394883254641,0.00040340879609630065,464.9899999999998,0.0005336882083398478,0.8358537668516902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976598308551213,385
7,1.6187198663474152,0.07451035983702572,-0.26378633004516105,0.6248163013384678,0.000403410317894668,464.9899999999998,0.0005328243976038919,0.8360096097186921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999806386232565,384
8,1.6188992494178789,0.07460917465777295,-0.2688930705873278,0.6212411054458896,0.0004042768189901835,465.9900000000016,0.0005325551983932548,0.8364994797551593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0019496987452323,383
9,1.6189774099068763,0.07463322353702438,-0.2874021917065499,0.6216001703534466,0.0004051453490164931,466.9900000000016,0.0005318345520256978,0.83643949179904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0041000128977575,382
10,1.619066040398978,0.07466547329474327,-0.28574380112294717,0.6157655932969585,0.00040601194035298245,467.98999999999796,0.0005310531207738451,0.8371602207426675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0062397877397602,381
11,1.619433072468784,0.07495909569176495,-0.2974217646807067,0.6166100922936263,0.00040774884998700145,469.9900000000016,0.0005310139076572773,0.8369437803335121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0083900281908131,380
12,1.6193449317903843,0.07485169712457033,-0.3024599836789772,0.6116128126964652,0.000408614577930166,470.9900000000016,0.0005293309074049239,0.8374796390625007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0126812964088958,379
13,1.6193351972430756,0.07478474273949368,-0.3049346266798838,0.6075627075725714,0.000409482631098399,471.9900000000016,0.0005278870769649264,0.8379842432650257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014822913787703,378
14,1.6196879467211271,0.07510973116592679,-0.29899571053674956,0.6041586301863829,0.00041121712633957944,473.98999999999796,0.0005279504115746614,0.8376130582576025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019112855379286,377
15,1.6195720158705191,0.07493972625844102,-0.3071747281234565,0.599589830029988,0.00041208469784123733,474.9900000000016,0.0005258818298931894,0.8381386211693055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0212620640097285,376
16,1.6198060210778624,0.07514524480073563,-0.3118476889897681,0.599054946903932,0.00041382140312271076,476.98999999999796,0.0005251997161942847,0.8385951830816739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0255506789748126,375
17,1.6200293568273385,0.07532160100864034,-0.3136738741466987,0.5965153524162565,0.00041555458633320085,478.9900000000016,0.0005243355851931009,0.8381427201916849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0276973817552006,374
18,1.6199814861876554,0.07522224216547359,-0.32419705596511816,0.5947337218559844,0.00041642382655390976,479.9900000000016,0.0005227497608318629,0.8394740749256461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0319885025703388,373
19,1.6199687259325843,0.07515498211062703,-0.32100485904523435,0.5888395438211911,0.00041729134229171903,480.9900000000016,0.0005213065902217934,0.8379473020573015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0341338787242276,372
